Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50)
0.0,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519501,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2839333559602355e-24,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519496,0.4515426283560999,1.4861200948982724e-60,0.4569006123410269,1.0741755016764554e-85,5.788132423938191e-96,1.6445266761695912e-48,1.4437511923465554e-132,3.1437790958641573e-178,2.111436821491361e-18,4.0731580533074383e-45,1.796430457770397e-60,5.309185745423938e-72,4.0731580533074396e-45,7.925922317836805e-26,1.5156388782020801e-62,2.9086445976785524e-46,1.253841814348213e-44,7.951121302886087e-80,-5.152295805460613e-108,6.061172965522865e-90,-8.826699429473123e-120,1.4289276285463896e-18,3.2991200335802546e-29
3.5950133966886595e-24,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519488,0.4515426283560999,1.7643217766632274e-59,0.4569006123410269,6.00354026987469e-84,3.5212032774626213e-94,4.604674693274856e-48,2.2769310705112336e-130,2.0352142260314498e-175,5.9120231001758025e-18,2.4601874641976906e-44,2.132722239556295e-59,1.669292865380714e-70,2.4601874641976906e-44,2.219258248994304e-25,1.799366485598896e-61,1.7568213366984623e-45,7.573204558641876e-44,2.499959538647896e-78,2.6700168064125396e-106,9.159644584110362e-89,8.721343963167077e-119,4.0009973599298856e-18,9.237536094024703e-29
8.217173478145508e-24,0.0027344314106420324,0.0915567593028733,0.0,0.00804743164151947,0.4515426283560999,1.732221582613421e-58,0.4569006123410269,2.685436630651209e-82,1.589639522779963e-92,1.0524970727485385e-47,1.087798769001126e-127,6.65323827029261e-172,1.3513195657544653e-17,1.1844743619017994e-43,2.0939193421987837e-58,3.724100549374179e-69,1.1844743619017996e-43,5.072590283415543e-25,1.7666287394284588e-60,8.458338485558467e-45,3.64617199609261e-43,5.577272191036158e-77,2.802291245759675e-104,9.853527664998191e-88,4.8102122528348576e-117,9.145136822696855e-18,2.111436821491358e-28
1.7461493641059205e-23,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519434,0.4515426283560999,1.5321303730363115e-57,0.4569006123410269,1.0117862592129355e-80,6.002176792092139e-91,2.236556279590644e-47,3.6942425601853156e-125,1.0393840558391018e-168,2.8715540772282214e-17,5.1729107277004034e-43,1.852047946394013e-57,6.974828174238627e-68,5.172910727700407e-43,1.0779254352257994e-24,1.5625632247297534e-59,3.693978634411302e-44,1.592379104189171e-42,1.0445613556544429e-75,2.23733224525278e-102,9.05708953744131e-87,1.8931332069473615e-115,1.94334157482307e-17,4.486803245669122e-28
3.5950133966886597e-23,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519363,0.4515426283560999,1.2878478963173033e-56,0.4569006123410269,3.507282217089613e-79,2.0824342599645572e-89,4.604674693274856e-47,1.0840447591665952e-122,1.3042451903644356e-165,5.912023100175681e-17,2.159588399863564e-42,1.5567578951209403e-56,1.2047281153406705e-66,2.1595883998635668e-42,2.219258248994278e-24,1.3134287352541423e-58,1.5421633615127548e-43,6.64786929937669e-42,1.804219975282739e-74,1.5936808003312897e-100,7.748530783768261e-86,6.688866592301896e-114,4.000997359929803e-17,9.237536094024608e-28
7.292741461854139e-23,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641519219,0.4515426283560998,1.0558555138934908e-55,0.45690061234102686,1.1675814396026397e-77,6.93537756321456e-88,9.340911520643279e-47,2.9678655882004606e-120,1.4756299611672952e-162,1.199296114607038e-16,8.822623269785701e-42,1.2763241809395652e-55,2.001673781778194e-65,8.822623269785724e-42,4.501923876531189e-24,1.0768285508868609e-57,6.300240508995343e-43,2.7158715232988903e-41,2.99773846489767e-73,1.0751557292178457e-98,6.406635093890755e-85,2.2471795224752177e-112,8.116308930143121e-17,1.873900179073541e-27
1.4688197592185096e-22,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641518932,0.45154262835609976,8.55059170053736e-55,0.4569006123410268,3.810386868209622e-76,2.2638240731581403e-86,1.8813385175380117e-46,7.854980322356356e-118,1.5875691831502997e-159,2.415483723785891e-16,3.566245387256937e-41,1.0336004178071315e-54,3.263233460372517e-64,3.566245387256954e-41,9.067255131604826e-24,8.720441980362498e-57,2.546657931121554e-42,1.0977986926617305e-40,4.887070260433055e-72,7.063334290338021e-97,5.209769259612604e-84,7.366566235534478e-111,1.6346932070569167e-16,3.774193318415633e-27
2.947910985284701e-22,0.0027344314106420324,0.0915567593028733,0.0,0.00804743164151836,0.45154262835609965,6.88226008525774e-54,0.45690061234102664,1.231323086000258e-74,7.316296793740653e-85,3.77583324848538e-46,2.044497180034992e-115,1.666133288044818e-156,4.847858942143251e-16,1.433971585298866e-40,8.319315457389652e-54,5.270130754061829e-63,1.43397158529888e-40,1.8197917641751364e-23,7.018978723836057e-56,1.0239999415985731e-41,4.414200259404684e-40,7.89263143588917e-71,4.579810995585901e-95,4.201867644671608e-83,2.3857856501696876e-109,3.280817835141892e-16,7.574779597099547e-27
5.906093437417084e-22,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641517215,0.45154262835609943,5.522580288817849e-53,0.4569006123410263,3.9595444856343975e-73,2.3528169181610993e-83,7.564822710380116e-46,5.277399769329547e-113,1.727173878518545e-153,9.712609378856583e-16,5.7508674165145926e-40,6.675726855328249e-53,8.471581263924921e-62,5.7508674165147035e-40,3.6459242662041486e-23,5.6323017992332134e-55,4.106697665553971e-41,1.7702917332734724e-39,1.2687174234747604e-69,2.9501976744634256e-93,3.375168599471223e-82,7.680404782183145e-108,6.573067091310903e-16,1.5175952154466288e-26
1.182245834168185e-21,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641514925,0.45154262835609893,4.424784624720868e-52,0.45690061234102564,1.2701529102201052e-71,7.547658582861316e-82,1.514280163416966e-45,1.3566096305475274e-110,1.7794956168571444e-150,1.9442110252277705e-15,2.303346603121865e-39,5.348705347894374e-52,1.3586110403005833e-60,2.303346603121953e-39,7.298189270260989e-23,4.5127168469111666e-54,1.6448210319111112e-40,7.090400720298781e-39,2.0346773153868515e-68,1.8942684865855135e-91,2.705615394396306e-81,2.465101739460376e-106,1.3157565603645166e-15,3.037829726919543e-26
2.365518815021138e-21,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641510346,0.45154262835609793,3.542518158255041e-51,0.4569006123410243,4.0694545041633294e-70,2.41825526674744e-80,3.0298759481750104e-45,3.480100850095173e-108,1.827798422767858e-147,3.890111199909776e-15,9.219389106967779e-39,4.282216861317012e-51,2.176307406788549e-59,9.219389106968481e-39,1.4602719278369942e-22,3.6129518200652296e-53,6.5835700430540185e-40,2.8380080955159736e-38,3.2592719982737676e-67,1.214300985849965e-89,2.1666866659149157e-80,7.90025693576218e-105,2.6326562628298657e-15,6.078298749863634e-26
4.732064776727044e-21,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641501186,0.451542628356096,2.835091170188434e-50,0.4569006123410217,1.303020535806755e-68,7.743336551608008e-79,6.061067517693376e-45,8.918258628376613e-106,1.8745510676698656e-144,7.781911549264909e-15,3.6889565238248495e-38,3.427075488254551e-50,3.484116963569575e-58,3.6889565238254123e-38,2.9211779294568935e-22,2.8915145948965197e-52,2.634285077245032e-39,1.135572902391082e-37,5.217867114556863e-66,7.777831922292313e-88,1.734227501568015e-79,2.5302891719528203e-103,5.2664556677545484e-15,1.2159236795744868e-25
9.465156700138856e-21,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641482868,0.4515426283560921,2.268503685618974e-49,0.4569006123410164,4.170938900051613e-67,2.4787248605513193e-77,1.212345065676688e-44,2.284251530813796e-103,1.9210501906804327e-141,1.556551224793967e-14,1.4758228199491345e-37,2.742181957081933e-49,5.576207737857336e-57,1.4758228199495851e-37,5.842989932689128e-22,2.313739157310751e-51,1.0538851734277825e-38,4.5430310223179275e-37,8.35101145809972e-65,4.97982881282222e-86,1.3877333541250588e-78,8.10804663285856e-102,1.0534054477579862e-14,2.432111288747955e-25
1.893134054696248e-20,0.0027344314106420324,0.0915567593028733,0.0,0.00804743164144623,0.45154262835608433,1.8149752666837993e-48,0.4569006123410059,1.3349045624397672e-65,7.93373752217238e-76,2.4248216935503843e-44,5.849185741307666e-101,1.967992457116703e-138,3.113271364514719e-14,5.903771734826409e-37,2.193955263374278e-48,8.923228990320634e-56,5.903771734830014e-37,1.1686613939123336e-21,1.8513081483609832e-50,4.2158806519459004e-38,1.817360285259365e-36,1.3363550697955987e-63,3.1877327619364963e-84,1.110327240888879e-77,2.6157859158118114e-100,2.106925209713427e-14,4.8644865070837755e-25
3.7863708240609734e-20,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641372955,0.4515426283560688,1.4520491442939581e-47,0.4569006123409848,4.272023567475549e-64,2.5393725199697394e-74,4.849774950242331e-44,1.4975809268217588e-98,2.0157832386794798e-135,6.226711643899417e-14,2.3616047883395548e-36,1.7552497724189909e-47,1.427820350274319e-54,2.361604788342438e-36,2.3373861951870702e-21,1.4813425493356626e-49,1.6864183738672364e-37,7.269736770227742e-36,2.1383204054730547e-62,2.0403505942554902e-82,8.883180181432977e-77,8.901948579739423e-99,4.2139647335858216e-14,9.729236943710954e-25
7.572844362790423e-20,0.0027344314106420324,0.0915567593028733,0.0,0.008047431641226404,0.45154262835603765,1.1616668885341661e-46,0.45690061234094265,1.3671016860924668e-62,8.128742466467672e-73,9.69968147874188e-44,3.834034810942634e-96,2.064715083085964e-132,1.245359220244159e-13,9.446611345450153e-36,1.4042367286101871e-46,2.2845954518478e-53,9.446611345473224e-36,4.674835797688125e-21,1.1854633290866938e-48,6.745790676152355e-37,2.90795372777729e-35,3.421427102929136e-61,1.3058838594983026e-80,7.106769044557777e-76,4.207301144994916e-97,8.428043781176658e-14,1.9458737816787452e-24
1.5145791440249324e-19,0.0027344314106420324,0.0915567593028733,0.0,0.008047431640933304,0.45154262835597536,9.293445401884815e-46,0.4569006123408584,4.374821675431995e-61,2.602807553984957e-71,1.9399494777604304e-43,9.815344810610338e-94,2.1150978766080995e-129,2.490735331861704e-13,3.7786829768225987e-35,1.123408443490833e-45,3.655418776809727e-52,3.7786829768410563e-35,9.349735002496566e-21,9.48959781804648e-48,2.69832766860883e-36,1.1631932093894171e-34,5.474351295223703e-60,8.357782460279301e-79,5.685505229350485e-75,4.824311236730826e-95,1.6856201875742533e-13,3.891773956222905e-24
3.0291685595167124e-19,0.0027344314106420324,0.0915567593028733,0.0,0.008047431640347102,0.45154262835585085,7.434800438835579e-45,0.4569006123406898,1.3999645150629841e-59,8.3390474705766e-70,3.879912524520552e-43,2.5127171263070805e-91,2.1674041224105226e-126,4.981487554733239e-13,1.5114808783973644e-34,8.987412529145316e-45,5.848722052495866e-51,1.5114808784121306e-34,1.8699533411338758e-20,7.600969168340625e-47,1.0793237166981879e-35,4.652795588107739e-34,8.758940787576592e-59,5.348938357974629e-77,4.548440535791145e-74,1.0447274565546673e-92,3.371251806241107e-13,7.783574305026658e-24
6.058347390500272e-19,0.0027344314106420324,0.0915567593028733,0.0,0.0080474316391747,0.45154262835560177,5.947857997400237e-44,0.4569006123403527,4.4799604880757715e-58,2.6748972228909466e-68,7.7598448098725e-43,6.432343163257571e-89,2.222504110199665e-123,9.962991999022084e-13,6.04593888820515e-34,7.190097997324567e-44,9.357994223009788e-50,6.04593888832328e-34,3.739913022592439e-20,6.0955867997734126e-46,4.3172031251258027e-35,1.8611222364741882e-33,1.4014046225831834e-57,3.42320117591348e-75,3.638769472566557e-73,2.6135220550453907e-90,6.742515042589533e-13,1.5567175001495904e-23
1.2116705052467393e-18,0.0027344314106420324,0.0915567593028733,0.0,0.008047431636829893,0.4515426283551036,4.758293455411524e-43,0.45690061233967844,1.4336244911638086e-56,8.60058253422974e-67,1.5519808449868616e-42,1.6465510492248733e-86,2.2821153508717368e-120,1.992600088178287e-12,2.4183786296044802e-33,5.752321557561826e-43,1.49728133677085e-48,2.4183786296989844e-33,7.479832384270064e-20,4.900146173326659e-45,1.7268012743490573e-34,7.444492557259454e-33,2.2421492371745677e-56,2.1906751435448164e-73,2.911038788618245e-72,6.670608638078081e-88,1.348504151134525e-12,3.113437638988136e-23
