Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60)
0.0,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663802,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.31195941976397e-24,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663797,0.4515426283560999,1.1931462449037041e-60,0.4569006123410269,1.0045437006143001e-85,4.785903275916795e-96,1.111919784105964e-48,1.3004525301326256e-132,2.4181598364516294e-178,2.151658279128732e-18,3.5023947763025037e-45,1.6754434805620705e-60,5.067195691662108e-72,3.502394776302504e-45,7.797453619640645e-26,1.3122313571901015e-62,2.617888054800549e-46,1.15194087379624e-44,6.7031631220133375e-80,-4.4096078853091544e-108,3.882364407405737e-90,-5.596679368138742e-120,1.456147743064358e-18,3.361966061138647e-25,3.992146592255375e-63
3.6734863753391165e-24,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663788,0.4515426283560999,1.4165032219496767e-59,0.4569006123410269,5.788605280259251e-84,2.911498924525586e-94,3.1133753954966993e-48,2.0509358405752716e-130,1.5654643673630326e-175,6.024643181560441e-18,2.1154464448867105e-44,1.9890865002861416e-59,1.5932074794551697e-70,2.1154464448867107e-44,2.18328701349938e-25,1.557881083818327e-61,1.581204384824115e-45,6.957722877709221e-44,2.1075819032474703e-78,2.2851421802348233e-106,5.8670293039217005e-89,5.529877558249831e-119,4.0772136805801964e-18,9.413504971188205e-25,4.739476433338756e-62
8.39654028648941e-24,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663769,0.4515426283560999,1.3907312630597539e-58,0.4569006123410269,2.5977411637028146e-82,1.3143898374909301e-92,7.116286618278171e-48,9.798300527338515e-128,5.117597535564407e-172,1.3770612986423827e-17,1.0184964009487648e-43,1.952896921661121e-58,3.554358249943438e-69,1.0184964009487652e-43,4.9903703165700025e-25,1.5295369425968962e-60,7.612818459228738e-45,3.349844060969364e-43,4.701899298267198e-77,2.3983496775416343e-104,6.311482411917554e-88,3.0499754278866166e-117,9.319345555611849e-18,2.151658279128729e-24,4.653246064873705e-61
1.7842648108789996e-23,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663733,0.4515426283560999,1.2300860526459141e-57,0.4569006123410269,9.79104244507281e-81,4.962886331690266e-91,1.5122109063841113e-47,3.3275730646410666e-125,7.994827641980095e-169,2.9262552596150456e-17,4.448041365904142e-43,1.727315212448006e-57,6.656919634075843e-68,4.4480413659041465e-43,1.060453692271122e-24,1.3528582145859909e-59,3.324717825327728e-44,1.4629649096901186e-42,8.806137011033426e-76,1.91482776047167e-102,5.801339710439542e-87,1.200364861385395e-115,1.980360930567506e-17,4.572273843148536e-24,4.1157434443273623e-60
3.673486375339117e-23,0.002719578564615631,0.0915567593028733,0.0,0.00800371971566366,0.4515426283560999,1.033961445493615e-56,0.4569006123410269,3.394171834575062e-79,1.7218561004295688e-89,3.1133753954966994e-47,9.764486448065893e-123,1.0032110426865988e-165,6.024643181560314e-17,1.8569697103955524e-42,1.4519125164916013e-56,1.1498173208637233e-66,1.8569697103955562e-42,2.1832870134993533e-24,1.1371590349320286e-58,1.388004242813177e-43,6.107590512587707e-42,1.5210411733191458e-74,1.363956669507203e-100,4.9631682615745496e-86,4.2411597825249324e-114,4.07721368058011e-17,9.413504971188105e-24,3.4595303508476258e-59
7.45192950425935e-23,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663514,0.4515426283560998,8.47704062334966e-56,0.45690061234102686,1.1299399336659638e-77,5.734501612067792e-88,6.315704373721875e-47,2.6732921376128767e-120,1.1350383474788246e-162,1.2221419025450628e-16,7.586327181261972e-42,1.1903656049791193e-55,1.910438675497262e-65,7.586327181262007e-42,4.42895365595577e-24,9.32311993960939e-58,5.670450209690611e-43,2.495150010040574e-41,2.52723265130522e-73,9.201753746971116e-99,4.1036434969300515e-85,1.4248523699536213e-112,8.270919180605165e-17,1.9095967227267064e-23,2.8363319873864964e-58
1.5008815762099816e-22,0.002719578564615631,0.0915567593028733,0.0,0.008003719715663223,0.45154262835609976,6.864927278908306e-55,0.45690061234102675,3.68755933737383e-76,1.8718380742212954e-86,1.2720362330172223e-46,7.075339671499806e-118,1.2211408215362264e-159,2.4614970713230347e-16,3.066514741601854e-41,9.639889342521973e-55,3.1144972105896535e-64,3.0665147416018815e-41,8.920286940868417e-24,7.550109319633262e-57,2.2920866238463128e-42,1.00857952797557e-40,4.1200270385413496e-72,6.045176619805439e-97,3.3370147400948094e-84,4.670863750433523e-111,1.665833018065466e-16,3.846089173942428e-23,2.2969351636428735e-57
3.0122588277780754e-22,0.002719578564615631,0.0915567593028733,0.0,0.00800371971566264,0.45154262835609965,5.525490709240459e-54,0.4569006123410266,1.1916336573857297e-74,6.049465212118301e-85,2.5529678243072913e-46,1.841572023247815e-115,1.281571585007485e-156,4.940207408878617e-16,1.2330320905761983e-40,7.75902167524253e-54,5.029921313389931e-63,1.2330320905762202e-40,1.7902953510692962e-23,6.076992996414474e-56,9.216379395408796e-42,4.055453922253106e-40,6.6538545959304915e-71,3.919645483707681e-95,2.691423279510022e-83,1.512737341286712e-109,3.34331521807512e-16,7.719074076373587e-23,1.8487732217955837e-56
6.035013330914263e-22,0.002719578564615631,0.0915567593028733,0.0,0.008003719715661472,0.45154262835609943,4.433858310914856e-53,0.45690061234102625,3.831919276965406e-73,1.945422501645897e-83,5.1148310068874315e-46,4.7535950960331294e-113,1.328523580402816e-153,9.897628083988333e-16,4.945010170291207e-40,6.226126378210146e-53,8.0854516037022e-62,4.945010170291381e-40,3.5868286650339075e-23,4.8764172790058606e-55,3.696180262417309e-41,1.6264184067937437e-39,1.069587668383833e-69,2.524935854280121e-93,2.161897543918934e-82,4.8698574594550555e-108,6.698279618093446e-16,1.5465043881234776e-22,1.483524035894401e-55
1.2080522337186636e-21,0.002719578564615631,0.0915567593028733,0.0,0.008003719715659139,0.45154262835609893,3.5524821833829066e-52,0.4569006123410256,1.2292135096860198e-71,6.240771914504136e-82,1.0238557372047788e-45,1.2219602771159597e-110,1.368769388974076e-150,1.9812469434201973e-15,1.9805833717248828e-39,4.9884778453370216e-52,1.296686353135432e-60,1.980583371725021e-39,7.179895292961938e-23,3.907088921537067e-54,1.4803999520351843e-40,6.514156975415289e-39,1.7153274032863778e-68,1.6212155744729766e-91,1.7330284705928e-81,1.5630298363627822e-106,1.3408208418126174e-15,3.0956983490952617e-22,1.1886244511187012e-54
2.4171540349731382e-21,0.002719578564615631,0.0915567593028733,0.0,0.008003719715654473,0.45154262835609793,2.84414580795682e-51,0.45690061234102425,3.9382892628258444e-70,1.9995337205180916e-80,2.048601010236984e-45,3.1346858375649925e-108,1.405924407661671e-147,3.964215213460609e-15,7.927495036123975e-39,3.9938158177875575e-51,2.0771126030927276e-59,7.927495036125084e-39,1.4366028548813233e-22,3.1280804665670177e-53,5.925457278835583e-40,2.6073604243660896e-38,2.7477175471515342e-67,1.0392632738275483e-89,1.387828324255227e-80,5.009286551809053e-105,2.6828066018175944e-15,6.194086271037017e-22,9.516221853059605e-54
4.835357637482088e-21,0.002719578564615631,0.0915567593028733,0.0,0.008003719715645138,0.45154262835609593,2.2761810403362643e-50,0.4569006123410216,1.2610221771293118e-68,6.40259128050121e-79,4.0980915563036076e-45,8.0330829997007695e-106,1.441888142238221e-144,7.930151753532166e-15,3.172030618492468e-38,3.19626699007654e-50,3.3253129739794126e-58,3.172030618493355e-38,2.8738295060496756e-22,2.5034689245044176e-52,2.370954287601789e-39,1.0432837908867247e-37,4.3989041049398693e-66,6.656681620846293e-88,1.1108251530971685e-79,1.6044372538495783e-103,5.366778121821268e-15,1.239086211491327e-21,7.615867893610666e-53
9.671764842499988e-21,0.002719578564615631,0.0915567593028733,0.0,0.00800371971562647,0.451542628356092,1.8212906637481978e-49,0.4569006123410162,4.036503382598733e-67,2.0495478954686024e-77,8.197072648472507e-45,2.0575297094141872e-103,1.4776590878350013e-141,1.5862024833638206e-14,1.2690187976231408e-37,2.5575000708313405e-49,5.322047487937687e-57,1.2690187976238511e-37,5.748282808378751e-22,2.0032417024400847e-51,9.485357418654461e-39,4.173814482888597e-37,7.040290119423612e-65,4.262001951795515e-86,8.888851746162207e-79,5.142946560489613e-102,1.0734721161803502e-14,2.4784413802636767e-21,6.093848610279083e-52
1.9344579252535785e-20,0.002719578564615631,0.0915567593028733,0.0,0.008003719715589136,0.45154262835608405,1.4571708783640512e-48,0.4569006123410055,1.291878682293659e-65,6.560120074596181e-76,1.6395034833381858e-44,5.2686287845292704e-101,1.513775435419461e-138,3.172577099370201e-14,5.076488320344683e-37,2.0461956939944406e-48,8.516513489305166e-56,5.0764883203503645e-37,1.1497189413006392e-21,1.602883461046647e-50,3.7944488800718693e-38,1.6696616509385532e-36,1.1266093085105074e-63,2.7282309657809717e-84,7.111981710854356e-78,1.6635340942080118e-100,2.1470607241667513e-14,4.95715171779677e-21,4.8755372697268963e-51
3.869020807260738e-20,0.002719578564615631,0.0915567593028733,0.0,0.008003719715514465,0.4515426283560682,1.1657920445853189e-47,0.456900612340984,4.1343303892167185e-64,2.099755832899384e-74,3.2790959212349927e-44,1.348939533195108e-98,1.5505537513054906e-135,6.345326331323648e-14,2.0306779570340648e-36,1.6370364543876535e-47,1.3627411422078276e-54,2.03067795703861e-36,2.2995002622139626e-21,1.282588344051975e-49,1.517839006330378e-37,6.67891820290451e-36,1.8027032269677437e-62,1.746240359850492e-82,5.6899455100263755e-77,5.771440977264104e-99,4.29423794009937e-14,9.914572392816532e-21,3.9006077605284074e-50
7.738146571275057e-20,0.002719578564615631,0.0915567593028733,0.0,0.008003719715365122,0.4515426283560364,9.326557730044596e-47,0.45690061234094104,1.3230382510503055e-62,6.721753441643669e-73,6.558280811669645e-44,3.4534901662183443e-96,1.5882288059843817e-132,1.2690824794993298e-13,8.122877088740709e-36,1.3096637481925796e-46,2.180464938302441e-53,8.122877088777071e-36,4.599062903991791e-21,1.0264481576870347e-48,6.071461092837241e-37,2.671621501085718e-35,2.8844214696792537e-61,1.1176447088411218e-80,4.5521004657943634e-76,2.9929562721426346e-97,8.588592371803877e-14,1.9829413742670355e-20,3.1205487199631067e-49
1.5476398099303694e-19,0.002719578564615631,0.0915567593028733,0.0,0.008003719715066438,0.451542628355973,7.461334734361603e-46,0.45690061234085516,4.233816350194937e-61,2.1524590888106817e-71,1.3116650826805337e-43,8.841128686754427e-94,1.6270589197604884e-129,2.53818217213836e-13,3.2491838878074166e-35,1.0477490312731707e-45,3.488806936449253e-52,3.249183887836508e-35,9.198188187352168e-21,8.217332819536302e-48,2.4285943763386798e-36,1.0686593638168253e-34,4.6151310324179006e-60,7.153033423923737e-79,3.6417380349296645e-75,3.891609544780911e-95,1.7177301234569965e-13,3.965909644163521e-20,2.4964501118181316e-48
