Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43)
0.0,0.00264225016925734,0.0,0.0,0.0071869204603799645,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.232438039247542e-25,0.00264225016925734,0.0,0.0,0.00718692046037996,0.8,0.1,0.1,-1.7314282558599923e-77,3.418721964623852e-54,4.2378486744364816e-50,-1.7274974484103354e-123,3.560708826909985e-166,1.754030166428219e-18,1.6723981185742868e-53,8.84773982431234e-52,1.027323745720395e-80,5.370485555389258e-19,2.5502830565234434e-21,6.521848122570501e-61,1.755619741930095e-47,3.9315061771703057e-51,2.1110901636220652e-72,9.678379469028262e-96,1.7394948772308532e-93,-3.078329874050961e-126,1.9065545287263254e-18,8.829024456503636e-23,2.931096694877197e-47,2.1136756834373505e-68
1.1850826509893117e-24,0.00264225016925734,0.0,0.0,0.007186920460379952,0.8,0.1,0.1,1.7107619466121558e-76,9.572421500946784e-54,1.1865976288422149e-49,1.7068780563105846e-122,6.536951179861922e-165,4.9112844659990065e-18,1.0101284727804334e-52,1.3370704863187412e-50,6.719510388809016e-80,1.5037359555088428e-18,7.140792558138427e-21,9.855817668571495e-60,1.060394324121903e-46,2.374629731008606e-50,1.275098458827726e-71,1.4625967535271449e-94,2.6287247449913336e-92,3.0415869597596304e-125,5.3383526804337075e-18,2.472126847819492e-22,1.7703824037120108e-46,1.2766601127969263e-67
2.708760345118427e-24,0.00264225016925734,0.0,0.0,0.007186920460379938,0.8,0.1,0.1,9.435619236894962e-75,2.187982057359265e-53,2.7122231516393478e-49,9.414197842142782e-121,1.893083433259126e-162,1.1225793065140554e-17,4.8633339705607196e-52,1.438359418040343e-49,1.1697611919931555e-78,3.437110755448078e-18,1.632181156085954e-20,1.0602438949720461e-58,5.105342209474594e-46,1.1432819963177356e-49,6.139050195812948e-71,1.573394848706902e-93,2.8278621310299246e-91,1.6775715926157803e-123,1.2201948983848452e-17,5.650575652151643e-22,8.523629188793882e-46,6.146568887458236e-67
5.756115733376657e-24,0.00264225016925734,0.0,0.0,0.007186920460379907,0.8,0.1,0.1,3.7135334504802536e-73,4.649461871888437e-53,5.763474197233615e-49,3.70510273134469e-119,3.5496952013902466e-160,2.3854810263423544e-17,2.1239460759956086e-51,1.3221001126124414e-48,2.0347663247350954e-77,7.303860355324155e-18,3.468384956426635e-20,9.745468036229756e-58,2.22963707219116e-45,4.993012844971267e-49,2.681084507800005e-70,1.446220938376814e-92,2.599292496578492e-90,6.602341690762954e-122,2.5929141590677856e-17,1.2007473260791527e-21,3.7224928025872456e-45,2.6843681180113385e-66
1.1850826509893118e-23,0.00264225016925734,0.0,0.0,0.0071869204603798465,0.8,0.09999999999999999,0.1,1.3120751214046002e-71,9.572421500946783e-53,1.1865976288422149e-48,1.3090963589639336e-117,5.436564896645245e-158,4.9112844659989096e-17,8.867062894161506e-51,1.1310844807915363e-47,3.395630881568923e-76,1.503735955506673e-17,7.140792556293829e-20,8.337453081780161e-57,9.308295871172809e-45,2.084484575104176e-48,1.1193000047524035e-69,1.2372724611167015e-91,2.2237494552385303e-89,2.3327562269445466e-120,5.338352680433634e-17,2.472126847797361e-21,1.554067467707421e-44,1.1206708474407814e-65
2.4040248062926037e-23,0.00264225016925734,0.0,0.0,0.007186920460379726,0.7999999999999999,0.09999999999999998,0.1,4.408023840559717e-70,1.941834075906347e-52,2.4070980470799213e-48,4.3980164493459346e-116,7.591544001915303e-156,9.962891345311851e-17,3.6224946244459836e-50,9.352025208196778e-47,5.548337989866393e-75,3.050435795451357e-17,1.448560775277155e-19,6.893567438190168e-56,3.802742585352591e-44,8.515799639731099e-48,4.572705738011808e-69,1.0230007975667082e-90,1.8386390524597896e-88,7.837085626405717e-119,1.0829229723165198e-16,5.014885891194706e-21,6.348872685677577e-44,4.578306078743683e-65
4.841909116899188e-23,0.00264225016925734,0.0,0.0,0.007186920460379484,0.7999999999999998,0.09999999999999995,0.1,1.4450113610566757e-68,3.911017927529684e-52,4.8480988835553333e-48,1.4417308028027577e-114,1.014278460053743e-153,2.0066105103937056e-16,1.4642866647621002e-49,7.60491156967365e-46,8.97754012072113e-74,6.143835475325398e-17,2.9175238132700304e-19,5.605734555097543e-55,1.5371293534309378e-43,3.4422223701895835e-47,1.8483607705788657e-68,8.31887259354939e-90,1.4951507417356084e-87,2.5691053869232985e-117,2.1810983808627796e-16,1.0100403977833108e-20,2.566315849586301e-43,1.8506245195687086e-64
9.717677738112356e-23,0.00264225016925734,0.0,0.0,0.007186920460379,0.7999999999999995,0.0999999999999999,0.1,4.6799107496081324e-67,7.849385630776354e-52,9.730100556506156e-48,4.6692861355807455e-113,1.3261935647638218e-151,4.027253262118473e-16,5.8880969755027866e-49,6.133636663377602e-45,1.4469350204770366e-72,1.2330634835012181e-16,5.85544988404511e-19,4.5212280002774215e-54,6.180729523200954e-43,1.3841024755194558e-46,7.432177364637165e-68,6.70947212405024e-89,1.2058932381513878e-86,8.320477124222223e-116,4.3774491979550876e-16,2.0271440150484755e-20,1.0319043162884698e-42,7.441279827644963e-64
1.9469214980538693e-22,0.00264225016925734,0.0,0.0,0.007186920460378032,0.7999999999999988,0.09999999999999977,0.1,1.5065728920038682e-65,1.5726121037269676e-51,1.9494103902407794e-47,1.5031525940747694e-111,1.7156145538394787e-149,8.068538765566913e-16,2.3618153593641854e-48,4.926870490287364e-44,2.331556710211506e-71,2.470423355414054e-16,1.173130200475258e-18,3.6316962046792385e-53,2.4787489774529167e-42,5.5508699810754005e-46,2.980635535476319e-67,5.389412895614064e-88,9.686390271846961e-86,2.6785565095078716e-114,8.770150832138857e-16,4.061351249328744e-20,4.138397840703281e-42,2.984286075109593e-63
