Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24)
0.0,0.00264225016925734,0.0,0.0,0.0071869204603799645,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.524666586746737e-25,0.00264225016925734,0.0,0.0,0.00718692046037996,0.8,0.1,0.1,-3.51832010172989e-77,3.6547675120746156e-54,4.530450799067261e-50,-3.176728149096528e-125,1.6211339827139284e-154,1.875137122525848e-18,1.9113121361874806e-53,1.0809864542455577e-51,1.5098454789921075e-80,5.741290556824246e-19,2.7263672676557783e-21,4.0077201441181704e-50,2.006422562205295e-47,4.493149916765759e-51,2.412674663357483e-72,1.1824711519435127e-95,2.1252550779379086e-93,-3.2951465715756416e-123,2.038192524484619e-18,9.43862416448097e-23,1.1824711519293683e-95,3.3498247941459036e-47,-8.682615695541515e-155,2.4156293524993754e-68,4.66393685771258e-117,-2.086512029725481e-146
1.2669066442890864e-24,0.00264225016925734,0.0,0.0,0.007186920460379952,0.8,0.1,0.1,3.476325521423804e-76,1.0233349033808924e-53,1.2685262237388333e-49,3.1388107766988124e-124,2.6517600899905085e-153,5.2503839430723685e-18,1.1544325422246295e-52,1.6335868253537675e-50,1.4059880460000464e-79,1.6075613559106178e-18,7.633828349290792e-21,6.056466512076885e-49,1.211879227567266e-46,2.7138625497237577e-50,1.4572559809413455e-71,1.7869505099346564e-94,3.2116856626403166e-92,3.255815783073238e-122,5.706939068556929e-18,2.6428147660529277e-22,1.7869505098896434e-94,2.023294175671682e-46,2.590142546483111e-153,1.4590401289093956e-67,1.315304891494095e-115,4.028043246687888e-145
2.895786615517912e-24,0.00264225016925734,0.0,0.0,0.007186920460379936,0.8,0.1,0.1,1.9173494031683904e-74,2.3390512077277544e-53,2.8994885114030475e-49,1.7311948888607223e-122,7.945487688398399e-151,1.200087758416538e-17,5.55809600780298e-52,1.75733816827681e-49,2.706550882740184e-78,3.6744259563663206e-18,1.7448750511979272e-20,6.515270289582939e-48,5.8346768108219955e-46,1.306607995791342e-49,7.016070739466535e-71,1.9223198226913316e-93,3.4549848912714894e-91,1.7957283951472178e-120,1.3044432156701524e-17,6.040719465255611e-22,1.922319822590647e-93,9.741290501487471e-46,3.3415121374466845e-151,7.024650157064775e-67,2.8610754536123896e-114,4.25318826773718e-143
6.153546557975563e-24,0.00264225016925734,0.0,0.0,0.007186920460379904,0.8,0.1,0.1,7.546024237651112e-73,4.970483816421477e-53,6.161413086731476e-49,6.813384443208178e-121,1.5096582498265149e-148,2.5501864866351283e-17,2.427367020855306e-51,1.6152965394782918e-48,4.8652525679651575e-77,7.808155157274988e-18,3.7078594835030045e-20,5.988655877363568e-47,2.5481566539273484e-45,5.706300394249725e-49,3.06412162617677e-70,1.7669431043010135e-92,3.175726357546473e-90,7.067366007856618e-119,2.7719418332990617e-17,1.283652886363307e-21,1.766943104112245e-92,4.254277488679176e-45,2.8679598920762637e-149,3.067849277670683e-66,5.303951710423278e-113,3.3617908586938764e-141
1.2669066442890865e-23,0.00264225016925734,0.0,0.0,0.007186920460379839,0.8,0.09999999999999999,0.1,2.6661805527340163e-71,1.0233349033808923e-52,1.2685262237388333e-48,2.4073223912555316e-119,2.324023853440666e-146,5.25038394307226e-17,1.0133787485972545e-50,1.381920196676241e-47,8.248272832520751e-76,1.6075613559081377e-17,7.63382834718268e-20,5.123421185861364e-46,1.0638052424152061e-44,2.3822680858306952e-48,1.2792432659364546e-69,1.5116570264960282e-91,2.716900759326284e-89,2.4970598058496186e-117,5.706939068556844e-17,2.6428147660276353e-21,1.5116570261698066e-91,1.776077105958215e-44,2.1080439253260871e-147,1.2807666826919972e-65,9.116137826269156e-112,2.3827183053487152e-139
2.570010621272147e-23,0.00264225016925734,0.0,0.0,0.0071869204603797095,0.7999999999999999,0.09999999999999998,0.1,8.957251949370477e-70,2.0759079468583815e-52,2.5732960538702044e-48,8.087596763446974e-118,3.2526318307072707e-144,1.0650778855946327e-16,4.1399960464766832e-50,1.1425983411181749e-46,1.3582720486294937e-74,3.261053036265037e-17,1.5485766070820121e-19,4.2361437137057276e-45,4.3459915260799957e-44,9.732342445385249e-48,5.226668196478153e-69,1.249867262366712e-90,2.2463860872243056e-88,8.389076955470569e-116,1.1576933539072254e-16,5.361138525311639e-21,1.249867261824497e-90,7.255854497974087e-44,1.4431652003654353e-145,5.2323498026608986e-65,1.5109329904447836e-110,1.603460188692329e-137
5.176218575238268e-23,0.00264225016925734,0.0,0.0,0.007186920460379451,0.7999999999999997,0.09999999999999995,0.1,2.936311439571952e-68,4.181054033813358e-52,5.1828357141329466e-48,2.651226412894079e-116,4.350395743831487e-142,2.1451568681693685e-16,1.6734740399254896e-49,9.291419932285807e-46,2.205582823451783e-73,6.568036396961322e-17,3.118964150320738e-19,3.4447617158787686e-44,1.756719261033762e-43,3.933968423056219e-47,2.113584110678049e-68,1.016371300932452e-89,1.826723858598669e-87,2.7500558001513502e-114,2.331692248010247e-16,1.079778604370103e-20,1.0163713000480092e-89,2.932932399573436e-43,9.548422537682338e-144,2.114999448300046e-64,2.4601626921702333e-109,1.0520888797550262e-135
1.0388634483170509e-22,0.00264225016925734,0.0,0.0,0.007186920460378934,0.7999999999999994,0.09999999999999988,0.1,9.509735242833281e-67,8.391346207723308e-52,1.0401915034658427e-47,8.586439790765247e-115,5.691219997483494e-140,4.3053148333185274e-16,6.7293112411923935e-49,7.493866748314574e-45,3.5584812348727894e-72,1.318200311828383e-16,6.259739230843133e-19,2.7783251189009103e-43,7.063690883415424e-43,1.5818314005795051e-46,8.512841807034706e-68,8.197402755018846e-89,1.4733189687745166e-86,8.906515264535688e-113,4.67969003621605e-16,2.1671081079765342e-20,8.197402740709161e-89,1.1793192186526838e-42,6.212729561965805e-142,8.504319760469201e-64,3.970712507170985e-108,6.817379373416842e-134
2.0813466299034994e-22,0.00264225016925734,0.0,0.0,0.007186920460377899,0.7999999999999987,0.09999999999999974,0.1,3.061406527985332e-65,1.6811930555543181e-51,2.0840073675709376e-47,2.764176122946997e-113,7.36427594851029e-138,8.625630763615597e-16,2.6993100434997846e-48,6.019481254991468e-44,5.7284974370566395e-71,2.64099365606486e-16,1.2541289368067713e-18,2.2317018272730528e-42,2.8328559740370687e-42,6.3438514068297064e-46,3.436862330065938e-67,6.58459969843884e-88,1.1834499169542092e-85,2.8672159082642037e-111,9.375685612626685e-16,4.341767114903612e-20,6.584599675274591e-88,4.7295975325318546e-42,4.0090041253878886e-140,3.4106125888738113e-63,6.38082841335953e-107,4.390201481866777e-132
