Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23)
0.0,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277228,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4563579284123302e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277221,0.4515426283560999,8.776767382217621e-86,0.4569006123410269,3.7350660820015786e-85,2.6169988288565423e-95,6.307723985354239e-48,8.956478872287289e-132,4.737516859643302e-177,2.414520382563682e-18,9.294339534579718e-45,3.9000071517899734e-60,1.3014143536891883e-71,9.294339534579723e-45,1.0055793045919675e-25,4.096415075407931e-62,5.799767138001779e-46,2.3530271353495025e-44,2.80977076192432e-79,-2.5449063099277684e-107,3.985457211542375e-89,-8.738560738729988e-119,1.6340412600632295e-18,3.7726880977557563e-29,1.65194191863194e-62,1.631951797959049e-79,1.102956765198894e-65,-1.974417101310427e-111,8.908076296205272e-105,-1.7974845926283896e-123,7.593169820849118e-150,1.9976431450525375e-51
4.077802199554524e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277213,0.4515426283560999,5.301167498859444e-85,0.4569006123410269,1.7501978300454066e-83,1.5920480594211746e-93,1.7661627158991868e-47,1.4125208126485925e-129,3.2047622540206735e-174,6.760657071178302e-18,5.613781078886146e-44,4.630088489440975e-59,4.091854845028894e-70,5.61378107888615e-44,2.815622052857506e-25,4.863263861601427e-61,3.503059350676472e-45,1.4212283897465915e-43,8.834368835028848e-78,1.3188184969694212e-105,6.0228229753312e-88,8.634257334391438e-118,4.5753155281770376e-18,1.0563526673716112e-28,1.961185445340244e-61,3.6506108110767004e-78,6.6618588618013095e-65,1.0231802344775006e-109,1.0132293757429087e-102,1.6587079675630882e-121,2.126489233257333e-147,1.2065760887874898e-50
9.320690741838913e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277192,0.4515426283560999,2.5522839547488847e-84,0.4569006123410269,7.665470077524078e-82,7.187265861867196e-92,4.0369433506267127e-47,6.7482868667295635e-127,1.0291676407456464e-170,1.54529304484075e-17,2.702793936655772e-43,4.545848334358739e-58,9.128703058931596e-69,2.702793936655777e-43,6.435707549388573e-25,4.7747812366348454e-60,1.6865722827160103e-44,6.842602909528725e-43,1.970899088504164e-76,1.3841536597794613e-103,6.4790781223025e-87,4.762180072154661e-116,1.0457864064404624e-17,2.414520382563679e-28,1.9255034989326415e-60,7.212991687305817e-77,3.207398273198364e-64,1.0738692729637053e-107,9.172726910004215e-101,3.5360807141881634e-119,2.067096891824319e-144,5.809143670043065e-50
1.980646782640769e-23,0.0027792097116130575,0.0915567593028733,0.0,0.00817921418127715,0.4515426283560999,1.1146494575416378e-83,0.4569006123410269,2.881370385482897e-80,2.7137748163458193e-90,8.578504620081765e-47,2.2917665710942507e-124,1.603133882190108e-167,3.2837477202865715e-17,1.1803811208916133e-42,4.0207513713383176e-57,1.709705053537864e-67,1.1803811208916171e-42,1.3675878542450667e-24,4.2232399021954745e-59,7.365704254774879e-44,2.988344461823982e-42,3.6912758662017865e-75,1.1050998427629306e-101,5.9553890414691206e-86,1.8742294016350623e-114,2.2222961136859674e-17,5.1308558129478e-28,1.703086037440813e-59,1.2835133229277273e-75,1.4007550918025748e-63,8.573706799996469e-106,6.952110662380172e-99,5.655245325923729e-117,1.40563051740176e-141,2.537005496331851e-49
4.0778021995545244e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277069,0.4515426283560999,4.6534420660517835e-83,0.4569006123410269,9.985050080390741e-79,9.415345470172854e-89,1.766162715899187e-46,6.724998423783771e-122,2.008679323562771e-164,6.760657071178145e-17,4.927858821234065e-42,3.379683795862701e-56,2.953090306284291e-66,4.9278588212340974e-42,2.815622052857469e-24,3.5498875910349636e-58,3.075036527129898e-43,1.2475749870994076e-41,6.375761093231288e-74,7.871769625397693e-100,5.0949607074707665e-85,6.622075184558387e-113,4.5753155281769316e-17,1.056352667371599e-27,1.4315464301874495e-58,2.1648328119336205e-74,5.847876769084351e-63,6.107162650501668e-104,4.834066691027111e-97,8.062785834414357e-115,8.253821471297262e-139,1.0591498207292571e-48
8.272113033382036e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276906,0.4515426283560998,1.9010829220578654e-82,0.45690061234102686,3.323870702078303e-77,3.1357031338421603e-87,3.582787223681207e-46,1.8411501198950753e-119,2.2709631987324983e-161,1.3714475772961015e-16,2.013191120548018e-41,2.7708689675596644e-55,4.906603710835471e-65,2.0131911205480454e-41,5.711690450082206e-24,2.9104123090600787e-57,1.2562527531683503e-42,5.096750895719891e-41,1.0593422380229864e-72,5.310585533670611e-98,4.212612039800684e-84,2.2247404016826705e-111,9.28135435715867e-17,2.1428868395252143e-27,1.1736682490823337e-57,3.555744380107474e-73,2.389048471691254e-62,4.1201167282399446e-102,3.223371571088238e-95,1.0883227323646508e-112,4.520655072567492e-136,4.326972543843583e-48
1.6660734701037058e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276578,0.45154262835609976,7.68448112796587e-82,0.45690061234102675,1.0847253908254371e-75,1.0235457220795068e-85,7.216036239245245e-46,4.872928879073607e-117,2.4423445877631897e-158,2.762211317652563e-16,8.137640390821476e-41,2.2439215293152017e-54,7.99900241065962e-64,8.137640390821698e-41,1.1503827244531421e-23,2.3569273291946893e-56,5.077974452407572e-42,2.0601882018629217e-40,1.726995201149761e-71,3.4888379244759357e-96,3.425626149447025e-83,7.293007677893527e-110,1.8693432015121389e-16,4.315955183832359e-27,9.504669697727978e-57,5.764014835568324e-72,9.656915898562306e-62,2.706748528090638e-100,2.105476673176996e-93,1.4302566074721447e-110,2.3932759215947974e-133,1.7490314713760388e-47
3.34379780363471e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181275924,0.4515426283560996,3.0898960639792393e-81,0.4569006123410266,3.5052602784799064e-74,3.307922866376649e-84,1.4482534270373317e-45,1.2683277237997283e-114,2.5627423473760303e-155,5.54373879836504e-16,3.272109410506336e-40,1.806103263182227e-53,1.2918410256931935e-62,3.2721094105065132e-40,2.3088100833428794e-23,1.8970601385682083e-55,2.0418311666831937e-41,8.283926147530146e-40,2.7891018273537443e-70,2.2621353554606161e-94,2.762891591312318e-82,2.3619624641528873e-108,3.7517587331043795e-16,8.662091872446296e-27,7.6501849357368895e-56,9.282768105839976e-71,3.8830034101522546e-61,1.755034698116238e-98,1.3612820819120106e-91,1.854923870554266e-108,1.2459329332856683e-130,7.032778594834205e-47
6.699246470696718e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181274614,0.4515426283560993,1.2391865206348745e-80,0.4569006123410262,1.1271774854670886e-72,1.0637783940440166e-82,2.9015530332629445e-45,3.2738966088736982e-112,2.656387075519402e-152,1.1106793759788214e-15,1.3122622222831123e-39,1.4492841237051072e-52,2.0765967182658754e-61,1.3122622222832549e-39,4.625664801121933e-23,1.5222712508295516e-54,8.188655994051976e-41,3.322224891375012e-39,4.483399614358544e-69,1.4572100069280703e-92,2.2193047785576984e-81,7.603711903929701e-107,7.516589796287656e-16,1.735436524967278e-26,6.13879141919062e-55,1.4900898345777619e-69,1.5572580390428736e-60,1.1305486989399942e-96,8.756566728217758e-90,2.389912010944269e-106,6.432405774257594e-128,2.8204587599646113e-46
