Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405)
0.0,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542772,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4950054456678642e-24,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542765,0.4515426283560999,3.575907371799197e-87,0.4569006123410269,1.8178551481414675e-85,8.373237546035868e-96,1.1128937120883791e-48,3.388658971333577e-132,8.020946246405445e-178,2.4497707165743775e-18,4.278801401195602e-45,2.376571311568245e-60,8.194258711937159e-72,4.278801401195604e-45,8.780126444398666e-26,1.8183497205533904e-62,3.244397625571446e-46,1.4368706933102536e-44,1.0425287898642295e-79,-8.827065861400075e-108,4.8938261919074855e-90,-9.008411477079433e-120,1.6578971366258993e-18,3.8277667446474707e-29,5.409446735831907e-63,5.252092981992841e-80,1.974395076803615e-66,-4.984103390979078e-112,3.0919507251371704e-105,-4.94720263337939e-124,3.1925814790211543e-150,5.7071049341195955e-52,1.7201370198808926e-133
4.18601524787002e-24,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542757,0.4515426283560999,2.1598480525667146e-86,0.4569006123410269,1.0623839046568922e-83,5.093848458493325e-94,3.116102393847462e-48,5.344233052107848e-130,5.430393178491674e-175,6.8593580064082495e-18,2.584396046322141e-44,2.8214654609099546e-59,2.576405739748677e-70,2.5843960463221434e-44,2.458435404431624e-25,2.1587447703119727e-61,1.9596161654561664e-45,8.678698987565393e-44,3.277876994263231e-78,4.574351879695456e-106,7.395549787529193e-89,8.900886800243894e-119,4.642111982552511e-18,1.0717746885012908e-28,6.422095163257568e-62,1.17487218245639e-78,1.1925346263893811e-65,2.5828563120667634e-110,3.516870453003289e-103,4.565248520337068e-122,8.985925563768426e-148,3.447091042923225e-51,2.7128174282446913e-131
9.56803485227433e-24,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542736,0.4515426283560999,1.0398738637192062e-85,0.4569006123410269,4.774621434055374e-82,2.2996066705897205e-92,7.122519757365626e-48,2.5531954868970817e-127,1.743321253741555e-171,1.5678532586075947e-17,1.244275447467676e-43,2.7701315204745442e-58,5.747819455939362e-69,1.2442754474676787e-43,5.6192809244151295e-25,2.1194684067556341e-60,9.434708289326942e-45,4.178419976103402e-43,7.312763232708797e-77,4.8009683656711686e-104,7.955794958727263e-88,4.909238177982585e-117,1.0610541674405704e-17,2.449770716574375e-28,6.305251110567238e-61,2.3213494386916664e-77,5.741540883344875e-65,2.7108127595690313e-108,3.1838094374459476e-101,9.732326332626984e-120,8.684638787398326e-145,1.659625878742467e-50,1.2960425091970582e-128
2.0332074061082954e-23,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542694,0.4515426283560999,4.541402362184978e-85,0.4569006123410269,1.7998742775236723e-80,8.682877209685081e-91,1.5135354484401954e-47,8.670834807983225e-125,2.715422243541655e-168,3.3316881745411156e-17,5.43407777951836e-43,2.4501499590472357e-57,1.0765029715535087e-67,5.434077779518384e-43,1.1940971964382105e-24,1.8746457981653307e-59,4.1203849784464155e-44,1.8248257804597776e-42,1.369599620258346e-75,3.833063871260311e-102,7.312746227780169e-87,1.9321063862847283e-115,2.254740105811196e-17,5.205762772720529e-28,5.576923196864554e-60,4.130717285325322e-76,2.5074817475405523e-64,2.1642963802242576e-106,2.413044217634678e-99,1.5564885942027948e-117,5.904305812905271e-142,7.248022085834288e-50,4.401453221698045e-126
4.1860152478700197e-23,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542611,0.4515426283560999,1.8959460885279335e-84,0.4569006123410269,6.239597704112722e-79,3.012493456451758e-89,3.116102393847461e-47,2.5443843696701536e-122,3.402248717798287e-165,6.859358006408085e-17,2.2686205029138586e-42,2.0594986731190077e-56,1.8593911759094323e-66,2.2686205029138793e-42,2.4584354044315906e-24,1.5757527451375787e-58,1.7201796156515905e-43,7.618288415532756e-42,2.3656427447356104e-74,2.7303411502212763e-100,6.256208357428354e-86,6.82656762499505e-114,4.6421119825523985e-17,1.0717746885012781e-27,4.687739972146929e-59,6.967058443858525e-75,1.046824269721242e-63,1.5416564069390852e-104,1.6778813323111005e-97,2.2191140201963336e-115,3.466685766310987e-139,3.02590651327838e-49,1.2915698464148054e-123
8.491630931393469e-23,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542445,0.4515426283560998,7.745558403611929e-84,0.45690061234102686,2.0772080004236457e-77,1.0032860940312586e-87,6.321236284661991e-47,6.965940054393583e-120,3.8464449652488614e-162,1.3914697670141728e-16,9.268054987045297e-42,1.6885014417968494e-55,3.0894062481517168e-65,9.268054987045465e-42,4.987111820418291e-24,1.2918972986995265e-57,7.0274949869493286e-43,3.112319396200586e-41,3.930550788687973e-73,1.8419886389537047e-98,5.172754053090512e-85,2.293441313547792e-112,9.416855736034603e-17,2.174171510959705e-27,3.843292434663352e-58,1.1443414380356644e-73,4.2766187121594075e-63,1.0400581603309524e-102,1.1188167928136908e-95,2.995381849607395e-113,1.898635289658272e-136,1.2361815375774417e-48,3.536021614350066e-121
1.7102862298440366e-22,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131542113,0.45154262835609976,3.1308785475640416e-83,0.45690061234102675,6.778978141346502e-76,3.274892890286515e-86,1.273150406629105e-46,1.843659032107902e-117,4.1366937733590974e-159,2.8025376997607836e-16,3.7462960092136583e-41,1.3673922447774515e-54,5.036511909817535e-64,3.7462960092137944e-41,1.0044464652391451e-23,1.046211920314725e-56,2.840625814481635e-42,1.2580492615090668e-40,6.40778976339922e-72,1.2101113489134107e-96,4.206397689012918e-84,7.518218836324701e-111,1.8966343242998222e-16,4.378965155876467e-27,3.112397832048181e-57,1.8550267744137352e-72,1.728677660705009e-62,6.832757613013523e-101,7.308008424586532e-94,3.9364836893632144e-111,1.0051324428932729e-133,4.996843411318934e-48,9.358705553566579e-119
3.4325325032534163e-22,0.0027149456784039327,0.0915567593028733,0.0,0.007990085131541449,0.4515426283560996,1.2589124938713932e-82,0.4569006123410266,2.1906259456894193e-74,1.0583887795226472e-84,2.555203962954916e-46,4.7986825261049885e-115,4.3406012392335165e-156,5.624673565253535e-16,1.5063691484962335e-40,1.100596238802124e-53,8.133980185797397e-63,1.5063691484963428e-40,2.0159170316336817e-23,8.42082361106889e-56,1.1422031310192606e-41,5.058560748376949e-40,1.0348597448436425e-70,7.846267808296228e-95,3.3926121233563924e-83,2.434900962794829e-109,3.806531825692227e-16,8.788552445709623e-27,2.505128506469439e-56,2.987463402991757e-71,6.950936843688229e-62,4.43030690366383e-99,4.724944735415656e-92,5.105291967558561e-109,5.232633848911137e-131,2.0092087563769711e-47,2.4358873321123227e-116
6.877025050072176e-22,0.0027149456784039327,0.0915567593028733,0.0,0.00799008513154012,0.4515426283560993,5.048802162799051e-82,0.4569006123410262,7.044366339946685e-73,3.403619615752204e-83,5.1193110756065415e-46,1.2386696427075913e-112,4.499202709122879e-153,1.126894529623716e-15,6.041214025537381e-40,8.831591681384093e-53,1.3075135580978754e-61,6.041214025538255e-40,4.0388581644223726e-23,6.757180451810399e-55,4.5807452942396456e-41,2.0287091088485598e-39,1.66350677202431e-69,5.054365984579715e-93,2.7251305555556976e-82,7.838520636818414e-108,7.626326828475764e-16,1.7607727025374463e-26,2.0102077927504024e-55,4.795540290080241e-70,2.7876365625669793e-61,2.853890984439993e-97,3.039362259529325e-90,6.577735514555833e-107,2.70144850008825e-128,8.057825748853161e-47,6.2876834952368266e-114
