Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174)
0.0,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669187,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4890321751278497e-24,0.0028149649241145727,0.0915567593028733,0.0,0.00828444177166918,0.4515426283560999,5.260035762578741e-85,0.4569006123410269,9.678115093585229e-85,5.776797181241064e-95,1.659312567582265e-47,2.0137937077175e-131,1.7629537432681097e-176,2.4845209782245916e-18,1.5155836046629423e-44,5.674259490342723e-60,1.928615125155276e-71,1.5155836046629428e-44,1.1215550210662312e-25,7.0615502153254085e-62,8.516562196499563e-46,3.296502475899842e-44,5.528293185779766e-79,-5.581226053380048e-107,1.3692456595648623e-88,-3.54483474202676e-118,1.6814145861966302e-18,3.8820640284759286e-29,3.353819853325298e-62,3.466847027632629e-79,2.9855599927093548e-65,-5.135078784784744e-111,1.9531066302209007e-104,-4.627701163952987e-123,2.931431185828644e-149,4.207357457991635e-51,1.6143007555063062e-132,4.547474972811434e-97
4.169290090357979e-24,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669171,0.4515426283560999,3.1770616005975604e-84,0.4569006123410269,2.9395595876548248e-83,3.514307751877163e-93,4.646075189230342e-47,3.175941894780991e-129,1.192051015782554e-173,6.95665873902885e-18,9.15412497216416e-44,6.73648086351957e-59,6.063874933769705e-70,9.15412497216417e-44,3.1403540589854454e-25,8.383472074578224e-61,5.144003565670453e-45,1.9910874954370824e-43,1.7381839562849582e-77,2.8922968538340725e-105,2.069204121492047e-87,3.502523654990822e-117,4.707960841350558e-18,1.0869779279732592e-28,3.981654928906007e-61,7.755197826071535e-78,1.8032782355964478e-64,2.6610950064207063e-109,2.2215179373192637e-102,4.2704150019339395e-121,8.253821390759382e-147,2.5412425134813177e-50,2.5459039724602652e-130,1.8302865430233168e-95
9.529805920818238e-24,0.0028149649241145727,0.0915567593028733,0.0,0.00828444177166915,0.4515426283560999,1.5296183997578981e-83,0.4569006123410269,1.1954060368579328e-81,1.5865264737251647e-91,1.0619600432526497e-46,1.517299201532987e-126,3.8287902530589565e-170,1.5900934260637317e-17,4.40731712235982e-43,6.613916856788655e-58,1.3528171431988645e-68,4.407317122359827e-43,7.177952134823863e-25,8.230942416974645e-60,2.476616285219141e-44,9.586229199820401e-43,3.8777927963783835e-76,3.035583205583264e-103,2.225955376299437e-86,1.9317988478379833e-115,1.0761053351658384e-17,2.4845209782245886e-28,3.909212418054423e-60,1.532296369988263e-76,8.682008458798753e-64,2.792927432998985e-107,2.0111317021044001e-100,9.103791889134751e-119,7.973816131575722e-144,1.2234985749820237e-49,1.21629998047224e-127,7.460902616719197e-94
2.0250837581738757e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669109,0.4515426283560999,6.680245418475002e-83,0.4569006123410269,4.455429326792021e-80,5.9904220236906635e-90,2.2566650919118806e-46,5.152856802248655e-124,5.96427719579643e-167,3.378948530385408e-17,1.924791177921919e-42,5.849934558771252e-57,2.5336767902380163e-67,1.924791177921925e-42,1.525314828650065e-24,7.28017527383899e-59,1.0816033973817462e-43,4.1865581442932447e-42,7.262676738803472e-75,2.4235911233724565e-101,2.0460364896259215e-85,7.602892256381912e-114,2.2867238372273915e-17,5.279607078727233e-28,3.457654109723001e-59,2.72663948864751e-75,3.7916611907408255e-63,2.2298562310388256e-105,1.524258840646433e-98,1.45596723297208e-116,5.420965834412044e-141,5.343339102639626e-49,4.1306418810800187e-125,2.7526584688332052e-92
4.1692900903579793e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669024,0.4515426283560999,2.788870961319249e-82,0.4569006123410269,1.5424166028920434e-78,2.0783556690339228e-88,4.646075189230343e-46,1.5120629781165704e-121,7.473173465126069e-164,6.956658739028686e-17,8.035624271922753e-42,4.917222481207431e-56,4.376296574122442e-66,8.0356242719228e-42,3.1403540589854042e-24,6.11942594024083e-58,4.515481262420774e-43,1.7478056126324951e-41,1.2544467945784298e-73,1.726355415808012e-99,1.7504272933845135e-84,2.6862733077618156e-112,4.7079608413504474e-17,1.0869779279732466e-27,2.9063666124143526e-58,4.598876001099484e-74,1.5829439081344493e-62,1.5883555390402605e-103,1.059875084114205e-96,2.0757988915693204e-114,3.1828749999181793e-138,2.2307387679513918e-48,1.2121025101208552e-122,9.498430380470792e-91
8.457702754726186e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668856,0.4515426283560998,1.1393447863176056e-81,0.45690061234102686,5.133781354231171e-77,6.921792086951317e-87,9.424895383867263e-46,4.139681167034488e-119,8.449047318137829e-161,1.411207915631495e-16,3.282814711043975e-41,4.03143607582891e-55,7.271282210571171e-65,3.282814711044014e-41,6.370432519656007e-24,5.017075077502881e-57,1.8447214260189985e-42,7.140356222139463e-41,2.0842821042464182e-72,1.1646629067860156e-97,1.4472871361128582e-83,9.024755217116461e-111,9.550434849596361e-17,2.20501236817427e-27,2.382814934133775e-57,7.553667602657232e-73,6.466842366607737e-62,1.0715631137402337e-101,7.067281916722694e-95,2.8019336827252657e-112,1.7431922511460358e-135,9.11329549194973e-48,3.3184582959693076e-120,3.159214136175714e-89
1.70345280834626e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668519,0.45154262835609976,4.60541379185429e-81,0.45690061234102675,1.6753410072812645e-75,2.2593882049920433e-85,1.8982535773141104e-45,1.0956397131750418e-116,9.086699566350977e-158,2.842291999088632e-16,1.3269661938953092e-40,3.264761455858513e-54,1.1854025178841946e-63,1.3269661938953415e-40,1.2830589440996917e-23,4.0629574435886193e-56,7.456658899380267e-42,2.886246149145118e-40,3.397905853439608e-71,7.651359891261207e-96,1.1769098631402826e-82,2.9584399587674007e-109,1.92353828660874e-16,4.441081248576226e-27,1.9296652961167292e-56,1.224482061762778e-71,2.6140010804963324e-61,7.03973229821923e-100,4.6162835652839615e-93,3.6822571476437016e-110,9.228398533988248e-133,3.6837396974439123e-47,8.782885804520804e-118,1.0308867001293572e-87
3.418817874093543e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771667846,0.4515426283560996,1.8518166303588948e-80,0.4569006123410266,5.4137864232967395e-74,7.301952166961111e-84,3.8097816551688763e-45,2.851735077118304e-114,9.53465460908593e-155,5.704460166002438e-16,5.335672703559094e-40,2.627764046942281e-53,1.914428232346387e-62,5.335672703559353e-40,2.5750903283677544e-23,3.27022157678458e-55,2.998289707518022e-41,1.1605468821442785e-39,5.4876269581133634e-70,4.96108219243748e-94,9.492204410933353e-82,9.581402332598772e-108,3.8605278899066314e-16,8.913219009379773e-27,1.5531624813327906e-55,1.9719905913197424e-70,1.0510783376730086e-60,4.564507680390502e-98,2.984627746963776e-91,4.775581272626348e-108,4.804221819886693e-130,1.48121552077379e-46,2.2860127492476857e-115,3.331380651413962e-86
6.849548005588109e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771666498,0.4515426283560993,7.426612932970335e-80,0.4569006123410262,1.7408933240667535e-72,2.3481983281268915e-82,7.632837810878402e-45,7.361098865135557e-112,9.883067718934294e-152,1.1428796499828186e-15,2.1398433979211893e-39,2.1086151559977913e-52,3.0773874691620768e-61,2.1398433979213962e-39,5.159153096903402e-23,2.624146797271384e-54,1.2024482421387151e-40,4.6543120626309105e-39,8.821199833127483e-69,3.19580283965205e-92,7.624654790806896e-81,3.0844782371556094e-106,7.73450709650115e-16,1.7857494530985406e-26,1.2463150346762287e-54,3.1654815665768466e-69,4.215294240344034e-60,2.940339710688408e-96,1.9198880494949388e-89,6.152931226527524e-106,2.4802715009776545e-127,5.940336708350249e-46,5.90081666133051e-113,1.0713006953676698e-84
