Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57)
0.0,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277228,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5796419607915637e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277223,0.4515426283560999,6.402605742847821e-60,0.4569006123410269,5.322213217073177e-85,3.9287661934521337e-95,6.841687259682987e-48,1.715779969321255e-131,-6.357720870128005e-156,2.618915060010053e-18,1.0934517099505298e-44,4.9766490411257125e-60,1.8012655007031973e-71,1.0934517099505298e-44,1.090703894590494e-25,5.227277667580967e-62,6.823255456356982e-46,2.768267218057405e-44,3.888955934154909e-79,-4.1439548134209894e-107,5.085688555290838e-89,-1.31187542245587e-118,1.7723665932004316e-18,4.09205478126571e-25,2.1079795099447275e-62,1.2975961943516105e-65,-3.2150084391235315e-111,2.258756828405651e-79,5.05740752478087e-83,-5.45444487269874e-109,1.4505313530835988e-104,1.845695144488426e-97,2.2586863040766952e-154,-2.3356931534599884e-172,3.8956394195034207e-165,3.758910131898951e-198,2.2050377636257328e-116,3.404767461559867e-132
4.422997490216378e-24,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277211,0.4515426283560999,7.601173537908922e-59,0.4569006123410269,2.6102654267757103e-83,2.39006036629987e-93,1.915672432711236e-47,2.705946167299413e-129,4.226573237882043e-154,7.332962168028133e-18,6.60444832810119e-44,5.908277741302065e-59,5.663466909458032e-70,6.604448328101189e-44,3.05397090485338e-25,6.205824015386386e-61,4.121246294776227e-45,1.6720333997009184e-43,1.222750010352113e-77,2.1474756702200727e-105,7.685492618161819e-88,1.2962168827746572e-117,4.9626264609611984e-18,1.1457753387543978e-24,2.502593273570258e-61,7.837481013883705e-65,1.6660781321272306e-109,5.0527486506815295e-78,1.4703779360787123e-81,4.0325673369588176e-107,1.6498748619803472e-102,7.60680041356501e-96,5.083102895101411e-152,7.138092446816345e-170,1.5819582839069347e-162,5.79349622320117e-195,1.2699907454782743e-114,9.117128732236546e-131
1.0109708549066007e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277188,0.4515426283560999,7.462877253863386e-58,0.4569006123410269,1.1499488825708975e-81,1.0789875217501124e-91,4.378679846197111e-47,1.2927597831632024e-126,8.268802108159791e-152,1.6761056384064246e-17,3.1797575725361262e-43,5.8007821233858315e-58,1.2634883126127222e-68,3.1797575725361247e-43,6.98050492537914e-25,6.09291495638583e-60,1.984202685413525e-44,8.050121070024629e-43,2.7278880114518376e-76,2.2538630727074626e-103,8.267702254603393e-87,7.149217323434618e-116,1.1343146196482697e-17,2.618915060010047e-24,2.4570609148195984e-60,3.7734097331744536e-64,1.7486167680011406e-107,9.98338008623019e-77,3.205001758728916e-80,4.112933194544244e-105,1.493625474759409e-100,3.0069448945062495e-94,2.268718068095676e-149,3.6941831721310554e-167,1.410240924281109e-159,1.3703474734401929e-191,5.695206573477891e-113,3.824288511600139e-129
2.1483130666765267e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277143,0.4515426283560999,6.600830416646317e-57,0.4569006123410269,4.325291946979426e-80,4.074051830284793e-90,9.30469467316886e-47,4.390304848869466e-124,1.2867340743923654e-149,3.5617244816136254e-17,1.3886836716371577e-42,5.130726099714662e-57,2.366373776513615e-67,1.3886836716371561e-42,1.4833572966430612e-24,5.389114616113772e-59,8.665534416190816e-44,3.515699366843721e-42,5.109032340066838e-75,1.7994705352806094e-101,7.59944277206302e-86,2.813684720783337e-114,2.4104185667525554e-17,5.565194502521329e-24,2.1732425514314678e-59,1.6479471668265163e-63,1.396084966169521e-105,1.7764892524668922e-75,5.948096442428122e-79,3.253406790905552e-103,1.1320352588643975e-98,1.0727591792369295e-92,7.532016490631455e-147,1.2985762250989168e-164,9.367439618279642e-157,2.0477443374951762e-188,2.1427321565448814e-111,1.3984071374251117e-127
4.4229974902163784e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181277055,0.4515426283560999,5.548395695059903e-56,0.4569006123410269,1.4989893770933597e-78,1.4134780243062694e-88,1.915672432711236e-46,1.2882984486065613e-121,1.8095153335660298e-147,7.332962168027944e-17,5.797480966157574e-42,4.312684442255725e-56,4.0873222232122325e-66,5.797480966157562e-42,3.053970904853336e-24,4.5298761583037156e-58,3.617690030916176e-43,1.467735278933772e-41,8.824582825630791e-74,1.2817862196456363e-99,6.501483287287969e-85,9.941382709442948e-113,4.9626264609610715e-17,1.145775338754383e-23,1.8267413081327172e-58,6.879855022451991e-63,9.944494441382152e-104,2.996309168885374e-74,1.023170198192421e-77,2.3078035992066696e-101,7.87147231896487e-97,3.6239413150168134e-91,2.184641417016812e-144,3.8677756941068037e-162,5.435188766377747e-154,2.511783270639327e-185,7.42033921328561e-110,4.7726388739231394e-126
8.972366337296082e-23,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276878,0.4515426283560998,4.5489100107583505e-55,0.45690061234102686,4.9899508876419276e-77,4.707473227946087e-87,3.8860783634999354e-46,3.527065275611029e-119,2.4281352973825797e-145,1.4875437540856258e-16,2.3684601418211317e-41,3.535799277182523e-55,6.7911470045561985e-65,2.3684601418211215e-41,6.195198121273809e-24,3.713867165370619e-57,1.4779444146712447e-42,5.996177524321493e-41,1.4662176296925175e-72,8.647401633659599e-98,5.375552108268423e-84,3.339888954453359e-111,1.0067042249377884e-16,2.3242871157588574e-23,1.4976728848556696e-57,2.8106452608131568e-62,6.708922004526071e-102,4.921448101410638e-73,1.6966835160395492e-76,1.5538358489983293e-99,5.248725025206772e-95,1.1913630560188758e-89,5.945602146704953e-142,1.0673075965239636e-159,2.9587596727514454e-151,2.812319358298079e-182,2.4697774536015872e-108,1.577972950928114e-124
1.807110403145549e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181276522,0.45154262835609976,3.6838252651683083e-54,0.45690061234102675,1.6284424989595074e-75,1.5365984893562e-85,7.826890225077331e-46,9.335001006555678e-117,3.1958886382211694e-143,2.9960388286511576e-16,9.573694577436728e-41,2.863381942710437e-54,1.107128361317333e-63,9.573694577436642e-41,1.2477652554114445e-23,3.0075875564590843e-56,5.974087584419757e-42,2.4237508256767255e-40,2.390304774102196e-71,5.680989891923894e-96,4.371309699494216e-83,1.094861934860238e-109,2.0275873826210612e-16,4.681310669767703e-23,1.212854321237323e-56,1.1361077527719958e-61,4.407487930299407e-100,7.977883664980387e-72,2.763373677691392e-75,1.0198144563696185e-97,3.4284207425233225e-93,3.8639815677530957e-88,1.5688877742026257e-139,2.8474029824379486e-157,1.5615678161987062e-148,3.022371866224427e-179,8.070511971921447e-107,5.1552175840190615e-123
3.6268579419774303e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181275813,0.4515426283560996,2.965063058962082e-53,0.4569006123410265,5.262267905640965e-74,4.966026123627038e-84,1.5708513948232115e-45,2.4297174960018162e-114,4.222870992291046e-141,6.013028977781695e-16,3.8495404829484794e-40,2.304698922293717e-53,1.7880152604116264e-62,3.849540482948409e-40,2.5042561419794477e-23,2.4207707579872715e-55,2.402154308394123e-41,9.745795467325715e-40,3.860348541646636e-70,3.683509621417926e-94,3.525619634146873e-82,3.545893442440138e-108,4.0693536979872515e-16,9.395357777784984e-23,9.762106564314448e-56,4.56823930606126e-61,2.857780898614374e-98,1.2848149281636554e-70,4.460742239713188e-74,6.609217820722014e-96,2.2166252073434566e-91,1.2448057806334907e-86,4.0773462440566357e-137,7.56350967591602e-155,8.1168819217696e-146,3.222562812579473e-176,2.6241978156268213e-105,1.6970720897355906e-121
7.266353019641193e-22,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181274392,0.4515426283560993,2.3792763716676275e-52,0.45690061234102614,1.692173935982728e-72,1.5970030051095433e-82,3.1471761394541674e-45,6.27175744020464e-112,5.878177394782652e-139,1.204700927604067e-15,1.5438379085682827e-39,1.8493757823320367e-52,2.8741823088148213e-61,1.543837908568227e-39,5.017237915114958e-23,1.9425203136584918e-54,9.633712891242134e-41,3.908499871919671e-39,6.205397363347369e-69,2.372823114291352e-92,2.83196942146408e-81,1.1415064365669735e-106,8.15288632871821e-16,1.88234519938179e-22,7.833475445159372e-55,1.832068281226781e-60,1.8409097400397166e-96,2.0624168653446498e-69,7.168823999834542e-73,4.2564717145402176e-94,1.4258666808812679e-89,3.996772646369944e-85,1.0516784651380414e-134,2.0991626104222464e-152,4.18727005595967e-143,3.583630767777957e-173,8.651679060936298e-104,5.897762222133791e-120
1.4545343174968719e-21,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181271552,0.4515426283560987,1.9063164239788487e-51,0.4569006123410253,5.428192128375978e-71,5.12306273074286e-81,6.299825628716097e-45,1.6122194097950939e-109,9.820260939845764e-137,2.4114969872550228e-15,6.183404250043433e-39,1.4817511871754216e-51,4.6094060769701353e-60,6.183404250042988e-39,1.0043201461383994e-22,1.5563868788415465e-53,3.8585098540184695e-40,1.5654386100070024e-38,9.95176773355402e-68,1.5235467037939562e-90,2.270174018637546e-80,3.6637773953359994e-105,1.6319951590174435e-15,3.767964042587717e-22,6.276312420361238e-54,7.337829142316446e-60,1.182014827960346e-94,3.3052586172457736e-68,1.1495492115536023e-71,2.732677613523429e-92,9.148772443479779e-88,1.2811188927214643e-83,2.7024330515190634e-132,6.892868336599108e-150,2.151969513252218e-140,4.71036384321637e-170,3.0494675582895577e-102,2.464075166673056e-118
2.910332348562377e-21,0.0027792097116130575,0.0915567593028733,0.0,0.008179214181265871,0.4515426283560975,1.5262122611785413e-50,0.4569006123410237,1.7391422960819193e-69,1.6414181278126732e-79,1.260512460724037e-44,4.1358145668336184e-107,2.4261678270849513e-134,4.825089106553575e-15,2.4749731416693947e-38,1.1863020258232973e-50,7.383632463840978e-59,2.4749731416690376e-38,2.0095128553914134e-22,1.2460667205435903e-52,1.5444093218283162e-39,6.265834079025083e-38,1.5941356888829085e-66,9.766536207938852e-89,1.8179804067889266e-79,1.1741815430811652e-103,3.2654082113064123e-15,7.53920172899694e-22,5.02486549295019e-53,2.9370439503866943e-59,7.577182720719943e-93,5.292765004012353e-67,1.8413112383310004e-70,1.7516503412046608e-90,5.8626950393220926e-86,4.103052394226458e-82,6.931273170484654e-130,3.3026333741454836e-147,1.1038899333774212e-137,9.029413218114406e-167,1.3285060737111197e-100,1.5242251149156787e-116
5.8219284106933875e-21,0.0027792097116130575,0.0915567593028733,0.0,0.00817921418125451,0.4515426283560951,1.2214336560041514e-49,0.4569006123410204,5.568651524670585e-68,5.255868986404706e-78,2.52157225642962e-44,1.0598618265324856e-104,9.091440159243354e-132,9.652273345137242e-15,9.90311636846926e-38,9.494023348104225e-50,1.1820682603389944e-57,9.903116368466402e-38,4.019898273894267e-22,9.972494764063087e-52,6.17964756141415e-39,2.5071497848833686e-37,2.552099931637043e-65,6.255654135871221e-87,1.4551211617930955e-78,3.7606473834322584e-102,6.5322343158752436e-15,1.5081677101804871e-21,4.0214184171584576e-52,1.1752001478429432e-58,4.85333211273022e-91,8.472014259067595e-66,2.9477250742685186e-69,1.1219328109734102e-88,3.754567768934357e-84,1.3135489812234863e-80,1.776098841780286e-127,2.4191500990801068e-144,5.657319094707977e-135,2.645683425105572e-163,8.755919938139151e-99,1.4295771727249028e-114
