Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53),CH4(39),OCHCO(417),CH4X(436),CH2O3(185),SX(574),CH2OX(174)
0.0,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306373,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6151998300569738e-24,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306368,0.4515426283560999,6.886523021143407e-87,0.4569006123410269,2.9468377939254226e-85,1.499070941421494e-95,1.5768108379514924e-48,7.547039774830261e-132,2.379129232292327e-177,2.6514494107359868e-18,5.67340497775043e-45,3.273732575758406e-60,1.2183410923646773e-71,5.673404977750434e-45,9.725194248052177e-26,2.6301864051850357e-62,4.174874420709836e-46,1.8241740790155155e-44,1.6816380408441916e-79,-1.692952163928498e-107,8.627370287044977e-90,-1.9197987751585727e-119,1.7943844116622066e-18,4.142889704274982e-29,8.199325433117801e-63,8.658999808096584e-80,3.0277350849453856e-66,-1.0038319004690755e-111,5.929350637084411e-105,2.516483133315434e-83,8.144181293833083e-52,4.399330048172354e-93,-1.0665661376740763e-123,8.026428408970717e-150,1.6771980038047215e-197,4.009684691781118e-133,-2.991035228508731e-109,-4.947386977183809e-127,6.32786254423339e-98
4.522559524159527e-24,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306356,0.4515426283560999,4.159459904770618e-86,0.4569006123410269,1.715929915774686e-83,9.119579574122191e-94,4.4150703462641785e-48,1.1902390008034378e-129,1.610526254032409e-174,7.424058350060748e-18,3.426736606561255e-44,3.8865753136520775e-59,3.830658979736672e-70,3.4267366065612584e-44,2.7230543894546067e-25,3.122557272055801e-61,2.5216241495680532e-45,1.1018011437214618e-43,5.287338817011333e-78,8.773197468657897e-106,1.3037681745163824e-88,1.8968840181869749e-118,5.024276352654169e-18,1.1600091171969937e-28,9.734239151699215e-62,1.936983604512323e-78,1.8287519913070085e-65,5.202046284961734e-110,6.744208117317764e-103,7.339509618042907e-82,4.919084972219988e-51,9.841125259717498e-92,9.842207842906333e-122,2.2592186150851545e-147,2.181571370310118e-195,6.323649064378578e-131,2.1726711211940564e-107,6.419283326680309e-125,3.6364686552286465e-96
1.0337278912364634e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306333,0.4515426283560999,2.002600894548503e-85,0.4569006123410269,7.70889244249497e-82,4.1170141205467625e-92,1.0091589362889552e-47,5.68634043264386e-127,5.170544753514874e-171,1.6969276228710218e-17,1.649826167529817e-43,3.815862689851331e-58,8.545989435028731e-69,1.6498261675298208e-43,6.224124318753373e-25,3.0657452306328304e-60,1.2140534807313883e-44,5.304698221718477e-43,1.1795762022355118e-76,9.207827613426139e-104,1.4025343061911468e-87,1.0462165915493879e-116,1.1484060234638056e-17,2.6514494107359806e-28,9.557133717097572e-61,3.8271531732584284e-77,8.804653627021119e-65,5.459759178793025e-108,6.105505943534298e-101,1.6013772620287952e-80,2.3683275497680185e-50,1.9444405040476974e-90,2.098189795906667e-119,2.1833826068558233e-144,4.83319758245342e-193,3.021109317754712e-128,2.2186488732964844e-105,1.327548903501268e-122,1.623424192812408e-94
2.1966717688774848e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306288,0.4515426283560999,8.745884236852127e-85,0.4569006123410269,2.9058424051211395e-80,1.5545061913542733e-90,2.1444627396140298e-47,1.931121953023269e-124,8.053783038262407e-168,3.605971198600894e-17,7.205224321742964e-43,3.375087335794354e-57,1.6005692406567626e-67,7.205224321742999e-43,1.3226264177350863e-24,2.7116169295695456e-59,5.302090505920824e-44,2.3167010802891064e-42,2.2092156784657975e-75,7.351473425324036e-102,1.2891706626356533e-86,4.117546725377473e-115,2.440362799860569e-17,5.634329997813937e-28,8.453176532263601e-60,6.810214567050117e-76,3.8452235578805746e-64,4.3590384418262095e-106,4.62743015835244e-99,2.973129463960987e-79,1.0343108390774738e-49,3.460027974794045e-89,3.355629860765075e-117,1.484384062934177e-141,7.988718667420352e-191,1.0259903702862936e-125,1.7556924338459316e-103,2.1041852370240415e-120,6.115074591705315e-93
4.5225595241595275e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306198,0.4515426283560999,3.651234505810234e-84,0.4569006123410269,1.0073509396874753e-78,5.393304103433115e-89,4.415070346264178e-47,5.666716781876473e-122,1.0090913747104081e-164,7.424058350060553e-17,3.0080393192032057e-42,2.836964269897246e-56,2.764585329675969e-66,3.008039319203234e-42,2.7230543894545665e-24,2.279277410053395e-58,2.213518410317753e-43,9.671770966394879e-42,3.8158706846514665e-74,5.236549944603779e-100,1.1029126435763678e-85,1.4548221243971264e-113,5.0242763526540375e-17,1.1600091171969786e-27,7.105404201626278e-59,1.1486422240351344e-74,1.605305142037985e-63,3.104999667545602e-104,3.217628015684493e-97,5.1151808733658e-78,4.31804410164465e-49,5.835842891283179e-88,4.784182355352196e-115,8.715486830080485e-139,1.1560371191792623e-188,3.010683421815119e-123,1.2456246437091326e-101,2.9879495631490182e-118,2.120423965947937e-91
9.174335034723612e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306017,0.4515426283560998,1.4916484324717458e-83,0.45690061234102686,3.3535285029901114e-77,1.7961954389224794e-87,8.956285559564472e-47,1.5514169108054274e-119,1.140840398149237e-161,1.5060232652979525e-16,1.2288822118005927e-41,2.3259147104818098e-55,4.59339987285813e-65,1.2288822118006157e-41,5.523910332893454e-24,1.8686893214978668e-57,9.042944926373636e-43,3.9512340216490085e-41,6.340126191299349e-73,3.532769338876701e-98,9.119095019431198e-85,4.887594104614917e-112,1.019210345824074e-16,2.3531613520281215e-27,5.825439628963283e-58,1.886648295999363e-73,6.558195303394609e-63,2.094747069890032e-102,2.145524946700241e-95,8.483028181673845e-77,1.7640619004242005e-48,9.585389435595002e-87,6.457736220160995e-113,4.7732984423766586e-136,1.5713993170133425e-186,8.242559763751441e-121,8.387469222062316e-100,4.025440635904842e-116,7.060950300731667e-90
1.847788605585178e-22,0.002724645380668153,0.0915567593028733,0.0,0.008018631355305658,0.45154262835609976,6.029481458116063e-83,0.45690061234102675,1.0944230407852462e-75,5.86308103383747e-86,1.803871598616506e-46,4.106098781811431e-117,1.2269283582755063e-158,3.0332581258816103e-16,4.967338381458931e-41,1.8835860357424404e-54,7.488401106153514e-64,4.967338381459118e-41,1.1125622219770946e-23,1.5133130508523968e-56,3.6553028967730804e-42,1.5971519661540427e-40,1.033600578393886e-71,2.3208852514824685e-96,7.415496623638665e-84,1.6022211770254398e-110,2.052775766941322e-16,4.739465821690311e-27,4.717592004192828e-57,3.0583381718172547e-72,2.650927398153359e-62,1.3761633269738581e-100,1.4014371682336469e-93,1.3816809599158311e-75,7.130620231928614e-48,1.5538329230431793e-85,8.486655308210955e-111,2.5269710326504923e-133,2.0721329224522288e-184,2.181538977185501e-118,5.5051012214023914e-98,5.285213983831313e-114,2.3047358787924697e-88
3.708498809810812e-22,0.002724645380668153,0.0915567593028733,0.0,0.00801863135530494,0.4515426283560996,2.4244279756856184e-82,0.4569006123410265,3.5366226094073878e-74,1.8948464518627352e-84,3.6203576839366225e-46,1.0687369025392446e-114,1.2874072540682452e-155,6.087727847048377e-16,1.9973449160365436e-40,1.5160739095030173e-53,1.209378778615353e-62,1.9973449160366937e-40,2.2329045993524788e-23,1.2180459818003353e-55,1.4697811967004475e-41,6.4220778090564105e-40,1.6692676713798372e-70,1.5048439313689405e-94,5.980866671674941e-83,5.189061753989743e-109,4.119906609175447e-16,9.512074761014349e-27,3.797128398490155e-56,4.9253592891913185e-71,1.0659262475950365e-61,8.922935990148697e-99,9.060899741642356e-92,2.230407589158275e-74,2.867191029887513e-47,2.502399987153194e-84,1.100648611912635e-108,1.3155194824337497e-130,2.6918799295548164e-182,5.678117681863472e-116,3.5678228917118164e-96,6.851305463041073e-112,7.44844723731283e-87
7.429919218262079e-22,0.002724645380668153,0.0915567593028733,0.0,0.008018631355303502,0.45154262835609926,9.723040534414244e-82,0.45690061234102614,1.1372663124584972e-72,6.093542055890967e-83,7.253329854576861e-46,2.758698756220459e-112,1.334448246484625e-152,1.2196667289379715e-15,8.010246447652696e-40,1.216553832826153e-52,1.9440410644535073e-61,8.010246447653898e-40,4.47358935410279e-23,9.774051638001636e-55,5.894479802140157e-41,2.575540434635854e-39,2.6832989529911654e-69,9.693821486168403e-93,4.8041573640055255e-82,1.670482412700391e-107,8.254168293642209e-16,1.905729263966147e-26,3.0469562963239136e-55,7.906292292608964e-70,4.2748410000212595e-61,5.747928321382277e-97,5.828503444915015e-90,3.584507340228735e-73,1.1498718404850228e-46,4.016906071008981e-83,1.418092340088675e-106,6.791623650578722e-128,3.4711360820586627e-180,1.465675617153173e-113,2.297774942998538e-94,8.825290602912713e-110,2.3953040768666027e-85
1.4872760035164614e-21,0.002724645380668153,0.0915567593028733,0.0,0.008018631355300626,0.45154262835609865,3.894287724779425e-81,0.4569006123410253,3.6481532348135e-71,1.95475290003031e-81,1.4519274195857516e-45,7.09151739624221e-110,1.3748060443279115e-149,2.4414546174033612e-15,3.2082767014215754e-39,9.747234821865037e-52,3.117712703425179e-60,3.2082767014225405e-39,8.954958863601584e-23,7.83113486550213e-54,2.3608663271468956e-40,1.031559567613608e-38,4.3032808926847264e-68,6.224227059139506e-91,3.851126762383861e-81,5.361615905833984e-106,1.6522691662569783e-15,3.814772839695513e-26,2.4412726851221104e-54,1.2670682395670555e-68,1.7121661452334227e-60,3.690640746479665e-95,3.739720295779026e-88,5.747928281523439e-72,4.605485060105601e-46,6.437523258272252e-82,1.821109565382358e-104,3.4917644862607917e-125,4.4594631354551843e-178,3.76766913024731e-111,1.4751914476152277e-92,1.1332107215823514e-107,7.683913842902028e-84
2.9758441668969684e-21,0.002724645380668153,0.0915567593028733,0.0,0.008018631355294875,0.45154262835609743,1.5587299705825824e-80,0.45690061234102364,1.1688352589455537e-69,6.262931238538845e-80,2.905116287842204e-45,1.8191817451348606e-107,1.4120835526549917e-146,4.885030394330629e-15,1.2841467816059576e-38,7.803714579448616e-51,4.994145524263043e-59,1.2841467816067296e-38,1.7917697882591858e-22,6.2696688732059905e-53,9.44961679869308e-40,4.128926584282246e-38,6.893261394541224e-67,3.989975450006806e-89,3.084024810719056e-80,1.7184088355194875e-104,3.305973840040114e-15,7.632859991156596e-26,1.9545022675709766e-53,2.0289598791589262e-67,6.853126614675261e-60,2.3658467355159397e-93,2.3964585277060682e-86,9.206871436802855e-71,1.843394247784825e-45,1.0308423601923861e-80,2.3348363899796864e-102,1.7914928562863e-122,5.718636579046947e-176,9.665173939426839e-109,9.456023075494823e-91,1.45280122612434e-105,2.4618875296771063e-82
5.952980493657983e-21,0.002724645380668153,0.0915567593028733,0.0,0.008018631355283374,0.451542628356095,6.2369502221442845e-80,0.4569006123410203,3.742556425518153e-68,2.0053740954875247e-78,5.811494024360405e-45,4.661914330063467e-105,1.4481698168822806e-143,9.772181948171118e-15,5.138259805058182e-38,6.245343349159437e-50,7.995280019796276e-58,5.138259805064363e-38,3.584317592054315e-22,5.017639483519703e-52,3.78107670469149e-39,1.6521084449115296e-37,1.1035630131829491e-65,2.5556559986339486e-87,2.468469818973153e-79,5.50618567985472e-103,6.61338318759687e-15,1.5269034294108897e-25,1.5641953808957722e-52,3.247656606844996e-66,2.742143306945039e-59,1.5153705934469892e-91,1.5347060215588357e-84,1.473914839802167e-69,7.375978122725437e-45,1.650018760661271e-79,2.9910344583154483e-100,9.181949274356793e-120,7.3265961189727465e-174,2.4768395535886395e-106,6.056594580138334e-89,1.861053551230744e-103,7.882898788436011e-81
1.1907253147180013e-20,0.002724645380668153,0.0915567593028733,0.0,0.00801863135526037,0.4515426283560901,2.4951862146814727e-79,0.4569006123410137,1.1979835571497585e-66,6.419173522490307e-77,1.1624249497482117e-44,1.1940653123982176e-102,1.4840503507528028e-140,1.954648505579591e-14,2.055638505401689e-37,4.9972235292222115e-49,1.2796166923013328e-56,2.0556385054066334e-37,7.169413199632875e-22,4.0148721887528586e-51,1.5126761831917659e-38,6.6095095168935695e-37,1.7662133414629993e-64,1.6362821291680084e-85,1.9752759646521812e-78,1.7707429896293618e-101,1.3228201882672315e-14,3.0541382900299726e-25,1.2515932464686272e-51,5.197306145192503e-65,1.0970358804281617e-58,9.70230224715778e-90,9.825229361146883e-83,2.358916266205919e-68,2.950871543810688e-44,2.6405661015173307e-78,3.830086678060238e-98,4.70359030906276e-117,9.382356923241419e-172,6.343978036176577e-104,3.8777379747383806e-87,2.3830884971795573e-101,2.5233044844352398e-79
2.381579845422407e-20,0.002724645380668153,0.0915567593028733,0.0,0.008018631355214361,0.45154262835608033,9.981557168674673e-79,0.4569006123410005,3.834132248589276e-65,2.0544504877871089e-75,2.324976044509291e-44,3.057591300645468e-100,1.520241230650178e-137,3.9095091270820744e-14,8.223223235979732e-37,3.9981583605342616e-48,2.0476842448143885e-55,8.223223236019294e-37,1.4339604414743188e-21,3.2121999204585523e-50,6.051191524099817e-38,2.6440189388256324e-36,2.826349510507106e-63,1.0474312888978935e-83,1.5804208387062035e-77,5.874971335394803e-100,2.6457839272670932e-14,6.108608011515196e-25,1.001368526811498e-50,8.316530142731804e-64,4.388500662613342e-58,6.210727307091556e-88,6.289139135747601e-81,3.7747880850758164e-67,1.1804446833032564e-43,4.225332005348432e-77,4.9035053740424636e-96,2.4088582292555855e-114,1.2012171207776267e-169,1.62447498203805e-101,2.4822379743872212e-85,3.050954957933821e-99,8.075812312183889e-78
4.763288906831219e-20,0.002724645380668153,0.0915567593028733,0.0,0.008018631355122346,0.4515426283560608,3.9927853366993695e-78,0.456900612340974,1.2270158799831015e-63,6.574737068732146e-74,4.650078236220276e-44,7.828418765151886e-98,1.55701602759994e-134,7.819230369997142e-14,3.2894231419997855e-36,3.198678442038353e-47,3.276532767594355e-54,3.289423142031435e-36,2.86799868447766e-21,2.569877444439795e-49,2.4205705743305295e-37,1.0576505789127234e-35,4.522479633002805e-62,6.704218544234116e-82,1.2644167010727712e-76,2.411519395777108e-98,5.2917114052059114e-14,1.2217547456534412e-24,8.011310237880397e-50,1.3307106904775408e-62,1.7554716963825933e-57,3.9752614083121775e-86,4.0253623888809186e-79,6.04007848238441e-66,4.721970871562268e-43,6.760863654060175e-76,6.277108364976886e-94,1.2334912114454382e-111,1.537732352326676e-167,4.159179387739229e-99,1.588787701691777e-83,3.905607383173708e-97,2.584454655365277e-76
9.526707029648841e-20,0.002724645380668153,0.0915567593028733,0.0,0.008018631354938315,0.4515426283560217,1.5971466337609887e-77,0.4569006123409211,3.926600349630178e-62,2.1039897225515522e-72,9.30028265466809e-44,2.0041916848236905e-95,1.5945226021647926e-131,1.563867285546768e-13,1.315796026772168e-35,2.5590033457185534e-46,5.2426425820707485e-53,1.3157960267974883e-35,5.736075170409457e-21,2.0559435741556543e-48,9.682443053713597e-37,4.2306881274403444e-35,7.23620410207799e-61,4.290889912773736e-80,1.011565373904653e-75,2.1320606589072475e-96,1.0583566360839919e-13,2.4435426363252213e-24,6.409171059139914e-49,2.1291854440372313e-61,7.022029671015079e-57,2.544287152036122e-84,2.5763267771253737e-77,9.664459192379112e-65,1.8888267769390064e-42,1.0817620386794135e-74,8.035058016195112e-92,6.315843714967203e-109,1.9684042883749293e-165,1.0648118557366978e-96,1.016873814560084e-81,4.9994236691546565e-95,8.270544838280771e-75
1.9053543275284086e-19,0.002724645380668153,0.0915567593028733,0.0,0.008018631354570252,0.4515426283559435,6.38865168281127e-77,0.45690061234081525,1.2565359291595572e-60,6.73285057617991e-71,1.8600692051999544e-43,5.130830592108236e-93,1.6328418313631056e-128,3.1277557824970367e-13,5.263237647302615e-35,2.0472267361688458e-45,8.388379506874833e-52,5.263237647505181e-35,1.147222814197351e-20,1.6447628896430367e-47,3.8729876321829196e-36,1.6922922562810542e-34,1.1578053025586102e-59,2.7462039630385464e-78,8.0926512083543245e-75,4.1648018380885686e-94,2.1167276271133422e-13,4.8871184311279575e-24,5.127350884870112e-48,3.406721441595625e-60,2.8088405111115705e-56,1.6283733560261478e-82,1.6488725440942338e-75,1.5463400234398496e-63,7.555383964749447e-42,1.7308295696598814e-73,1.0285005750819382e-89,3.2337754891738283e-106,2.5196136973455118e-163,2.725971656443371e-94,6.5081508369913194e-80,6.399419318167881e-93,2.64660690389031e-73
3.810721576655458e-19,0.002724645380668153,0.0915567593028733,0.0,0.008018631353834125,0.4515426283557871,2.555474179626802e-76,0.4569006123406036,4.020952386013669e-59,2.1545033212528437e-69,3.720151981375152e-43,1.3134802149839777e-90,1.6720148837502297e-125,6.255532775822219e-13,2.10530576684579e-34,1.6377907287328004e-44,1.342152591047808e-50,2.105305767007843e-34,2.2944534083903446e-20,1.3157997364063731e-46,1.5491797427277823e-35,6.769201778238158e-34,1.8524784758229567e-58,1.7575477630363294e-76,6.47417355505263e-74,1.0247913737222065e-91,4.233469608782241e-13,9.774270128869598e-24,4.1018301475574316e-47,5.450729480197564e-59,1.1235421425456344e-55,1.0421571818094784e-80,1.0552770281854179e-73,2.474164839787027e-62,3.022168957111767e-41,2.769307475924833e-72,1.3164639427298268e-87,1.65567768102704e-103,3.2251104513904093e-161,6.978422705059234e-92,4.1652664967255284e-78,8.191355781104613e-91,8.469105632934457e-72
7.621456074909557e-19,0.002724645380668153,0.0915567593028733,0.0,0.008018631352361872,0.4515426283554743,1.0221938992141457e-75,0.45690061234018026,1.286710304552394e-57,6.894254261478843e-68,7.440331881120215e-43,3.362364434069361e-88,1.712051308269848e-122,1.251108676017116e-12,8.421244481954693e-34,1.3102358643510423e-43,2.1474528729752772e-49,8.421244483251123e-34,4.5889145962970665e-20,1.0526135000760714e-45,6.196549218899524e-35,2.707686255814888e-33,2.963893156511467e-57,1.124780035560406e-74,5.1793686196420265e-73,2.610109093439508e-89,8.466953570560829e-13,1.9548574391293174e-23,3.281354018662664e-46,8.721004547417608e-58,4.49418715472262e-55,6.669656556993464e-79,6.753654702284245e-72,3.9586789773901746e-61,1.2088706568898594e-40,4.430786235258336e-71,1.68499856818789e-85,8.476706534378424e-101,4.128066718845286e-159,1.7863998508182726e-89,2.6657856043435604e-76,1.0484995104432584e-88,2.710051300051814e-70
1.5242925071417753e-18,0.002724645380668153,0.0915567593028733,0.0,0.008018631349417368,0.45154262835484876,4.088832885377788e-75,0.45690061233933355,4.11747899199448e-56,2.2060453550826444e-66,1.488092123869582e-42,8.606806946415112e-86,1.7529211052877296e-119,2.5022194719663352e-12,3.368502074640457e-33,1.0481892767228415e-42,3.435929118753282e-48,3.3685020756776045e-33,9.177836970193441e-20,8.420449934855411e-45,2.4784744426410977e-34,1.0830748063379239e-32,4.741965072010318e-56,7.19787705512773e-73,4.143563403684782e-72,6.676984787782278e-87,1.693392148788116e-12,3.9097189859066614e-23,2.6248953925205262e-45,1.3953020328180042e-56,1.7977000479284742e-54,4.268348396939663e-77,4.3221554933301444e-70,6.333894044671656e-60,4.835488774023893e-40,7.088885877114171e-70,2.156584811731574e-83,4.3396491920693824e-98,5.283695761581683e-157,4.572737373662494e-87,1.706106396901682e-74,1.3420822497542614e-86,8.671701508429406e-69
3.0485863064434148e-18,0.002724645380668153,0.0915567593028733,0.0,0.00801863134352836,0.45154262835359765,1.6357008791534808e-74,0.4569006123376402,1.3175924173571208e-54,7.0585773006882565e-65,2.976577286328355e-42,2.202896196824298e-83,1.7945259657712544e-116,5.004441060182498e-12,1.3474016853799819e-32,8.385504917887461e-42,5.497482336060862e-47,1.3474016862097024e-32,1.8355681710317931e-19,6.735612173126933e-44,9.912717098693165e-34,4.332293394250075e-32,7.586273684711985e-55,4.605704208895553e-71,3.3152414066329383e-71,1.7088262194463552e-84,3.386785729757445e-12,7.819447636763917e-23,2.0996111896928623e-44,2.2322900920689034e-55,7.191537592660648e-54,2.731433336805913e-75,2.765934322586317e-68,1.0134222196463142e-58,1.9341967375969803e-39,1.1340999836613993e-68,2.759869268036322e-81,2.2214522553929064e-95,6.762695393990249e-155,1.1703852625981723e-84,1.0919077071734906e-72,1.717864702091219e-84,2.7746384074172135e-67
6.097173905046693e-18,0.002724645380668153,0.0915567593028733,0.0,0.008018631331750342,0.45154262835109543,6.54813945928381e-74,0.4569006123342534,4.216282693108432e-53,2.2582494062925234e-63,5.95942419354058e-42,5.637112774734501e-81,1.836634093574458e-113,1.0008884221885711e-11,5.389608445780845e-32,6.708381597077329e-41,8.79594314575607e-46,5.389608452418649e-32,3.671137115989385e-19,5.387287692892368e-43,3.964138837955555e-33,1.7329110402114934e-31,1.213523277006899e-53,2.946444737520334e-69,2.6546760562596644e-70,4.372766435740477e-82,6.773572881717153e-12,1.563894940874498e-22,1.6791990914307978e-43,3.5710416857364273e-54,2.878960999165532e-53,1.7477169765779162e-73,1.769880789919351e-66,1.6214702751578622e-57,7.736789395914229e-39,1.814168314197557e-67,3.531193059305343e-79,1.1369214233298685e-92,8.657048881923803e-153,2.994971971948757e-82,6.988188349443173e-71,2.1988602577305025e-82,8.876868614674772e-66
1.219434910225325e-17,0.002724645380668153,0.0915567593028733,0.0,0.008018631308194307,0.451542628346091,2.6363241474168627e-73,0.4569006123274798,1.3492009066081254e-51,7.223223574867956e-62,1.201914092779448e-41,1.4419213844821915e-78,4.888655603537371e-110,2.001777048637564e-11,2.15584371373483e-31,5.366666552932981e-40,1.4073405541997088e-44,2.1558437190451323e-31,7.342274993635343e-19,4.30790573192069e-42,1.5848968863697377e-32,6.931590316255034e-31,1.9407385403931236e-52,1.8841801606100238e-67,2.1396269469589162e-69,1.1185118807339254e-79,1.3547147145720772e-11,3.1278308762221165e-22,1.3425754138039325e-42,5.7116708437866e-53,1.1590885707871065e-52,1.1180254097499099e-71,1.1323165608991577e-64,2.594333457805937e-56,3.0947162391116365e-38,2.901415062233323e-66,4.516239604160165e-77,5.8163008416453595e-90,1.6071325484918078e-150,7.660905009027216e-80,4.472573104258503e-69,2.8146238175560524e-80,2.8393326546782853e-64
2.4388699496666363e-17,0.002724645380668153,0.0915567593028733,0.0,0.008018631261082237,0.4515426283360821,1.1091445074272935e-72,0.45690061231393264,4.31737982582746e-50,2.3094015301567395e-60,2.5642863959881704e-41,3.685287933510739e-76,4.9963295467324364e-107,4.003554277968908e-11,8.623375482346237e-31,4.293270089884787e-39,2.2517108137769535e-43,8.623375524829584e-31,1.4684550699850366e-18,3.4432485419054087e-41,6.33352497161129e-32,2.772592390745257e-30,3.102308287444099e-51,1.2039012467584326e-65,1.8133701180804363e-68,2.858711814883154e-77,2.7094295514064812e-11,6.255987413477323e-22,1.072807980658869e-41,9.132280304035076e-52,4.876470684045969e-52,7.14879479665786e-70,7.24160857713127e-63,4.1508711017987746e-55,1.2378865851063327e-37,4.638254266113215e-65,5.771360114977753e-75,2.9731019576390187e-87,2.166213144101262e-148,1.9580096633324715e-77,2.862405853871197e-67,3.602668155114637e-78,9.077772893580664e-63
4.8777400285492596e-17,0.002724645380668153,0.0915567593028733,0.0,0.0080186311668581,0.45154262831606434,6.184079939339341e-72,0.45690061228683837,1.3815208691254108e-48,7.377125889921496e-59,7.695647464312875e-41,9.4035672879525e-74,5.090427473827102e-104,8.007108642364697e-11,3.449350283669072e-30,3.4345145545470777e-38,3.602627506695936e-42,3.449350317657226e-30,2.936910191597282e-18,2.749689515317204e-40,2.528572594991231e-31,1.1090018370400162e-29,4.95452159117845e-50,7.679789100358818e-64,2.1013173081200568e-67,7.294433670063875e-75,5.418859161210014e-11,1.251457789619944e-21,8.562492736416342e-41,1.4591166285632148e-50,2.7188847028697946e-51,4.566842526732388e-68,4.627943660424311e-61,6.641192647079936e-54,4.951546465848384e-37,7.40840692737681e-64,7.363292899702192e-73,1.5172850479431041e-84,3.851219608697398e-146,4.996269590604285e-75,1.8318847398185514e-65,4.6112772450081206e-76,2.8997213453795366e-61
9.755480186314505e-17,0.002724645380668153,0.0915567593028733,0.0,0.008018630978409835,0.4515426282760288,8.06454831386812e-71,0.45690061223264977,4.420605988406621e-47,2.3524304762822375e-57,5.645636064092901e-40,2.391671956866989e-71,5.1602474084776115e-101,1.6014216994086008e-10,1.379740103812586e-29,2.747449038445565e-37,5.76385208279384e-41,1.379740131005464e-29,5.873820356298748e-18,2.1919370615341475e-39,1.0075796865511718e-30,4.4357261546137617e-29,7.898038292608949e-49,4.883067409329546e-62,5.844207344978323e-66,1.8552419388678174e-72,1.0837718125355996e-10,2.504997842925841e-21,6.818254883234019e-40,2.3280187519067203e-49,3.54562342838358e-50,2.91210059158998e-66,2.9533102942895603e-59,1.0625263643941312e-52,1.9806185686234554e-36,1.1812698423215422e-62,9.363888646419851e-71,7.718241024712424e-82,1.5964133598065956e-143,1.270792030987767e-72,1.1723356421059924e-63,5.902080605342675e-74,9.246214231082609e-60
