Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54)
0.0,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669187,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6083385697649532e-24,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669182,0.4515426283560999,1.2950180983642951e-59,0.4569006123410269,1.2632027232297404e-84,8.492862511923375e-95,1.7922624146849828e-47,3.7308015186672677e-131,-1.9374254449880367e-155,2.6835893699380045e-18,1.7681808721067232e-44,7.150384191493154e-60,2.625059420459985e-71,1.768180872106723e-44,1.211417878421254e-25,8.898570328453259e-62,9.935989229086518e-46,3.8459195552153593e-44,7.524621494718828e-79,-8.862780428583201e-107,1.7254467094990342e-88,-5.2115026448606235e-118,1.81613532327683e-18,4.193108390528135e-25,4.226296047963306e-62,3.483153324827496e-65,-8.154315105415721e-111,4.718764020138612e-79,8.956124421114262e-83,-9.673496816164033e-109,3.101460982973731e-104,4.761356587415421e-97,9.718054253020355e-154,-1.4902448771332655e-171,1.7065576655738182e-164,2.4302786332391272e-197,9.058768250684893e-116,1.0395285453037311e-131,-1.6194612621727e-126,3.4832309098897e-72
4.503347995341869e-24,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669168,0.4515426283560999,1.5374454863780891e-58,0.4569006123410269,4.225222270171294e-83,5.166623001718813e-93,5.018334761117952e-47,5.883824456029365e-129,1.2879885924455543e-153,7.514050235826398e-18,1.0679812467524592e-43,8.488936109602934e-59,8.253607543192923e-70,1.0679812467524584e-43,3.391970059579507e-25,1.0564382440812754e-60,6.001337493088845e-45,2.322935411341984e-43,2.365861498121415e-77,4.592860284048266e-105,2.607495206882555e-87,5.1492982978999165e-117,5.085178905175114e-18,1.1740703493478772e-24,5.017458666832929e-61,2.1038246081958026e-64,4.2257203052541415e-109,1.0555686121658136e-77,2.5984818467058626e-81,7.236576494029502e-107,3.5276882694428636e-102,1.9614610993845634e-95,2.186120537949872e-151,4.554318288163704e-169,6.927228039830865e-162,3.745710559372727e-194,5.217391808371241e-114,2.7836019322310744e-130,2.1644893681540515e-124,2.104068548134269e-71
1.02933668464957e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771669145,0.4515426283560999,1.5094730954534146e-57,0.4569006123410269,1.7528053246754683e-81,2.332460612715478e-91,1.147047945398389e-46,2.8109840916008947e-126,2.5198028460347706e-151,1.7174971967603136e-17,5.141869976086326e-43,8.33448781191412e-58,1.8413344448521001e-68,5.14186997608632e-43,7.753074421896e-25,1.0372173407821205e-59,2.889385665899242e-44,1.1183934066444859e-42,5.278106861612724e-76,4.8203937010633e-103,2.8050243663883693e-86,2.8400689038956974e-115,1.1623266068971647e-17,2.683589369938e-24,4.926170669447796e-60,1.0129009868598285e-63,4.435065320005549e-107,2.085625712739324e-76,5.660271303371774e-80,7.374922229970175e-105,3.193602805663989e-100,7.751548655928209e-94,9.754449943139386e-149,2.3569861449907487e-166,6.173543631471463e-159,8.859752390335833e-191,2.3397067082188494e-112,1.167616006671867e-128,4.4663915994288584e-122,1.0134452033541978e-70
2.1873404548803362e-23,0.0028149649241145727,0.0915567593028733,0.0,0.0082844417716691,0.4515426283560999,1.3351118586896374e-56,0.4569006123410269,6.548202291944835e-80,8.806927861494545e-90,2.4374768839715766e-46,9.546303378991297e-124,3.921157966030142e-149,3.64968154311564e-17,2.245589707575514e-42,7.371760088719585e-57,3.448615631144299e-67,2.245589707575508e-42,1.6475283146528933e-24,9.174070335815862e-59,1.2618706301108992e-43,4.884317834998049e-42,9.885310004336596e-75,3.8485729403066045e-101,2.5783006566451935e-85,1.1177529121534202e-113,2.469944039656457e-17,5.702627411118229e-24,4.357142165085967e-59,4.4236047225308465e-63,3.540929106850373e-105,3.7112596825766445e-75,1.0502059649668574e-78,5.832166140555127e-103,2.4204668300487437e-98,2.7650805996624444e-92,3.2379687346599207e-146,8.285057600842633e-164,4.100163718238124e-156,1.3239028026741887e-187,8.80270137145317e-111,4.269574582857091e-127,7.074568891875778e-120,4.433797294524124e-70
4.5033479953418686e-23,0.0028149649241145727,0.0915567593028733,0.0,0.00828444177166901,0.4515426283560999,1.1222419637528948e-55,0.4569006123410269,2.26752693741418e-78,3.055532714952075e-88,5.018334761117952e-46,2.8012833399741187e-121,5.514351862912007e-147,7.514050235826208e-17,9.374894983909628e-42,6.196408544533232e-56,5.956625892529423e-66,9.374894983909579e-42,3.391970059579458e-24,7.711359710389483e-58,5.268061471413876e-43,2.039106548062272e-41,1.7074414699551702e-73,2.74138845980787e-99,2.205790494361534e-84,3.949273133644903e-112,5.085178905174985e-17,1.1740703493478622e-23,3.6624405189663794e-58,1.8467678928234732e-62,2.5222497673069696e-103,6.2595825425605946e-74,1.8063142925009217e-77,4.136553828273948e-101,1.6830427308806445e-96,9.340240819366002e-91,9.390988330736108e-144,2.4674433081203315e-161,2.3788367412730507e-153,1.6237545358366027e-184,3.048290548041403e-109,1.4571902425450814e-125,1.0042882846731657e-117,1.8643730257671526e-69
9.135363076264935e-23,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668828,0.4515426283560998,9.20081764888169e-55,0.45690061234102686,7.54748665728032e-77,1.0176201861235457e-86,1.01800505154107e-45,7.669270425822132e-119,7.400013126975369e-145,1.5242787621247005e-16,3.829950496217861e-41,5.080190109771478e-55,9.897023008748269e-65,3.829950496217819e-41,6.880853549432502e-24,6.322239970782621e-57,2.1521749958659202e-42,8.330415592422691e-41,2.8369395293030966e-72,1.8494415584136354e-97,1.823790236502002e-83,1.326790658831786e-110,1.0315648636211809e-16,2.3816855658199134e-23,3.002689999176039e-57,7.544649427708799e-62,1.7016025362084247e-101,1.028138529795299e-72,2.995172685032444e-76,2.7849681510304526e-99,1.1222586692250442e-94,3.0704833062725708e-89,2.5557118707474605e-141,6.806232285953417e-159,1.294924892046438e-150,1.817331814118483e-181,1.0144447990073933e-107,4.818199671375707e-124,1.352807199964464e-115,7.83716134118664e-69
1.8399393238111066e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771668464,0.45154262835609976,7.451060679370553e-54,0.45690061234102675,2.463031403408455e-75,3.321683213295619e-85,2.0503482023996196e-45,2.0298078286555642e-116,9.74230338605371e-143,3.0700262392087233e-16,1.548127226211145e-40,4.1140696861294174e-54,1.6134645382037087e-63,1.5481272262111105e-40,1.3858620529138237e-23,5.119916095712605e-56,8.699435373246955e-42,3.3672871739433185e-40,4.624927406805932e-71,1.2150076098653829e-95,1.483075931502517e-82,4.349403844533419e-109,2.0776588098284533e-16,4.79691599876391e-23,2.431656189286471e-56,3.049667927245612e-61,1.1178834147171085e-99,1.6666575738102283e-71,4.878077478580092e-75,1.8277809424126353e-97,7.330493586996407e-93,9.958420961455545e-88,6.743732863537422e-139,1.8129843913155957e-156,6.834207474909303e-148,1.9500508194770755e-178,3.313018624252355e-106,1.5745022404615255e-122,1.7760466329901512e-113,3.526536169703297e-68
3.6927453561803326e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771667737,0.4515426283560996,5.997261862385554e-53,0.4569006123410265,7.959175248942569e-74,1.0735115479765467e-83,4.115034504116716e-45,5.2831912747418705e-114,1.288578723106358e-140,6.161521193376227e-16,6.224951487485364e-40,3.3113612355228594e-53,2.605749538382545e-62,6.22495148748509e-40,2.781415448854831e-23,4.120957529236125e-55,3.498004651234669e-41,1.3539713624539467e-39,7.469270010743276e-70,7.878014745417393e-94,1.1961544667433088e-81,1.4086271440409605e-107,4.169846702242629e-16,9.627376864651478e-23,1.9572084149627385e-55,1.226258060618452e-60,7.248269125620318e-98,2.684102939170352e-70,7.874269844812361e-74,1.1845326862410306e-95,4.739486439204771e-91,3.208140501010371e-86,1.752597669946522e-136,4.78665291911147e-154,3.552324966045553e-145,2.0666394679466736e-175,1.0748161291506643e-104,5.18838458095822e-121,2.302236463594202e-111,1.9964015437014133e-67
7.398357420918784e-22,0.0028149649241145727,0.0915567593028733,0.0,0.008284441771666281,0.45154262835609926,4.812424950203879e-52,0.4569006123410261,2.559405746331166e-72,3.4522582504451873e-82,8.244407107550901e-45,1.3637344313370616e-111,1.800185330860138e-138,1.2344511101709055e-15,2.4964839642412508e-39,2.6571589073093972e-52,4.188666277184837e-61,2.496483964241031e-39,5.572522240736291e-23,3.3068147213908443e-54,1.4028562764477516e-40,5.4300307393533445e-39,1.2006633056106367e-68,5.074816504566153e-92,9.608163171516554e-81,4.534701449249399e-106,8.354222487069505e-16,1.9288298596424911e-22,1.5705364353822717e-54,4.9178432804010324e-60,4.669150539776066e-96,4.308587034053539e-69,1.2654591843003847e-72,7.628580830960562e-94,3.04872157684879e-89,1.0300522945664597e-84,4.52049061634739e-134,1.2989151795785374e-151,1.8325354372112215e-142,2.247083100161691e-172,3.5123426891840915e-103,1.809666574855746e-119,2.9655008633622634e-109,1.7297674819452572e-66
