Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54),CH3X(55)
0.0,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306373,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6541258918799159e-24,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306368,0.4515426283560999,2.6358382681988565e-60,0.4569006123410269,3.3141134673398014e-85,1.6886268211466237e-95,1.6148117311035303e-48,9.13093068982605e-132,-1.844753987171513e-156,2.7153489244444984e-18,5.950156440079574e-45,3.516171895098768e-60,1.340102689541041e-71,5.950156440079574e-45,9.959569899593971e-26,2.8249673544884603e-62,4.378526831452629e-46,1.9131581804306909e-44,1.8497018920810355e-79,-1.952983152093833e-107,9.266278342851402e-90,-2.162555214455282e-119,1.8376287937149347e-18,4.242732694444533e-25,8.806534124540536e-63,3.1754294793328884e-66,-1.1580166475473686e-111,9.524384821117067e-80,2.7679816795971316e-83,-3.450446649889433e-109,6.8400760413372205e-105,6.01514572381953e-98,4.107448747993386e-155,-2.2798579075889093e-173,7.41830840451259e-166,1.0264952806782128e-194,3.4471387039500795e-117,8.499779613464689e-133,-5.844831152224406e-127,3.1756681320462835e-73,-1.2600387480311737e-123
4.631552497263764e-24,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306354,0.4515426283560999,3.1292671920056775e-59,0.4569006123410269,1.932584314725062e-83,1.0272740843016906e-93,4.521472847089885e-48,1.440033424813301e-129,1.2263811744579716e-154,7.602976988444581e-18,3.5938944898080555e-44,4.174399274407868e-59,4.2134969944467684e-70,3.5938944898080565e-44,2.7886795718863087e-25,3.3538012986252496e-61,2.64463020561666e-45,1.155547540975938e-43,5.815758171838507e-78,1.0120726799599869e-105,1.400319943581183e-88,2.1367429280911305e-118,5.145360622401808e-18,1.187965154444468e-24,1.0455117309906603e-61,1.9179594055170593e-65,6.001060552322428e-110,2.1305668207080654e-78,8.073023958096408e-82,2.506385031336016e-107,7.780092797343287e-103,2.480386084068362e-96,9.248224943980127e-153,6.967490525594587e-171,3.013935011798077e-163,1.2924676436748868e-191,1.9853819778808453e-115,2.2760320468449333e-131,7.583726118261749e-125,1.9187097681284544e-72,1.1627561045462573e-121
1.0586405708031461e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306331,0.4515426283560999,3.0723330854125745e-58,0.4569006123410269,8.683517914527801e-82,4.6376064748358435e-92,1.0334795079062594e-47,6.8797277470712445e-127,2.39927596352384e-152,1.7378233116444686e-17,1.7303054927751313e-43,4.098449962989676e-58,9.400079990942527e-69,1.7303054927751323e-43,6.374124735740121e-25,3.2927821568645997e-60,1.273275601715331e-44,5.563463988629461e-43,1.2974636514162267e-76,1.0622114451141013e-103,1.5064002923092658e-87,1.1785095339435588e-116,1.1760824279775519e-17,2.7153489244444928e-24,1.0264896167045903e-60,9.234148925899968e-65,6.298357148718908e-108,4.209641196868579e-77,1.7614197250158446e-80,2.559424790465466e-105,7.043288755411756e-101,9.807987029114386e-95,4.1291158815916766e-150,3.605968920370686e-168,2.6876925503029836e-160,7.588882517004267e-188,8.903413969896453e-114,9.547099893599566e-130,1.5683631310466574e-122,9.250889098352357e-72,2.47879645640412e-119
2.2496112129566855e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306284,0.4515426283560999,2.717443820982267e-57,0.4569006123410269,3.2732762052993947e-80,1.7510721364645452e-90,2.196143954300801e-47,2.336404835249419e-124,3.7336086029569325e-150,3.6928745372444666e-17,7.556698678900969e-43,3.6250325816884497e-57,1.760530949414606e-67,7.55669867890098e-43,1.3545015063447698e-24,2.912428820182479e-59,5.560729066943532e-44,2.4297108890818896e-42,2.4300058235125396e-75,8.480631412571715e-102,1.3846413983102505e-86,4.63820599960697e-115,2.4991751594522782e-17,5.770116464444524e-24,9.079184403147372e-60,4.032795438752696e-64,5.028569947917345e-106,7.490832316648818e-76,3.270265544466906e-79,2.025360026300722e-103,5.338186604025083e-99,3.4996558904573956e-93,1.371072994700727e-147,1.2676772080834736e-165,1.7855828470730028e-157,2.366332600835277e-184,3.3498808395622603e-112,3.4910562337422675e-128,2.485879456865838e-120,4.064147925779731e-71,3.964333170999061e-117
4.6315524972637646e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306192,0.4515426283560999,2.2841752698087903e-56,0.4569006123410269,1.1347290814347024e-78,6.075283914298612e-89,4.521472847089884e-47,6.855985696487544e-122,5.250641202494654e-148,7.602976988444374e-17,3.1547729445301116e-42,3.047058314450173e-56,3.0408794018808717e-66,3.154772944530119e-42,2.7886795718862665e-24,2.4480724091601895e-58,2.3214949179350074e-43,1.0143564672057746e-41,4.197230752719909e-74,6.04086383515915e-100,1.1845898679300079e-85,1.6387827885958202e-113,5.14536062240167e-17,1.1879651544444517e-23,7.631601535325194e-59,1.683612709942234e-63,3.581915650478585e-104,1.2634386079436122e-74,5.626394669653674e-78,1.43694778946423e-101,3.7118447150038893e-97,1.1823294438550225e-91,3.9770921083046524e-145,3.777057312071827e-163,1.0361197541702408e-154,5.932556736457215e-181,1.160226981844812e-110,1.1914941969993032e-126,3.5299565401370286e-118,1.7377663321310112e-70,5.652021704680901e-115
9.395435065877922e-23,0.002724645380668153,0.0915567593028733,0.0,0.008018631355306009,0.4515426283560998,1.872704890246244e-55,0.45690061234102686,3.777578408452856e-77,2.0233240113350374e-87,9.172130632668048e-47,1.8770114261192623e-119,7.046352622418806e-146,1.5423181890843829e-16,1.28882768554693e-41,2.4981625098318273e-55,5.052466606119342e-65,1.2888276855469359e-41,5.657035702969184e-24,2.007078488405718e-57,9.484064189409689e-43,4.143977144644137e-41,6.973761645279918e-73,4.075389093909978e-98,9.794418105013108e-85,5.505625020264325e-112,1.0437731548300209e-16,2.4098721704444224e-23,6.2568479920379954e-58,6.878107269413678e-63,2.4164921469155403e-102,2.07520253023332e-73,9.330826367641125e-77,9.675752181741415e-100,2.4750712493818528e-95,3.8870363754780127e-90,1.0824289480823298e-142,1.0437236066593729e-160,5.640571504680793e-152,1.34181553383401e-177,3.8637421582989093e-109,3.9398035423203266e-125,4.755646039721585e-116,7.777877783971097e-70,7.629154276095672e-113
1.8923200203106239e-22,0.002724645380668153,0.0915567593028733,0.0,0.00801863135530564,0.45154262835609976,1.5165649732744024e-54,0.45690061234102675,1.232811640671958e-75,6.604471887107763e-86,1.8473446203824377e-46,4.967842153989909e-117,9.277905420005879e-144,3.10635916956413e-16,5.209647570798251e-41,2.023076782889593e-54,8.2367957437163e-64,5.2096475707983e-41,1.139374796513472e-23,1.6253855280633988e-56,3.83361035380391e-42,1.6750618181517676e-40,1.1368991486011342e-71,2.6773642805279634e-96,7.96465814103863e-84,1.8048202735229747e-110,2.1022473400096316e-16,4.8536862024442515e-23,5.0669576774239615e-57,2.780240929770518e-62,1.5875367101562635e-100,3.3639953984801343e-72,1.5197668650409943e-75,6.350663567026023e-98,1.616695065423261e-93,1.2607186029723377e-88,2.856304693933818e-140,2.7998726456537806e-158,2.977031193790964e-149,2.8865971842849476e-174,1.2652418462492758e-107,1.2876261571524862e-123,6.24393929764494e-114,4.247093945239403e-69,1.0026114478442509e-110
3.797873047756287e-22,0.002724645380668153,0.0915567593028733,0.0,0.008018631355304905,0.4515426283560996,1.2206634286619329e-53,0.4569006123410265,3.983824725541199e-74,2.1344546316898947e-84,3.707607734613701e-46,1.2930317839108718e-114,1.2277791288245846e-141,6.234441130523049e-16,2.0947763753553372e-40,1.6283482198113126e-53,1.3302447124512624e-62,2.0947763753553764e-40,2.2867172489464595e-23,1.3082538216595336e-55,1.541477839356706e-41,6.735349897224432e-40,1.8360951352022595e-70,1.7359821579332777e-94,6.423785329696144e-83,5.84521249701125e-109,4.2191957103684627e-16,9.741314266443459e-23,4.07832827966585e-56,1.1179226499167097e-61,1.0293464565058731e-98,5.417619486563173e-71,2.453315674785958e-74,4.1158267554095e-96,1.0452652084187488e-91,4.061525634995969e-87,7.423264920484738e-138,7.597007379474933e-156,1.5474494971963373e-146,6.058276600674161e-171,4.1486876552617605e-106,4.2452270057366035e-122,8.094116082863755e-112,3.4868941769260522e-68,1.3003036621814989e-108
7.608979102647614e-22,0.002724645380668153,0.0915567593028733,0.0,0.008018631355303433,0.45154262835609926,9.79505526803482e-53,0.4569006123410261,1.2810724321178508e-72,6.864108352994726e-83,7.428133963076233e-46,3.3376644534820655e-112,1.7184043154030378e-139,1.2490605052438585e-15,8.400990176806196e-40,1.306646930698373e-52,2.138329522951075e-61,8.400990176806509e-40,4.581402153811956e-23,1.0497947409123945e-54,6.182015393536445e-41,2.7011765533355473e-39,2.951469219100116e-69,1.1182755082482675e-92,5.1599337162683896e-82,1.8817119678585287e-107,8.453092451084566e-16,1.9516570394440066e-22,3.272601480756682e-55,4.4833698292904114e-61,6.630787951846196e-97,8.696506720540193e-70,3.942744870090498e-73,2.6507043409901666e-94,6.723781710272881e-90,1.304066173420364e-85,1.9147101243580962e-135,2.2704916797159802e-153,7.982904188303564e-144,1.2559833827064173e-167,1.4120585003659383e-104,1.4834408694919697e-120,1.0426177504571591e-109,4.256389513870201e-67,1.6753309284666067e-106
