Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525)
0.0,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988206,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0889148662856505e-24,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988203,0.4515426283560999,3.290131770104469e-87,0.4569006123410269,3.987836950183118e-85,4.114057050593311e-98,1.0921566104450188e-48,2.012092093171406e-133,4.445042450343477e-181,1.7878388263834376e-18,1.917358066385056e-48,1.702935097913721e-59,1.3427510452314765e-74,1.9173580664020853e-48,6.572704979205299e-26,7.626748204077739e-65,1.788591277154975e-48,2.3387103945815598e-42,3.5333640433053455e-80,-1.6197013032301434e-108,2.475072169500527e-90,-2.6914264356379545e-118,2.7934981662241204e-18,1.4140612312224742e-66,-9.650931035895618e-113,-6.906562901547151e-125,2.3621785677758844e-151,1.7509049243942605e-134,2.733280084994968e-90,-6.171965756461317e-116,3.776436922296271e-52,8.761029381745555e-96,1.077237192735933e-200,-1.1100336336838944e-112,7.82609111314996e-101,3.573176679988519e-98,1.0307236866549196e-167,-5.995490263077067e-233,-1.7506337468969073e-209,-2.4777406137343594e-222,5.288693046450651e-193,1.9228071319636275e-176
3.0489616255998216e-24,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988192,0.4515426283560999,1.9872395891430994e-86,0.4569006123410269,2.4079386666016e-83,2.4338705776847334e-96,3.058038509246052e-48,5.385730428417875e-131,3.008986533266286e-178,5.005948713873617e-18,1.1580842720965715e-47,2.0217245482302522e-58,4.221824360444553e-73,1.1580842721167885e-47,1.8403573941774816e-25,9.054462560150267e-64,1.0803091312386616e-47,1.4125810783272553e-41,1.110946205357501e-78,8.393598034075775e-107,3.7403292001105133e-89,2.65930160209422e-117,7.821794865427528e-18,8.540929868866936e-66,5.001294750879838e-111,6.373334757936449e-123,6.6489098650013185e-149,2.761341487416854e-132,4.1305330188321315e-89,6.098297249472742e-115,2.2809675307359513e-51,1.9598045596431142e-94,1.4011864408933314e-198,1.0967842856070914e-111,4.7601189734072476e-99,1.1234639404969193e-96,7.581572029704515e-165,4.5694134087502985e-230,1.1885523920700232e-205,9.961401042446787e-220,1.2853428089078886e-189,2.5905512306447493e-173
6.969055144228165e-24,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988175,0.4515426283560999,9.567703187463796e-86,0.4569006123410269,1.0862556066149818e-81,1.095083123806301e-94,6.98980230684812e-48,2.496432322282606e-128,9.660290580991154e-175,1.1442168488853948e-17,5.575677257047714e-47,1.9849411501088398e-57,9.418657922843834e-72,5.575677257246207e-47,4.20653118669138e-25,8.889718343075722e-63,5.201223431522519e-47,6.800969827443076e-41,2.4784598714740406e-77,8.809422577844255e-105,4.0236754812289413e-88,1.4667240760267403e-115,1.78783882638343e-17,4.11209014585032e-65,5.249062280008342e-109,1.3586855897389645e-120,6.425693146256202e-146,1.319224774421524e-129,4.4434389498635333e-88,3.363484380135819e-113,1.0981875977720558e-50,3.8722405533798184e-93,3.104278469287837e-196,6.049257130652733e-110,2.148869287888569e-97,2.5063862511314415e-95,9.994613930589823e-162,8.137811954260958e-226,1.397817249013237e-201,7.901935916298196e-216,6.611698448175632e-186,6.663024644078839e-170
1.4809242181484847e-23,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988142,0.4515426283560999,4.178467348032676e-85,0.4569006123410269,4.1011718714175004e-80,4.127376098529317e-93,1.4853329902052255e-47,8.412693553677786e-126,1.5047137947941947e-171,2.4314608038814512e-17,2.4350447443089934e-46,1.7556579685250572e-56,1.7640103909846193e-70,2.4350447444845587e-46,8.938878771719154e-25,7.862852315289947e-62,2.2715109194612006e-46,2.9701622011184807e-40,4.6418810400141985e-76,7.033389278100352e-103,3.6984509848074843e-87,5.77251877329689e-114,3.7991575060647684e-17,1.7958579290134062e-64,4.1908193231662504e-107,2.1729425754761738e-118,4.368540261558427e-143,4.480181857767343e-127,4.084285941538649e-87,1.3237511441901613e-111,4.796073595157745e-50,6.890442515816343e-92,5.1310124194903724e-194,2.3807784246498784e-108,8.113658777627225e-96,4.6941840615249304e-94,7.463403841222307e-159,8.033549227370405e-222,8.876019150027452e-198,2.677322760351122e-212,1.975990941282819e-182,9.954486336971478e-167
3.048961625599822e-23,0.002725616131494464,0.0915567593028733,0.0,0.008021488274988076,0.4515426283560998,1.7444278645093895e-84,0.4569006123410269,1.4228736972248274e-78,1.4305767463775953e-91,3.0580385092460525e-47,2.464219216139905e-123,1.8853176234429053e-168,5.005948713873519e-17,1.0165832467973329e-45,1.4757363088723373e-55,3.046889272749058e-69,1.0165832469449058e-45,1.8403573941774615e-24,6.609199946371158e-61,9.483110928745117e-46,1.2399842512070527e-39,8.01769513237218e-75,5.0099744826002164e-101,3.1641026808116267e-86,2.0395610727720513e-112,7.821794865427374e-17,7.497355525323573e-64,2.9851750070954538e-105,3.098003644681079e-116,2.5649663958939063e-140,1.3146721109106245e-124,3.4941926268068786e-86,4.6771113489325023e-110,2.0022662821884045e-49,1.1621736200189992e-90,7.425019986009033e-192,8.411827121773124e-107,2.8149998157899765e-94,8.108035605773433e-93,4.573196578119417e-156,9.412792032959073e-218,4.479747555949374e-194,6.946103715491883e-209,4.8443122279299414e-179,1.2200774147805326e-163
6.185036440502496e-23,0.002725616131494464,0.0915567593028733,0.0,0.008021488274987944,0.4515426283560997,7.126557019317084e-84,0.4569006123410269,4.738757376306704e-77,4.762017048398143e-90,6.203449547327706e-47,6.743567697056548e-121,2.1314686792487672e-165,1.0154924533857487e-16,4.15307426611249e-45,1.2098977862452867e-54,5.062452099128881e-68,4.1530742673223823e-45,3.733296428188519e-24,5.418620931441595e-60,3.874160230723556e-45,5.06574026307868e-39,1.3321520344069846e-73,3.3799131989783544e-99,2.616141280050493e-85,6.852072477427057e-111,1.5867069584152314e-16,3.06291797857127e-63,2.0139089453150783e-103,4.181715682840487e-114,1.404780928420502e-137,3.5992703138365156e-122,2.8890660592963967e-85,1.5713138696876225e-108,8.179911020315525e-49,1.9088734750086955e-89,1.0092816173852944e-189,2.826022219949595e-105,9.375119947273724e-93,1.3471622427072726e-91,2.556340089161597e-153,1.397684705625543e-213,2.0321206471461058e-190,1.5958061722034162e-205,1.0833119425998468e-175,1.364122410514837e-160
1.2457186070307845e-22,0.002725616131494464,0.0915567593028733,0.0,0.00802148827498768,0.4515426283560995,2.8806682910514323e-83,0.4569006123410269,1.5468089625911565e-75,1.5540060992062276e-88,1.249427162349104e-46,1.784616394144257e-118,2.292309664561613e-162,2.045287617382474e-16,1.6787390203071432e-44,9.798065960194978e-54,8.253074626249897e-67,1.6787390212869457e-44,7.519174496210496e-24,4.388139502027605e-59,1.5659974996997514e-44,2.047653208554471e-38,2.171744023090639e-72,2.220465015583745e-97,2.1274026343350797e-84,2.246204404327797e-109,3.1957619021601107e-16,1.2380862940390403e-62,1.3230559813182661e-101,5.495544959388025e-112,7.436871389864415e-135,9.526104431068183e-120,2.349340578685631e-84,5.1509848465576474e-107,3.306450806769632e-48,3.0943660010421703e-88,1.3308937712536185e-187,9.264092839011955e-104,3.06019483021247e-91,2.1962144625877634e-90,1.3669203717280024e-150,2.280551486161177e-209,8.754633218768571e-187,3.458753028418156e-202,2.3172466291380412e-172,1.4589118645988443e-157
2.500148532991854e-22,0.002725616131494464,0.0915567593028733,0.0,0.008021488274987153,0.45154262835609904,1.1583040501923774e-82,0.4569006123410269,4.999018930460229e-74,5.021637697732651e-87,2.507591577581815e-46,4.644885154327037e-116,2.4053043936062614e-159,4.1048779453756515e-16,6.750135767029954e-44,7.886335897234945e-53,1.3328737591451673e-65,6.750135774916255e-44,1.5090930632253884e-23,3.5319563187964315e-58,6.296807006470345e-44,8.233523492535103e-38,3.5073723634107365e-71,1.4397322432032608e-95,1.7158272840306403e-83,7.274708281180239e-108,6.413871789649432e-16,4.978385291237941e-62,8.578592126679015e-100,7.127264815327727e-110,3.871571561669626e-132,2.4794579874967403e-117,1.8948283513943337e-83,1.6682325243389375e-105,1.329509324469571e-47,4.98338088657336e-87,1.7289461083100016e-185,3.000331258812951e-102,9.89002031990507e-90,3.54689222650407e-89,7.151368719228238e-148,3.7838255923780746e-205,3.677083974205067e-183,7.285676978658264e-199,4.8494890587783954e-169,1.5265681657365685e-154
5.009008384913993e-22,0.002725616131494464,0.0915567593028733,0.0,0.008021488274986098,0.4515426283560982,4.645317305420506e-82,0.4569006123410269,1.6076095239448456e-72,1.6147801123147876e-85,5.0239204080479625e-46,1.1989626294642741e-113,2.493192663686514e-156,8.224058601360917e-16,2.7071063497796263e-43,6.328287893439714e-52,2.1425556477818967e-64,2.7071063561078856e-43,3.023444290433844e-23,2.8341724253194795e-57,2.5253011892358424e-43,3.302011173843262e-37,5.6379985252244814e-70,9.274388711161863e-94,1.3782457675304228e-82,2.341898990504959e-106,1.2850091564626326e-15,1.9967073789789553e-61,5.526110812327683e-98,9.182876066503272e-108,1.9987736872508438e-129,6.400151203001903e-115,1.5220292798192238e-82,5.370431328084873e-104,5.331927023434188e-47,7.99942973222804e-86,2.2294483205651804e-183,9.658769070246805e-101,3.18048219729034e-88,5.701525676225235e-88,3.701130745836785e-145,6.263128980297094e-201,1.5251122347496443e-179,1.513175193097801e-195,1.0039458595850749e-165,1.580145958753032e-151
1.002672808875827e-21,0.002725616131494464,0.0915567593028733,0.0,0.008021488274983987,0.4515426283560965,1.8605499068107639e-81,0.4569006123410269,5.157065423914006e-71,5.17990212717317e-84,1.0056578068991955e-45,3.082051220516053e-111,2.568594549689752e-153,1.6462419913327077e-15,1.084254559085842e-42,5.0703311689944277e-51,3.436076088784102e-63,1.0842545641561506e-42,6.05214674484986e-23,2.270786727388505e-56,1.0114376241979166e-42,1.3225267894186504e-36,9.041814631432397e-69,5.9549170612759886e-92,1.1048345469154103e-81,7.516541269264796e-105,2.5722531114573122e-15,7.999684543892237e-61,3.5482157975284743e-96,1.1792619905249557e-105,1.0276257245865618e-126,1.6452243980112935e-112,1.2200950220973472e-81,1.723689608777425e-102,2.1355519266876502e-46,1.2819945138916724e-84,2.8642330487544405e-181,3.1000711649214985e-99,1.0202697831451015e-86,9.143695312965256e-87,1.9051924808191842e-142,1.0324402216785537e-196,6.2860419100807514e-176,3.120747491990009e-192,2.067184701316203e-162,1.6268014041770923e-148
