Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460),C2H4O(229),SX(525),SX(419)
0.0,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871932023,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1048065778180546e-24,0.0027079452504016393,0.0915567593028733,0.0,0.00796948287193202,0.4515426283560999,1.3576309932359346e-87,0.4569006123410269,3.72298634800359e-85,3.0045412920664156e-98,6.754564291294477e-49,1.962082294249676e-133,2.8090812773289884e-181,1.8080410359303554e-18,1.684848158748417e-48,1.541967319716114e-59,1.1723702524332364e-74,1.6848481587638366e-48,6.372255577005637e-26,6.014844564669569e-65,1.4946466666896368e-48,2.1424825155960145e-42,2.7510624749111747e-80,-1.2551407005833424e-108,1.4013929571980748e-90,-1.5170865989257806e-118,2.8250641186411807e-18,8.844240733566742e-67,-6.839671539249986e-113,-5.050999533314965e-125,1.7814107844356372e-151,1.2973440377881733e-134,1.548593487114348e-90,-3.629002563763145e-116,2.6936161682754936e-52,4.992423133344353e-96,2.5081218628680587e-201,-6.468822254174221e-113,5.5402093498869555e-101,2.2895821123330917e-98,6.948941549196571e-168,-2.5745255610844442e-233,-9.868856277102209e-210,-1.0420929350439428e-222,3.2894178898186687e-193,1.1908396303905459e-176,8.66382099534269e-186
3.093458417890553e-24,0.0027079452504016393,0.0915567593028733,0.0,0.00796948287193201,0.4515426283560999,8.200091199145047e-87,0.4569006123410269,2.257410111047794e-83,1.777426129665967e-96,1.8912780015624536e-48,4.279485373393331e-131,1.9020011309224354e-178,5.0625149006049876e-18,1.0176482878840419e-47,1.8306236019592448e-58,3.6861195590897024e-73,1.017648287902348e-47,1.7842315615615765e-25,7.14081575073216e-64,9.02766586542303e-48,1.2940594394199867e-41,8.649780263846667e-79,6.504375915535017e-107,2.1177849786983765e-89,1.4989786348184965e-117,7.910179532195296e-18,5.341921430370545e-66,3.544446847323231e-111,4.6610318626821185e-123,5.0138841770827315e-149,2.046033312833775e-132,2.3402344148037655e-89,3.58568675657262e-115,1.6269439755604213e-51,1.116783932376344e-94,3.2623709423246914e-199,6.391610313140986e-112,3.3700013805862676e-99,7.198812392125281e-97,5.111350498531102e-165,1.9961085088465747e-230,6.70023216857994e-206,4.1895855662151626e-220,7.995734978390901e-190,1.604389212563404e-173,1.1479603162794107e-182
7.070762098035551e-24,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871931992,0.4515426283560999,3.9479909283300985e-86,0.4569006123410269,1.0187707837409919e-81,7.997228689749213e-95,4.322921146428465e-48,2.003490505355596e-128,6.105764854678336e-175,1.1571462629954222e-17,4.899538445640372e-47,1.7973171078494998e-57,8.223529957117163e-72,4.899538445820103e-47,4.0782435692835968e-25,7.010891248311357e-63,4.346432504659897e-47,6.23033915535312e-41,1.9297183916013896e-77,6.826607106609727e-105,2.2782164355558898e-88,8.267539294316627e-116,1.808041035930348e-17,2.571905277574951e-65,3.7200411435034876e-109,9.93651998826821e-121,4.8459113587410985e-146,9.774878785286579e-130,2.517517390670502e-88,1.9776670239263122e-113,7.83303448679928e-51,2.206575559699559e-93,7.227667726587449e-197,3.525259679505682e-110,1.5213467415899e-97,1.606015443385339e-95,6.738177091426823e-162,3.674351336215312e-226,7.879921959236087e-202,3.3234114404763275e-216,4.113008375566085e-186,4.126567632149507e-170,3.0255236897213597e-179
1.5025369458325546e-23,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871931959,0.4515426283560999,1.7241913614096374e-85,0.4569006123410269,3.8465501074302225e-80,3.0141550142333986e-93,9.186207436160489e-48,6.76898253671853e-126,9.510363871948914e-172,2.4589358088652584e-17,2.139757161610466e-46,1.5897066279225057e-56,1.5401761495380362e-70,2.139757161769436e-46,8.666267584727615e-25,6.2010521869375255e-62,1.8982012645531532e-46,2.720952794806848e-40,3.614148978927493e-76,5.450321494001722e-103,2.0940734052161204e-87,3.2538175752394185e-114,3.8420872013519674e-17,1.1232187129769428e-64,2.970058169671105e-107,1.5891452368335958e-118,3.294526502071606e-143,3.3196188732495103e-127,2.3140322166091252e-87,7.783413534337589e-112,3.4208918684369335e-50,3.9264821638261535e-92,1.194649805876618e-194,1.3874203065889367e-108,5.744288394096668e-96,3.007889184341859e-94,5.031683777979243e-159,3.932916541432328e-222,5.003682579931811e-198,1.1260335660093566e-212,1.2292338843179795e-182,6.165047151066412e-167,4.519885975243939e-176
3.093458417890554e-23,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871931893,0.4515426283560998,7.198159526136927e-85,0.4569006123410269,1.3345411521102714e-78,1.0447255480664535e-91,1.8912780015624536e-47,1.9839363671011023e-123,1.191583152206374e-168,5.062514900604887e-17,8.933064937683898e-46,1.3362442077779967e-55,2.6602712842340703e-69,8.933064939020137e-46,1.7842315615615567e-24,5.212357287360771e-61,7.924616607504282e-46,1.1359442297689258e-39,6.242543577821779e-75,3.8823347503444314e-101,1.791523884495723e-86,1.14964713404821e-112,7.910179532195138e-17,4.689218869777306e-64,2.1156109901411347e-105,2.265673189538451e-116,1.9343667858394942e-140,9.74114553848166e-125,1.979703288418414e-86,2.750055547287691e-110,1.4281549977987779e-49,6.622585110359841e-91,1.7287619697230102e-192,4.902068853918903e-107,1.992958134844729e-94,5.195380557137266e-93,3.0831614535783613e-156,5.045018793192571e-218,2.5253702618613524e-194,2.921405686078022e-209,3.0135833724035282e-179,7.55622594119065e-164,5.53992774948352e-173
6.275301362006552e-23,0.0027079452504016393,0.0915567593028733,0.0,0.00796948287193176,0.4515426283560997,2.940683036588765e-84,0.4569006123410269,4.444576256316194e-77,3.477616995468925e-90,3.8365925174552647e-47,5.430009534116758e-121,1.3471535225469662e-165,1.026967308408397e-16,3.649448505775247e-45,1.0955337340105828e-54,4.420080528705061e-68,3.6494485068707766e-45,3.619441167739113e-24,4.273405122615101e-60,3.2374644495891537e-45,4.640702828080906e-39,1.0372079493489287e-73,2.619165928166875e-99,1.4812665899640248e-85,3.862333710385646e-111,1.6046364193881198e-16,1.9157019692158942e-63,1.4272690504225859e-103,3.058227876957091e-114,1.0594146947413955e-137,2.6669019346477264e-122,1.6368569764512387e-85,9.239036878666753e-109,5.834479127723601e-49,1.0877615121699718e-89,2.3499030631981303e-190,1.6468901825928475e-105,6.637380534159842e-93,8.632202500605156e-92,1.7234354768456623e-153,7.847336768819489e-214,1.1455683576762484e-190,6.71167235077772e-206,6.739153816945207e-176,8.448330425372959e-161,6.193940841976575e-170
1.2638987250238546e-22,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871931492,0.4515426283560995,1.1886711008657396e-83,0.4569006123410269,1.4507834884162196e-75,1.1348628940869797e-88,7.72722154924091e-47,1.4370472716629722e-118,1.4488071513715403e-162,2.068398945104143e-16,1.4751654356957158e-44,8.871916214316437e-54,7.205846839778287e-67,1.4751654365829042e-44,7.289860380094085e-24,3.4607141307134777e-59,1.3086348862962835e-44,1.8758462815644958e-38,1.6909107266669182e-72,1.7206851097550085e-97,1.2045413867873095e-84,1.266126565288237e-109,3.2318733517252193e-16,7.74362332934952e-63,9.376575134473421e-102,4.0190749609152697e-112,5.608513676871563e-135,7.058426881771831e-120,1.3310649315958525e-84,3.028684458076915e-107,2.3583897419631217e-48,1.7633082144522025e-88,3.098710345226091e-188,5.39873446104805e-104,2.1665513334705954e-91,1.4072668736652375e-90,9.215515074683275e-151,1.2995414235227697e-209,4.935253628866394e-187,1.4546890138267694e-202,1.4415326178914734e-172,9.035383773611158e-158,6.6242911172869196e-167
2.536635902670254e-22,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871930958,0.45154262835609904,4.779594216926959e-83,0.4569006123410269,4.688681276643074e-74,3.6672117700318143e-87,1.5508479612812628e-46,3.7402871441493605e-116,1.5202216798579213e-159,4.151262218495353e-16,5.931575336798997e-44,7.140890008545599e-53,1.163746191750259e-65,5.931575343939859e-44,1.463069880480348e-23,2.7854837339266277e-58,5.261963267011298e-44,7.542695395451825e-38,2.7308253126294237e-71,1.115678840123431e-95,9.715062596321162e-84,4.100562438411412e-108,6.48634721639897e-16,3.113756999303642e-62,6.07969842149872e-100,5.212406007623888e-110,2.919744604811394e-132,1.8371699616870694e-117,1.0735521248937752e-83,9.808900762570551e-106,9.482981413167318e-48,2.8397534419386224e-87,4.025492748427707e-186,1.7484703620310934e-102,7.001919232889013e-90,2.2727397620359466e-89,4.821315682016114e-148,2.164724690259197e-205,2.072884331467791e-183,3.0642240634452465e-199,3.0168129709139695e-169,9.454395134067458e-155,6.931457613724569e-164
5.082110257963052e-22,0.0027079452504016393,0.0915567593028733,0.0,0.007969482871929891,0.4515426283560982,1.9168310535642587e-82,0.4569006123410269,1.5078095933348073e-72,1.1792448112629904e-85,3.1070995739963004e-46,9.654650415780843e-114,1.575768841278424e-156,8.316988765276653e-16,2.3788270062470078e-43,5.730114514309346e-52,1.870688022269519e-64,2.3788270119771e-43,2.9312375654220066e-23,2.2351752105853558e-57,2.1102825730696747e-43,3.0249582088712423e-37,4.389721844535448e-70,7.186919158545361e-94,7.803666503598972e-83,1.3200670965182096e-106,1.299529494574468e-15,1.2488845195851466e-61,3.916387057050093e-98,6.715742942698281e-108,1.507374720925497e-129,4.742232214336704e-115,8.623355075080879e-83,3.157714957668825e-104,3.803099680686231e-47,4.558433058040943e-86,5.190808452651465e-184,5.628735627279771e-101,2.2517122165957723e-88,3.653362798584315e-88,2.4952313899624683e-145,3.586746102049054e-201,8.597522594684821e-180,6.36414138663489e-196,6.245436396724334e-166,9.786214987680815e-152,7.174717714783455e-161
