Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495),SX(318),SX(533),SX(213),S(309),C2H4O3(79),SX(386),SX(390),SX(718),SX(572),S(233),SX(1093),SX(1139),SX(217)
0.0,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216018,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3459303432942295e-24,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216013,0.4515426283560999,3.1422376537999087e-62,0.4569006123410269,4.986876723383207e-83,1.1458573916487157e-95,5.754534834590001e-47,1.273266598714234e-129,-7.25361746012413e-149,3.935489240126975e-18,2.4776428714365886e-47,4.2897357853598206e-58,1.0108324651412297e-72,2.477642871479482e-47,1.9001670080988834e-25,4.6784694580023623e-63,3.191205073688228e-47,2.3049784126505065e-41,5.56408823006861e-78,-1.4709303568682115e-105,1.2906834488163924e-87,-8.076116973613323e-115,1.0919802016011543e-19,2.9124596086381296e-66,-1.560393450575308e-109,-2.156443105122244e-121,3.378629214365807e-147,1.1874083599736739e-130,1.4193839711136947e-87,-1.408522518175399e-112,3.049288028529082e-163,1.889265399164278e-125,2.5445686627351863e-189,5.389517832698855e-98,1.9851787919669335e-95,9.2274192946582e-144,-4.744673806409976e-156,1.6592059108097386e-180,-2.687386735120366e-109,8.49981681802434e-191,2.1771525002150423e-201,1.0087180533860141e-194,-4.108448713547122e-184,-1.4029323319361792e-148,-2.2036150609253485e-166,-2.4080671083630553e-144,-5.037591758362848e-169,2.318418749103601e-171,-1.3910591689031602e-165,2.4258587841694874e-178,5.280432743933518e-226,6.389994317656497e-161,-3.198207554048895e-147,1.9659152787092254e-229,3.449541619631733e-244,-4.3665347008848265e-162,3.76464848244644e-167,3.914137163644972e-149,-3.6589369000586764e-181,-1.6506797953390156e-183
6.568604961223843e-24,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216008,0.4515426283560999,3.7304645426483554e-61,0.4569006123410269,2.7261702329301673e-81,6.963953349628898e-94,1.6112697536852004e-46,2.0467584140507077e-127,4.822142789543146e-147,1.1019369872355527e-17,1.4964962943476985e-46,5.0927743241788234e-57,3.178218708802005e-71,1.4964962943986214e-46,5.320467622676871e-25,5.554258908050878e-62,1.9274878638836616e-46,1.3922069612408925e-40,1.7494381709673155e-76,7.622638252981709e-104,1.950480737518382e-86,7.97972021845881e-114,3.057544564483231e-19,1.759125902360649e-65,8.086253108963574e-108,1.9899525743674883e-119,9.513987223185019e-145,1.8726543486774635e-128,2.1449729582832383e-86,1.3917103549839956e-111,2.242928542847154e-160,5.058968663340672e-124,6.531618457599649e-186,3.278648179682824e-96,6.241719601448612e-94,1.8629651034806772e-141,3.15421852752474e-154,2.1984555380279207e-177,2.655310012878582e-108,2.028063398692244e-187,9.352644472513238e-198,-4.58346164373932e-192,-1.0063897360778812e-181,-1.048545300735355e-146,-2.986585684109096e-164,7.183591671305695e-143,-6.827507986623874e-167,3.123548709894853e-168,-1.0397749777023014e-163,1.807411528780154e-176,-1.4767403071249392e-222,4.7002128774297114e-158,1.0296409942512892e-144,1.6826799350965587e-226,-1.7314413216097442e-240,2.3165573315282746e-160,4.9881778201555096e-164,2.8790752368840017e-146,1.356079854095431e-177,6.1667947149728715e-180
1.501395419708307e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215994,0.4515426283560999,3.662592209446194e-60,0.4569006123410269,1.2170489153315403e-79,3.1434904892497774e-92,3.682902294137601e-46,9.764947100831983e-125,9.433813086881514e-145,2.5187131136812584e-17,7.20498547013758e-46,5.000116031115019e-56,7.090431085733226e-70,7.20498547063755e-46,1.2161068851832832e-24,5.453193971639095e-61,9.280024344924913e-46,6.702877223987465e-40,3.902900306836722e-75,8.000268900924002e-102,2.0982381647458064e-85,4.401173501127867e-112,6.988673290247378e-19,8.469440449470273e-65,8.486851483718558e-106,4.242237358930544e-117,9.190093892251566e-142,8.946564606685455e-126,2.3074640210669202e-85,7.675906633756631e-110,2.9568016802602367e-157,2.1220103316709266e-122,3.37844094067e-182,1.4801316509097776e-94,1.392493306435953e-92,8.800599539152306e-139,6.170764600403936e-152,5.7941721338747945e-174,1.4645225328713796e-106,1.0687732901672544e-183,9.856179167232364e-194,7.886638766629107e-189,7.522860636427489e-179,1.9900849778501627e-144,1.1223258807535699e-161,9.267465953682628e-141,2.5657020172603834e-164,8.033920366585669e-165,1.973869052288036e-161,1.2071452247936724e-173,6.201465458446387e-219,6.196183666169839e-155,5.3769362089364415e-142,5.716430903101684e-223,1.4559987219471194e-236,6.468371854610075e-158,1.3146659658636274e-160,3.7954193969134318e-143,8.17585464863103e-174,3.7141470327036e-176
3.190465266880152e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215964,0.4515426283560999,3.2395213319332934e-59,0.4569006123410269,4.589889260830597e-78,1.1868472628936983e-90,7.826167375042403e-46,3.315102641764525e-122,1.4679177005450725e-142,5.3522653665726497e-17,3.146606446724444e-45,4.422546004964459e-55,1.3279592710936905e-68,3.146606447166661e-45,2.584227131014469e-24,4.823283884777423e-60,4.05283043391157e-45,2.9273225840659223e-39,7.309700321483285e-74,6.387365904158847e-100,1.9286423657597468e-84,1.7321496967262334e-110,1.485093074177564e-18,3.6988390041117965e-64,6.775850468639078e-104,6.784599929251907e-115,6.2478183649975595e-139,3.038317438070886e-123,2.120956976011511e-84,3.0209714175271035e-108,2.2079697256336995e-154,7.75887123259691e-121,1.0120436386235694e-178,5.588686962713224e-93,2.6079858528351956e-91,2.9712713676395894e-136,9.601816889292845e-150,8.656022193170366e-171,5.7638542550338444e-105,3.1937836628071733e-180,5.891012485030762e-190,1.0811057012309694e-185,4.860537859753457e-176,3.186802583530353e-142,3.6152388814936375e-159,7.954099441502792e-139,8.264645634740647e-162,1.200258963772102e-161,3.162241694100465e-159,4.743439930206028e-171,1.8878979496015258e-215,4.626954196152525e-152,1.8970154991723997e-139,1.841586590550973e-219,8.867702129527516e-233,1.6335910322290206e-155,1.9640038104167386e-157,2.8342012858258496e-140,2.5951221728290426e-170,1.1786516448814656e-172
6.568604961223843e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215905,0.4515426283560998,2.7230128756549795e-58,0.4569006123410269,1.5922271076254035e-76,4.117583738684556e-89,1.6112697536852004e-45,9.72712065814273e-120,2.0636712790934194e-140,1.1019369872355351e-16,1.313646250435657e-44,3.7174163955417004e-54,2.2937194014414445e-67,1.3136462508073672e-44,5.320467622676815e-24,4.054258963494182e-59,1.6919769213642622e-44,1.222099554387097e-38,1.2625689477463559e-72,4.549803632809931e-98,1.64999414581034e-83,6.120075531590518e-109,3.0575445644832056e-18,1.544212709047279e-63,4.82652624124508e-102,9.672927153584946e-113,3.6683476266361626e-136,8.9156898402953e-121,1.8145233470540114e-83,1.0673773344521396e-106,1.3529322246513448e-151,2.647208047716071e-119,2.483999916808139e-175,1.9389739851030446e-91,4.504647001162557e-90,8.695446744860767e-134,1.3498708908599922e-147,1.0609503916183509e-167,2.0364997009528274e-103,7.82968044495254e-177,2.8885134599793645e-186,1.2642491399213546e-182,2.7610077607529267e-173,4.522766578047327e-140,1.0265917790214416e-156,5.846521788802498e-137,2.34684831162386e-159,1.4711043846880382e-158,4.491881578959284e-157,1.4850756760781924e-168,4.607341720814186e-212,2.8351636233003597e-149,5.660075315651621e-137,4.680931300280818e-216,4.328530206954171e-229,8.754045910752667e-153,2.407237372021551e-154,1.7366552656547537e-137,6.548248382178687e-167,2.9738934962258353e-169
1.3324884349911224e-22,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215789,0.45154262835609976,2.2324904735639838e-57,0.4569006123410269,5.302692117175833e-75,1.3713032425721056e-87,3.2685757860471213e-45,2.6630115292910793e-117,2.765652718739429e-138,2.235357888392044e-16,5.366673565246314e-44,3.047762557897083e-53,3.811049093596505e-66,5.366673568293819e-44,1.079294860600141e-23,3.32392582874708e-58,6.912277764107296e-44,4.992675440935784e-38,2.09777717879345e-71,3.0694649856252497e-96,1.364247062633872e-82,2.0560894982842508e-107,6.202447545094442e-18,6.308947162841506e-63,3.256152259313056e-100,1.3056611792435311e-110,2.009073255954753e-133,2.4409111062345773e-118,1.5002829932955843e-82,3.5859415762709216e-105,7.562663890029175e-149,8.741226448614098e-118,5.558081719476205e-172,6.457591439557904e-90,7.484538367551643e-89,2.3775341688728683e-131,1.8090449467578646e-145,1.1862008155405421e-164,6.841787534732428e-102,1.750871366212051e-173,1.2918828322338717e-182,1.3817213868827104e-179,1.4875813461669346e-170,6.090213214864097e-138,2.7652810775359606e-154,4.002523701043378e-135,6.321592828423835e-157,1.6447861590405358e-155,6.059321891004593e-155,4.191809822357662e-166,1.0277938346115685e-208,1.5848088525150601e-146,1.5616859364118853e-134,1.0648907659159423e-212,1.9312533932649983e-225,8.279156673519963e-150,2.6914220623856323e-151,9.707611235461725e-135,1.4851268848041708e-163,6.744476645834576e-166
2.6837443127285983e-22,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215557,0.45154262835609965,1.8079286676777919e-56,0.4569006123410269,1.7308832211369657e-73,4.476122801615175e-86,6.583187850770976e-45,7.0480972867617675e-115,3.621420974238881e-136,4.502199690704934e-16,2.1692952608004003e-43,2.468157137963985e-52,6.21297189025653e-65,2.1692952632683494e-43,2.17379105726502e-23,2.6918012266532335e-57,2.794053159229799e-43,2.018119239237909e-37,3.41990621653029e-70,2.0165131850934508e-94,1.1093830465616588e-81,6.740146553027176e-106,1.2492253506316728e-17,2.550720947597586e-62,2.1391591255060537e-98,1.7158793579741602e-108,1.0635958053334517e-130,6.460302167440423e-116,1.2200052149165629e-81,1.175521387235451e-103,4.043890424193654e-146,2.840988092865342e-116,1.189239851997701e-168,2.107865296899107e-88,1.2201686548153296e-87,6.28857557979337e-129,2.368812710647396e-143,1.2686182428869648e-161,2.2428328487014677e-100,3.745120523206814e-170,5.526740775104073e-179,1.4612955251611058e-176,7.81139061691939e-168,7.993869188454992e-136,7.259987713423512e-152,2.6481915108593027e-133,1.659675272667764e-154,1.759078207535537e-152,7.981404420244529e-153,1.1260006820078473e-163,2.195746891524467e-205,8.474253916462944e-144,4.1488254245620545e-132,2.2969235732366302e-209,8.251867374273771e-222,8.65701256434773e-147,2.8784191966740622e-148,5.1908317855782747e-132,3.198938644205074e-160,1.4526765191211323e-162
5.386256068203551e-22,0.0028455292168589937,0.0915567593028733,0.0,0.00837439248521509,0.45154262835609943,1.4551782795341444e-55,0.4569006123410269,5.593913557370236e-72,1.4465993246247025e-84,1.321241198021887e-44,1.834479207506466e-112,4.688128017528651e-134,9.03588329533021e-16,8.72264083460605e-43,1.986587589452773e-51,1.0033966226129232e-63,8.722640854470254e-43,4.362783450594621e-23,2.1665960317716062e-56,1.1234764618363665e-42,8.11476870086111e-37,5.523157556752669e-69,1.3074914294934768e-92,8.947576044212391e-81,2.182909065792951e-104,2.5071865428760564e-17,1.0265104427980551e-61,1.3870141311574967e-96,2.2253527821311713e-106,5.536983307153517e-128,1.6814897967801373e-113,9.839784049087903e-81,3.807122412354518e-102,2.1156573099673254e-143,9.16169036669406e-115,2.489178406215379e-165,6.812257044514382e-87,1.97057564046726e-86,1.6362792049534556e-126,3.066557938327901e-141,1.327446015133421e-158,7.263788877100777e-99,7.837655988561672e-167,2.3132455410574793e-175,1.5206025347409437e-173,4.050083935683507e-165,1.0360982871473554e-133,1.8820491862983156e-149,1.7230584117371778e-131,4.302473529905045e-152,1.8406545128987094e-149,1.0417623362481137e-150,2.952239379139202e-161,4.5923235333578545e-202,4.433507275040882e-141,1.0818527412033852e-129,4.826762835923729e-206,3.45172207236325e-218,9.032889151459935e-144,3.0118889739705452e-145,2.715706919026694e-129,6.717888415668661e-157,3.0503855812538407e-159
1.0791279579153457e-21,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485214158,0.45154262835609893,1.1676889278830802e-54,0.4569006123410269,1.79891862639333e-70,4.652037691751444e-83,2.647086023911772e-44,4.7352850493010763e-110,6.034737776429142e-132,1.810325050457873e-15,3.498169104323027e-42,1.5941114296229896e-50,1.612930774423172e-62,3.4981691202628e-42,8.74076823725319e-23,1.7385573721362136e-55,4.5056429001925397e-42,3.254385190941501e-36,8.878314083176035e-68,8.422526613705758e-91,7.187179463274142e-80,7.027295489172997e-103,5.023108927364527e-17,4.1308501631618066e-61,8.934791980262519e-95,2.86717812422995e-104,2.8585732084256327e-125,4.340379410882089e-111,7.903849680524438e-80,1.225601865338219e-100,1.094940596180172e-140,2.943061860201805e-113,5.153493417306794e-162,2.1907203861800995e-85,3.1676428060148e-85,4.223019386920672e-124,3.947390720398789e-139,1.3740376187172931e-155,2.3383837382706334e-97,1.622557921364038e-163,9.577824435306033e-172,1.569628153110244e-170,2.0867052864182404e-162,1.3345107939881164e-131,4.8483360947718937e-147,1.111869037173435e-129,1.10835773388423e-149,1.905255638113087e-146,1.3605587296368458e-148,7.648201175798536e-159,9.50406607498492e-199,2.2945243904028085e-138,2.795111446080199e-127,1.0012828618981993e-202,1.428711315319628e-214,9.346601412143034e-141,3.1175879510543662e-142,1.4054912083640319e-126,1.3931451711889447e-153,6.324654538124266e-156
