Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495),SX(318),SX(533),SX(213),S(309),C2H4O3(79),SX(386),SX(390),SX(718),SX(572),S(233),SX(1093),SX(1139),SX(217),SX(923)
0.0,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682041,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.353295414657922e-24,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682036,0.4515426283560999,4.6322198205224756e-62,0.4569006123410269,7.52861309361541e-83,2.0163997441698128e-95,1.166827500655267e-46,2.063231575568968e-129,-1.3807143937198046e-148,3.967100103857686e-18,3.125008536315247e-47,5.3094004207092905e-58,1.3483265474585198e-72,3.125008536368336e-47,2.0338687003002982e-25,7.040382215057013e-63,4.3191808394639754e-47,2.7376503666066724e-41,8.727896590101233e-78,-2.435197221892843e-105,3.111193553069417e-87,-2.0534928324478976e-114,1.100751267977728e-19,5.952929900959152e-66,-2.933032393882058e-109,-3.96939544269261e-121,6.237399527078757e-147,2.196105144663043e-130,3.418278396740389e-87,-3.3708414673188527e-112,6.610530544993278e-163,3.67968205091419e-125,6.4872673854568114e-189,9.912264183580559e-98,4.1122581066196796e-95,1.7506381450509383e-143,-1.0673846142372656e-155,4.139378557235226e-180,-6.517844309764639e-109,2.1271874475315987e-190,5.46570744193369e-201,2.2860094647471392e-194,-9.901820940811311e-184,-3.0422654482161078e-148,-4.8169323051994335e-166,-7.60101713602292e-144,-1.1601579487730806e-168,5.796668207711267e-171,-4.507345902142939e-165,9.98971424559862e-178,1.5909818070448165e-225,1.46841810333156e-160,-6.930698872787708e-147,6.961554493668407e-229,1.0484270950018232e-243,-1.5862788288793184e-161,7.583925111937245e-167,7.753342600702571e-149,-8.68510357865183e-181,-4.0981463756009026e-183,-6.714023661862101e-166
6.5892271610421814e-24,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682031,0.4515426283560999,5.499371371006888e-61,0.4569006123410269,3.4433198247631723e-81,1.2254691881076067e-93,3.267117001834748e-46,3.362150344122225e-127,9.178871784747373e-147,1.1107880290801512e-17,1.8875051559344076e-46,6.303320179029268e-57,4.239354198132879e-71,1.8875051559974347e-46,5.694832360840831e-25,8.35829808944463e-62,2.6087852261895924e-46,1.6535408214304128e-40,2.744190342917371e-76,1.261965179032855e-103,4.701635673005788e-86,2.028982349891122e-113,3.0821035503376367e-19,3.5955700770678972e-65,1.5199528575379896e-107,3.6629342408668796e-119,1.7565799822898956e-144,3.4634640172756467e-128,5.165702287509887e-86,3.330607110783992e-111,4.8624296077482025e-160,9.853246564395152e-124,1.65449561089865e-185,6.0299182893333746e-96,1.2929597415301139e-93,3.6451792942353485e-141,7.095882076447978e-154,5.484696116942942e-177,6.440047345140964e-108,5.075487313724544e-187,2.3479669574928734e-197,-1.0387281559375074e-191,-2.425512145363397e-181,-2.273775779786652e-146,-6.528446455588815e-164,2.2674868024775743e-142,-1.5723760619212678e-166,7.809709507039801e-168,-3.369004958005973e-163,7.442941374751335e-176,-4.449384567970696e-222,1.0801072861860817e-157,2.2313320967804798e-144,5.958711730407071e-226,-5.257554271094659e-240,8.394221928260901e-160,1.004873900191944e-163,5.703034196653558e-146,3.2188843524723363e-177,1.5369942984309861e-179,3.884118659500546e-163
1.50610906538107e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682017,0.4515426283560999,5.399315423057072e-60,0.4569006123410269,1.5039455318524516e-79,5.5316979501519485e-92,7.467696004193709e-46,1.6025129477183615e-124,1.7957112451605227e-144,2.5389440664689118e-17,9.087524823604714e-46,6.18863712972373e-56,9.457765996269639e-70,9.087524824223515e-46,1.3016759681921882e-24,8.206204021023547e-61,1.25601778684615e-45,7.961087266091935e-40,6.122137693938954e-75,1.3244837891599804e-101,5.057805105234462e-85,1.1190747426763389e-111,7.044808115057448e-19,1.7311131186775284e-64,1.595252326173529e-105,7.808747152682472e-117,1.696588915918696e-141,1.6546622548146217e-125,5.557026794887434e-85,1.8369791618032604e-109,6.410030331475807e-157,4.132994750360647e-122,8.552370513335163e-182,2.722171572859062e-94,2.8845220576027003e-92,1.719858651511799e-138,1.3882049491275027e-151,1.4455272383708115e-173,3.5519748734957077e-106,2.6747414883671257e-183,2.474378582691328e-193,1.787311510450055e-188,1.8130937973797354e-178,4.3155093275236976e-144,2.4533180044574353e-161,2.925257712520078e-140,5.908815410727629e-164,2.0086955661201103e-164,6.395170317736192e-161,4.971038180327817e-173,1.8684872827453371e-218,1.4238808351643976e-154,1.165229677483152e-141,2.0242924239746846e-222,4.4229022924117105e-236,2.295403460679012e-157,2.6484089562770057e-160,7.518180236850191e-143,1.9406770493576067e-173,9.252418710875323e-176,4.067567618827678e-160
3.200481763934774e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681988,0.4515426283560999,4.775633346703606e-59,0.4569006123410269,5.65846177531446e-78,2.0885314944705648e-90,1.586885400891163e-45,5.439050722157835e-122,2.7941578842495153e-142,5.3952561412464124e-17,3.968760841120336e-45,5.4737794570579845e-55,1.7713349001423313e-68,3.968760841667658e-45,2.7660614324083918e-24,7.258284829870455e-60,5.485359652996178e-45,3.476815965590192e-39,1.1466086335366604e-73,1.0574597805287185e-99,4.648994270483828e-84,4.4042912102424405e-110,1.4970217244497041e-18,7.560242326572707e-64,1.2736397268321972e-103,1.2488510401818715e-114,1.1534087872255392e-138,5.619351566047355e-123,5.107865016206166e-84,7.229714753517657e-108,4.786642610756837e-154,1.511178979264338e-120,2.5612627526904893e-178,1.0278376310037623e-92,5.402390578009068e-91,5.80286248364236e-136,2.160071010304051e-149,2.1595002400109195e-170,1.397934482635765e-104,7.992851170765537e-180,1.4789296314492085e-189,2.4500585334721168e-185,1.1714441432243252e-175,6.91059749085808e-142,7.902633965580226e-159,2.5106961129997214e-138,1.9033490675207917e-161,3.0009693290206966e-161,1.0244024265040456e-158,1.9533541236056148e-170,5.68819310296922e-215,1.0632724511437935e-151,4.110996070957331e-139,6.521380665529727e-219,2.6937783241025967e-232,5.124197718427994e-155,3.956507141507489e-157,5.614145333899173e-140,6.159960336153308e-170,2.9358588582357796e-172,2.8714485184521088e-157
6.589227161042182e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681929,0.4515426283560998,4.014207581923287e-58,0.4569006123410269,1.9623776224721163e-76,7.245837393567971e-89,3.2671170018347474e-45,1.5958281691545678e-119,3.9281653003089997e-140,1.1107880290801335e-16,1.6568795259543168e-44,4.601041453571819e-54,3.059540541078047e-67,1.6568795264143746e-44,5.6948323608407726e-24,6.101021820751623e-59,2.290029669273034e-44,1.4515022243746027e-38,1.9804812677058867e-72,7.532423259099848e-98,3.977312469385415e-83,1.5561354149294894e-108,3.0821035503376105e-18,3.156280587369191e-63,9.072301092718968e-102,1.7805095747803954e-112,6.7721192861626116e-136,1.64895198339762e-120,4.369886061151503e-83,2.5544212758355855e-106,2.933012604116746e-151,5.155911260201054e-119,6.285632292447859e-175,3.566042903874279e-91,9.331286245216714e-90,1.6977045850431275e-133,3.036734622858489e-147,2.646854025412758e-167,4.939217804495668e-103,1.959477524631317e-176,7.251568947600464e-186,2.8651078142236545e-182,6.654338394049296e-173,9.80764215409441e-140,2.2440506214770704e-156,1.845443301041487e-136,5.404795004375843e-159,3.678155525500951e-158,1.454748970457163e-156,6.115559042303857e-168,1.388181463691608e-211,6.515196057905727e-149,1.2265866422377302e-136,1.6575987324402424e-215,1.3149055258702578e-228,2.1873779039355475e-152,4.849405994675035e-154,3.440064438346451e-137,1.5543372335644494e-166,7.407372277935286e-169,1.7139366559732482e-154
1.3366717955256996e-22,0.0028733546784512542,0.0915567593028733,0.0,0.00845628281868181,0.45154262835609976,3.291089904726162e-57,0.4569006123410269,6.535212687692535e-75,2.4131238892073807e-87,6.627580203721915e-45,4.368869194649529e-117,5.264375752537306e-138,2.2533128589910853e-16,6.76889349000004e-44,3.772211766838971e-53,5.083472371531773e-66,6.768893493771871e-44,1.1552374217705425e-23,5.0019848307371934e-58,9.355518365514722e-44,5.929860200082556e-38,3.2905992292820607e-71,5.081649958415241e-96,3.288518851544732e-82,5.2279643739153265e-107,6.252267202113377e-18,1.2894902690259639e-62,6.120508253877836e-100,2.4033492584241357e-110,3.708937479810328e-133,4.514451803969001e-118,3.6131063019316876e-82,8.581787490253044e-105,1.6395047805947976e-148,1.702510232052671e-117,1.4063508135963027e-171,1.1876407329240118e-89,1.550407166248156e-88,4.641246493437306e-131,4.069714712370934e-145,2.9593284322277808e-164,1.6593706735992166e-101,4.3817795552341724e-173,3.243252393365193e-182,3.131329591016554e-179,3.585237899749929e-170,1.3206658096773787e-137,6.044691616288634e-154,1.2633888691484258e-134,1.4558637286535898e-156,4.112406543844482e-155,1.96133942587795e-154,1.7261921981815495e-165,3.096719184312253e-208,3.6418851816567146e-146,3.3843062315402124e-134,3.770961508359326e-212,5.866715356765697e-225,1.8977089909745058e-149,5.4218991571738895e-151,1.9229382387905489e-134,3.525199206667501e-163,1.6799027478003824e-165,9.459225958337856e-152
2.692169954368663e-22,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681576,0.45154262835609965,2.6652099335059764e-56,0.4569006123410269,2.1331889610010095e-73,7.87676867844652e-86,1.3348506607496262e-44,1.156289169281578e-114,6.89331695220812e-136,4.538362518812862e-16,2.7360949739535454e-43,3.054834889976141e-52,8.287342978315852e-65,2.7360949770080737e-43,2.3267457931434317e-23,4.0507366146594735e-57,3.781650063374724e-43,2.3969443031799597e-37,5.364507190660379e-70,3.3384365623817437e-94,2.674168896506899e-81,1.7137992330363462e-105,1.2592594505664726e-17,5.213084465216902e-62,4.0209240971257294e-98,3.1584437408408655e-108,1.9634966627853936e-130,1.194829368269695e-115,2.938118041833107e-81,2.813228972233427e-103,8.766722644045509e-146,5.533332566738122e-116,3.0090118187116775e-168,3.8766566877675515e-88,2.5275549853533578e-87,1.227522824235751e-128,5.3289952570929545e-143,3.1649435725763108e-161,5.439647220660617e-100,9.372644688643063e-170,1.3874801735695504e-178,3.311664683186877e-176,1.8826327559257755e-167,1.7334745683400765e-135,1.5869774403818103e-151,8.358965312714622e-133,3.822234516344231e-154,4.3981673162466e-152,2.5807626870917636e-152,4.636884004721438e-163,6.615734881331103e-205,1.9473805761141698e-143,8.990856828421894e-132,8.13380091113437e-209,2.506737283973099e-221,1.9578656476831793e-146,5.7986069232137064e-148,1.0282291576810775e-131,7.593220454703159e-160,3.618292201155582e-162,5.026289435780573e-149
5.4031662720545895e-22,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681106,0.45154262835609943,2.145192824748406e-55,0.4569006123410269,6.894092232923202e-72,2.54562448861199e-84,2.6790359415045175e-44,3.0095877285513854e-112,8.923776769671915e-134,9.108461838455907e-16,1.1001717552437676e-42,2.4587968840823514e-51,1.3384081080639106e-63,1.1001717577023175e-42,4.66976253588904e-23,3.260385406820065e-56,1.5205848245376675e-42,9.638007621639017e-37,8.663693256734241e-69,2.1646162388088056e-92,2.156814062434264e-80,5.550425131707745e-104,2.5273249112766672e-17,2.0973818433510155e-61,2.6071358956936074e-96,4.096238772265183e-106,1.022178332517275e-127,3.1099062185493304e-113,2.369698644689515e-80,9.111112045015355e-102,4.586519136598954e-143,1.7844031039893483e-114,6.298009613555302e-165,1.2528685051839245e-86,4.0820080600304565e-86,3.1938871046075474e-126,6.898676560003417e-141,3.31170793487388e-158,1.761720629174357e-98,1.96147462348502e-166,5.807370926052635e-175,3.4460693435863355e-173,9.76115658240298e-165,2.2467843651502155e-133,4.114014676155365e-149,5.438800568254404e-131,9.90860266555902e-152,4.6021299518745184e-149,3.3614422054169393e-150,1.2157356351954716e-160,1.3836565179994326e-201,1.0188184158859062e-140,2.3444665867299094e-129,1.709239524209112e-205,1.0485588522596746e-217,2.0393723262055052e-143,6.067483238405909e-145,5.3794250108553117e-129,1.5946040926940374e-156,7.597806928008577e-159,2.6214155886483378e-146
1.0825158907426443e-21,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818680166,0.45154262835609893,1.7213821459286368e-54,0.4569006123410269,2.2170364197813504e-70,8.186330671053942e-83,5.36740650301466e-44,7.768555123889833e-110,1.148702696633867e-131,1.8248660477739954e-15,4.412180802370982e-42,1.9730296498612e-50,2.1514519549464205e-62,4.4121808220992956e-42,9.355796021379581e-23,2.616254553232711e-55,6.098224974724879e-42,3.865272126698129e-36,1.3926633280917271e-67,1.3943906177988822e-90,1.732470297694155e-79,1.786811830791355e-102,5.063455832696758e-17,8.431093370382887e-61,1.6794505814036464e-94,5.2776558648427997e-104,5.277189954550149e-125,8.027508048757554e-111,1.9034708265023192e-79,2.9330803442598555e-100,2.373714286433684e-140,5.732139513459854e-113,1.3039034911157904e-161,4.0290382261765444e-85,6.561708769246817e-85,8.242855559051084e-124,8.880240476129335e-139,3.4279467455947614e-155,5.671391252755893e-97,4.06066337208339e-163,2.404501138133781e-171,3.557173774942629e-170,5.029193872438571e-162,2.8938933920974134e-131,1.059808956743953e-146,3.5095931216535015e-129,2.5525494390292415e-149,4.763650075914994e-146,4.372027754328811e-148,3.1495381995797455e-158,2.863553248036171e-198,5.27280899607901e-138,6.057243038624044e-127,3.5457141889218093e-202,4.34011942799444e-214,2.1097478238302947e-140,6.280414962526819e-142,2.7840760289524552e-126,3.306864822471475e-153,1.5753178392484424e-155,1.3545797637423966e-143
