Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190),SX(577),SX(213),SX(496),S(309),SX(390),C2H4O3(79),SX(386),SX(747),SX(616),S(233),SX(1122),SX(1168),SX(1172),SX(217)
0.0,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216018,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2853115114714815e-24,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216013,0.4515426283560999,5.167956888542082e-63,0.4569006123410269,3.8697119005320336e-84,1.1415917873061291e-96,3.152851442160022e-47,-2.3265834453721253e-131,-1.075189065744227e-150,2.1562147563615587e-18,7.437470843252115e-48,7.055217347041161e-59,9.10861242184506e-74,7.43747084332266e-48,1.0410822879754626e-25,7.694604194699354e-64,9.579465615329247e-48,6.919160923492486e-42,5.014692456294013e-79,-3.9795045975695227e-107,2.122753456621919e-88,-3.987918384440524e-116,3.3690855568149362e-18,4.923233722417995e-65,-4.221541184832406e-111,-3.196452011175731e-123,1.5034256788067767e-149,9.644969108681176e-133,2.3344238551427737e-88,-6.953928052855738e-114,1.3567981074616258e-165,9.329031981744614e-127,1.9575369773738208e-190,2.6695432121069626e-99,1.7888451429554047e-96,7.493828271513451e-146,-6.941597346157423e-158,5.654008117632141e-174,-1.3267634047607073e-110,4.044923786005419e-183,1.135305933533958e-193,1.5932556840686208e-204,2.4591202953922548e-197,-1.8280774950013033e-186,2.666574772971475e-202,-2.07953812682745e-150,-1.7896132216216357e-168,-6.5137079125179e-146,-2.0694817204497505e-167,1.970103301507364e-180,-4.0911595567478916e-171,7.052980353979825e-229,2.6172679927887213e-232,2.843263211223375e-163,-2.5884091636061155e-149,2.5243809957547702e-247,-6.472676514503153e-164,5.169941723478325e-168,1.7422373010613094e-151,-4.888918402886946e-184,-6.095475418438095e-261,5.455812331166045e-187
3.598872232120149e-24,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485216002,0.4515426283560999,6.135398418128614e-62,0.4569006123410269,1.4309438810498535e-82,6.754882926936914e-95,8.827984038048063e-47,2.2263141533309475e-129,7.1477659858352266e-149,6.0374013178123574e-18,4.49223238932427e-47,8.375954033805604e-58,2.863893836705436e-72,4.492232389408023e-47,2.9150304063312924e-25,9.134973937095491e-63,5.78599723063254e-47,4.1791731977894383e-41,1.5766997395347821e-77,2.062254586569377e-105,3.207905135809108e-87,3.940318700975267e-115,9.433439559081808e-18,2.973633171030772e-64,2.1876827481197225e-109,2.949666933381136e-121,4.2335465931010875e-147,1.5211023004701617e-130,3.5277814558724758e-87,6.870926156679512e-113,9.98003958627972e-163,2.4980761813225183e-125,4.753958387345848e-187,1.6197191819243532e-97,5.6244154469831816e-95,1.5129628244366107e-143,4.6147152141074066e-156,7.617507985142999e-171,1.3109271934952995e-109,5.359543286432137e-180,2.708849692835831e-190,6.84433235996659e-201,-1.1173873309469153e-194,-4.477989337001396e-184,-1.211651529963357e-199,-1.5542378707880479e-148,-2.4254847659631675e-166,1.9431276733786592e-144,-1.5514608373904537e-165,1.467846121897614e-178,-5.544798764408438e-169,-1.9724570351822153e-225,2.2506304590478676e-229,2.0913869739024534e-160,8.367078780408655e-147,-1.26708020333343e-243,3.414613301053271e-162,6.850197695799195e-165,1.2815169833472951e-148,1.8119375221129862e-180,3.833790138764114e-209,1.0263615608998464e-182
8.225993673417482e-24,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215983,0.4515426283560999,6.023770549444149e-61,0.4569006123410269,6.049551208661377e-81,3.0393219457377527e-93,2.0178249229824144e-46,8.595321030697263e-127,1.3983552657890222e-146,1.3799774440713917e-17,2.1628165212177046e-46,8.223561338808793e-57,6.389189632149512e-71,2.1628165212999332e-46,6.662926643042943e-25,8.968740423199566e-62,2.7857085993982493e-46,2.012091996551576e-40,3.51753039724373e-76,2.1644200825331904e-103,3.450917966982311e-86,2.1732624431407094e-113,2.1562147563615495e-17,1.4316763736021385e-63,2.2960619764593358e-107,6.288183679833548e-119,4.0894170122887195e-144,7.267032537913403e-128,3.7950263219253264e-86,3.789623861582327e-111,1.3156459106964153e-159,1.0478308480691128e-123,2.4452072327298516e-183,7.308491251592367e-96,1.254776147095457e-93,7.147197756157828e-141,9.028011454595398e-154,1.9592603826539646e-167,7.230351277432496e-108,1.412542335025944e-176,1.4275422020026592e-186,7.212822393117373e-197,1.9226582306379316e-191,3.347340361397019e-181,2.0848560943143734e-196,2.9498634315638676e-146,9.114703612203308e-164,2.506805888020953e-142,2.964243949715621e-163,9.803543022826097e-176,2.0836740776982296e-166,8.283192529877867e-222,7.638096753298969e-226,2.7570277702019684e-157,4.3666956672121777e-144,1.0655106271745953e-239,9.097007445363547e-160,1.8054138745233398e-161,1.6893946804085037e-145,1.0924237048263222e-176,5.804765080783994e-205,5.2295557331214195e-179
1.748023655601215e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215943,0.4515426283560998,5.327956834146285e-60,0.4569006123410269,2.267833266934491e-79,1.1455358506023327e-91,4.28787796133763e-46,2.744843135876105e-124,2.175865080447619e-144,2.932452068651689e-17,9.445587970930079e-46,7.273646875173322e-56,1.1966245078887612e-69,9.445587971657378e-46,1.4158719116466205e-24,7.932735944658905e-61,1.2165921315560004e-45,8.787334372835044e-40,6.587945137736063e-75,1.7280597977923207e-101,3.171988151609516e-85,8.55320946589253e-112,4.5819563572682616e-17,6.252506965323539e-63,1.833161874247342e-105,1.0056676938857687e-116,2.7801602818004195e-141,2.46793631840818e-125,3.488283025268544e-85,1.4914649083766586e-109,9.824488279730038e-157,3.8312653364866185e-122,7.307575356035125e-180,2.7592475445745325e-94,2.350056854893525e-92,2.4130474282875715e-138,1.404774262225311e-151,2.927113705322024e-164,2.845616238531329e-106,2.110223295304524e-173,4.265881933533544e-183,4.3110847842147134e-193,2.6355927163317796e-188,2.162724433926082e-178,2.8579346285638213e-193,4.72373415387277e-144,2.936030556444882e-161,2.151546435408098e-140,4.811077171103405e-161,3.852272008093551e-173,6.711936034434893e-164,2.5216333560102944e-218,2.459973402174673e-222,2.058790032099849e-154,1.5404016840098268e-141,6.489449031910095e-236,1.690145840465305e-157,2.6971411934145122e-158,1.2615429502878928e-142,3.467494377578216e-173,4.046205740270532e-201,1.5948201550346835e-175
3.5988722321201485e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215864,0.45154262835609976,4.478468752908026e-59,0.4569006123410269,7.8616312261490135e-78,3.970530611798877e-90,8.82798403804806e-46,7.936847815208985e-122,3.0589387113962672e-142,6.037401317812224e-17,3.943347041092174e-45,6.113938468629726e-55,2.0668712582882275e-68,3.9433470417035154e-45,2.9150304063312566e-24,6.667937073247727e-60,5.079032654930231e-45,3.668539121635339e-39,1.1379036902648562e-73,1.2309194248261213e-99,2.7137026430023015e-84,3.022041808156578e-110,9.433439559081589e-17,2.610298759516546e-62,1.3057849983807324e-103,1.4337986718134237e-114,1.6323448732634416e-138,7.241953898003163e-123,2.984299584982194e-84,5.2696819041015825e-108,6.019949758208697e-154,1.3071690637003171e-120,1.7914856457872904e-176,9.572866184114564e-93,4.059138799289398e-91,7.061800441787742e-136,1.974901113760433e-149,3.587633960515739e-161,1.0054203953647637e-104,2.5864558700471118e-170,1.045796821422707e-179,2.11383439519732e-189,3.0820721991853055e-185,1.2285263732163654e-175,3.3420796807747604e-190,6.70400704266377e-142,8.337221777652907e-159,1.5814566082217585e-138,7.009627793171226e-159,1.2060689190867986e-170,1.905937223768628e-161,6.153948406336455e-215,6.252360444520372e-219,1.2615224531858474e-151,4.5959218112651976e-139,3.1676498445558022e-232,4.015610870632187e-155,3.3058281565748077e-155,7.730097448315562e-140,8.749497441758652e-170,2.1307913334171375e-197,3.9859057159296634e-172
7.300569385158016e-23,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215704,0.45154262835609965,3.671719261854095e-58,0.4569006123410269,2.6179894538559537e-76,1.3216904564518143e-88,1.790819619146892e-45,2.1652028124967678e-119,4.099471785963299e-140,1.2247299816133057e-16,1.6109859345316977e-44,5.012576145164428e-54,3.4341375096192925e-67,1.6109859350329133e-44,5.913347395700465e-24,5.466775541226784e-59,2.0749505580207604e-44,1.4987179326718464e-38,1.8906439946337742e-72,8.304235518367979e-98,2.243741818826982e-83,1.015279697654183e-108,1.9136405962707856e-16,1.0663925165153901e-61,8.809306257527747e-102,1.9353554967796635e-112,8.939993587607079e-136,1.9826806564912465e-120,2.467476633731295e-83,1.7703928019655233e-106,3.3650508163307925e-151,4.316344093204335e-119,4.006186552102348e-173,3.188143778077283e-91,6.744319825692244e-90,1.9308578866498954e-133,2.646686369697932e-147,4.011197832021897e-158,3.3777921677706694e-103,2.891798985945283e-167,2.3386078753298067e-176,9.454086662816926e-186,3.3684540084696545e-182,6.619079257518098e-173,3.6526210177267357e-187,9.027402071506343e-140,2.245757480605873e-156,1.0826638118046122e-136,9.928164433006204e-157,3.4042787471188973e-168,5.133931772471827e-159,1.3728068454051113e-211,1.4223632957798868e-215,7.051698671895658e-149,1.2680635710077533e-136,1.4133052539914177e-228,2.2542836420873846e-152,3.6960953580445563e-152,4.320994654642306e-137,1.9843649074969294e-166,9.864416003324332e-194,9.018849401936606e-169
1.470396369123375e-22,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485215387,0.4515426283560994,2.9734534548661244e-57,0.4569006123410269,8.545447629636276e-75,4.313127069519579e-87,3.6068620498310636e-45,5.7255853356353544e-117,5.3679600025099274e-138,2.466709681277377e-16,6.511862721867017e-44,4.0593141221589983e-53,5.598510876463773e-66,6.51186272592599e-44,1.1909981374438626e-23,4.427135855265188e-58,8.387281860856922e-44,6.058057508239357e-38,3.0822268671229574e-71,5.4555437691593935e-96,1.8245735769937055e-82,3.328227677999037e-107,3.854233876995882e-16,4.3105339518451524e-61,5.787354662400594e-100,2.5434137370955614e-110,4.7327989235041635e-133,5.2475144355439165e-118,2.0065110622934297e-82,5.803593205885167e-105,1.7993523312350538e-148,1.4028560294523635e-117,8.569354582180316e-170,1.0406615230948628e-89,1.0994943498273442e-88,5.107117294189785e-131,3.465643210614496e-145,4.289925922040398e-155,1.1072871258350215e-101,3.0927200497000287e-164,5.002288562788634e-173,4.044504491330637e-182,3.562445251100804e-179,3.475723457267055e-170,3.862977602098929e-184,1.1849153563997895e-137,5.8960269636631913e-154,7.163233344424598e-135,1.4315761230138967e-154,9.144547067653787e-166,1.3478659392881268e-156,2.932822016289345e-208,3.067965452335811e-212,3.7706683220396276e-146,3.3687725852774144e-134,6.038776486021852e-225,2.1184017136731163e-149,3.952896158513186e-149,2.3105124493085804e-134,4.274289327103559e-163,4.2921963243461304e-190,1.9414846528793676e-165
2.951075230338522e-22,0.0028455292168589937,0.0915567593028733,0.0,0.00837439248521475,0.4515426283560989,2.3932940264749297e-56,0.4569006123410269,2.7617365746634368e-73,1.3937513139899347e-85,7.23894691119942e-45,1.489935028342714e-114,6.94911860485705e-136,4.950669080605139e-16,2.618391360249724e-43,3.2672891578590424e-52,9.041610033532587e-65,2.6183913635167387e-43,2.390324933191393e-23,3.563344034859468e-57,3.3724891068604958e-43,2.4359182797570786e-37,4.977804565192816e-70,3.537332119722568e-94,1.471584678342272e-81,1.077902143368758e-105,7.735420438445451e-16,1.7332546441147258e-60,3.752475764822934e-98,3.2985960923078075e-108,2.463852242561102e-130,1.3658249913248416e-115,1.618323931244246e-81,1.8795906489691844e-103,9.413739208918078e-146,4.523965692466368e-116,1.7933743112014063e-166,3.363236920606322e-88,1.7756863133564956e-87,1.3288653179432595e-128,4.48646518768401e-143,4.488869039662002e-152,3.586134368420726e-100,3.2361308608111678e-161,1.0468602018573112e-169,1.6928462295934575e-178,3.7070279338941056e-176,1.802108284598907e-167,4.019757455078429e-181,1.5357879322535385e-135,1.5284616579917492e-151,4.660791898601439e-133,2.1884065282773575e-152,2.3975911226641027e-163,3.4941519450498786e-154,6.133889029872702e-205,6.447026623469951e-209,1.9727147380668196e-143,8.78444746026353e-132,2.5259953230002514e-221,2.178777262047843e-146,4.136188570043391e-146,1.2087994803111354e-131,8.97616541776417e-160,1.811637507348788e-186,4.076401630097826e-162
5.912432952768816e-22,0.0028455292168589937,0.0915567593028733,0.0,0.008374392485213477,0.4515426283560979,1.9204677340910795e-55,0.4569006123410269,8.881328847978866e-72,4.4818108818932185e-84,1.4503116633936392e-44,3.845717942050871e-112,8.945171450480864e-134,9.918587879259146e-16,1.0500920458758127e-42,2.6217937824996653e-51,1.4534124102458762e-63,1.050092048497386e-42,4.788978524686046e-23,2.8593595286044407e-56,1.3525189374002776e-42,9.76912179289621e-37,8.001675268887199e-69,2.2786593014089386e-92,1.1820568238268682e-80,3.470019463380434e-104,1.5497793561342089e-15,6.951253251948239e-60,2.4172494179241474e-96,4.2499611734278914e-106,1.2720107476307275e-127,3.5255634086899205e-113,1.2999259000956404e-80,6.050842656182453e-102,4.872001510030458e-143,1.4532592198392034e-114,3.712656779760042e-163,1.0815666182184329e-86,2.8543638939219e-86,3.429625091008115e-126,5.775149696533322e-141,4.646414311137224e-149,1.1544606461817667e-98,3.349707833159676e-158,2.167214016568312e-166,7.009091808343872e-175,3.826545984176993e-173,9.28491541261574e-165,4.149358184754885e-178,1.9781189085507513e-133,3.937461371576865e-149,3.007553443683275e-131,3.6763081564208014e-150,6.211305209374074e-161,9.001264924193172e-152,1.2694421025739963e-201,1.3373963615253927e-205,1.0209619352023188e-140,2.269579045928403e-129,1.0455413658137525e-217,2.2503675075170536e-143,4.281343785196201e-143,6.256039984185272e-129,1.8614635932487708e-156,7.531892887714089e-183,8.452412817614442e-159
