Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190),SX(577),SX(213),SX(496),S(309),SX(390),C2H4O3(79),SX(386),SX(747),SX(616),S(233),SX(1122),SX(1168),SX(1172),SX(217),SX(993)
0.0,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682041,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2890269416149785e-24,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682036,0.4515426283560999,7.612824154039105e-63,0.4569006123410269,8.913150394680134e-84,2.003769981131905e-96,6.39134413466973e-47,-7.713749761084948e-131,-2.0430544387768159e-150,2.17299489137851e-18,9.376101494638271e-48,8.725736976511094e-59,1.2137723425858391e-73,9.376101494725522e-48,1.1140596858620998e-25,1.1570621589266577e-63,1.2959029538657778e-47,8.213893624880823e-42,7.858307908444961e-79,-6.578466692707198e-107,5.113092654997969e-88,-1.0127405151430991e-115,3.3953045177789204e-18,1.005786586584786e-64,-7.923323600936699e-111,-5.873547065884784e-123,2.7693372724127928e-149,1.7802952141956707e-132,5.617771402920207e-88,-1.6621340923038646e-113,2.9348336872119373e-165,1.8147436681687985e-126,4.964138852799368e-190,4.91851844155354e-99,3.7018817890000076e-96,1.418920358451741e-145,-1.558905868933925e-157,1.4101512489525486e-173,-3.213870352751831e-110,1.0066253463166707e-182,2.8335052614739146e-193,3.987954454103134e-204,5.559178031190527e-197,-4.396045317531094e-186,6.770877656992954e-202,-4.501664300038302e-150,-3.9042002896506303e-168,-2.0529812841392972e-145,-6.686591398353914e-167,8.096824046013487e-180,-9.40326480144048e-171,2.1192547342299502e-228,9.214703529703022e-232,6.519233991159982e-163,-5.581080049606152e-149,7.649519422673045e-247,-2.347127993439209e-163,1.0389090408767913e-167,3.4434252916480784e-151,-1.1573049710468176e-183,-4.03943266341307e-260,4.692448344481103e-186,-2.9614856676001784e-168
3.6092754365219396e-24,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682026,0.4515426283560999,9.037944835749583e-62,0.4569006123410269,2.0120041302076388e-82,1.1856867531150838e-94,1.7895763577075247e-46,4.3005366479460845e-129,1.35820519671693e-148,6.0843856958598176e-18,5.66316530276151e-47,1.0359194937203113e-57,3.8162945407433893e-72,5.663165302865091e-47,3.119367120413877e-25,1.3736510870480716e-62,7.827253839957866e-47,4.961191749427984e-41,2.4707777312663924e-77,3.4090856333772615e-105,7.726905669474246e-87,1.0006524458856428e-114,9.506852649780962e-18,6.074950986721365e-64,4.1060167044265916e-109,5.420073883905059e-121,7.799028473406123e-147,2.8076927041168758e-130,8.489576204628994e-87,1.642294862768021e-112,2.158740819279145e-162,4.859418951876307e-125,1.2054216686816213e-186,2.976975522650738e-97,1.1639308684905784e-94,2.954476400318769e-143,1.0363473494164771e-155,1.8998623141599856e-170,3.1755096011207493e-109,1.3337833010971872e-179,6.760767454768982e-190,1.7131515293746223e-200,-2.526007733430683e-194,-1.0768387585329154e-183,-3.076586003784452e-199,-3.364525086300749e-148,-5.291411369810123e-166,6.124322361496097e-144,-5.008233902231258e-165,6.032623563244001e-178,-1.2744362120860869e-168,-5.926772522056997e-225,7.958379498209242e-229,4.79528176252479e-160,1.810950467460634e-146,-3.836071049995421e-243,1.2376957665403869e-161,1.3765593414118274e-164,2.5328395428867773e-148,4.289218817701061e-180,1.1160912781423043e-208,2.7949473188976828e-182,1.7267372198819442e-165
8.249772426335863e-24,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818682005,0.4515426283560999,8.873507834178477e-61,0.4569006123410269,7.567072051572608e-81,5.334950917627409e-93,4.090460246188628e-46,1.4845789339836388e-126,2.6571286793609656e-146,1.3907167304822394e-17,2.7265703146407965e-46,1.0170719017855191e-56,8.513943193137947e-71,2.7265703147424934e-46,7.129981989517419e-25,1.3486519927013235e-61,3.7684857877545325e-46,2.388600266115293e-40,5.5121691986168184e-76,3.5779740475947767e-103,8.312252521835567e-86,5.51904692382503e-113,2.1729948913784987e-17,2.92482740371674e-63,4.309431314524006e-107,1.1554667309946597e-118,7.532668721413135e-144,1.3413689646188956e-127,9.132698695502812e-86,9.057992563147868e-111,2.8458189127698223e-159,2.038308175525304e-123,6.200034044685431e-183,1.342642621838952e-95,2.596665740176915e-93,1.393973077889743e-140,2.0274611453804618e-153,4.8865390019305275e-167,1.7514359323920307e-107,3.515272279944651e-176,3.5628706044857468e-186,1.8053854152665141e-196,4.3464332257636725e-191,8.049473703100738e-181,5.293798372482816e-196,6.385695148163631e-146,1.988453840774535e-163,7.90091534805613e-142,9.549752835865588e-163,4.0291063357592183e-175,4.789190262551196e-166,2.4889057553874245e-221,2.698319079276621e-225,6.321510437940499e-157,9.445694953148065e-144,3.227092430664508e-239,3.285672546680804e-159,3.62801111915508e-161,3.3389847497224714e-145,2.5859855916634674e-176,1.689880525513143e-204,1.3313779682058137e-178,1.8061058880620683e-162
1.7530766405963708e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681965,0.4515426283560998,7.848517190332193e-60,0.4569006123410269,2.796745860195285e-79,2.0107740632876954e-91,8.692228023150832e-46,4.555238234770775e-124,4.134538375099037e-144,2.95527305227474e-17,1.190764889819047e-45,8.995885791272498e-56,1.5945673346322237e-69,1.1907648899089968e-45,1.5151211727724463e-24,1.1928644930916833e-60,1.6457967492528166e-45,1.0431644903598117e-39,1.0323682857819664e-74,2.8566326645766075e-101,7.640392139204553e-85,2.1721060212143304e-111,4.6176141441792785e-17,1.2773489841786234e-62,3.4406236504400963e-105,1.847935145641338e-116,5.121008380026865e-141,4.5553851122080513e-125,8.39452354952856e-85,3.5649126508828343e-109,2.1250941699732544e-156,7.452824540480736e-122,1.852889406726085e-179,5.068505942653307e-94,4.863267552992986e-92,4.7033133099829887e-138,3.1547647556568854e-151,7.300436133969035e-164,6.893046185385663e-106,5.251530768344898e-173,1.0646820447570341e-182,1.0790740784378797e-192,5.95811960401563e-188,5.200783754747335e-178,7.256774053895273e-193,1.0225668684838843e-143,6.405212342933824e-161,6.781213627151549e-140,1.5437658821449226e-160,1.5832249118515933e-172,1.5426951309265894e-163,7.576918827690908e-218,8.688100210915786e-222,4.720540987778163e-154,3.331683276795751e-141,1.9654669793324497e-235,5.933914476697985e-157,5.419952939645312e-158,2.493362101597052e-142,8.20825330908168e-173,1.1779293971667444e-200,3.9856862306948547e-175,1.2746864755542478e-159
3.60927543652194e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681885,0.45154262835609976,6.597151607582005e-59,0.4569006123410269,9.679079503560527e-78,6.969532016539328e-90,1.7895763577075238e-45,1.303833512658981e-121,5.812538471728444e-142,6.084385695859681e-17,4.9712090124570896e-45,7.5615840502252e-55,2.754218530170845e-68,4.971209013213172e-45,3.1193671204138377e-24,1.0026732833260838e-59,6.87087744198586e-45,4.3550063999113384e-39,1.783159479212896e-73,2.0348165268861246e-99,6.53651632675739e-84,7.67454045626695e-110,9.506852649780741e-17,5.332680816483949e-62,2.4508008839910434e-103,2.6346346543739184e-114,3.0067465825799684e-138,1.3367398793960735e-122,7.181691670453421e-84,1.2595640420569777e-107,1.3021502768243876e-153,2.542789606283482e-120,4.5424318919182245e-176,1.7584139864852617e-92,8.400085289219787e-91,1.376016856124457e-135,4.435124273816042e-149,8.94782206891964e-161,2.435468678791971e-104,6.4366898569044236e-170,2.61010768703213e-179,5.290974467431076e-189,6.967447836437476e-185,2.9542829850476186e-175,8.486099311830411e-190,1.4512449804648193e-141,1.8188392370595674e-158,4.984412572081638e-138,2.231969029745606e-158,4.956758904504144e-170,4.380673558848529e-161,1.8491176513404432e-214,2.2080741554833051e-218,2.8925088745760372e-151,9.940094497696665e-139,9.5939712309773e-232,1.217346292047308e-154,6.643120158748142e-155,1.5278062480944742e-139,2.0711811871490015e-169,6.203147563232569e-197,9.915766014190663e-172,7.608037357621707e-157
7.321673028373078e-23,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681726,0.45154262835609965,5.4087434717803716e-58,0.4569006123410269,3.222572063634173e-76,2.3199844329828192e-88,3.630283468492405e-45,3.5480246078430426e-119,7.789740075898697e-140,1.2342610983029327e-16,2.030901088144525e-44,6.199443455992179e-54,4.576175282295393e-67,2.0309010887644074e-44,6.327859015696554e-24,8.220516615133547e-59,2.8069776177572104e-44,1.7791622147232852e-38,2.962746135430995e-72,1.3727621265397352e-97,5.404518092453391e-83,2.578324725011924e-108,1.928532966098327e-16,2.1785745346581307e-61,1.6534004896041482e-101,3.5562556720660957e-112,1.6467275029984653e-135,3.659686789487566e-120,5.937961617458087e-83,4.2316085757801217e-106,7.278801363893844e-151,8.396431037289231e-119,1.0157941539965324e-172,5.856181763658174e-91,1.3956867344189408e-89,3.761804908041238e-133,5.943782643978854e-147,1.0004221411814335e-157,8.182156504802123e-103,7.196571275173815e-167,5.836715636769554e-176,2.3663790056828023e-185,7.614853277249703e-182,1.5917145653455133e-172,9.274615705415137e-187,1.954200205311891e-139,4.899320097757617e-156,3.4123244904552917e-136,3.1159916106760346e-156,1.3991065290018495e-167,1.1800010452424266e-158,4.1249636840482805e-211,5.023129049009988e-215,1.616863887814927e-148,2.742559259789832e-136,4.280543070626623e-228,5.504739202699909e-152,7.427369002091807e-152,8.5401803457973e-137,4.6973889405002465e-166,2.871721728788856e-193,2.2411022215155693e-168,4.198822572960325e-154
1.4746468212075353e-22,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818681405,0.4515426283560994,4.380140695843918e-57,0.4569006123410269,1.0518624152216848e-74,7.570903214350938e-87,7.311697690062166e-45,9.376491608434132e-117,1.0200097803479076e-137,2.485906155736766e-16,8.209226911426701e-44,5.020470042070018e-53,7.460320682343433e-66,8.209226916446667e-44,1.2744842806261714e-23,6.657185755936564e-58,1.1346252259328034e-43,7.191658135473859e-38,4.830023930942413e-71,9.018486826572479e-96,4.39486433999449e-82,8.452106086945208e-107,3.884228368338674e-16,8.806153422211487e-61,1.0862166386026484e-99,4.673575237251302e-110,8.717709578410516e-133,9.686007268072957e-118,4.8286518762776424e-82,1.3871799949647121e-104,3.8921041350987566e-148,2.728926066313812e-117,2.172813136015719e-169,1.9115493319426162e-89,2.2753216310385706e-88,9.949269959650983e-131,7.782950863535628e-145,1.0699389695651072e-154,2.6822243966488914e-101,7.696586912131474e-164,1.248475161107341e-172,1.0123485957740124e-181,8.053397144490207e-179,8.358201249056427e-170,9.808746256865991e-184,2.56503677827293e-137,1.2862708305374556e-153,2.257697754837057e-134,4.380038995560537e-154,3.758269065093704e-165,3.097982769474009e-156,8.812444626403392e-208,1.0834598330685619e-211,8.645657912964665e-146,7.285946128565114e-134,1.8289956616298301e-224,4.826527315913637e-149,7.943414749762169e-149,4.566585838893325e-134,1.0118098344818766e-162,1.2495398822426196e-189,4.82307085663071e-165,2.231094245938679e-151
2.9596058579479904e-22,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818680763,0.4515426283560989,3.525518297658764e-56,0.4569006123410269,3.399421782295904e-73,2.4464750512984884e-85,1.4674526133201698e-44,2.439616158198247e-114,1.3204585988062448e-135,4.98919627060405e-16,3.300894035592693e-43,4.0409110608749306e-52,1.2048437846297161e-64,3.300894039633199e-43,2.5578810387390943e-23,5.358281859491507e-57,4.562278075552805e-43,2.8917341062111197e-37,7.80050145863092e-70,5.84751666285725e-94,3.544617277961984e-81,2.7373557785247316e-105,7.795619172818735e-16,3.540926574156576e-60,7.042944228051155e-98,6.0612383964378026e-108,4.538359638660838e-130,2.521077539445597e-115,3.89448283611913e-81,4.492614238537246e-103,2.036246744680325e-145,8.800309971168124e-116,4.547210628039001e-166,6.177792279882621e-88,3.6746505147605497e-87,2.588696929647093e-128,1.0075456702497845e-142,1.1195568404188715e-151,8.686831868575996e-100,8.053482502985374e-161,2.6127624834474398e-169,4.2372330359734864e-178,8.380246171325952e-176,4.333596704085251e-167,1.0206836526402725e-180,3.3245855988060394e-135,3.334475331104109e-151,1.4689817989832284e-132,6.4289489112007834e-152,9.853733024021199e-163,8.03108247170687e-154,1.8430902767681973e-204,2.276781944010023e-208,4.523181390610774e-143,1.8998902492690703e-131,7.65062071202119e-221,4.913068805531357e-146,8.311744085686518e-146,2.3891178711273935e-131,2.124837987130628e-159,5.27401044081263e-186,1.0125958839045875e-161,1.1636058357957215e-148
5.929523931428901e-22,0.0028733546784512542,0.0915567593028733,0.0,0.008456282818679479,0.4515426283560978,2.829006407718412e-55,0.4569006123410269,1.0932024245947844e-71,7.866998258616587e-84,2.9400183019481046e-44,6.29673041610793e-112,1.6997448514958753e-133,9.995776500337086e-16,1.3238061443665252e-42,3.2425766386634784e-51,1.9367512003736081e-63,1.323806147608776e-42,5.124674554964504e-23,4.299684053759565e-56,1.829677516821144e-42,1.1597147125585945e-36,1.2539077978215562e-68,3.766821366992927e-92,2.8472293186182765e-80,8.812189386450345e-104,1.561840078177633e-15,1.4200876206853616e-59,4.536885486212728e-96,7.809391353814138e-106,2.343014528166007e-127,6.507582424184569e-113,3.128260674890898e-80,1.446277778131366e-101,1.0538423656701522e-142,2.8269736078722277e-114,9.41366760877077e-163,1.9866851965443304e-86,5.906893392094714e-86,6.680967433815077e-126,1.2969513490205522e-140,1.1588497838845371e-148,2.7964946377955926e-98,8.33613474469949e-158,5.4089528438973634e-166,1.7543924119638489e-174,8.650433151129673e-173,2.232778088834896e-164,1.0535914455832194e-177,4.282118316998478e-133,8.589922907990754e-149,9.479164408145836e-131,1.0217529913268794e-149,2.5527514942243606e-160,2.0688825812018295e-151,3.8143767919199866e-201,4.723044134162195e-205,2.34093451854135e-140,4.908618871640173e-129,3.1666900260121364e-217,5.067822414393204e-143,8.60343604302267e-143,1.2364678465250624e-128,4.4064567328967787e-156,2.1926640312546714e-182,2.0995745725558277e-158,6.012767940226627e-146
