Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59)
0.0,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525484209,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3465507904722271e-24,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525484157,0.4515426283560999,2.0307456172456807e-87,0.4569006123410269,1.883410342073491e-84,5.873463785700344e-95,1.7386565682622513e-48,4.705227746920659e-130,2.6009338768186674e-175,2.1911398869386042e-18,2.0973178595332286e-45,6.20750401836915e-60,9.802972415977649e-71,2.0973178595332348e-45,7.16718714447189e-26,3.914210921153093e-62,9.069727955331642e-46,4.2369302958659807e-44,9.035141826089469e-79,-2.922940712780252e-106,2.4412848219876583e-89,-1.6081012717069602e-118,1.4828671597405848e-18,3.4236560733415796e-29,1.9105197077254025e-63,8.241507388381621e-80
3.7703422133222364e-24,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525484064,0.4515426283560999,1.2265703528163912e-86,0.4569006123410269,1.120499935929831e-82,3.573114609641192e-93,4.868238391134303e-48,7.420585920343196e-128,1.6837881687830833e-172,6.135191683428045e-18,1.2667799871580626e-44,7.3695487703654845e-59,3.082211231634849e-69,1.26677998715807e-44,2.0068124004521213e-25,4.6469511826126984e-61,5.478115684040068e-45,2.5591058986954133e-43,2.8407931371443173e-77,1.5147230567928032e-104,3.68926958820133e-88,1.5889069598133656e-117,4.152028047273608e-18,9.586237005356387e-29,2.2681689965317023e-62,1.843592228150432e-78
8.617925059022254e-24,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525483877,0.4515426283560999,5.9054082549504384e-86,0.4569006123410269,5.04506965211467e-81,1.6130747284321183e-91,1.1127402036878406e-47,3.5451684720284427e-125,5.50440510938014e-169,1.4023295276406738e-17,6.099000335522511e-44,7.235466683415227e-58,6.876243695487168e-68,6.099000335522582e-44,4.586999772461953e-25,4.56240421400726e-60,2.637476887940074e-44,1.2320993300263684e-42,6.337653213797843e-76,1.5897634644325064e-102,3.968747869580337e-87,8.763534338955061e-116,9.490349822339523e-18,2.1911398869385854e-28,2.2269017698370498e-61,3.64262756050598e-77
1.831309075042229e-23,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525483506,0.4515426283560999,2.5790469339020147e-85,0.4569006123410269,1.902291306452053e-79,6.090663238182939e-90,2.364572932836662e-47,1.2039646143732913e-122,8.599106854766438e-166,2.979950246236337e-17,2.663593681607076e-43,6.39968834230207e-57,1.2878443432019955e-66,2.6635936816071398e-43,9.747374516481493e-25,4.035394851875547e-59,1.1518554488077376e-43,5.380901475631387e-42,1.1869723058936877e-74,1.2692574575194307e-100,3.647963046985332e-86,3.4490240754485985e-114,2.0166993372470848e-17,4.656172259744419e-28,1.9696693947524553e-60,6.481861107093836e-76
3.770342213322236e-23,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525482765,0.4515426283560999,1.0767013262636602e-84,0.4569006123410269,6.595010677410014e-78,2.1131340128566843e-88,4.868238391134303e-47,3.532934043268001e-120,1.0790374101734793e-162,6.135191683427361e-17,1.1119979291244057e-42,5.379323661706069e-56,2.224430838549206e-65,1.111997929124459e-42,2.0068124004520066e-24,3.391992516907269e-58,4.808769748242405e-43,2.2464204427615763e-41,2.050199476239796e-73,9.041085628278208e-99,3.1209091894916506e-85,1.2186179951102159e-112,4.152028047273146e-17,9.586237005355853e-28,1.655625804731453e-59,1.0932606146625991e-74
7.64840848988225e-23,0.0005284065757894736,0.0915567593028733,0.0,0.001555100552548128,0.4515426283560998,4.398676236778834e-84,0.45690061234102686,2.1955720196231818e-76,7.037618509968977e-87,9.875569307729586e-47,9.672362035416947e-118,1.2208284658878834e-159,1.2445674557808205e-16,4.542874376462401e-42,4.410294542694867e-55,3.695925107243853e-64,4.5428743764628396e-42,4.070962298059519e-24,2.7809603921695885e-57,1.9645393424589688e-42,9.177360497155283e-41,3.406437083045434e-72,6.09944915592241e-97,2.580428070327216e-84,4.0940470004155e-111,8.422685467324452e-17,1.9446366496577775e-27,1.3573820584280544e-58,1.7956838378491773e-73
1.540454104300228e-22,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525478309,0.45154262835609976,1.7780152636882205e-83,0.45690061234102675,7.165325990842198e-75,2.2971958822653744e-85,1.9890231140920148e-46,2.559961400318947e-115,1.3134383449376109e-156,2.5066640306565064e-16,1.8363024572778142e-41,3.5715708649388e-54,6.025290727546071e-63,1.836302457278169e-41,8.199262093273732e-24,2.2520938136897824e-56,7.940982076598893e-42,3.70963584594268e-40,5.553352152910795e-71,4.007089132434584e-95,2.098361252110508e-83,1.342085470450522e-109,1.69640003074238e-16,3.916662547901785e-27,1.0992431753413222e-57,2.910880868931703e-72
3.0916806149242334e-22,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525472367,0.45154262835609965,7.149321175338114e-83,0.4569006123410266,2.315484689819494e-73,7.424140058058234e-84,3.991955480730134e-46,6.663076991751116e-113,1.3784355621070193e-153,5.03085718040595e-16,7.383691417194737e-41,2.874710951197163e-53,9.730860617437086e-62,7.383691417197592e-41,1.645586168369892e-23,1.8126810082169427e-55,3.1930339283394974e-41,1.4916282577788058e-39,8.968678454823854e-70,2.598165416029278e-93,1.6924043681604674e-82,4.346569900365831e-108,3.404662998760942e-16,7.860714344388294e-27,8.847665265023768e-57,4.6878838596186304e-71
6.194133636172245e-22,0.0005284065757894736,0.0915567593028733,0.0,0.0015551005525460486,0.4515426283560994,2.8671975525155055e-82,0.45690061234102625,7.445889697987346e-72,2.387492127954789e-82,7.997820214006476e-46,1.7199202496133622e-110,1.4289340388526002e-150,1.0079243479897119e-15,2.96119050196267e-40,2.306774494485247e-52,1.564207423565887e-60,2.9611905019649617e-40,3.296906086453633e-23,1.4545623172532892e-54,1.2805493859532696e-40,5.982096458302253e-39,1.4416888335400456e-68,1.673672031582767e-91,1.3594312253666194e-81,1.3992673953201136e-106,6.821188934792844e-16,1.5748817937355277e-26,7.099693959936019e-56,7.525091669323736e-70
