Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44)
0.0,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766156911,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3791646635020235e-24,0.000539690409995138,0.0915567593028733,0.0,0.001588308876615686,0.4515426283560999,4.200863987327326e-86,0.4569006123410269,3.7217608918640225e-84,2.124962484421139e-94,8.950285634724863e-48,1.6864395005644286e-129,2.1468416920162192e-174,2.268045331091224e-18,4.699790960780856e-45,1.1281157470418139e-59,1.814542345136023e-70,4.699790960780866e-45,8.51380014054335e-26,9.517852783305987e-62,1.700435922364319e-45,7.33014155049832e-44,2.7174873705815905e-78,-1.0294602438925396e-105,1.9285116055117968e-88,-1.6418501914502558e-117,1.5349133838173686e-18,3.543820829830049e-29,6.137165979509293e-63,2.822900549539571e-79,1.4700887620945198e-65,-6.410735490504398e-110
3.861661057805666e-24,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766156762,0.4515426283560999,2.537321848345705e-85,0.4569006123410269,2.190647698072726e-82,1.292718450748829e-92,2.5060799777229617e-47,2.6596735439640293e-127,1.389818842707622e-171,6.350526927055379e-18,2.8386737403116193e-44,1.3392990147471077e-58,5.705211652192077e-69,2.838673740311632e-44,2.3838640393521287e-25,1.1299594685236643e-60,1.0270632969200374e-44,4.427405496487569e-43,8.544215668359258e-77,5.334857585828292e-104,2.914366773815775e-87,1.6222530996193132e-116,4.297757474688599e-18,9.922698323524101e-29,7.2860434492730595e-62,6.314715539425175e-78,8.879336123050813e-65,3.322164319088324e-108
8.82665384641295e-24,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766156569,0.4515426283560999,1.2216112475147864e-84,0.4569006123410269,9.85243453877174e-81,5.835948985776106e-91,5.728182806223912e-47,1.2706531411347357e-124,4.543401559461959e-168,1.451549011898349e-17,1.3666992113950454e-43,1.31493171453458e-57,1.2728013366169763e-67,1.3666992113950581e-43,5.448832089947677e-25,1.1094008992534233e-59,4.944867659415266e-44,2.1316051628647872e-42,1.9061675172820679e-75,5.5991500564093035e-102,3.135142787566805e-86,8.947453240702857e-115,9.823445656430925e-18,2.268045331091204e-28,7.153480660754874e-61,1.2476813699532468e-76,4.275018120170732e-64,3.4867465973920033e-106
1.8756639423627521e-23,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766156185,0.4515426283560999,5.3350972639057045e-84,0.4569006123410269,3.714229251032606e-79,2.20354328617739e-89,1.2172388463225815e-46,4.315229110106088e-122,7.097805227276388e-165,3.0845416502838916e-17,5.9687345201914025e-43,1.1630422103333117e-56,2.383816039912846e-66,5.968734520191519e-43,1.1578768191138623e-24,9.812525280469838e-59,2.1595536184885033e-43,9.309279768924908e-42,3.570040797867687e-74,4.470327268089004e-100,2.881736359515074e-85,3.521408195484985e-113,2.087482201991504e-17,4.8195963285687325e-28,6.32717262781648e-60,2.22018232593619e-75,1.8670127278599055e-63,2.7837972268458547e-104
3.861661057805666e-23,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766155417,0.4515426283560999,2.2272980860809484e-83,0.4569006123410269,1.2875959744477524e-77,7.645115285714968e-88,2.5060799777229617e-46,1.2662680981016105e-119,8.906503297538754e-162,6.350526927054662e-17,2.4918291674057536e-42,9.776070562990945e-56,4.1174493956745e-65,2.491829167405851e-42,2.3838640393519904e-24,8.248018722586967e-58,9.015711234147982e-43,3.8864410498870444e-41,6.166357662593648e-73,3.1842721402863276e-98,2.4653861265553547e-84,1.2441929367455742e-111,4.2977574746881144e-17,9.922698323523541e-28,5.318369824285092e-59,3.74466199102447e-74,7.794410616623936e-63,1.982934902213221e-102
7.833655288691493e-23,0.000539690409995138,0.0915567593028733,0.0,0.001588308876615388,0.4515426283560998,9.09923943111048e-83,0.45690061234102686,4.2864677306319767e-76,2.5461425772948487e-86,5.083762240523721e-46,3.4667512393895804e-117,1.0076863545856931e-158,1.2882497480594937e-16,1.0179935212687595e-41,8.015013292406874e-55,6.841203752236332e-64,1.017993521268839e-41,4.835838479828003e-24,6.762224048255642e-57,3.68321220307194e-42,1.5877379802456707e-40,1.0245495451147569e-71,2.1482271939466385e-96,2.0384289253230996e-83,4.179968097448621e-110,8.718308020080477e-17,2.0128902313432166e-27,4.3603208876831435e-58,6.150618545828246e-73,3.184271062246191e-62,1.337760877003308e-100
1.5777643750463149e-22,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766150805,0.45154262835609976,3.6780580623764644e-82,0.45690061234102675,1.3988845478161433e-74,8.311033389778264e-85,1.023912676612524e-45,9.17536928083209e-115,1.0841276501835255e-155,2.594643858767043e-16,4.114892576127972e-41,6.490765566795948e-54,1.1152888745702952e-62,4.1148925761286153e-41,9.739787360779054e-24,5.4762243228135295e-56,1.4888132526879517e-41,6.417890772952181e-40,1.6702743314041003e-70,1.4112975803187866e-94,1.657616548689319e-82,1.3702515602044544e-108,1.755940911086178e-16,4.0541310293245464e-27,3.5311008768531867e-57,9.970417661612714e-72,1.2871332754734917e-61,8.78854295845885e-99
3.1665620674006457e-22,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766144656,0.45154262835609965,1.4789309701945338e-81,0.4569006123410266,4.5204833448361786e-73,2.6859823476994517e-83,2.054985581732828e-45,2.388168502355696e-112,1.1377771248304985e-152,5.207432080180117e-16,1.6545802069052954e-40,5.224332810981948e-53,1.8011945111582548e-61,1.654580206905813e-40,1.9547685122677253e-23,4.4077417035756234e-55,5.986452533960629e-41,2.5806056523618332e-39,2.697497474167317e-69,9.150743687122934e-93,1.3369277977808155e-81,4.4377895065001084e-107,3.5241611292410683e-16,8.136612625285625e-27,2.8421371411479857e-56,1.6057050124033528e-70,5.175506290497425e-61,5.69842291890979e-97
6.344157452109308e-22,0.000539690409995138,0.0915567593028733,0.0,0.0015883088766132356,0.4515426283560994,5.931174658523544e-81,0.45690061234102625,1.4536440648352073e-71,8.637716499315903e-82,4.117131391973452e-45,6.164508314782083e-110,1.1794591641859748e-149,1.0433008522998171e-15,6.6356066587690605e-40,4.192198062201855e-52,2.895367569620715e-60,6.635606658773215e-40,3.9163480646458055e-23,3.536935044510247e-54,2.400835156826139e-40,1.0349382865782574e-38,4.336148301541784e-68,5.894676153829314e-91,1.0738931123971371e-80,1.4286305885983505e-105,7.060601565545369e-16,1.6301575817201454e-26,2.2806359946116588e-55,2.5775121078229833e-69,2.075609502663197e-60,3.6707790634578e-95
