Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25),CH4(24),CH4X(275)
0.0,0.00299236199292705,0.0,0.0,0.008139224620761576,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.317660265075056e-25,0.00299236199292705,0.0,0.0,0.008139224620761573,0.8,0.1,0.1,-3.298228368547634e-77,7.898887946857952e-50,3.635211310492593e-46,-1.340498368327471e-119,2.283418639925251e-149,1.9042107560093575e-18,2.1799135841856645e-51,1.1997522023251485e-51,9.400138840276317e-80,5.830308141385929e-19,2.7686390576924482e-21,3.4824350134799446e-50,4.4493610386477585e-46,2.6635925488749857e-49,5.2952553629797256e-68,1.7201995878827733e-90,1.8371989087111632e-88,-2.1759164691878326e-118,2.0697943000101727e-18,2.0710711773276386e-22,1.7201995878786477e-90,2.2547797839056946e-46,-2.1866551924592615e-148,1.9683418347377346e-64,2.426579910451427e-111,-3.6754491343715575e-132,-1.5032053867850184e-115
1.2089448742210156e-24,0.00299236199292705,0.0,0.0,0.008139224620761562,0.8,0.1,0.1,3.2589069804703616e-76,2.2116886251202264e-49,1.0178591669379259e-45,1.3244981370365795e-118,3.7350883735467846e-148,5.3317901168261954e-18,1.3166678049047749e-50,1.8130654471901145e-50,2.8865976208897895e-78,1.6324862795874991e-18,7.752189361481269e-21,5.262655873625015e-49,2.6874140673337372e-45,1.6088098995189975e-48,3.1983342413378e-67,2.5995655011692736e-89,2.7763748668858627e-87,2.1499446711750203e-117,5.795424040028477e-18,5.798999296514162e-22,2.5995655011555318e-89,1.3618869894855921e-45,6.523089745651589e-147,1.1888784681812587e-63,6.843343305617857e-110,6.169297031044529e-131,1.485263079330892e-114
2.7633025696480357e-24,0.00299236199292705,0.0,0.0,0.008139224620761547,0.8,0.1,0.1,1.7974244772137877e-74,5.0552882859890894e-49,2.3265352387152594e-45,7.30520112088217e-117,1.1191471651865427e-145,1.2186948838459844e-17,6.339188704398036e-50,1.9504130674657127e-49,6.4310221279331104e-77,3.7313972104830686e-18,1.7719289968828582e-20,5.661325045738107e-48,1.2938741900245047e-44,7.745727132106052e-48,1.5398602651079095e-66,2.796493933192269e-88,2.9866973799507608e-86,1.1857908875340688e-115,1.3246683520065064e-17,1.3254855534874306e-21,2.796493933161237e-88,6.556899611694179e-45,8.415360320140698e-145,5.723938055412344e-63,1.4885766399737337e-108,7.272415846507378e-129,8.19189186344102e-113
5.8720179605020755e-24,0.00299236199292705,0.0,0.0,0.008139224620761514,0.8,0.1,0.1,7.074038234641559e-73,1.0742487607726815e-48,4.943887382269926e-45,2.8750745487062543e-115,2.12640156955189e-143,2.5897266281727026e-17,2.7684902550771365e-49,1.7927656348929764e-48,1.2040624184982342e-75,7.929219072265231e-18,3.765349118260187e-20,5.203733077912658e-47,5.65068851893526e-44,3.3827625370480776e-47,6.724974418442904e-66,2.5704597174381724e-87,2.745289454019232e-85,4.666862888860472e-114,2.814920248013815e-17,2.816656801154298e-21,2.5704597173797707e-87,2.863570325658992e-44,7.222752525481097e-143,2.4997941301117693e-62,2.759570215916251e-107,5.74850651576026e-127,3.2240453633791554e-111
1.2089448742210155e-23,0.00299236199292705,0.0,0.0,0.008139224620761448,0.8,0.09999999999999999,0.1,2.4994171382846834e-71,2.2116886251202264e-48,1.0178591669379259e-44,1.0158286816463838e-113,3.273461374070931e-141,5.331790116826094e-17,1.1557901879206745e-48,1.5337487444348615e-47,2.0794814447949383e-74,1.6324862795793657e-17,7.752189360646311e-20,4.451903205593238e-46,2.3590512225583863e-43,1.412236769392678e-46,2.807544580433899e-65,2.199082405734743e-86,2.348652925981665e-84,1.6489079135562626e-112,5.795424040028395e-17,5.798999296467388e-21,2.199082405633637e-86,1.1954842415153087e-43,5.308958066402228e-141,1.0436148407733084e-61,4.742996127792829e-106,4.068248898706637e-125,1.1391279410556897e-109
2.4524310305626314e-23,0.00299236199292705,0.0,0.0,0.008139224620761316,0.7999999999999999,0.09999999999999998,0.1,8.396996558347606e-70,4.4865683538153156e-48,2.0648000243597927e-44,3.412759664544599e-112,4.581435188149431e-139,1.08159170941327e-16,4.7217801135807075e-48,1.2681331210666193e-46,3.455116159288424e-73,3.311615024270692e-17,1.5725869843944417e-19,3.680919661735887e-45,9.63749398302944e-43,5.769448004388736e-46,1.1469738038651396e-64,1.8182438592257192e-85,1.9419116574575318e-83,5.539641200020021e-111,1.1756431624057414e-16,1.1763684287010985e-20,1.818243859057539e-85,4.8839432038789225e-43,3.634508111651332e-139,4.26350714767605e-61,7.861168247251968e-105,2.7355804146890854e-123,3.826993626217947e-108
4.939403343245864e-23,0.00299236199292705,0.0,0.0,0.008139224620761054,0.7999999999999997,0.09999999999999995,0.1,2.752651952104742e-68,9.036327811205491e-48,4.1586817392035246e-44,1.1187499605966027e-110,6.127670506478366e-137,2.1784171048745199e-16,1.9086191322125643e-47,1.0312247924197682e-45,5.633438871574442e-72,6.669872513595908e-17,3.1673230804644073e-19,2.9932627377253823e-44,3.895629157742082e-42,2.3321031288372602e-45,4.636255318450865e-64,1.4785657098319877e-84,1.579130309013715e-82,1.8159712319021395e-109,2.3678446792114874e-16,2.369305426776786e-20,1.4785657095576545e-84,1.974167930853585e-42,2.404701280607254e-137,1.7233777566886494e-60,1.2799874616945006e-103,1.7942056526824587e-121,1.2545415995781783e-106
9.913347968612328e-23,0.00299236199292705,0.0,0.0,0.008139224620760529,0.7999999999999994,0.09999999999999988,0.1,8.914923323334778e-67,1.813584672598583e-47,8.346445168890986e-44,3.6232587018358267e-109,8.016264027023926e-135,4.372067895796737e-16,7.674475452324401e-47,8.317201521420739e-45,9.100879056910483e-71,1.3386387492016588e-16,6.356795270245718e-19,2.41417483631354e-43,1.5664153503507238e-41,9.377284110839135e-45,1.8642240300430871e-63,1.19251680992667e-83,1.273625801534714e-81,5.881326297833251e-108,4.7522477128227495e-16,4.7551794227960306e-20,1.1925168094834933e-83,7.938042425413279e-42,1.564630445660018e-135,6.929626162605562e-60,2.065904924074344e-102,1.1623897551226882e-119,4.063042616833071e-105
1.9861237219345255e-22,0.00299236199292705,0.0,0.0,0.008139224620759477,0.7999999999999987,0.09999999999999974,0.1,2.8699226513368392e-65,3.6334884555546467e-47,1.6721972028265904e-43,1.1664118564980272e-107,1.0372816431141162e-132,8.759369477640033e-16,3.0778109048697e-46,6.680828544671813e-44,1.4639000370899091e-69,2.681941744793895e-16,1.2735739640373849e-18,1.939196516903915e-42,6.282026148264238e-41,3.760710337253046e-44,7.476471067460487e-63,9.578943539422115e-83,1.0230455055568293e-80,1.8933367118528373e-106,9.52105378004435e-16,9.526927414306003e-20,9.578943532297033e-83,3.183510052229729e-41,1.0096375042460303e-133,2.779090026204141e-59,3.319853753490918e-101,7.484729467824153e-118,1.3079886013451684e-103
