Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173)
0.0,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999425,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5343868851285032e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999364,0.4515426283560999,3.148760088512297e-86,0.4569006123410269,5.747252043085682e-84,2.977212838224063e-94,7.589454246029292e-48,3.2986396718758625e-129,4.754620251977923e-174,2.518790013908969e-18,5.1198945996232174e-45,1.4219731165833405e-59,2.5471114480817585e-70,5.1198945996232323e-45,9.238615700579918e-26,1.142443457667615e-61,1.908899151323153e-45,8.340764296973284e-44,3.515698328523045e-78,-1.6183160959074323e-105,1.8986675226537484e-88,-1.931816068251194e-117,1.7046063631868872e-18,3.93560939673278e-29,7.029168864519156e-63,3.572930215453852e-79,1.3843867746893041e-65,-9.595766254326331e-110,1.1186737527244022e-103,-9.685344560764792e-122,3.3326460644789316e-147,7.34962270998965e-52,1.7525421079815554e-130,1.189211283751146e-96,9.419788386286827e-94
4.296283278359809e-24,0.0005377589567108198,0.0915567593028733,0.0,0.001582624609599926,0.4515426283560999,1.9018510934614273e-85,0.4569006123410269,3.40154457352728e-82,1.811183990473764e-92,2.1250471888882017e-47,5.202264732805778e-127,3.218589996572872e-171,7.052612038945055e-18,3.092416338172402e-44,1.688166483876467e-58,8.008526651314607e-69,3.092416338172419e-44,2.5868123961623654e-25,1.3563088600855024e-60,1.1529750871643255e-44,5.037821635354854e-43,1.1053918954894457e-76,8.386420000815949e-104,2.869266529790333e-87,1.90875797552522e-116,4.7728978169232454e-18,1.1019706310851738e-28,8.345029273922527e-62,7.992501902928187e-78,8.361696119123304e-65,4.972707513956605e-108,1.2724107660473169e-101,8.937578182445925e-120,9.380481854370445e-145,4.439169569440005e-51,2.763923589124473e-128,7.142000568890084e-95,2.961732444447202e-92
9.820076064822421e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999048,0.4515426283560999,9.156594337393758e-85,0.4569006123410269,1.5307098805251577e-80,8.176550264405495e-91,4.857250717458746e-47,2.485370447186296e-124,1.0333183533457563e-167,1.612025608901698e-17,1.4888653495703992e-43,1.6574518644842616e-57,1.786658246097591e-67,1.4888653495704155e-43,5.912714048371065e-25,1.3316320745663143e-59,5.551078728524843e-44,2.4254942575343157e-42,2.466068516586739e-75,8.80188894904465e-102,3.086626012350482e-86,1.0527656114397146e-114,1.0909480724395797e-17,2.5187900139089465e-28,8.19319922217622e-61,1.5791836823797706e-76,4.0257967407963574e-64,5.219058825623029e-106,1.151908625392544e-99,1.9053382807498424e-117,9.065603847439376e-142,2.1372685008893438e-50,1.3204583694847816e-125,3.21631271420922e-93,6.607462177032021e-91
2.0867661637747646e-23,0.0005377589567108198,0.0915567593028733,0.0,0.001582624609599862,0.4515426283560999,3.9989253124106163e-84,0.4569006123410269,5.770982393821277e-79,3.0873097923278148e-89,1.0321657774599836e-46,8.440496115489591e-122,1.6095251518761833e-164,3.4255544189159854e-17,6.502266141521147e-43,1.465997404043345e-56,3.346213162015035e-66,6.502266141521292e-43,1.2564517352788286e-24,1.1778134859329442e-58,2.4243019185400886e-43,1.059277065689241e-41,4.618673403124948e-74,7.027374472681058e-100,2.837141085164536e-85,4.1433214050111406e-113,2.3182646539340248e-17,5.352428779556416e-28,7.246791919319327e-60,2.810072978511208e-75,1.7581712038552748e-63,4.166864748870989e-104,8.730442262571923e-98,3.047202900336383e-115,6.163298101555879e-139,9.334011925808362e-50,4.484371233663297e-123,1.2137814384730506e-91,1.2375045397094662e-89
4.296283278359809e-23,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095997766,0.4515426283560999,1.6694725989292197e-83,0.4569006123410269,2.0006325866028217e-77,1.0711311839445784e-87,2.1250471888882013e-46,2.4767933955792435e-119,2.0166398084289308e-161,7.05261203894417e-17,2.7145681167199213e-42,1.232259151023655e-55,5.779751092814482e-65,2.7145681167200437e-42,2.586812396162198e-24,9.900232007478366e-58,1.012098326755251e-42,4.422273230017938e-41,7.977609707589162e-73,5.0056900546020605e-98,2.4272339305279603e-84,1.4639289005701459e-111,4.772897816922649e-17,1.1019706310851046e-27,6.091365247259631e-59,4.7395987952696375e-74,7.34001867940142e-63,2.9681118517950326e-102,6.070608232264467e-96,4.344452444496586e-113,3.6187496743041945e-136,3.896766012375807e-49,1.315901447379829e-120,4.210659339932577e-90,2.137481346724725e-88
8.715317507529899e-23,0.0005377589567108198,0.0915567593028733,0.0,0.001582624609599606,0.4515426283560998,6.820340302121174e-83,0.45690061234102686,6.660235833552693e-76,3.5673140443338594e-86,4.310810011744636e-46,6.780891488990706e-117,2.279936406596407e-158,1.4306727278998973e-16,1.108989649856525e-41,1.0102805019121683e-54,9.603142883668839e-64,1.1089896498566253e-41,5.247533717928644e-24,8.116808315539493e-57,4.134751889992787e-42,1.8066429095806887e-40,1.3254917799875974e-71,3.377022760679272e-96,2.006883951862787e-83,4.918189077671127e-110,9.682164142898837e-17,2.235426137343909e-27,4.994069233339904e-58,7.784805228834393e-73,2.998637129446946e-62,2.002397510948843e-100,4.0479015417106696e-94,5.8641844797084616e-111,1.9819170776973055e-133,1.591956019120908e-48,3.602635948964349e-118,1.4022842319606623e-88,3.5514572263728694e-87
1.7553385965870078e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095992644,0.45154262835609976,2.7568905979767635e-82,0.45690061234102675,2.1735666577694584e-74,1.1644307110770726e-84,8.682335657457505e-46,1.7946826611205877e-114,2.4519806968858883e-155,2.881495775910231e-16,4.482713476908745e-41,8.181513436493562e-54,1.5655546606752414e-62,4.4827134769095567e-41,1.0568976361460355e-23,6.573201771891179e-56,1.67133281132494e-41,7.302739497033689e-40,2.1608861237110402e-70,2.2185661084161313e-94,1.6319647001567034e-82,1.6122506666937525e-108,1.9500696794846973e-16,4.502337149861027e-27,4.044326710890018e-57,1.2619504678195693e-71,1.2120970718047881e-61,1.3154934364969923e-98,2.6440520694444902e-92,7.706618957069141e-109,1.0492214362808699e-130,6.434940670583826e-48,9.535012148031499e-116,4.577256293446449e-87,5.789771620844187e-86
3.5229522882550437e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095985816,0.4515426283560996,1.108533584201108e-81,0.4569006123410265,7.023870097727886e-73,3.76323879894234e-83,1.7425386948883254e-45,4.671206643096814e-112,2.5728460180477307e-152,5.783141871928394e-16,1.8024793733739953e-40,6.585193787847344e-53,2.528374958235365e-61,1.8024793733746487e-40,2.1211861648519062e-23,5.290684572308047e-55,6.720355633121953e-41,2.9363994324661274e-39,3.489836814911476e-69,1.4385009972528955e-92,1.316238652635639e-81,5.221544792744387e-107,3.91377620987263e-16,9.036159174893306e-27,3.2552259302494274e-56,2.032332303769048e-70,4.87378901575753e-61,8.529557144473259e-97,1.7094944581813182e-90,9.994843857976664e-107,5.462156964453207e-128,2.587461323628619e-47,2.4817764753872117e-113,1.4792874798971307e-85,9.350496635096027e-85
7.058179671591115e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095972157,0.4515426283560993,4.445715476410004e-81,0.45690061234102614,2.2586551533765152e-71,1.2102011693798207e-81,3.4911489531734986e-45,1.2057646702299956e-109,2.6668560840974926e-149,1.1586434063954703e-15,7.2287484658262625e-40,5.284203291450714e-52,4.064288899522444e-60,7.228748465831501e-40,4.24976322226176e-23,4.245441063237084e-54,2.695163109276336e-40,1.1776275055512863e-38,5.609810604583435e-68,9.266457218089085e-91,1.057274465889898e-80,1.6809416841416031e-105,7.841189270641708e-16,1.810380322495003e-26,2.61211371355317e-55,3.262343374951541e-69,1.9546073808574303e-60,5.4945236861942973e-95,1.0996473455778647e-88,1.2877508223137497e-104,2.8199441367999807e-125,1.0376877141872873e-46,6.406135764390981e-111,4.757164598040179e-84,1.5030650263135758e-83
