Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234)
0.0,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864887056,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.040277481756625e-24,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864887012,0.4515426283560999,8.772460874669194e-87,0.4569006123410269,7.450098619365765e-84,6.657971922571426e-97,3.923579393140556e-48,1.145879196995714e-130,6.533007336955455e-178,1.7046368087178713e-18,1.5908018839721708e-48,6.903035538521554e-59,2.555096769233153e-73,1.590801884041201e-48,6.109521442581399e-26,2.8448111455059052e-64,7.294618092954834e-48,1.0081083690330976e-41,6.275317236472327e-79,-1.3034643951106877e-106,3.831305947995938e-89,-1.8881028223121715e-116,2.663495013621681e-18,4.843610822757213e-66,-7.359865455983409e-111,-5.083337299427941e-123,8.048018736473856e-149,6.232442637691008e-132,4.2326512262843854e-89,-4.441327143816112e-114,2.7633074095988803e-52,2.5447131419209685e-95,3.979326453426676e-199,-7.94490484559957e-111,1.2428099630734992e-99,1.113819045817122e-97,3.282434413125779e-165,2.5195546200692337e-241
2.9127769489185503e-24,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864886934,0.4515426283560999,5.298566368300194e-86,0.4569006123410269,4.5273993080264944e-82,3.938771748223452e-95,1.098602230079356e-47,1.949702883792575e-128,4.4230200041335083e-175,4.772983064410011e-18,9.608443379191851e-48,8.195283791289673e-58,8.033632175093336e-72,9.608443380011376e-48,1.7106660039227863e-25,3.377355489400473e-63,4.405949327509601e-47,6.088974548959862e-41,1.9730599176187832e-77,6.754798070074113e-105,5.789869185216055e-88,1.865566355593189e-115,7.45778603814068e-18,2.925540997204394e-65,3.8140209442332976e-109,4.6908727139013055e-121,2.2652183732533466e-146,9.829146549171368e-130,6.396382135342303e-88,4.388315298360797e-113,1.6690364862774206e-51,5.69241458234471e-94,5.175999107134788e-197,7.850074160905386e-110,7.560383883669396e-98,3.5020251774508243e-96,2.4144212633889167e-162,-1.6786387447041892e-237
6.657775883242401e-24,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864886776,0.4515426283560999,2.5510316223538023e-85,0.4569006123410269,2.043667993646367e-80,1.7721864958798274e-93,2.511090811609956e-47,9.265318301211556e-126,1.4199216077137188e-171,1.0909675575794169e-17,4.62605187859098e-47,8.046178223635891e-57,1.7922591392361393e-70,4.626051879395593e-47,3.910093723252057e-25,3.3159054166721074e-62,2.1212749404785833e-46,2.931579137148173e-40,4.401788121188291e-76,7.089435334470839e-103,6.228477036337021e-87,1.0289434949069435e-113,1.7046368087178562e-17,1.4085221867609902e-64,4.002970120890611e-107,1.000013555327975e-118,2.189266862609366e-143,4.69585296172384e-127,6.8809359967479475e-87,2.4203526543873776e-111,8.03568962327135e-51,1.124724417071988e-92,1.1467242050328405e-194,4.329667887800095e-108,3.4130970456666572e-96,7.812825517473413e-95,3.182876635928607e-159,3.7308089567999237e-233
1.4147773751890102e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864886461,0.4515426283560999,1.114102531082988e-84,0.4569006123410269,7.716410699802511e-79,6.679375279944181e-92,5.336067974671158e-47,3.1423568929160925e-123,2.211689039921698e-168,2.3183060598561994e-17,2.0203183926445597e-46,7.116753518726858e-56,3.3567030145019065e-69,2.020318393356232e-46,8.308949161910508e-25,2.9328798274159085e-61,9.264164968208238e-46,1.2802976286719546e-39,8.244061989441878e-75,5.660161948370437e-101,5.7250434641939886e-86,4.0495657872075894e-112,3.6223532185253865e-17,6.151388831308831e-64,3.195946940531158e-105,1.5993192586404093e-116,1.488386683025327e-140,1.5947453118441935e-124,6.3247656722296736e-86,9.525671094415086e-110,3.5093962482694087e-50,2.001386316938979e-91,1.895402253303095e-192,1.704007560685839e-106,1.2887185166820143e-94,1.4632557534018885e-93,2.376789526096317e-156,1.2343903416164447e-228
2.9127769489185504e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864885833,0.4515426283560998,4.651158755749609e-84,0.4569006123410269,2.6771768796222717e-77,2.3151155353453615e-90,1.098602230079356e-46,9.218140043093465e-121,2.7711027988165875e-165,4.772983064409568e-17,8.434431588819571e-46,5.98206014905298e-55,5.7978697057624436e-68,8.434431594801607e-46,1.710666003922705e-24,2.4652618150239823e-60,3.8676065040246875e-45,5.344990572612762e-39,1.423956691628704e-73,4.0318068303279066e-99,4.8978952125489025e-85,1.4308029242108945e-110,7.457786038140262e-17,2.5680878287011876e-63,2.276514494231637e-103,2.2801784772063995e-114,8.73899326902612e-138,4.679647505999144e-122,5.410970213262111e-85,3.3656344376609018e-108,1.465103745432744e-49,3.37562997296768e-90,2.7428115112131585e-190,6.020643024016396e-105,4.471161206263638e-93,2.5274104289176193e-92,1.4563764686728952e-153,2.8019773467018324e-224
5.90877609637763e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864884575,0.4515426283560997,1.900150115296849e-83,0.4569006123410269,8.91611360915678e-76,7.706413412976177e-89,2.2285930953038394e-46,2.5235282932302115e-118,3.1328964823599655e-162,9.68233707351552e-17,3.445740512758336e-45,4.9044543310420704e-54,9.63324723506127e-67,3.4457405176627704e-45,3.47020817938587e-24,2.021170415291366e-59,1.5800434499049489e-44,2.1836030516598377e-38,2.365925334588212e-72,2.720005295867358e-97,4.0496744715187648e-84,4.806899616409225e-109,1.5128651677369273e-16,1.0491544175494097e-62,1.5358204774402615e-101,3.0778072570902697e-112,4.786173904891353e-135,1.2811800152910774e-119,4.473894846073608e-84,1.130712458489982e-106,5.985426640313374e-49,5.544481884274319e-89,3.728298744622767e-188,2.0226843370646447e-103,1.4890831330032896e-91,4.199330231538714e-91,8.140899894189387e-151,5.380048506796223e-220
1.190077439129579e-22,0.00053584454179025,0.0915567593028733,0.0,0.001576990486488206,0.4515426283560995,7.680710573894954e-83,0.4569006123410269,2.9103676306690117e-74,2.5148610829043402e-87,4.488574825752863e-46,6.678842184863731e-116,3.369301448671131e-159,1.950104509172429e-16,1.3928234079074528e-44,3.9717542738409327e-53,1.570462431377299e-65,1.3928234118791907e-44,6.989292530311624e-24,1.636796132368331e-58,6.386788220345013e-44,8.826472662896854e-38,3.857055405758627e-71,1.7869324592165163e-95,3.293128014854499e-83,1.5757683719539687e-107,3.047038295582434e-16,4.240959558323661e-62,1.0089713708688245e-99,4.0448058760188485e-110,2.5337876618967784e-132,3.390869138003151e-117,3.6380970465938416e-83,3.706632297650912e-105,2.4194051044747763e-48,8.987843642152063e-88,4.916338036443939e-186,6.6306398275801754e-102,4.860615052858053e-90,6.845968145516401e-90,4.353083523351714e-148,9.532537718669112e-216
2.388477098113211e-22,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864877027,0.4515426283560991,3.088379940771081e-82,0.4569006123410269,9.405804773490278e-73,8.126557623969823e-86,9.00853828665182e-46,1.7383637218367484e-113,3.5353822403495165e-156,3.9138461128129275e-16,5.600481664594409e-44,3.1968133743967878e-52,2.5363010262952953e-64,5.600481696562411e-44,1.4027461232160838e-23,1.3174358872757362e-57,2.5680994280471767e-43,3.54908583751168e-37,6.229154723772158e-70,1.158633107203396e-93,2.656027029457644e-82,5.103389173338913e-106,6.115384551272262e-16,1.705448040592946e-61,6.542091932756034e-98,5.245776869394003e-108,1.3190682727841819e-129,8.825766752494174e-115,2.9342571613088685e-82,1.2004548136233738e-103,9.72832143122853e-48,1.4474644671569162e-86,6.386748308292532e-184,2.147443499540188e-100,1.5708667406389097e-88,1.105625688773415e-88,2.2774190842218795e-145,1.6237534105768048e-211
4.785276416080475e-22,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864866963,0.45154262835609826,1.2385784874189667e-81,0.4569006123410269,3.0247657773922e-71,2.6132118356276287e-84,1.804846520846439e-45,4.487181606505506e-111,3.664561771533949e-153,7.841329320088905e-16,2.2460436351649928e-43,2.5652414046749712e-51,4.07702983937153e-63,2.2460436608173012e-43,2.810379863585005e-23,1.0571593005062311e-56,1.0299227114576146e-42,1.4233421575843103e-36,1.0013184098537252e-68,7.46361962877826e-92,2.133465324858103e-81,1.642900523755194e-104,1.2252077062647184e-15,6.84245036830482e-61,4.214249198768775e-96,6.758738478907856e-106,6.809945343040352e-127,2.2781689422329623e-112,2.356955075015275e-81,3.864545285776548e-102,3.901491986818457e-47,2.3235009690279812e-85,8.23560968859263e-182,6.913123610716134e-99,5.051671865226736e-87,1.7772610235601283e-87,1.1786591019180663e-142,2.7124311324326485e-207
