Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408)
0.0,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917768135,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0343207095840391e-24,0.0005555851823910342,0.0915567593028733,0.0,0.001635087191776809,0.4515426283560999,1.2859180921811775e-84,0.4569006123410269,1.652317807959085e-83,5.346974982590888e-96,5.839849756341639e-47,3.3486513106862506e-130,1.6671974932196352e-176,1.7258132793222125e-18,3.739630019008579e-48,1.4825147770342865e-58,7.199981873493184e-73,3.739630019156829e-48,7.790614632804435e-26,1.2984397359796718e-63,2.254396000282607e-47,1.885189485967673e-41,3.304589856061774e-78,-8.156065701023188e-106,1.070165847063849e-87,-6.256425999587584e-115,2.6965832489409612e-18,7.298782341779725e-65,-7.504093756910977e-110,-4.6975082053724555e-122,7.274962159321646e-148,5.768161669896013e-131,1.178092670024351e-87,-1.1675044313866733e-112,2.0300861926413574e-51,7.376499892810619e-94,1.9202281953640117e-195,-2.194760595060764e-109,1.1852621730413557e-98,1.7038632216249174e-96,5.484855687326793e-164,2.478526947623993e-239,-1.7367483569860206e-214
2.8960979868353095e-24,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917768012,0.4515426283560999,7.766945276774314e-84,0.4569006123410269,9.347067739981156e-82,3.163710925319563e-94,1.6351579317756591e-46,1.1991646892154305e-127,1.127304793411873e-173,4.832277182102166e-18,2.2587365314811677e-47,1.7600415432120758e-57,2.2637895727640747e-71,2.2587365316571706e-47,2.1813720971852353e-25,1.5414993536177291e-62,1.3616551839761577e-46,1.138654449524464e-40,1.0390159629691072e-76,4.226627337535344e-104,1.6172346928071617e-86,6.1817493321613356e-114,7.550433097034666e-18,4.4084645546595275e-64,3.888763213855489e-108,4.334832420298669e-120,2.0483604278613594e-145,9.096932744819606e-129,1.7803337152482025e-86,1.1535691066432219e-111,1.2261671643028662e-50,1.650085031576299e-92,2.4976754764707077e-193,2.1685639443210894e-108,7.207722627776824e-97,5.3572186984905816e-95,4.034430320757672e-161,-1.4494154430880937e-235,-1.64421079449569e-212
6.61965254133785e-24,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917767853,0.4515426283560999,3.7394498120628654e-83,0.4569006123410269,4.188379796879108e-80,1.4234871339055673e-92,3.73750384405865e-46,5.496687154176707e-125,3.620805392772649e-170,1.1045204987661948e-17,1.0874844095276735e-46,1.7280192239865846e-56,5.050390011194818e-70,1.0874844097004742e-46,4.985993364994789e-25,1.5134489045292019e-61,6.555783565903763e-46,5.482131025193836e-40,2.317987459241608e-75,4.436017326396952e-102,1.7397472880362113e-85,3.409511947721683e-112,1.725813279322196e-17,2.1224859585249334e-63,4.0814151696113503e-106,9.24111876814558e-118,1.978869704473604e-142,4.346039455318355e-126,1.9152017765339967e-85,6.362450886827337e-110,5.903456375833418e-50,3.2602804161816806e-91,5.5334972871517994e-191,1.1960602541851733e-106,3.253664036419846e-95,1.1951660224888868e-93,5.3184977079537506e-158,4.31275858985835e-231,2.6006855514958902e-207
1.4066761650342934e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917767535,0.4515426283560999,1.633115977070096e-82,0.4569006123410269,1.5802020375983746e-78,5.365180943371547e-91,7.94219566862463e-46,1.8468875384098646e-122,5.640276236347305e-167,2.347106059878104e-17,4.749330124140676e-46,1.5284134344024627e-55,9.458821554684802e-69,4.7493301256690755e-46,1.0595235900613787e-24,1.3386265627523665e-60,2.863082917343584e-45,2.3941906471787833e-39,4.341333972188626e-74,3.54168918843329e-100,1.5991274895330482e-84,1.3418660025221942e-110,3.6673532185596095e-17,9.269454609997841e-63,3.258576987573434e-104,1.477929888090915e-115,1.3453263260913084e-139,1.4759461388224197e-123,1.7604003969546948e-84,2.5040406583449533e-108,2.578192328470648e-49,5.801486366396226e-90,9.146218631635925e-189,4.707279565721369e-105,1.2285008221416584e-93,2.2384136889607812e-92,3.971548726278194e-155,1.4049056594399598e-226,1.9048454806929256e-203
2.8960979868353095e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917766897,0.4515426283560998,6.817937724744604e-82,0.4569006123410269,5.4819530468328294e-77,1.8596174157973254e-89,1.6351579317756587e-45,5.406144768066481e-120,7.067195786103328e-164,4.832277182101727e-17,1.982751836078151e-45,1.2847235854254233e-54,1.633776199568792e-67,1.9827518373628632e-45,2.181372097185133e-24,1.1251955182558597e-59,1.1952807566360438e-44,9.995274654599147e-39,7.49857481463045e-73,2.5227911829996914e-98,1.3680872337015417e-83,4.741115224063216e-109,7.550433097034251e-17,3.869816200205778e-62,2.3211266894417016e-102,2.1071114492676265e-113,7.898971540057394e-137,4.331041210609677e-121,1.5060596087569554e-83,8.847340402922748e-107,1.076344110456971e-48,9.785047656078443e-89,1.3235363871411555e-186,1.6631880359921004e-103,4.262221702094611e-92,3.866302994787248e-91,2.4335642867460312e-152,3.173053502068371e-222,1.0289748397280586e-199
5.874941630437342e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917765624,0.4515426283560997,2.7853500243881186e-81,0.4569006123410269,1.825698728980334e-75,6.190197142951387e-88,3.3170346616020513e-45,1.479199128217928e-117,7.990051222102604e-161,9.8026194265482e-17,8.100188206371674e-45,1.0532940150580986e-53,2.71454359168011e-66,8.10018821690452e-45,4.4250691114324644e-24,9.225029548157136e-59,4.883111889475343e-44,4.0833958341841847e-38,1.245899417582308e-71,1.7019677935259964e-96,1.1311609793082266e-82,1.592816492488897e-107,1.53165928539828e-16,1.580948450707522e-61,1.56591750649667e-100,2.8441996851916202e-111,4.326096980444365e-134,1.1857396170852585e-118,1.2452392193249925e-82,2.972336480344603e-105,4.3972160234062966e-48,1.607196435807961e-87,1.799080083824555e-184,5.587616433350301e-102,1.4194960483643143e-90,6.423920255698233e-90,1.3603215693764439e-149,6.078742217874367e-218,4.824794495331551e-196
1.1832628917641406e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917763076,0.4515426283560995,1.1258830137730469e-80,0.4569006123410269,5.9593757808915334e-74,2.020071796743538e-86,6.680788121254843e-45,3.9143918591160144e-115,8.593060598134467e-158,1.974330391543804e-16,3.2742255838815497e-44,8.529848018839008e-53,4.425391172820896e-65,3.274225592411323e-44,8.912463139926412e-24,7.47066681870933e-58,1.973831890355168e-43,1.6505738840590086e-37,2.031130489862806e-70,1.1181233715171516e-94,9.198413197096646e-82,5.2214734053846905e-106,3.084891236787695e-16,6.390483216363964e-61,1.028743890615069e-98,3.7378024767658307e-109,2.290220544388775e-131,3.1382692686054455e-116,1.0126078697646813e-81,9.743731322369775e-104,1.7774248480220871e-47,2.6053342037484487e-86,2.3723647500709615e-182,1.8316981738317676e-100,4.633469701507327e-89,1.0472611346062063e-88,7.273880628935267e-147,1.0758828328284986e-213,2.1127964816474077e-192
2.3748003492049536e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917757983,0.4515426283560991,4.527126080247569e-80,0.4569006123410269,1.925966798263458e-72,6.527693273050477e-85,1.3408295040560577e-44,1.0188026607155555e-112,9.01667915464624e-155,3.962467289320532e-16,1.3165517067109324e-43,6.865563765556849e-52,7.147018574470623e-64,1.316551713576436e-43,1.788725119691144e-23,6.013042032407562e-57,7.936691141532753e-43,6.6368849929203906e-37,3.280281135632081e-69,7.249824956070262e-93,7.418853433405135e-81,1.691061408437189e-104,6.191355139565345e-16,2.569644556640579e-60,6.670295414248148e-97,4.847618980887369e-107,1.1922683591021635e-128,8.168298861564338e-114,8.167049586585124e-81,3.1556702232845754e-102,7.146946791749669e-47,4.1958100054610386e-85,3.0819067582647316e-180,5.9322605944945654e-99,1.4974571175118043e-87,1.6913295355199555e-87,3.805503487123561e-144,1.8316645200336982e-209,8.946298416214258e-189
4.75787526408658e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917747793,0.45154262835609826,1.8155800388422093e-79,0.4569006123410269,6.193620206688141e-71,2.0990747019567274e-83,2.6863308879174555e-44,2.6297814571689714e-110,9.346164072558351e-152,7.938741084869023e-16,5.27996118604913e-43,5.509182543744506e-51,1.1488623652450605e-62,5.279961241140474e-43,3.583682731087006e-23,4.825087253985582e-56,3.182968062936295e-42,2.6616877240942016e-36,5.272956021826685e-68,4.6701527264580743e-91,5.959226459243272e-80,5.443922776236399e-103,1.2404282945115932e-15,1.030637754486316e-59,4.296834620896557e-95,6.24574579348923e-105,6.155313774378748e-126,2.1084587016467703e-111,6.560218812274359e-80,1.0158841757352008e-100,2.8662452488649866e-46,6.735203871389273e-84,3.974069273837087e-178,1.9097336339734946e-97,4.8155973070517616e-86,2.718762854446202e-86,1.9695063309926783e-141,3.0589365634943633e-205,3.725592885008497e-185
