Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31),OCHCO(260),SX(257),CH2OX(167),CHOX(166),SX(186),C2H6O(234),SX(408),SX(460)
0.0,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999425,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0640681103026292e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999382,0.4515426283560999,1.5142886663248185e-86,0.4569006123410269,8.994077847806347e-84,9.213486446454463e-97,5.263142116288567e-48,1.6266530061062276e-130,1.14006055438262e-177,1.7467329500309146e-18,1.8151015438587542e-48,7.98842000319161e-59,3.1099264889437e-73,1.8151015439386373e-48,6.406804206688059e-26,3.550812271900435e-64,8.555397038565003e-48,1.1243064771875444e-41,8.132556868107868e-79,-1.8003127010841236e-106,5.733779398691456e-89,-3.011037017884509e-116,2.729270234423309e-18,6.65773559447288e-66,-1.0674911386540275e-110,-7.471954476543773e-123,1.2365172218517031e-148,9.377766460400012e-132,6.332170565491928e-89,-6.920839391619587e-114,3.5345517984967465e-52,3.9126490586179794e-95,1.0948203234412275e-198,-1.2441111935149126e-110,1.749372943717383e-99,1.6060172073606416e-97,5.362543070849796e-165,-7.281138380332807e-229,-5.1678830103628714e-216,-3.0747222251535793e-218
2.9793907088473617e-24,0.0005377589567108198,0.0915567593028733,0.0,0.00158262460959993,0.4515426283560999,9.146303544601906e-86,0.4569006123410269,5.46317329336197e-82,5.4506765352290816e-95,1.473679792560799e-47,2.8063943303362325e-128,7.717520889983313e-175,4.890852260086528e-18,1.09632133249068e-47,9.483852227728346e-58,9.77810647852852e-72,1.0963213325855178e-47,1.7939051778726508e-25,4.215518266939103e-63,5.16745981053159e-47,6.79081112221271e-41,2.5570059595093607e-77,9.329560215345248e-105,8.664887326153025e-88,2.9750972683609934e-115,7.641956656385236e-18,4.021272373707311e-65,5.531940570256629e-109,6.895074564438908e-121,3.4804578120642455e-146,1.4789618073150394e-129,9.569176052467379e-88,6.838232238204015e-113,2.1348675197229514e-51,8.752427414128467e-94,1.4240571923620282e-196,1.2292614775044946e-109,1.0641883047482158e-97,5.049575032577614e-96,3.9444622195859915e-162,5.261818363571387e-226,-4.905039156830465e-214,1.2361480748865182e-215
6.810035905936827e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999139,0.4515426283560999,4.403551441672573e-85,0.4569006123410269,2.465965189573387e-80,2.4524486485774954e-93,3.3684109544246833e-47,1.3324057082980554e-125,2.477681796032364e-171,1.117909088019763e-17,5.278315289541147e-47,9.311302355628853e-57,2.181441766257172e-70,5.278315290472272e-47,4.100354692280317e-25,4.138817689825048e-62,2.4879094576721956e-46,3.2694832356612912e-40,5.704539630413482e-76,9.791752955423815e-103,9.3212903752969e-87,1.6408995435524583e-113,1.746732950030897e-17,1.9360697084570145e-64,5.80599665708791e-107,1.4699115617777314e-118,3.3636255774691375e-143,7.065707244890797e-127,1.0294082933681892e-86,3.771591698469789e-111,1.0278464264044863e-50,1.7293308139498793e-92,3.154947777284622e-194,6.7799282355824374e-108,4.8042174976097435e-96,1.1265324119820154e-94,5.199894814469873e-159,8.360009761507979e-222,7.734850534416608e-209,9.80581172363128e-212
1.4471326300115757e-23,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095998816,0.4515426283560999,1.9231466062325202e-84,0.4569006123410269,9.310861214703631e-79,9.243295375749785e-92,7.157873278152453e-47,4.517824400990883e-123,3.8593029699022077e-168,2.3755568120419312e-17,2.3051789607005034e-46,8.235741486395697e-56,4.0855990038357914e-69,2.3051789615240736e-46,8.713253721095551e-25,3.660736020511352e-61,1.086535422717164e-45,1.4278692260280888e-39,1.068397138740886e-74,7.817675862455582e-101,8.567871767872594e-86,6.4580131820687955e-112,3.7118075188155955e-17,8.455328028264762e-64,4.6354723355218916e-105,2.3508260033220506e-116,2.286778346720734e-140,2.3995648068389775e-124,9.462035749210035e-86,1.4843680720492027e-109,4.488874601098935e-50,3.077250589152854e-91,5.214762891808903e-192,2.6683453043119043e-106,1.8139777325533228e-94,2.1098705322480523e-93,3.8829828949385285e-156,5.665532821252603e-218,5.665594149033879e-205,3.3223912672838457e-208
2.9793907088473615e-23,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095998172,0.4515426283560998,8.0287585088541895e-84,0.4569006123410269,3.2303630836796304e-77,3.2037891109750893e-90,1.4736797925607991e-46,1.32523698407447e-120,4.835476868340428e-165,4.8908522600860634e-17,9.623668385538088e-46,6.922636959959844e-55,7.05685626402953e-68,9.623668392460693e-46,1.7939051778725638e-24,3.0770686390512486e-60,4.536071499221842e-45,5.961072942047527e-39,1.845390363325568e-73,5.56863199766291e-99,7.32999467631235e-85,2.2817617076083655e-110,7.641956656384799e-17,3.5299380648638076e-63,3.3019071203526716e-103,3.351615274535082e-114,1.3426704624351162e-137,7.041323388596044e-122,8.094970826833797e-85,5.244607180084513e-108,1.874016625380749e-49,5.1902318940958625e-90,7.546214169397722e-190,9.427865763663985e-105,6.2935280737971056e-93,3.644276658067986e-92,2.379295622965634e-153,2.9398887911769744e-214,3.0605197144619024e-201,8.61968331457716e-205
6.043906866518934e-23,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095996884,0.4515426283560997,3.2800098228062138e-83,0.4569006123410269,1.0758453166666225e-75,1.0664578406105147e-88,2.989464722051911e-46,3.6278787605913553e-118,5.466805777230399e-162,9.921443156173508e-17,3.931582548058947e-45,5.675596027880005e-54,1.1725072232280846e-66,3.9315825537345174e-45,3.6390647893984264e-24,2.5227665463602773e-59,1.8531332111452265e-44,2.4352928018466026e-38,3.0661436813581193e-72,3.7568041227470855e-97,6.06058133706524e-84,7.665765348321437e-109,1.5502254931522435e-16,1.4421032337627322e-62,2.2275880881156802e-101,4.5240431469049395e-112,7.353538510161267e-135,1.9277526339045885e-119,6.693078476180809e-84,1.7619687427067064e-106,7.655969077249841e-49,8.524970635526206e-89,1.02575551981959e-187,3.1673687238160747e-103,2.0960072387150446e-91,6.055020176924631e-91,1.329986298143573e-150,1.3508608005020963e-210,1.435061215568756e-197,1.9802963504285714e-201
1.2172939181862078e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095994305,0.4515426283560995,1.3258324132233755e-82,0.4569006123410269,3.511737828511272e-74,3.4802100567035063e-87,6.021034581034198e-46,9.601617085054418e-116,5.879331233972328e-159,1.9982624948345116e-16,1.5892085265217302e-44,4.596244813138337e-53,1.911482701160225e-65,1.5892085311179547e-44,7.329384012449537e-24,2.043001655484235e-58,7.490660692321276e-44,9.84384287488019e-38,4.998588031015394e-71,2.468066969649137e-95,4.9283640762569214e-83,2.5129442147125736e-107,3.12228514817946e-16,5.829347681238867e-62,1.4634344571990847e-99,5.94542632803751e-110,3.892943014069536e-132,5.102137741921993e-117,5.4427003507341345e-83,5.7759779688940335e-105,3.094665046629367e-48,1.3819344043297054e-87,1.3526171567529631e-185,1.03830740281399e-101,6.841716231129229e-90,9.871211113894622e-90,7.111672560125645e-148,5.855792521022854e-207,6.284194280625511e-194,4.292097699786384e-198
2.4431003812548364e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095989149,0.4515426283560991,5.331113821343612e-82,0.4569006123410269,1.1349329193721808e-72,1.1246000828115334e-85,1.2084174298999824e-45,2.49909926887671e-113,6.169140549007395e-156,4.01049885326752e-16,6.390137589210705e-44,3.69945768987177e-52,3.0870496738724646e-64,6.390137626205119e-44,1.47100224585493e-23,1.6443854173821714e-57,3.0119616889925486e-43,3.958165925193122e-37,8.072732943486697e-70,1.6002754247939268e-93,3.974904144818946e-82,8.138589734489379e-106,6.266404458232655e-16,2.344174142889749e-61,9.488795253209747e-98,7.710723542519929e-108,2.026632813332599e-129,1.327986300616598e-114,4.389735153007344e-82,1.8706469916110378e-103,1.2443511918557292e-47,2.225562682222828e-86,1.7571666647273898e-183,3.3627320143514185e-100,2.2111243779152994e-88,1.5942032383515518e-88,3.7206404871032964e-145,2.466998828634645e-203,2.6609420909713294e-190,9.041072652970687e-195
4.894713307392094e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095978836,0.45154262835609826,2.138015082253427e-81,0.4569006123410269,3.649774083240668e-71,3.616313941276215e-84,2.421045373494807e-45,6.450842200746591e-111,6.394556799617395e-153,8.034971570128285e-16,2.5627309791602456e-43,2.968581812409507e-51,4.962342208226344e-63,2.562731008845932e-43,2.9471299350738965e-23,1.3195156982326167e-56,1.2079313262880055e-42,1.5874015692984317e-36,1.2976682181026312e-68,1.0308567038598347e-91,3.192859133627717e-81,2.6200026830196727e-104,1.2554643078334086e-15,9.404705991803063e-61,6.112440514005428e-96,9.93461314638605e-106,1.046288385862503e-126,3.4278915671440054e-112,3.5260742316708147e-81,6.02205091912677e-102,4.990404803886497e-47,3.5725208853184856e-85,2.265838276818843e-181,1.0825421988218435e-98,7.110644397093736e-87,2.5626351740234364e-87,1.9255862045327436e-142,1.0247542592268944e-199,1.1081217424916797e-186,1.8777564409549312e-191
