Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236)
0.0,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099792,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9997070918073215e-24,0.0005485282325552088,0.0915567593028733,0.0,0.001614318588409976,0.4515426283560999,7.654511104260867e-63,0.4569006123410269,3.1816880156889624e-82,3.412860115100457e-95,4.388269351854756e-47,7.448652565724821e-128,-3.3705800157797796e-147,3.315348128457397e-18,1.032648647136073e-47,8.152093030665071e-58,6.949126718438613e-72,1.0326486472175929e-47,1.3807485285979123e-25,5.4888039236537e-63,5.659584919744619e-47,5.640291390100676e-41,2.5639442763381696e-77,-2.2183412611670793e-104,2.402992411104257e-87,-4.926946485859203e-114,9.199096470084914e-20,1.8709988632624808e-66,-1.721057844472981e-108,-2.1513942197145268e-120,1.2502596844889436e-145,5.094166332239091e-129,2.6486075438310525e-87,-9.971959142220823e-112,7.603216753649857e-162,2.223069090622664e-124,-4.942871141274518e-189,1.4417142636326707e-97,9.107845210566943e-96,3.686979377578401e-142,-1.4615192540521474e-154,2.514197437335381e-179,-1.842025557709414e-108,1.097892791346238e-189,2.397123955773808e-200,4.516999805737648e-236
5.5991798570605005e-24,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099696,0.4515426283560999,9.087435583612797e-62,0.4569006123410269,1.9309518834462984e-80,2.074157360230673e-93,1.2287154185193319e-46,1.1763246263703254e-125,2.2407329823413913e-145,9.282974759680666e-18,6.237197828701852e-47,9.678164845896651e-57,2.1849165808242167e-70,6.237197829669654e-47,3.866095880074144e-25,6.516297137599308e-62,3.4183892905805566e-46,3.40673599962077e-40,8.061451438322962e-76,1.149586361826048e-102,3.631402096244932e-86,4.868138453680962e-113,2.57574701162377e-19,1.1300851502176737e-65,8.918846995722348e-107,1.9852937095116077e-118,3.5198213939860322e-143,8.033978849460975e-127,4.002575681952936e-86,9.852933858362603e-111,5.59260818618867e-159,5.952810166134275e-123,1.841973994300029e-185,8.770630960616668e-96,2.863652245714628e-94,6.996236699487578e-140,9.716055935620057e-153,3.3313234270953244e-176,1.8200391410755844e-107,2.619581492915269e-186,1.0297601610656289e-196,-3.00942516716408e-232
1.2798125387566858e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099573,0.4515426283560999,8.922098145092779e-61,0.4569006123410269,8.715181404371956e-79,9.362635123896625e-92,2.8084923851870446e-46,5.619310218630183e-123,4.383664464037948e-143,2.1218228022127017e-17,3.002942265871657e-46,9.502079636381292e-56,4.874428696973549e-69,3.002942266821849e-46,8.836790583026567e-25,6.397733697402221e-61,1.6458072932439444e-45,1.6401967362412196e-39,1.798465471719621e-74,1.206537650645301e-100,3.906496660911649e-85,2.684996637974721e-111,5.8874217408543e-19,5.440913313527971e-65,9.360692731664247e-105,4.2323054674880556e-116,3.400909106600758e-140,3.838215587102268e-124,4.3057882681705705e-85,5.434334814731292e-109,7.372608133870447e-156,2.496936717396176e-121,1.1104927718798081e-181,3.959478025701774e-94,6.388650630926e-93,3.313551587307224e-137,1.9008034188449522e-150,8.779918269517333e-173,1.0038331944039452e-105,1.3804985218684483e-182,1.0852010815464377e-192,6.688509769107264e-228
2.719601644857957e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884099328,0.4515426283560999,7.891494772178033e-60,0.4569006123410269,3.2906020049155182e-77,3.5349301135975726e-90,5.96804631852247e-46,1.90831067453424e-120,6.821058040055032e-141,4.508873454701899e-17,1.3114637818627674e-45,8.404481830730199e-55,9.129265487338935e-68,1.3114637827032018e-45,1.8778179988931257e-24,5.65872094163088e-60,7.187672833425156e-45,7.163170065427267e-39,3.368326784899389e-73,9.632923034886018e-99,3.59074345856915e-84,1.056721829432305e-109,1.251077119931526e-18,2.376262634607013e-64,7.473520007427392e-103,6.768715884883314e-114,2.3121065127338314e-137,1.303485513335199e-121,3.9577612404993236e-84,2.13876626396494e-107,5.505440450807857e-153,9.129743705359796e-120,3.524764329716406e-178,1.495022949770426e-92,1.1965235589914529e-91,1.1202416622623505e-134,2.957683132231053e-148,1.311648235085976e-169,3.9507403273120636e-104,4.1253023781739264e-179,6.486217527391698e-189,2.2129870430170363e-223
5.5991798570605e-23,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884098838,0.4515426283560999,6.633276858266438e-59,0.4569006123410269,1.1416588367163956e-75,1.2263896979492962e-88,1.2287154185193323e-45,5.599746999745015e-118,9.589380639218791e-139,9.282974759680005e-17,5.475103127115051e-45,7.06447338674353e-54,1.5768535847061594e-66,5.47510313417941e-45,3.8660958800740004e-24,4.7564955614573115e-59,3.0007119112631387e-44,2.9904824950308474e-38,5.8179468639568e-72,6.861656107789668e-97,3.0719566222810047e-83,3.7336365478048425e-108,2.5757470116236777e-18,9.921672969295122e-64,5.323485313788165e-101,9.650280994518784e-112,1.357537132027899e-134,3.8249698388592253e-119,3.385948066898293e-83,7.556743573097676e-106,3.3734555872625497e-150,3.114928743946606e-118,8.893930761953901e-175,5.186928640152103e-91,2.0666968951855004e-90,3.280445312895909e-132,4.1580571809351105e-146,1.6076591290071998e-166,1.395885659405266e-102,1.011333061939314e-175,3.1803567407739996e-185,5.023321505133101e-219
1.1358336281465585e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884097855,0.4515426283560998,5.438361140707951e-58,0.4569006123410269,3.802198239373022e-74,4.08431901649515e-87,2.49253699185351e-45,1.5330800201855932e-115,1.28513183944414e-136,1.8831177369635055e-16,2.2367582756422737e-44,5.791882099962237e-53,2.6199658167227722e-65,2.2367582814340617e-44,7.842651642435491e-24,3.8996631063192e-58,1.2258887207926749e-43,1.2217096762609173e-37,9.666605685135882e-71,4.629125763159857e-95,2.539953133431911e-82,1.2543457774734336e-106,5.2250867950078164e-18,4.0553830754064634e-63,3.5914191450458944e-99,1.3026043814553537e-109,7.434947510118005e-132,1.0471888938480084e-116,2.799567340318297e-82,2.5387498962969278e-104,1.885705016222521e-147,1.0285665903697839e-116,2.0171148665697723e-171,1.7274640773498125e-89,3.4338478065616065e-89,8.972181888853101e-130,5.572467998135238e-144,1.7974501844131742e-163,4.689592198389494e-101,2.2615394049354257e-172,1.422408438527089e-181,9.645229022765858e-215
2.287664913027576e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884095893,0.4515426283560997,4.4041258614592363e-57,0.4569006123410269,1.2411006072720402e-72,1.3331786359761688e-85,5.0201801385219766e-45,4.0575655849824524e-113,1.6827866282801236e-134,3.7927582589540504e-16,9.041334577024095e-44,4.6904162892473706e-52,4.2712055326615e-64,9.041334623927503e-44,1.5795763167157452e-23,3.1580498738185607e-57,4.955238165482219e-43,4.938345846016169e-37,1.5759006848327465e-69,3.0411466567779956e-93,2.0654476931342813e-81,4.111919441064017e-105,1.0523766361775444e-17,1.6425931778555264e-62,2.3594157882865265e-97,1.7118621701847096e-107,3.9360372895982166e-129,2.771570293520527e-114,2.276561668403317e-81,8.322374302483851e-103,1.0083199004778243e-144,3.3429467397283966e-115,4.344825282378154e-168,5.638733222537219e-88,5.598038602610938e-88,2.3734905576737767e-127,7.29674135041245e-142,1.922335114888982e-160,1.5373133684013375e-99,4.8374358610109767e-169,6.085129017615468e-178,1.7089717390542684e-210
4.591327482789611e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884091968,0.4515426283560995,3.544823660784999e-56,0.4569006123410269,4.0110224024059576e-71,4.308588414890991e-84,1.0075466431860715e-44,1.0561045673797223e-110,2.1784595811011804e-132,7.612039302933282e-16,3.635480868186119e-43,3.7752550866055667e-51,6.89800836415992e-63,3.635480905938062e-43,3.170198621659727e-23,2.5418760336969187e-56,1.992479434851161e-42,1.9856871450475045e-36,2.5450837690189596e-68,1.9718558028626466e-91,1.6658583703337015e-80,1.3317138137621337e-103,2.1121125495308093e-17,6.658702557630249e-62,1.529826842120475e-95,2.220142843785207e-105,2.04906640522142e-126,7.213853301085435e-112,1.836129461794132e-80,2.6953399681680626e-101,5.2752650752325815e-142,1.0780419434643883e-113,9.124287411203853e-165,1.822343076653158e-86,9.040847376723664e-87,6.176241730191894e-125,9.446031860422692e-140,2.0114721293767514e-157,4.978846183993312e-98,1.0123591758164021e-165,2.5469559522191357e-174,2.9110282227640085e-206
9.198652622313681e-22,0.0005485282325552088,0.0915567593028733,0.0,0.0016143185884084118,0.4515426283560991,2.8444977701747633e-55,0.4569006123410269,1.2898846478583796e-69,1.3855773447989753e-82,2.0186039018567225e-44,2.7260911817186582e-108,2.8041966255649176e-130,1.525060139088431e-15,1.4579904289976768e-42,3.029404449780342e-50,1.1088347045426114e-61,1.4579904592912333e-42,6.351443231546052e-23,2.0396999305078905e-55,7.990733390695582e-42,7.96349357191065e-36,4.0911476773994745e-67,1.2702192843596293e-89,1.3381080039308591e-79,4.287098754444701e-102,4.231584376236297e-17,2.7570333169294664e-61,9.854755173480886e-94,2.860465612601643e-103,1.0578698974348031e-123,1.8620904489632126e-109,1.4748790403012413e-79,8.676930621482319e-100,2.7301690068187954e-139,3.463055513690981e-112,1.8921806445073905e-161,5.860394918457017e-85,1.4532898480769684e-85,1.5940638150873676e-122,1.2159294069922416e-137,2.082062601345602e-154,1.60280718495707e-96,2.095784599462511e-162,1.0545437020431442e-170,4.862784709676173e-202
