Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236)
0.0,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864887056,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1033808924986618e-24,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864887008,0.4515426283560999,4.984149720084176e-64,0.4569006123410269,9.99909030436723e-84,8.937647453398946e-97,4.1615843931202294e-48,1.8500158811578885e-130,-1.1018192833714802e-149,1.8080403703569027e-18,1.789652119468691e-48,8.23699671759704e-59,3.2337942549515704e-73,1.7896521195510602e-48,6.480126062780885e-26,3.394549638282576e-64,8.206445354499867e-48,1.1341219151622342e-41,7.942198208925408e-79,-1.8559092394283538e-106,4.57167781755893e-89,-2.5345854821175104e-116,2.825063078682669e-18,5.449062178937779e-66,-1.047918328493033e-110,-7.676844614479417e-123,1.3673362391710844e-148,9.983167877191166e-132,5.050580137415587e-89,-5.962028745030561e-114,5.576765766620217e-165,2.2285610447209258e-126,1.3935494491386809e-189,1.6683384599031514e-99,1.4096772282512684e-97,6.659530343950956e-145,-3.108541287445173e-157,5.030929659173253e-173,-1.0665224499697539e-110,7.216023683066176e-183,1.7386716636472259e-193,2.0946294571484345e-204,5.746341422560927e-241
3.0894664989962534e-24,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864886928,0.4515426283560999,5.917182547924711e-63,0.4569006123410269,6.077456719022138e-82,5.2873992868021867e-95,1.1652436300736642e-47,3.120606632119595e-128,7.324800360199581e-148,5.062513036999296e-18,1.0809498801590824e-47,9.778962503083247e-58,1.016756571227575e-71,1.0809498802568709e-47,1.8144352975786423e-25,4.0300045462353307e-63,4.9566929933600685e-47,6.850096367579836e-41,2.4971539565083842e-77,9.617671466585679e-105,6.908719099020258e-88,2.504332602645222e-115,7.910176620311444e-18,3.291233632343842e-65,5.430510287187724e-109,7.084145573804619e-121,3.8485437360416635e-146,1.574439220590424e-129,7.632436245520604e-88,5.890865816479049e-113,4.10203534773102e-162,5.967515557538603e-125,3.3871439207045584e-186,1.0149035717112347e-97,4.432250615072535e-96,1.2057181566321352e-142,2.066531661338527e-155,6.778048632398041e-170,1.0537924097629544e-109,9.561265093896643e-180,4.148485211203236e-190,8.998140929461209e-201,-3.8284668731191484e-237
7.061637711991435e-24,0.00053584454179025,0.0915567593028733,0.0,0.001576990486488676,0.4515426283560999,5.809524914476518e-62,0.4569006123410269,2.7434103425373165e-80,2.3789796751059196e-93,2.6634140115969466e-47,1.4838371626747306e-125,1.4329894508375172e-145,1.1571458370283945e-17,5.204308363414844e-47,9.601043373959804e-57,2.2683279730178036e-70,5.204308364374938e-47,4.1472806801797245e-25,3.956679964483874e-62,2.38643430795178e-46,3.2980265292916864e-40,5.571013090512975e-76,1.0094137418626602e-102,7.4320847134243845e-87,1.381251720422837e-113,1.8080403703568862e-17,1.5845874835064497e-64,5.69954144122027e-107,1.5102182547283853e-118,3.7195042088323023e-143,7.521848456765968e-127,8.210626601701893e-87,3.2490766349678967e-111,5.407619895806428e-159,2.503104982287339e-123,1.742336122556387e-182,4.581734004644893e-96,9.888107295640239e-95,5.722289082080628e-140,4.0428652315210595e-153,1.743347306786899e-166,5.812137642625266e-108,2.5199334592783743e-176,2.1862187665771703e-186,9.482589753810207e-197,8.508846079707364e-233
1.50059801379818e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864886427,0.4515426283560999,5.1384589969854205e-61,0.4569006123410269,1.0358492099346166e-78,8.96638060666802e-92,5.659754774643513e-47,5.033220743614739e-123,2.2297564746795324e-143,2.4589349036852692e-17,2.272858191725122e-46,8.492014135901485e-56,4.2483272527788225e-69,2.2728581925743145e-46,8.812971445381787e-25,3.4996377366223774e-61,1.0422185588468072e-45,1.4403348322559422e-39,1.0433890954624652e-74,8.059097773134605e-101,6.831366281876181e-86,5.436129134479054e-112,3.842085787008318e-17,6.920312873486238e-64,4.5504791395953944e-105,2.4152883994411478e-116,2.528728053338493e-140,2.5544736302987505e-124,7.546980426710028e-86,1.2787242110891956e-109,4.038100058366042e-156,9.152297217361978e-122,5.20721654249727e-179,1.7299732776832135e-94,1.8519330629392562e-93,1.9366676372244513e-137,6.290768519126241e-151,2.6045419110827786e-163,2.287456392307282e-106,3.764575888698082e-173,6.533013210789445e-183,5.66771926870035e-193,2.815270775188668e-228
3.089466498996253e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864885759,0.4515426283560998,4.319184403873204e-60,0.4569006123410269,3.593836867810164e-77,3.107806856725562e-90,1.1652436300736646e-46,1.476551700360968e-120,3.134701898708928e-141,5.062513036998797e-17,9.48873553742195e-46,7.138049563459372e-55,7.3379288465600785e-68,9.488735544559928e-46,1.814435297578551e-24,2.941656271021917e-60,4.351057316383739e-45,6.013114394189305e-39,1.8021951875836288e-73,5.740599958168186e-99,5.844377674147597e-85,1.9207070264738187e-110,7.910176620310972e-17,2.889099564281691e-63,3.241365363393271e-103,3.443520481748969e-114,1.484730929581258e-137,7.495890449049069e-122,6.456600673489755e-85,4.518021038658082e-108,2.474343578996305e-153,3.122623659929087e-120,1.2765966766833495e-175,6.002079184696283e-93,3.19875382424403e-92,5.674029628135555e-135,8.84387341946687e-149,3.192271960257321e-160,8.082099333486629e-105,4.614161623880598e-170,1.6015928051120638e-179,2.7790273029430107e-189,6.3904622954790715e-224
6.2672034693924e-23,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864884425,0.4515426283560997,3.5411283309284084e-59,0.4569006123410269,1.1968973302087776e-75,1.0345076436622893e-88,2.3637799352922946e-46,4.042193554750909e-118,4.201006692165315e-139,1.0269669303624974e-16,3.8764580768530744e-45,5.852204294916091e-54,1.2192078532558468e-66,3.876458082705219e-45,3.6807116036591325e-24,2.411747898921507e-59,1.7775488806150503e-44,2.4565534331172744e-38,2.9943742507263403e-72,3.872820038487767e-97,4.8322444722938215e-84,6.4527725738827125e-109,1.6046358286915448e-16,1.1802999774989352e-62,2.1867443901055006e-101,4.648097695859348e-112,8.131577872227869e-135,2.052202655318673e-119,5.338442340623857e-84,1.517866176771854e-106,1.3831165093173408e-150,1.0311074956405689e-118,2.85479915701243e-172,1.9989431310514453e-91,5.314777324813851e-91,1.552244918372765e-132,1.1852218363750499e-146,3.569158537316107e-157,2.7152474687080384e-103,5.158886869645684e-167,3.5814787002845745e-176,1.2429155044543556e-185,1.2270262341941533e-219
1.2622677410184693e-22,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864881756,0.4515426283560995,2.8676975363916644e-58,0.4569006123410269,3.906871772064828e-74,3.3759460554894075e-87,4.760852545729626e-46,1.0698206655472184e-115,5.500912579947164e-137,2.068398183687379e-16,1.5669263338958418e-44,4.739266766671613e-53,1.987616514935209e-65,1.5669263386350602e-44,7.413264215819652e-24,1.95309678150032e-58,7.185136743612123e-44,9.929781745758607e-38,4.8815857451000455e-71,2.5442846903874242e-95,3.9295009402103776e-83,2.115308357394649e-107,3.2318721620121077e-16,4.771100007716053e-62,1.4366018143413376e-99,6.108456863219543e-110,4.304835570890902e-132,5.431516697391374e-117,4.341132726615892e-83,4.975775894632277e-105,7.395769218638107e-148,3.3512049494459154e-117,6.106530222577656e-169,6.524885841239271e-90,8.664428436130813e-90,4.106769649148869e-130,1.5519617519327987e-144,3.8171704358823186e-154,8.900957838331517e-102,5.517328715092155e-164,7.660798724906094e-173,5.317257529272808e-182,2.1740833446745864e-215
2.5333625291769277e-22,0.00053584454179025,0.0915567593028733,0.0,0.001576990486487642,0.45154262835609904,2.308172467861198e-57,0.4569006123410269,1.2626333797060494e-72,1.0909084639523781e-85,9.554997766605441e-46,2.7845220881443525e-113,7.121233026298676e-135,4.1512606903357313e-16,6.300541872668368e-44,3.814574200718237e-52,3.2100059871267036e-64,6.300541910813722e-44,1.4878369440138104e-23,1.5720235879519363e-57,2.8891118531113653e-43,3.992721567200357e-37,7.883773938182326e-70,1.649694401322819e-93,3.1692848436259e-82,6.850779568812459e-106,6.486344828651902e-16,1.918662160659712e-61,9.314814479536062e-98,7.922160586027443e-108,2.2410607253747344e-129,1.4137171764882022e-114,3.5012809314658323e-82,1.611488177237573e-103,3.8692724033222086e-145,1.0807050717647693e-115,1.2779631965372798e-165,2.1087321689361864e-88,1.3993075131529884e-88,1.068715731610185e-127,2.009099601131503e-142,3.9941897871479614e-151,2.882723921019295e-100,5.773178924479684e-161,1.603225801887204e-169,2.2255665029469852e-178,3.703290084654814e-211
5.075552105493844e-22,0.00053584454179025,0.0915567593028733,0.0,0.0015769904864865745,0.4515426283560982,1.8521630523074663e-56,0.4569006123410269,4.060439620538952e-71,3.5079766683418766e-84,1.914328820837563e-45,7.187596970477268e-111,9.166723786074935e-133,8.316985703626789e-16,2.526799089560343e-43,3.060955562601775e-51,5.159990892775537e-63,2.526799120169587e-43,2.9808579888764657e-23,1.2614521809149434e-56,1.1586630476280629e-42,1.6012599272821225e-36,1.2672936095473308e-68,1.0626911499627191e-91,2.5457419064100343e-81,2.2054264275230445e-104,1.2995290161926161e-15,7.698288978224533e-61,6.000366521231877e-96,1.0207031830791418e-105,1.1569909863669935e-126,3.6491861257441153e-112,2.812419443492783e-81,5.187757980935496e-102,2.002509401794271e-142,3.471610368737284e-114,2.6456519615492954e-162,6.7813785367861765e-87,2.2493459865755567e-87,2.7583927926001655e-125,2.5861899182819243e-140,4.1343734206818026e-148,9.280163501994162e-99,5.975816554830326e-158,3.319014810381992e-166,9.21480606567414e-175,6.186234454236366e-207
