Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357)
0.0,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917768135,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0955752380640577e-24,0.0005555851823910342,0.0915567593028733,0.0,0.001635087191776809,0.4515426283560999,2.093227795420501e-63,0.4569006123410269,2.1758908074202984e-83,7.129236272825065e-96,6.185697267567359e-47,5.9683244190400796e-130,-1.1529196587558234e-148,1.8280193723549534e-18,4.1956824603510876e-48,1.7618137429106342e-58,9.063154657055395e-73,4.195682460527266e-48,8.251990317812118e-26,1.5430588721998728e-63,2.5293223417583216e-47,2.1150906427929982e-41,4.159734058815077e-78,-1.1518678964846632e-105,1.2717802507106313e-87,-8.341828574481585e-115,2.8562802693046196e-18,8.188877750403105e-65,-1.05979096004338e-109,-7.027105820506979e-122,1.2209943560798098e-147,9.139729753876817e-131,1.4000399988517142e-87,-1.5566589985281662e-112,9.205515448978272e-164,2.631229831745178e-125,4.114895135178957e-188,1.5802530183095833e-98,2.1447797085340304e-96,6.884276691544666e-144,-6.172846738936834e-156,1.416259188027263e-171,-2.9263219363992037e-109,2.0054543319556154e-181,4.797877462902087e-192,5.73925513597998e-203,2.5356834143959715e-229,-1.2027521589378759e-203
3.0676106665793618e-24,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917768003,0.4515426283560999,2.485080038815472e-62,0.4569006123410269,1.2446230953642792e-81,4.218243706437709e-94,1.7319952349188603e-46,1.8889749558267797e-127,7.664511362516043e-147,5.118454242593834e-18,2.5341922060520396e-47,2.091625275490487e-57,2.849600683713318e-71,2.534192206261198e-47,2.310557288987385e-25,1.8319101939395032e-62,1.5277106941908394e-46,1.2775147482469583e-40,1.3078868446046286e-76,5.969196608482065e-104,1.9219142792020143e-86,8.242260355307207e-114,7.997584754052904e-18,4.946082186701785e-64,5.492036633797994e-108,6.48457064253253e-120,3.437868536838146e-145,1.44142113254399e-128,2.115740408324119e-86,1.5380786899680884e-111,6.771191636272479e-161,7.045759479052762e-124,9.99466686768772e-185,9.61011257374897e-97,6.743530504084359e-95,1.3481820489765894e-141,4.1036557586296074e-154,1.9080913351473849e-168,2.8913933040326247e-108,2.657236426236846e-178,1.1447776262755529e-188,2.4654779710056208e-199,8.676833233489498e-225,8.16580749593088e-200
7.01168152360997e-24,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917767834,0.4515426283560999,2.4398663186281212e-61,0.4569006123410269,5.583667133830272e-80,1.8979661196019213e-92,3.9588462512431094e-46,8.696468730848741e-125,1.499448910247782e-144,1.1699323983071459e-17,1.2201044594700705e-46,2.0535700985972746e-56,6.357302358759289e-70,1.2201044596754232e-46,5.281273803399699e-25,1.798575493373786e-61,7.355269366365392e-46,6.1506835892418505e-40,2.9178235957194855e-75,6.264914649149203e-102,2.0675076767302207e-85,4.5459761637507445e-112,1.8280193723549343e-17,2.3813257172064068e-63,5.764115827765651e-106,1.3823991697847908e-117,3.321238679363199e-142,6.88635749374992e-126,2.2760169843424728e-85,8.483193641463029e-110,8.926307914553702e-158,2.955379918455698e-122,5.14085419439768e-181,4.3381706484106074e-95,1.5044445590262595e-93,6.3767439194803004e-139,8.028198881897164e-152,4.907704412188959e-165,1.5947330554358573e-106,7.003319415539986e-175,6.032887523911733e-185,2.5982164106547868e-195,4.664881799980814e-220,9.603536831743438e-196
1.4899823237671187e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917767496,0.4515426283560999,2.1580341285672897e-60,0.4569006123410269,2.1068830995122282e-78,7.153511944027493e-91,8.412548283891608e-46,2.925382021378149e-122,2.3331685478129294e-142,2.4861063464026164e-17,5.328516724645617e-46,1.8163594962474867e-55,1.1906523741845683e-68,5.3285167264619396e-46,1.1222706832224205e-24,1.5908176255115788e-60,3.212239370449667e-45,2.686165116346914e-39,5.4647606690050344e-74,5.001869659507691e-100,1.9003957541442828e-84,1.78913901860387e-110,3.8845411662541706e-17,1.0399876047025874e-62,4.602034933270339e-104,2.2108676460620224e-115,2.2579302817993076e-139,2.3386563457212483e-123,2.0920517362319504e-84,3.3386916710531374e-108,6.665654243824757e-155,1.0805985204449901e-120,1.536369711849722e-177,1.6379858895111665e-93,2.8176581593948014e-92,2.1543381739590828e-136,1.2492016898645483e-149,7.332057015576187e-162,6.276317848935268e-105,1.0462391500907453e-171,1.8027902317510833e-181,1.5529473771705578e-191,1.258941135997023e-215,6.098163190368806e-192
3.067610666579362e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917766821,0.4515426283560998,1.8139577169562865e-59,0.4569006123410269,7.309192376863937e-77,2.479468299213979e-89,1.7319952349188604e-45,8.565375374068014e-120,3.2800837042959703e-140,5.11845424259334e-17,2.2245508404779108e-45,1.5267596004577974e-54,2.0565558824253116e-67,2.2245508420046386e-45,2.310557288987271e-24,1.3371772927190134e-59,1.3410467023752007e-44,1.1214210588086735e-38,9.43901505387367e-73,3.56289668638859e-98,1.6258285765385072e-83,6.32143166483333e-109,7.997584754052435e-17,4.341745252325236e-62,3.2780892240545546e-102,3.1520741049301525e-113,1.3257249699845874e-136,6.8625925722360845e-121,1.7897943135472676e-83,1.179635067623817e-106,4.084375952894352e-152,3.686836678083374e-119,3.7664931193801193e-174,5.6829123073771317e-92,4.866803769954468e-91,6.306596780496037e-134,1.7561895001328696e-147,8.986578384632881e-159,2.2175646484886372e-103,1.2823536501047057e-168,4.4196091858837064e-178,7.614498771428733e-188,2.616342881792553e-211,3.07775717970368e-188
6.222867352203847e-23,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917765472,0.4515426283560997,1.4871921320288768e-58,0.4569006123410269,2.4342430884058046e-75,8.253524921135867e-88,3.513476047978259e-45,2.3437614528057745e-117,4.39584178652084e-138,1.0383150034973918e-16,9.088016036416881e-45,1.2517297633826766e-53,3.4169983582521655e-66,9.08801604893392e-45,4.6871305005167715e-24,1.0962985205002716e-58,5.478613337836675e-44,4.5813709359138757e-38,1.5683064645270879e-71,2.403661250728453e-96,1.3442665053411675e-82,2.123736744434945e-107,1.6223671929648142e-16,1.7737474530124047e-61,2.211519658304497e-100,4.254700517927475e-111,7.260710788643411e-134,1.8788202399676525e-118,1.4798365628389195e-82,3.9630806382651525e-105,2.2830975680683974e-149,1.2174137355448427e-117,8.422785083290618e-171,1.8926452080159416e-90,8.086267258888885e-90,1.7246189680804704e-131,2.3535774948007147e-145,1.004755339260336e-155,7.450090069551442e-102,1.4337426712734786e-165,9.883125910309298e-175,3.40557391011799e-184,4.8151919771001e-207,1.3961442767831665e-184
1.253338072345282e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917762775,0.4515426283560995,1.2043667481301195e-57,0.4569006123410269,7.945764626802738e-74,2.6934061525383872e-86,7.076437674097068e-45,6.202373779061536e-115,5.75603496205869e-136,2.0912541619731597e-16,3.67352138679384e-44,1.0136832156733316e-52,5.57056973374708e-65,3.673521396930463e-44,9.44027692357497e-24,8.878110442568386e-58,2.2145430952208227e-43,1.8518633821149156e-37,2.5567353445289266e-70,1.579107331186845e-94,1.0931351935829137e-81,6.961903635156927e-106,3.2675846280836246e-16,7.169817134230624e-61,1.4528781544299734e-98,5.591460475882507e-109,3.8437947834424777e-131,4.97262951511658e-116,1.2033785378196404e-81,1.2991528114730765e-103,1.2208127504639985e-146,3.956719309614969e-116,1.801660748142864e-167,6.1779084878781794e-89,1.3182656521336148e-88,4.561941123360514e-129,3.0818384728193946e-143,1.074573273683854e-152,2.4422428660979785e-100,1.533361167922308e-162,2.114006907869935e-171,1.4569236519039368e-180,8.356245416898709e-203,6.01476643218403e-181
2.5154407465950767e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917757378,0.45154262835609904,9.693791389346497e-57,0.4569006123410269,2.5679332571184916e-72,8.703519184489845e-85,1.4202360926334872e-44,1.6143043084975748e-112,7.451502957172032e-134,4.197132478923303e-16,1.4771067928951177e-43,8.159004404228339e-52,8.996485012475202e-64,1.4771068010539537e-43,1.8946569769688154e-23,7.145878627675851e-57,8.904580294870236e-43,7.446261211568663e-37,4.129134369572969e-69,1.0238809077101929e-92,8.816531294446648e-81,2.2547288186884854e-104,6.558019498319923e-16,2.8830266586833284e-60,9.420349004257308e-97,7.25165924982605e-107,2.0010452292437515e-128,1.294277848305201e-113,9.705684206914429e-81,4.207523491362684e-102,6.38697197753448e-144,1.275972881037936e-114,3.770474657075161e-164,1.9965939800432654e-87,2.129002557251767e-87,1.1870531339689954e-126,3.9896089267115684e-141,1.1244060646314554e-149,7.909611593525858e-99,1.6044692852728012e-159,4.424129516262218e-168,6.0980427364334976e-177,1.4088130533501909e-198,2.5262967234284996e-177
5.039646095094666e-22,0.0005555851823910342,0.0915567593028733,0.0,0.0016350871917746586,0.45154262835609815,7.778657136422527e-56,0.4569006123410269,8.258088029902032e-71,2.798744561017256e-83,2.845420743081365e-44,4.166922433296103e-110,9.591859962421886e-132,8.408889112818021e-16,5.923858891664277e-43,6.547087198287234e-51,1.446158694602887e-62,5.923858957133797e-43,3.795915546190168e-23,5.734123004134371e-56,3.5711348916434783e-42,2.9862837880076845e-36,6.637462770539849e-68,6.595580212453627e-91,7.081917307317639e-80,7.258500197497026e-103,1.313888923878723e-15,1.1563426697594212e-59,6.068349178527966e-95,9.343147705443414e-105,1.0330779259774602e-125,3.3408809251496015e-111,7.796133928027485e-80,1.3545003858697352e-100,3.3055236353624754e-141,4.0988802917195006e-113,7.805666216974401e-161,6.420752911067423e-86,3.422309462660071e-86,3.0636805503041164e-124,5.1355773809658405e-139,1.16386921461927e-146,2.5462892333299204e-97,1.6607919273416918e-156,9.15891243015914e-165,2.524862106423959e-173,2.34135861672562e-194,1.0478101815353815e-173
