Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497)
0.0,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999425,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1256249516862198e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999377,0.4515426283560999,6.123010727326126e-64,0.4569006123410269,1.1911446827003454e-83,1.220521378350881e-96,5.567617366786891e-48,2.5739170679287926e-130,-1.6115734282340554e-149,1.8477822739449288e-18,2.0311850609847953e-48,9.45657218015287e-59,3.894460012917426e-73,2.03118506107936e-48,6.777440847809322e-26,4.203397847304376e-64,9.573896685928669e-48,1.2581524863765377e-41,1.0184137476505343e-78,-2.5228629230974647e-106,6.787562195257427e-89,-3.988756365488107e-116,2.8871598030389566e-18,7.450323169158201e-66,-1.4959255761870873e-110,-1.1076542287597738e-122,2.0512506373119e-148,1.470597044508315e-131,7.49592869852336e-89,-9.168117847406761e-114,8.89588897849152e-165,3.16480371224955e-126,2.4565267668875186e-189,2.3174034248222564e-99,2.0111632505313587e-97,9.938486133892053e-145,-4.8477032487717403e-157,8.6447147474835e-173,-1.648088818917884e-110,1.2380856078105182e-182,3.0432564702728383e-193,3.7402138775967116e-204,-1.420989976461804e-228,-4.232677236810863e-205,-5.707856096350809e-218
3.1517498647214155e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999293,0.4515426283560999,7.26923833578078e-63,0.4569006123410269,7.23694225098535e-82,7.220575539570144e-95,1.5589328627003296e-47,4.3970472110109714e-128,1.0713602696034456e-147,5.173790367045765e-18,1.2268357768348078e-47,1.1226842492210171e-57,1.224480566667179e-71,1.226835776947075e-47,1.8976834373866034e-25,4.990267207121509e-63,5.78263359739926e-47,7.599241017714217e-41,3.2020556509808965e-77,1.3073951660413565e-104,1.0257364070187909e-87,3.941146581560376e-115,8.084047448509047e-18,4.499995287648037e-65,7.75216858373999e-109,1.0221366330782891e-120,5.77370948767564e-146,2.3192695669107077e-129,1.1327847545361792e-87,9.058687220785939e-113,6.543443463754729e-162,8.474533890606174e-125,5.970293690635576e-186,1.4097414263649358e-97,6.323419072169122e-96,1.8108576713218288e-142,3.222711772535895e-155,1.1646813247098053e-169,1.6284172357756343e-109,1.6404692406187497e-179,7.261235645312416e-190,1.6067267645724976e-200,1.3365068309923043e-225,2.873678444894157e-201,2.2947617734890076e-215
7.203999690791807e-24,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095999121,0.4515426283560999,7.136981304698863e-62,0.4569006123410269,3.2666842337175703e-80,3.2487877802958384e-93,3.5632751147436105e-47,2.0889881716467416e-125,2.0959587766117545e-145,1.1825806553247294e-17,5.906686157343654e-47,1.102258053308597e-56,2.7317487877223685e-70,5.9066861584459e-47,4.337562142597919e-25,4.8994705533826105e-62,2.784089154915574e-46,3.658707430382865e-40,7.143610002003808e-76,1.37216440862818e-102,1.1034404199789948e-86,2.173719057646068e-113,1.8477822739449093e-17,2.1665542250197726e-64,8.136216268805556e-107,2.1790198789572456e-118,5.579897229314301e-143,1.108025893069224e-126,1.2185981489538472e-86,4.996272188054991e-111,8.626072670761331e-159,3.554686661877918e-123,3.071072966928587e-182,6.364202546361287e-96,1.4107200102360952e-94,8.591811888738553e-140,6.30476154055804e-153,2.995617412134684e-166,8.981451224766127e-108,4.323563155666282e-176,3.826613547897395e-186,1.693230962645907e-196,3.2718216336389734e-221,3.3796383967134566e-197,1.8203322844217272e-211
1.530849934293259e-23,0.0005377589567108198,0.0915567593028733,0.0,0.001582624609599878,0.4515426283560999,6.312579141391955e-61,0.4569006123410269,1.233420416147937e-78,1.224470334888313e-91,7.571959618830173e-47,7.084374722579846e-123,3.2613482602477452e-143,2.5129838925649778e-17,2.579605027450555e-46,9.749347654748433e-56,5.116263151687614e-69,2.579605028425479e-46,9.217319553020446e-25,4.3335249393382364e-61,1.2158848777153748e-45,1.597853657698093e-39,1.3379190925838811e-74,1.0955276981032194e-100,1.0142518516313293e-85,8.555006541967448e-112,3.926537332132865e-17,9.461915212607356e-64,6.495905467248507e-105,3.484901218499939e-116,3.7935221581114096e-140,3.7629353236335684e-124,1.120101647354353e-85,1.9663599639425612e-109,6.441455803023013e-156,1.2997277010827045e-121,9.178299068505467e-179,2.402997864476165e-94,2.642122452284529e-93,2.9074055788901634e-137,9.810318461155028e-151,4.475419826323292e-163,3.5347886247738997e-106,6.459052226682352e-173,1.1434956816280236e-182,1.0120397620835053e-192,5.511849825992623e-217,2.1460412758570926e-193,6.167624116801902e-208
3.151749864721415e-23,0.0005377589567108198,0.0915567593028733,0.0,0.00158262460959981,0.4515426283560998,5.30610313166307e-60,0.4569006123410269,4.279300067999482e-77,4.244097799254704e-90,1.5589328627003297e-46,2.078176778171593e-120,4.584964636086631e-141,5.173790367045246e-17,1.0769343193340169e-45,8.194914146076677e-55,8.837072271911528e-68,1.0769343201534993e-45,1.897683437386506e-24,3.64258859434432e-60,5.0760800103012837e-45,6.670724482767417e-39,2.310922512480591e-73,7.803586002490498e-99,8.677138120262001e-85,3.0226767559768614e-110,8.084047448508559e-17,3.9501696752174074e-63,4.627117791121136e-103,4.968486879173009e-114,2.2273475507425406e-137,1.1042020796973722e-121,9.582705456859866e-85,6.94759324189364e-108,3.9469984830312395e-153,4.434471886539661e-120,2.2501395920170793e-175,8.337112734884648e-93,4.5636094886761595e-92,8.517505789714041e-135,1.3791830745145386e-148,5.4853243716734315e-160,1.2489205427222372e-104,7.916724901308311e-170,2.8033228229894084e-179,4.9622891850899655e-189,9.719925132012407e-213,1.0831120344550324e-189,1.6001416572275992e-204
6.393549725577728e-23,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095996736,0.4515426283560997,4.350263931695959e-59,0.4569006123410269,1.4251850251408736e-75,1.4127496270962742e-88,3.1624066643349595e-46,5.6891282711589775e-118,6.144592928188304e-139,1.0495403316004864e-16,4.399628089494479e-45,6.718685732814424e-54,1.4682927756508533e-66,4.39962809621309e-45,3.8495864015552574e-24,2.9864145967767852e-59,2.0737443071094375e-44,2.7252086115901995e-38,3.839632307380447e-72,5.264586360080097e-97,7.174425585334695e-84,1.0154930138376749e-108,1.6399067681259083e-16,1.613783666164447e-62,3.121623987798114e-101,6.706512284246135e-112,1.2198738591605342e-134,3.023051704214318e-119,7.9231662521821245e-84,2.3341008600549367e-106,2.2063058702828644e-150,1.4642869904285227e-118,5.0318872918392493e-172,2.776606767227796e-91,7.582505426358033e-91,2.3300585997078326e-132,1.848328010441909e-146,6.132933707525506e-157,4.19585085783757e-103,8.851334994906377e-167,6.2687853410461454e-176,2.219375994491161e-185,1.7091575460946223e-208,4.913255268235677e-186,3.676184573573991e-201
1.2877149447290353e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095994008,0.4515426283560995,3.5229565251341256e-58,0.4569006123410269,4.652040687119811e-74,4.610277438781878e-87,6.3693542676042994e-46,1.5056995738887442e-115,8.045897331884861e-137,2.1138629213920426e-16,1.7784000177742706e-44,5.440965900131053e-53,2.393687804598095e-65,1.7784000232151774e-44,7.753392329892073e-24,2.4184769107298676e-58,8.382406007971099e-44,1.1015728931413167e-37,6.259569701988523e-71,3.458618355733876e-95,5.834123716794293e-83,3.3289269601358216e-107,3.3029108146756655e-16,6.52334170584875e-62,2.050779553572166e-99,8.813592927807117e-110,6.457978576156963e-132,8.0010401319568e-117,6.442987324037509e-83,7.651506419484946e-105,1.179750869015733e-147,4.7590826662082325e-117,1.076340427160455e-168,9.063310224476608e-90,1.2361397593734312e-89,6.164529897204463e-130,2.4202510357365065e-144,6.55909592741903e-154,1.3754581123640652e-101,9.466330821639496e-164,1.3408960858358985e-172,9.494607552424891e-182,2.9315214938337023e-204,2.1166926199807168e-182,7.96776873275434e-198
2.5844348890715606e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095988553,0.45154262835609904,2.835581909828468e-57,0.4569006123410269,1.5034590788455615e-72,1.489772322724365e-85,1.27832494741443e-45,3.919021950766803e-113,1.0415855364901762e-134,4.2425081009736855e-16,7.150868254592555e-44,4.37936270977334e-52,3.865812205800717e-64,7.150868298385705e-44,1.5561004186562943e-23,1.9466022607434476e-57,3.370528552814294e-43,4.429376154382473e-37,1.0109221684868368e-69,2.2425412361479814e-93,4.7054321020193465e-82,1.0781286198684343e-105,6.628918907773795e-16,2.623281354336439e-61,1.329709519051433e-97,1.1430497102619752e-107,3.3619683694864566e-129,2.0825136860358807e-114,5.1965028713884835e-82,2.4780682239248875e-103,6.1721469978301636e-145,1.5347210487148836e-115,2.252544538833672e-165,2.929107662334135e-88,1.9963690223641324e-88,1.6041994683010522e-127,3.133147698076328e-142,6.863270684269021e-151,4.45465092000968e-100,9.905306662986132e-161,2.8061821276064273e-169,3.9740194592983366e-178,4.92782734245611e-200,8.890442707151286e-179,1.6783675709451375e-194
5.177874777756612e-22,0.0005377589567108198,0.0915567593028733,0.0,0.0015826246095977643,0.45154262835609815,2.275375916941355e-56,0.4569006123410269,4.8348989512178116e-71,4.79058212097089e-84,2.5611039887245575e-45,1.0116042999728838e-110,1.3407687801546801e-132,8.499798460131092e-16,2.867818000488544e-43,3.514162771983987e-51,6.214180239585687e-63,2.8678180356297877e-43,3.117622789989366e-23,1.5620284033062207e-56,1.351732671513713e-42,1.7763779465956173e-36,1.625027827289991e-68,1.4445879919354637e-91,3.779658906562423e-81,3.470748583194174e-104,1.3280935093964506e-15,1.0524938528908676e-60,8.56565044365012e-96,1.4727225783432525e-105,1.735681189335492e-126,5.3755306704820855e-112,4.1741139957263277e-81,7.977482174063142e-102,3.1943427837160375e-142,4.930071717080298e-114,4.663239277665367e-162,9.41958715710094e-87,3.2091049366057557e-87,4.1404787169523216e-125,4.0331076611745255e-140,7.104150120899458e-148,1.434056468940904e-98,1.0252985533939841e-157,5.809389967864321e-166,1.645416288216895e-174,8.183699799907447e-196,3.68741182405117e-175,3.4858314161363376e-191
