Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495),SX(318),SX(533),SX(213),S(309),C2H4O3(79),SX(386),SX(390),SX(718),SX(572),S(233),SX(1093),SX(1139),SX(217),SX(923),SX(1337),S(257)
0.0,0.0005512981296411278,0.0915567593028733,0.0,0.001622470395533839,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4243926626221444e-24,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955338348,0.4515426283560999,1.6679956620797798e-62,0.4569006123410269,9.237281983032009e-82,1.1975457927125001e-94,7.731661905911317e-47,4.46645789998809e-127,-1.806786987726999e-146,4.029577187754758e-18,1.7109019839999672e-47,1.6184570280678755e-57,1.7378666839640104e-71,1.71090198416181e-47,1.7325528752716518e-25,1.209213165197741e-62,9.737267961411821e-47,9.053481650003908e-41,6.990036549545814e-77,-9.117990137073076e-104,6.7992095052704e-87,-2.1012617831540263e-113,1.1180867844806737e-19,4.006669089523963e-66,-7.567588247404171e-108,-1.1323048261987454e-119,9.657217464287873e-145,3.253684989032248e-128,7.490508168466442e-87,-4.118812124739083e-111,6.393749301514272e-161,8.229144200818325e-124,2.131084888434149e-186,5.176553720762605e-97,2.877415035057929e-95,2.3933550772928347e-141,-8.559877849562299e-154,2.757231764137398e-178,-7.661046509508857e-108,1.4597228332092495e-188,3.864003703938652e-199,1.0204142593144099e-191,-7.011336612256922e-182,-2.7159531960827405e-146,-4.367994061576075e-164,-4.290989137747209e-143,-9.027555366800048e-167,1.9419623254790018e-168,-1.2396171709778279e-163,7.16923461870989e-176,1.622695826933987e-222,6.0580935396665155e-158,-6.452219522348471e-145,4.427429985644853e-226,1.0844287655238335e-240,-6.052910825086331e-161,4.786477443054388e-164,4.94680704225246e-146,-1.785178974690434e-177,-7.382621360747811e-180,-3.251056409401766e-164,-8.605807706675194e-175,3.0533891318764267e-203
6.788299455342005e-24,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955338275,0.4515426283560999,1.9802444501867395e-61,0.4569006123410269,5.6059241146240264e-80,7.278065901758854e-93,2.164865333655169e-46,7.052725474424769e-125,1.2011366046340348e-144,1.1282816125713257e-17,1.0333847983359743e-46,1.921432183698071e-56,5.464130824201994e-70,1.033384798528114e-46,4.851148050760611e-25,1.4355754614800344e-61,5.881309846722026e-46,5.468302916602284e-40,2.197779312453737e-75,4.7251146071523264e-102,1.0274965132281422e-85,2.0761810791652712e-112,3.130642996545877e-19,2.4200328357657783e-65,3.92166708811728e-106,1.0448840750688914e-117,2.718904819150195e-142,5.1313666974496386e-126,1.131965564702047e-85,4.069649906195038e-110,4.7029743943026e-158,2.2035541425308639e-122,5.5525780730727515e-183,3.149142772464357e-95,9.04705313421753e-94,4.59578470382527e-139,5.690533906951329e-152,3.6533454511880695e-175,7.569604100416463e-107,3.4829114148929866e-185,1.659904778971609e-195,-4.636607207430361e-189,-1.717469939066455e-179,-2.0298911638039978e-144,-5.919994234791958e-162,1.2800604093487901e-141,-1.2235153018142612e-164,2.616358522064438e-165,-9.266763728144933e-162,5.341513447764499e-174,-4.538075266124904e-219,4.456080099461881e-155,2.0772095057248736e-142,3.789473419444659e-223,-5.449484465050321e-237,4.777091857190945e-159,6.342106584826309e-161,3.63866422096649e-143,6.616253611434613e-174,2.738007346132759e-176,1.8806937561782034e-161,8.9524198432836e-172,5.703866326921539e-199
1.5516113040781727e-23,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955338125,0.4515426283560999,1.944215744233629e-60,0.4569006123410269,2.530178224202471e-78,3.2852805200293814e-91,4.948263619783244e-46,3.369122721372756e-122,2.349847083331231e-142,2.5789294001629983e-17,4.9753029694718164e-46,1.886473511880111e-55,1.2190175282409865e-68,4.975302971358257e-46,1.1088338401738468e-24,1.409455293559227e-60,2.831597520222483e-45,2.632752463821023e-39,4.903124741741612e-74,4.959199986064844e-100,1.1053338592125575e-84,1.1451069592056873e-110,7.155755420676247e-19,1.165151826915732e-64,4.1159491334827397e-104,2.2275135203567448e-115,2.62689995587293e-139,2.4514990616440767e-123,1.2177168979596183e-84,2.244594402459593e-108,6.199824154325693e-155,9.242920745029442e-121,2.8761978819355745e-179,1.4216721333374493e-93,2.0183477859999952e-92,2.1755489307883337e-136,1.113269252825901e-149,9.628630897357573e-172,4.174976075442712e-105,1.8354670214179192e-181,1.7492723515152347e-191,7.978085002646506e-186,1.283825410181591e-176,3.85262893123721e-142,2.2246684099592256e-159,1.6513906780435426e-139,4.5978352901953e-162,6.729402294863736e-162,1.759580586567746e-159,3.5675233024404705e-171,1.9057323226675303e-215,5.874349022013235e-152,1.0847538925555115e-139,1.2873750594206474e-219,4.580289485243248e-233,4.881551258929602e-156,1.6715025628642328e-157,4.796768264592869e-140,3.988963304107952e-170,1.6506051298295273e-172,1.9695363039237673e-158,1.8777627842983293e-168,1.5720316265520223e-194
3.297174021166117e-23,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955337826,0.4515426283560999,1.71963680885599e-59,0.4569006123410269,9.55322272137841e-77,1.2403813758737729e-89,1.0515060192039393e-45,1.144152503565529e-119,3.656402872368227e-140,5.480224975346237e-17,2.172845519679868e-45,1.6685644576206127e-54,2.283084919537829e-67,2.172845521348403e-45,2.3562719103693943e-24,1.2466467983669268e-59,1.2366330280446905e-44,1.1497921695503792e-38,9.183009989168095e-73,3.9593950281681e-98,1.0159922477816479e-83,4.506745011982794e-109,1.5205980268936837e-18,5.088710761626278e-64,3.2861486932964615e-102,3.5624569767206075e-113,1.785892927580799e-136,8.325466452925148e-121,1.119291623295838e-83,8.833947386311478e-107,4.6296727084953e-152,3.379560919065259e-119,8.621148295560506e-176,5.3679612950832686e-92,3.7801420297295194e-91,7.353120437459214e-134,1.732266291970629e-147,1.438439827468343e-168,1.643126212085799e-103,5.484874328206676e-178,1.045535967777882e-187,1.0936412137432054e-182,8.294826026787855e-174,6.169368637764384e-140,7.166107351820659e-157,1.417358935135175e-137,1.4810558341201531e-159,1.005365381725603e-158,2.8202936199605585e-157,1.4018472798929664e-168,5.801577341832614e-212,4.386626571135445e-149,3.827081863046692e-137,4.147374408167873e-216,2.7895711832890387e-229,6.158673549187756e-153,2.4970886054040362e-154,3.581951127277501e-137,1.2661486271023058e-166,5.239105833816039e-169,1.3903727767728557e-155,2.651786303432289e-165,2.120758334769424e-190
6.788299455342006e-23,0.0005512981296411278,0.0915567593028733,0.0,0.001622470395533723,0.4515426283560998,1.4454583547839435e-58,0.4569006123410269,3.314445324073065e-75,4.3033129213825515e-88,2.16486533365517e-45,3.357403000830375e-117,5.140351935547605e-138,1.128281612571229e-16,9.071202319167015e-45,1.402528965179911e-53,3.943461437027299e-66,9.071202333192056e-45,4.851148050760391e-24,1.0478816879755051e-58,5.162699445649045e-44,4.800155970831019e-38,1.586136605914906e-71,2.8203284665543485e-96,8.692027566788784e-83,1.5923346536616875e-107,3.1306429965457413e-18,2.1247553313011624e-63,2.340766370041069e-100,5.079059515448021e-111,1.0485735941088048e-133,2.44303889225112e-118,9.575775490172101e-83,3.121232845505202e-105,2.83682938563988e-149,1.153054432193312e-117,2.1166486357738966e-172,1.8623949949531553e-90,6.529255306876997e-90,2.152978154346528e-131,2.435305598859444e-145,1.7630669320260556e-165,5.805535482624433e-102,1.3446387047260585e-174,5.126533674493619e-184,1.2789082164913211e-179,4.7118404815079075e-171,8.75567706438231e-138,2.0349047844223184e-154,1.0418049160062739e-135,4.2056411589787377e-157,1.2322319307558953e-155,4.0099740148208125e-155,4.3889019945482123e-166,1.415852448198445e-208,2.687903004936637e-146,1.1418769821001636e-134,1.0541774115082469e-212,1.361640850591362e-225,7.389416913875604e-150,3.0606279791653623e-151,2.1948385665578513e-134,3.1948614277471673e-163,1.3219577296809721e-165,8.298992777841595e-153,3.166058350091569e-162,2.203520899823094e-186
1.3770550323693784e-22,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955336037,0.45154262835609976,1.1850740918890037e-57,0.4569006123410269,1.1038479702389833e-73,1.4331581427597138e-86,4.391583962557647e-45,9.191786903104316e-115,6.888901570048266e-136,2.2887998426442683e-16,3.705882133422602e-44,1.14987798288688e-52,6.552120162565849e-65,3.7058821449211774e-44,9.840900331541998e-24,8.591168930540198e-58,2.1091311662375056e-43,1.9610203393165554e-37,2.635389678841694e-70,1.9026973859400546e-94,7.186736453139216e-82,5.349578681124059e-106,6.3507329358496175e-18,8.685585883551667e-63,1.5791671530701102e-98,6.855764271875679e-109,5.742816162852982e-131,6.688479381516789e-116,7.91743635534057e-82,1.0486037381458407e-103,1.5857399793267596e-146,3.807449102591296e-116,4.7368271718995187e-169,6.20255410319536e-89,1.0848455365593436e-88,5.88815694593011e-129,3.2637027140732116e-143,1.971209164627371e-162,1.9504171925511608e-100,3.006883345461725e-171,2.292837702010706e-180,1.3977425640210872e-176,2.5386549542522744e-168,1.1790115460649776e-135,5.48132549795473e-152,7.132187345596987e-134,1.1328534040723024e-154,1.3777119048452137e-152,5.419533144725857e-153,1.2388218854351668e-163,3.158446898117563e-205,1.5024926397737228e-143,3.1505834890113534e-132,2.3982071831386754e-209,6.075181769882664e-222,8.240468040623918e-147,3.421948232440876e-148,1.2268778931845237e-131,7.245868449524886e-160,2.9980953585987307e-162,4.5802213916786743e-150,3.494939771595046e-159,2.027594874102852e-182
2.7735052060397334e-22,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955333652,0.45154262835609965,9.597037275210749e-57,0.4569006123410269,3.60314293578383e-72,4.6780282241027775e-85,8.845021220362861e-45,2.4327679404984503e-112,9.020515316001084e-134,4.609836302789663e-16,1.4979768102866384e-43,9.312010031452181e-52,1.0681609552629245e-63,1.4979768195984828e-43,1.9820404893103652e-23,6.957355282017903e-57,8.525445297613167e-43,7.926757751690294e-37,4.29635026703142e-69,1.2499945059783611e-92,5.844134686455803e-81,1.7536660904833292e-104,1.2790912814456413e-17,3.519415790656044e-62,1.037448361128842e-96,9.009737435242638e-107,3.040227714384782e-128,1.7702241495518023e-113,6.438327759180718e-81,3.437468498977377e-102,8.479232747048628e-144,1.237459944555653e-114,1.013595587714858e-165,2.024618083941515e-87,1.7685720331481975e-87,1.5576013374549483e-126,4.273581211626189e-141,2.1081765656049286e-159,6.393738076577456e-99,6.431757700327038e-168,9.808911578342028e-177,1.478239370679312e-173,1.3330649856185005e-165,1.5475425465457867e-133,1.4390709167846037e-149,4.7188722480616666e-132,2.974201016504567e-152,1.4734456362106228e-149,7.165607453004077e-151,3.3277136775095248e-161,6.747608052388033e-202,8.034094529759919e-141,8.369947057235675e-130,5.172832402443837e-206,2.5957999060947287e-218,8.810219646719077e-144,3.659701548005433e-145,6.560333550975506e-129,1.5607480532021107e-156,6.457546063461398e-159,2.433765071329564e-147,3.714301109849294e-156,1.7592755752814719e-178
5.566405553380444e-22,0.0005512981296411278,0.0915567593028733,0.0,0.0016224703955328881,0.45154262835609943,7.724530567354345e-56,0.4569006123410269,1.164473442402789e-70,1.5118529755916066e-83,1.775189573597751e-44,6.332016770846923e-110,1.1677551828014588e-131,9.251909223077723e-16,6.023298870746663e-43,7.495115799936602e-51,1.7250828017353229e-62,6.023298945696489e-43,3.9779414016220757e-23,5.599891594577631e-56,3.4280439795874644e-42,3.187314428804533e-36,6.938617003990639e-68,8.104866943346176e-91,4.713506273685244e-80,5.679540635134306e-103,2.567127257166618e-17,1.4289521398532257e-61,6.7267344397846e-95,1.1684879941528735e-104,1.5827156289996203e-125,4.607545857714053e-111,5.192744589556033e-80,1.1132816044756778e-100,4.4361119955723754e-141,3.990592225719712e-113,2.1216199439511025e-162,6.543223579263224e-86,2.8562485900437812e-86,4.053096044349032e-124,5.532385272848143e-139,2.205951565691476e-156,2.0707188916190274e-97,1.3460250702371148e-164,4.105599035738599e-173,1.5382340489089023e-170,6.91173519879748e-163,2.005794869490135e-131,3.730587919478475e-147,3.070356700281959e-130,7.710195691442734e-150,1.5417758858007229e-146,9.422403368319687e-149,8.724868038662933e-159,1.4112373031666872e-198,4.2032274311510754e-138,2.18255985995061e-127,1.0870216670574676e-202,1.0858110894448677e-214,9.218381122103065e-141,3.829398708258401e-142,3.432194294247862e-126,3.2776282222057034e-153,1.3559823277511486e-155,1.2693094816788035e-144,3.874393120391146e-153,1.482988111476065e-174
1.1152206248061866e-21,0.0005512981296411278,0.0915567593028733,0.0,0.001622470395531934,0.45154262835609893,6.1984493784043046e-55,0.4569006123410269,3.744771935752369e-69,4.8618934164390695e-82,3.556564476727465e-44,1.6344645575913474e-107,1.5031792340924297e-129,1.8536055063642913e-15,2.41561224579396e-42,6.014358403642431e-50,2.7730202394023715e-61,2.4156123059364755e-42,7.96974322624301e-23,4.493571406014383e-55,1.3747988960154507e-41,1.2782556420702742e-35,1.1153623690648879e-66,5.2209487693073804e-89,3.7861444592332484e-79,1.8283772034954806e-101,5.143199208607039e-17,5.9525858280457894e-61,4.333191096379568e-93,1.5054975778575148e-102,8.171072918055874e-123,1.1893320591427334e-108,4.171094860442123e-79,3.5839142077354266e-99,2.2958723660340198e-138,1.281920685493759e-111,4.3925978081029425e-159,2.104207735635583e-84,4.591336341661249e-85,1.0460807896456695e-121,7.121498391877349e-137,2.2834098946854112e-153,6.666129014518483e-96,2.786591511291366e-161,1.6999174014454867e-169,1.5878281210448878e-167,3.5611068393350834e-160,2.5834951500417584e-129,9.61034608929703e-145,1.9812645633112942e-128,1.9862190788774915e-147,1.5958873231761019e-143,1.2483822623540477e-146,2.260302686609105e-156,2.920633193111309e-195,2.1753449913995685e-135,5.638947445182327e-125,2.2549647304511426e-199,4.494306402349415e-211,9.541843809892826e-138,3.963787312338849e-139,1.7763032099412972e-123,6.79709444772259e-150,2.8114926991194605e-152,6.558992874521702e-142,4.0041210093578886e-150,1.2323019680242886e-170
