Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495),SX(318),SX(533),SX(213),S(309),C2H4O3(79),SX(386),SX(390),SX(718),SX(572),S(233),SX(1093),SX(1139),SX(217),SX(923),SX(1337),S(257),SX(1387)
0.0,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722476,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4284025070984823e-24,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722435,0.4515426283560999,2.692039159874918e-62,0.4569006123410269,1.1959898986894566e-81,2.402973685402976e-94,1.867612619221343e-46,8.148248690327931e-127,-3.982817999691872e-146,4.060455644640769e-18,2.276100126510928e-47,2.0981179950038943e-57,2.469087824515597e-71,2.276100126720735e-47,1.8818975736775155e-25,2.0024917851057806e-62,1.415443975042816e-46,1.1176375863082847e-40,1.2167476113910013e-76,-1.6904389376670948e-103,2.0298212256695246e-86,-6.677230188887931e-113,1.12665462992965e-19,9.75242536459128e-66,-1.6444969952851162e-107,-2.391526256625542e-119,2.038708336187725e-144,6.89865014900755e-128,2.2336267196629894e-86,-1.2136079086466896e-110,1.649255269089821e-160,1.873481918131816e-123,6.715316501921998e-186,1.096899191612824e-96,7.08878980725032e-95,5.26222908628222e-141,-2.3247954771344343e-153,8.459042007406506e-178,-2.2946791095646622e-107,4.485759872238526e-188,1.1893806422938091e-198,2.7808644374220305e-191,-2.0667484729857032e-181,-7.047788989691774e-146,-1.1421626183869873e-163,-1.7823323412951177e-142,-2.5197677023297003e-166,5.978648708828751e-168,-5.3142594757849706e-163,4.136788730988186e-175,6.300508072073317e-222,1.6824532413972666e-157,-1.6678129026312874e-144,2.1016256880617507e-225,4.245027763824401e-240,-3.015989940005361e-160,1.1248706346520671e-163,1.1405278347754962e-145,-5.138273493845236e-177,-2.256057900055401e-179,-1.1266304490530149e-163,-2.9872139510083496e-174,8.659344295567442e-203,-3.308886753049151e-191
6.799527019875751e-24,0.0005579325240476547,0.0915567593028733,0.0,0.001641995418272236,0.4515426283560999,3.1959888908639815e-61,0.4569006123410269,7.206889678384189e-80,1.4604071597113524e-92,5.22931533381976e-46,1.2881650444401338e-124,2.64774348898067e-144,1.1369275804994083e-17,1.3747644764125926e-46,2.490885683604713e-56,7.76320734507825e-70,1.3747644766616755e-46,5.269313206297028e-25,2.3773518600495e-61,8.549281606391952e-46,6.750531021301938e-40,3.8256491317865643e-75,8.760173668117737e-102,3.0674657802582325e-85,6.597530702854566e-112,3.1546329638030097e-19,5.890471995767594e-65,8.522093882645289e-106,2.2068860264686457e-117,5.7404858124860714e-142,1.0879818951752092e-125,3.375456637935635e-85,1.1991222715267438e-109,1.2131231476720285e-157,5.016704936341012e-122,1.7321685055615515e-182,6.672944165060691e-95,2.2288289153876006e-93,1.0423992755555548e-138,1.545504235510338e-151,1.1208271900311377e-174,2.267289796869348e-106,1.0703062420023395e-184,5.109360150539899e-195,-1.2635825160575164e-188,-5.062627258808342e-179,-5.267485706949847e-144,-1.5479865683377235e-161,5.31693977371407e-141,-3.4150711078656555e-164,8.05488755741003e-165,-3.972378119854944e-161,3.082157833138219e-173,-1.7620172285587785e-218,1.2375422338672906e-154,5.369312167897302e-142,1.798799996433317e-222,-2.1317677290494356e-236,2.019271024742277e-158,1.490459274063948e-160,8.389245529249619e-143,1.904353654741465e-173,8.370753118585171e-176,6.517412676510189e-161,3.1075297225125665e-171,1.6176129413397335e-198,6.555892412130057e-189
1.5541776045430287e-23,0.0005579325240476547,0.0915567593028733,0.0,0.001641995418272221,0.4515426283560999,3.13784084555769e-60,0.4569006123410269,3.250470213048362e-78,6.592200015560459e-91,1.1952720763016593e-45,6.153103451523029e-122,5.1799206610724856e-142,2.5986916125700443e-17,6.618899167893664e-46,2.445566334881173e-55,1.7319288546986253e-68,6.618899170339176e-46,1.2044144471535985e-24,2.3340948993604663e-60,4.1161110751245256e-45,3.2500901009843436e-39,8.53481275590491e-74,9.194158605965435e-100,3.2998397045935426e-84,3.6388340081567995e-110,7.210589631549692e-19,2.836024024582691e-64,8.944284183997487e-104,4.704702252437106e-115,5.545476159393381e-139,5.197809379354994e-123,3.63116221614458e-84,6.6136970010358355e-108,1.599232647749585e-154,2.1042825875185663e-120,8.963794070397683e-179,3.0124807026036802e-93,4.9723947019928596e-92,4.9280899515253046e-136,3.0235516977384878e-149,2.9540135221263917e-171,1.2505119855849197e-104,5.640430307707665e-181,5.384443140983661e-191,2.1742123637037035e-185,3.78436289701057e-176,9.99741669958816e-142,5.817162448816815e-159,6.859320645359191e-139,1.2833459808406565e-161,2.0717565487289958e-161,7.541544298648057e-159,2.0585308000743023e-170,7.399465604424751e-215,1.6314237725651186e-151,2.8039432870783546e-139,6.110949431623906e-219,1.792266740103838e-232,1.5136055451443732e-155,3.928200190691117e-157,1.105935152978535e-139,1.1481417260122192e-169,5.0460142799025016e-172,6.8252848931148224e-158,6.518013155612821e-168,4.4582688857013435e-194,3.031971636070428e-185
3.302627409653936e-23,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182721908,0.4515426283560999,2.775384693960366e-59,0.4569006123410269,1.2271923416611892e-76,2.4889325757587908e-89,2.539953162141026e-45,2.0895461365803124e-119,8.060046510428168e-140,5.5222196767112085e-17,2.890647160668761e-45,2.163075728031707e-54,3.243711069282284e-67,2.8906471628317884e-45,2.5593807002013638e-24,2.0644792033737544e-59,1.7976138438610592e-44,1.4193997346113696e-38,1.5984759703485426e-72,7.340560165127914e-98,3.033121197719976e-83,1.4321192343136807e-108,1.5322502967042905e-18,1.2385942611381645e-63,7.141061958516594e-102,7.524218913854533e-113,3.770062182913912e-136,1.7652133051481257e-120,3.337663670736763e-83,2.602922437764034e-106,1.1942151194413505e-151,7.694051903851591e-119,2.6857233024663443e-175,1.1374545687726514e-91,9.312744974708267e-91,1.6645067266090136e-133,4.7046989529258864e-147,4.413058503903002e-168,4.921582746781742e-103,1.6855140557678185e-177,3.218269330688085e-187,2.98042481040745e-182,2.445085725925196e-173,1.600926280204052e-139,1.8738257980592116e-156,5.887231613711405e-137,4.133917228362697e-159,3.0951817467124027e-158,1.2083695016069188e-156,8.088933297039388e-168,2.2526023973882214e-211,1.2182536042364273e-148,9.892489823917862e-137,1.968686768692509e-215,1.0915670265300298e-228,1.7009983000811496e-152,5.868410945501757e-154,8.2584887344100625e-137,3.644350566749058e-166,1.601611268323989e-168,4.818234147284456e-155,9.204768707325392e-165,6.014452443314738e-190,5.1363021522985365e-182
6.79952701987575e-23,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182721307,0.4515426283560998,2.3328780663975683e-58,0.4569006123410269,4.2576488328005355e-75,8.634969497969569e-88,5.229315333819761e-45,6.131537294884122e-117,1.1331211884796323e-137,1.136927580499311e-16,1.2067882870759893e-44,1.8181954844965688e-53,5.602704220337332e-66,1.2067882888941438e-44,5.269313206296789e-24,1.7353187946170726e-58,7.504683915687153e-44,5.925714482605162e-38,2.7609697182414487e-71,5.228776275759296e-96,2.594899038003879e-82,5.060000241626267e-107,3.1546329638028734e-18,5.171366514722847e-63,5.086671127361403e-100,1.0727415351860306e-110,2.2135590129402763e-133,5.179871639672832e-118,2.8554415406807824e-82,9.196712015301541e-105,7.317546522523255e-149,2.6250926857839955e-117,6.592600042401166e-172,3.946357327636358e-90,1.6085451040634133e-89,4.87210758706422e-131,6.614098395152732e-145,5.408998693475094e-165,1.7389061812088035e-101,4.132105451912454e-174,1.5780011459365172e-183,3.485320167773431e-179,1.388920499067948e-170,2.2720628861748495e-137,5.320960033593093e-154,4.3273067144077356e-135,1.1738769087864253e-156,3.793627520895178e-155,1.71695012288672e-154,2.532482388563949e-165,5.497388780938146e-208,7.464842220785227e-146,2.951597284656415e-134,5.003996324739289e-212,5.3281689836449586e-225,2.0062597449601044e-149,7.192785506267732e-151,5.060384390459886e-134,9.195756934723275e-163,4.0412538965908436e-165,2.8759541329306077e-152,1.0989886193057837e-161,6.249166068386747e-186,6.663988510693316e-179
1.379332624031938e-22,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182720106,0.45154262835609976,1.912634388096569e-57,0.4569006123410269,1.4179723932580234e-73,2.8757555875987822e-86,1.0608039677177248e-44,1.6786700102516112e-114,1.5185653500425716e-135,2.3063388061555196e-16,4.930123918026846e-44,1.4906665089353896e-52,9.308976864655733e-65,4.930123932933178e-44,1.0689178218487221e-23,1.4227193149069254e-57,3.06590823384366e-43,2.420847717446044e-37,4.5873924552819355e-70,3.527524919593674e-94,2.145512697123719e-81,1.6999485224813016e-105,6.3993982979998e-18,2.11346392291433e-62,3.431655574656174e-98,1.4479970286465565e-108,1.2123182561592855e-130,1.4181298855142775e-115,2.360934285489129e-81,3.0897107249157846e-103,4.090385599108109e-146,8.668200315780537e-116,1.475202248345402e-168,1.3143018496269587e-88,2.672621752916026e-88,1.3322661880773283e-128,8.86395978351925e-143,6.047570894899508e-162,5.841997731567963e-100,9.240225070489356e-171,7.057599279547725e-180,3.809171201556058e-176,7.483253990046229e-168,3.059487411953554e-135,1.4332815043106415e-151,2.9624703928147495e-133,3.1620159728296676e-154,4.2415114123947054e-152,2.3174053261256557e-152,7.148244847279931e-163,1.2263432227553541e-204,4.172721438640253e-143,8.143830435732986e-132,1.1383869634640497e-208,2.3772557997871787e-221,2.2325840230588256e-146,8.041924666001438e-148,2.8286698764989395e-131,2.0855754194099253e-159,9.165230972776947e-162,1.5872414114606987e-149,1.2131483800347016e-158,5.7502411843578564e-182,7.65660450362961e-176
2.7780924681206636e-22,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182717701,0.45154262835609965,1.5489009202615566e-56,0.4569006123410269,4.628496478041963e-72,9.386866663724702e-85,2.1365488363892537e-44,4.442893896829888e-112,1.9884508253312086e-133,4.645161257467252e-16,1.992834913565664e-43,1.2071803870793494e-51,1.5175981776775317e-63,1.9928349256371976e-43,2.1528908242866403e-23,1.1521554800957902e-56,1.2392891136097855e-42,9.785453534160987e-37,7.478607417458875e-69,2.3174398608667428e-92,1.744695280642791e-80,5.5726670386407855e-104,1.2888928966392691e-17,8.555834711013852e-62,2.2544576392260377e-96,1.9029348890088162e-106,6.417969002658007e-128,3.7533311013664125e-113,1.9198725529119255e-80,1.0128500310535013e-101,2.187201681302765e-143,2.817253863231387e-114,3.1565074216354667e-165,4.290101910930716e-87,4.357048009938411e-87,3.5239989914652256e-126,1.1606710337720026e-140,6.467785434988874e-159,1.9150878838064565e-98,1.976496315845748e-167,3.0192902543313428e-176,4.0285435849849754e-173,3.9295075965015046e-165,4.015810495138327e-133,3.7629469900480775e-149,1.9600605878164284e-131,8.301578197764118e-152,4.5362433574494516e-149,3.055986555447092e-150,1.920155949625451e-160,2.619921648731e-201,2.2312281336125705e-140,2.163517341691073e-129,2.4554526599641365e-205,1.0157538038948077e-217,2.3863245753615e-143,8.60066901218451e-145,1.512539917994263e-128,4.4922948258615753e-156,1.9740802940266545e-158,8.434029366112456e-147,1.2892919606594945e-155,4.989289729179163e-178,8.30909354892823e-173
5.575612156298116e-22,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182712894,0.45154262835609943,1.2466902190212198e-55,0.4569006123410269,1.495849920978094e-70,3.033662615015441e-83,4.288038573732822e-44,1.1563978678543816e-109,2.5741586654489106e-131,9.322806160087974e-16,8.013101539380897e-43,9.716437978497131e-51,2.4509251180688577e-62,8.013101636543101e-43,4.320836829161805e-23,9.273558752307497e-56,4.9831269059946655e-42,3.9346878280940857e-36,1.2077970688368382e-67,1.5026099393961813e-90,1.40715992898152e-79,1.8048013248855738e-102,2.586799030317463e-17,3.461029236553568e-61,1.461772789161721e-94,2.467948243304626e-104,3.3411369464958853e-125,9.769183830730926e-111,1.5484467682938613e-79,3.280284045977649e-100,1.1442865041234208e-140,9.085151775059773e-113,6.606915335086325e-162,1.3864881372483387e-85,7.03664424790136e-86,9.169600902954674e-124,1.5025523191847348e-138,6.767765828466471e-156,6.202332051014108e-97,4.1363779146932576e-164,1.2637503995518489e-172,4.1920429348284265e-170,2.0373888350669562e-162,5.204956791557704e-131,9.754908127710114e-147,1.2753227553650519e-129,2.1520667936159693e-149,4.746609197538985e-146,3.997763075876476e-148,5.034419689777098e-158,5.479469366430334e-198,1.1673200086799155e-137,5.6416187785908126e-127,5.159899926369858e-202,4.248854112858354e-214,2.4967981585094307e-140,8.999474497285638e-142,7.913211770545803e-126,9.433983852120012e-153,4.1452441464596926e-155,4.398695328033531e-144,1.3448620986850267e-152,4.205740490096331e-174,8.84854228384801e-170
1.1170651532653018e-21,0.0005579325240476547,0.0915567593028733,0.0,0.001641995418270328,0.45154262835609893,1.0003903982875785e-54,0.4569006123410269,4.810428949537159e-69,9.755801908580163e-82,8.591018048428167e-44,2.984975178509634e-107,3.313555763506833e-129,1.867809596531845e-15,3.2136121120152796e-42,7.796829557989359e-50,3.9397905690972554e-61,3.2136121899818305e-42,8.656728838909446e-23,7.441461935934834e-55,1.9984566737319207e-41,1.5779858022769618e-35,1.9414984271824265e-66,9.679430324127554e-89,1.1303073462094038e-78,5.8100782530939e-101,5.1826112976723134e-17,1.42138503150641e-60,9.416368211703948e-93,3.1797417759031063e-102,1.7249257800481022e-122,2.521690253298163e-108,1.2437966561354336e-78,1.0560002562219954e-98,5.922158315311476e-138,2.918475135986321e-111,1.3678772252431966e-158,4.458746925099293e-84,1.1311200455775652e-84,2.3665780964249506e-121,1.9341429740157702e-136,7.005428179156707e-153,1.9966759275780857e-95,8.563313171501117e-161,5.232557965917473e-169,4.3271982316782236e-167,1.0497164187334582e-159,6.704065720426627e-129,2.512956273842274e-144,8.229505649268512e-128,5.543926892948784e-147,4.913200089663151e-143,5.244107033413757e-146,1.3042389043226196e-155,1.1340063131522576e-194,6.041366487446998e-135,1.4575901892646692e-124,1.070391594861715e-198,1.7586538808245496e-210,2.584397645431061e-137,9.315301284905778e-139,4.095415997907221e-123,1.9564048045950554e-149,8.594698515405225e-152,2.2729680652306268e-141,1.3898920813310958e-149,3.494796135525245e-170,9.996363155526446e-167
