Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190),SX(577),SX(213),SX(496),S(309),SX(390),C2H4O3(79),SX(386),SX(747),SX(616),S(233),SX(1122),SX(1168),SX(1172),SX(217),SX(993),SX(1423),S(257)
0.0,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917239772,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3318003462220171e-24,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917239715,0.4515426283560999,2.1148261910622457e-63,0.4569006123410269,4.047514957299662e-83,8.218331792101757e-96,2.5808733944687677e-47,2.2788820925037153e-129,-1.754947013524805e-148,2.2061715247510058e-18,4.401555409114177e-48,2.323187645928351e-58,1.3022291380598762e-72,4.401555409346492e-48,9.091187793626639e-26,1.5109717262469144e-63,2.382237928180638e-47,2.42955647106463e-41,4.669504529050121e-78,-1.7769165534841314e-105,6.086682050144693e-88,-5.490264465354199e-115,3.447143007423456e-18,4.123451669974743e-65,-1.3480036497220187e-109,-1.1270317136473181e-121,2.906712849340512e-147,1.7770383621399198e-130,6.709906425501103e-88,-1.1229046197233176e-112,1.7183292206922092e-163,2.596720744218696e-125,8.976768474672869e-188,1.701079297033425e-98,1.5791114681538522e-96,1.2789014395568585e-143,-7.292850625325e-156,2.596640119241644e-171,-2.069477601356507e-109,3.693548607134069e-181,1.074180117473709e-191,1.5619977527355802e-202,1.4609537382433135e-194,-1.7467473578299574e-184,1.166394117756419e-199,-2.405337016439334e-148,-2.1179489514143002e-166,-5.297396346462901e-145,-8.345752258671824e-166,2.221616200639935e-178,-4.218547654569093e-169,1.0455322588705546e-225,2.5466405137175925e-229,1.5610310006568562e-160,-3.148799224510934e-147,3.824596992318456e-244,-3.779233411207274e-163,4.1988398668129854e-165,1.416902733237957e-148,-1.3634494160443015e-180,-6.199966379029555e-258,-5.020038839790285e-183,-7.390005620507828e-167,-1.074603037625024e-177,7.103167360846089e-207
3.729040969421648e-24,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917239614,0.4515426283560999,2.510721654146255e-62,0.4569006123410269,2.446069179645608e-81,4.862351609760908e-94,7.226445504512551e-47,4.252696320370746e-127,1.1666739408765206e-146,6.177280269302767e-18,2.6585394671049407e-47,2.7580883732037745e-57,4.094417277290304e-71,2.6585394673807457e-47,2.5455325822154486e-25,1.7938214011962495e-62,1.4388717083560935e-46,1.46745210852302e-40,1.4681671337963724e-76,9.208317889286142e-104,9.198194398182674e-87,5.424732865784487e-114,9.652000420785634e-18,2.4905648428090192e-64,6.985610065113717e-108,1.0400181795799304e-119,8.183058994712738e-145,2.80255657309508e-128,1.0140011131382053e-86,1.109501669084274e-111,1.2639311305770953e-160,6.95335410203554e-124,2.180881838340814e-184,1.0347596531949382e-96,4.96497924967728e-95,2.4176059480690933e-141,4.84822545269798e-154,3.498390362933281e-168,2.0447763910140708e-108,4.8939697459135024e-178,2.5630031000329644e-188,6.710054392359682e-199,-6.638352125327711e-192,-4.2787652152344294e-182,-5.2999179013763226e-197,-1.7977381798016413e-146,-2.8704816040412022e-164,1.5802853850808473e-143,-6.28875688219754e-164,1.655238423267231e-176,-5.717448208619737e-167,-2.923964243360185e-222,2.1800123239574228e-226,1.148229215573961e-157,1.0138461010244627e-144,-1.9224933249884178e-240,2.2167857061300495e-161,5.563483034587811e-162,1.0422144615139997e-145,5.053234571854595e-177,3.274744561107794e-205,2.052727222743628e-179,4.275573159411757e-164,1.1180286092109477e-174,1.3281500473623237e-202
8.523522215820909e-24,0.0005476130450981914,0.0915567593028733,0.0,0.001611625191723941,0.4515426283560999,2.4650414086653387e-61,0.4569006123410269,1.103550614605541e-79,2.187762718318712e-92,1.6517589724600115e-46,2.0089147557979544e-124,2.2824259370905135e-144,1.4119497758406088e-17,1.2799723129703698e-46,2.7079075200307872e-56,9.134419748341749e-70,1.2799723132411563e-46,5.818360187920976e-25,1.761182326860432e-61,6.927547891174112e-46,7.065150217855698e-40,3.275400124364971e-75,9.664504227664879e-102,9.894997827066783e-86,2.9919834155952062e-112,2.2061715247509794e-17,1.199099836007931e-63,7.331681940743216e-106,2.217140271173547e-117,7.906749639862819e-142,1.3389151936144257e-125,1.0908161311350584e-85,6.11939919825339e-110,1.666211650430653e-157,2.916619988197533e-122,1.1217852820045426e-180,4.671318781298584e-95,1.1076595593579647e-93,1.1452109024654374e-138,9.484839880189295e-152,8.99803137455773e-165,1.1277858655657048e-106,1.2898375470069636e-174,1.3506823491603134e-184,7.071315802361374e-195,1.1422433614714365e-188,3.198418462113275e-179,9.119425912608888e-194,3.4120145487676847e-144,1.0786952745032554e-161,2.038707378486797e-141,1.2147956081842953e-161,1.1055110685527636e-173,2.148553871995723e-164,1.2278979316786799e-218,7.405782389418244e-223,1.5136844475077054e-154,5.294368830897169e-142,1.6156580237251073e-236,1.0988532369887629e-158,1.4662919108302946e-158,1.3739276104604978e-142,3.0466134551787357e-173,4.958311278654109e-201,1.2226015914014958e-175,4.477456790963272e-161,2.3450078841440505e-171,3.660044431902853e-198
1.8112484708619433e-23,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917239002,0.4515426283560998,2.1803012107002206e-60,0.4569006123410269,4.1665061282825377e-78,8.245736962314348e-91,3.509987816477524e-46,6.802957010055763e-122,3.551494399578165e-142,3.000393273661193e-17,5.589975369574665e-46,2.3951135353813947e-55,1.7107757267885155e-68,5.589975371969741e-46,1.2364015399331858e-24,1.557744947688908e-60,3.0254421646817174e-45,3.0855367182518216e-39,6.1344619338792775e-74,7.716081253174805e-100,9.095207759421573e-85,1.1775412102298757e-110,4.688114490095736e-17,5.236785369727771e-63,5.853570164765118e-104,3.5458670694869034e-115,5.375403808641956e-139,4.547051931624755e-123,1.0026479585479571e-84,2.408383918530057e-108,1.2442311948284745e-154,1.0664264256736433e-120,3.3525455540250996e-177,1.763794027971221e-93,2.0745237681476475e-92,3.872045439516775e-136,1.4758575586172194e-149,1.3442961000233499e-161,4.438575180920955e-105,1.9269127367713378e-171,4.036204776183442e-181,4.226507567600558e-191,1.565794819873193e-185,2.066505656295136e-176,1.2500969875884675e-190,5.463795225948546e-142,3.474695872419758e-159,1.7497858989894273e-139,2.0147563951482085e-159,4.344071664353859e-171,6.920927019109244e-162,3.73806160506007e-215,2.385805855454537e-219,1.1303326374222387e-151,1.867879661040184e-139,9.839943207470688e-233,9.438067950714812e-156,2.1905206171404106e-155,1.0259702551670908e-139,9.670345851495326e-170,3.4561866896989726e-197,3.8704990126718444e-172,3.1607986287063435e-158,3.3116181900019816e-168,4.937475857320872e-194
3.729040969421648e-23,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917238189,0.45154262835609976,1.8326745413392191e-59,0.4569006123410269,1.445542314629791e-76,2.8580371011086427e-89,7.22644550451255e-46,1.9949565300433425e-119,4.992866423425914e-140,6.177280269302039e-17,2.3337046779120317e-45,2.0132372429016877e-54,2.9549396288990022e-67,2.3337046799252375e-45,2.545532582215295e-24,1.3093782220410058e-59,1.2630625458244491e-44,1.2881508409582332e-38,1.0595757441846288e-72,5.496264834995809e-98,7.781141717816157e-84,4.1605186711242027e-109,9.652000420784945e-17,2.1862571185175852e-62,4.1695740156677285e-102,5.0554069960326315e-113,3.1561315506115192e-136,1.334294577196791e-120,8.57786442477316e-84,8.509363567612951e-107,7.62401976549065e-152,3.6384836598610747e-119,8.218988653700832e-174,6.119414660410441e-92,3.5832239134589807e-91,1.1339100127258146e-133,2.07483352634401e-147,1.6476443428160628e-158,1.568248716306987e-103,2.3617770145746588e-168,9.894910319759455e-178,2.0723649164392163e-187,1.8310464508868926e-182,1.173869709091599e-173,1.461868198091269e-187,7.7543148112738195e-140,9.866828554011743e-157,1.286149547181306e-137,3.055560257471792e-157,1.3600415043219535e-168,1.965282799982826e-159,9.122594380051669e-212,6.064215821316136e-216,6.926106991614039e-149,5.573140548718921e-137,4.803045247885971e-229,1.0588780534720086e-152,2.684874174318705e-152,6.286627063139526e-137,2.4401096965383784e-166,1.8200794123220142e-193,9.760348158588039e-169,1.8866463221387157e-155,3.9538499544774683e-165,5.130130081298596e-190
7.564625966541057e-23,0.0005476130450981914,0.0915567593028733,0.0,0.001611625191723656,0.45154262835609965,1.5025373157397747e-58,0.4569006123410269,4.814253566777424e-75,9.513675435247431e-88,1.4659360880582614e-45,5.4608698618878594e-117,6.69124718305159e-138,1.253105426058245e-16,9.533945078355091e-45,1.650573526401761e-53,4.909676390676465e-66,9.533945094860568e-45,5.163794666779242e-24,1.0735074202778703e-58,5.16002261065575e-44,5.262516498582849e-38,1.7605009409111494e-71,3.7079825659626434e-96,6.433598432180067e-83,1.3977603244653694e-107,1.9579772282162144e-16,8.931611906190889e-62,2.81294811320835e-100,6.82383790223334e-111,1.7285476185168368e-133,3.652992115460262e-118,7.092344261216274e-83,2.8587903944546487e-105,4.261699014723279e-149,1.2014473024957386e-117,1.837968421401269e-170,2.0380202526983005e-90,5.953580129512702e-90,3.1013590586472817e-131,2.780611938338693e-145,1.8421688184229577e-155,5.268660010436842e-102,2.640597990787371e-165,2.212698907162868e-174,9.268623023439469e-184,2.0011847093659822e-179,6.32459898076766e-171,1.5977029323782475e-184,1.0441713016687549e-137,2.6577803289284227e-154,8.804968563353073e-136,4.642847108993708e-155,3.838885419670031e-166,5.293788108289395e-157,2.0350446879214297e-208,1.379581559029103e-212,3.8715775023705593e-146,1.5376996103935156e-134,2.1429540950005683e-225,1.1707753683592794e-149,3.001835094048827e-149,3.514118951862542e-134,5.534109944698318e-163,8.425994332315522e-190,2.2132675216777683e-165,1.0412413619479375e-152,4.3645633287253513e-162,4.720541442514229e-186
1.5235795960779875e-22,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917233303,0.4515426283560994,1.2167936761692504e-57,0.4569006123410269,1.5714521497852148e-73,3.1046347304470504e-86,2.952519163272294e-45,1.445259698959753e-114,8.761701297850653e-136,2.523860224313812e-16,3.8537730353369755e-44,1.3366772356906548e-52,8.004011662960402e-65,3.8537730487035393e-44,1.0400318835906053e-23,8.693544071676664e-58,2.085763627795399e-43,2.1271933091260625e-37,2.870060843741619e-70,2.435993192895035e-94,5.231695377958244e-82,4.582052226444971e-106,3.943531600491167e-16,3.610362472410069e-61,1.8479921005969455e-98,8.967780388964973e-109,9.150876171131596e-131,9.66828864070284e-116,5.767376688784899e-82,9.371511503857061e-104,2.278806022929489e-146,3.9048267631644646e-116,3.9314784865978936e-167,6.652439198082371e-89,9.705838237702758e-89,8.204375046781206e-129,3.641008999536957e-143,1.9701765156342577e-152,1.7271398326087944e-100,2.824070502383882e-162,4.732976973600254e-171,3.965168969486849e-180,2.1164341105406136e-176,3.321089878632405e-168,1.689715579944461e-181,1.3705544519443315e-135,6.977754550821377e-152,5.825635232487961e-134,7.481033190903008e-153,1.0311984128970549e-163,1.3898347301936021e-154,4.347606426299967e-205,2.975698665158297e-209,2.0702011418414232e-143,4.0851037383473247e-132,9.156395664212606e-222,1.2504044115959124e-146,3.210399426603227e-146,1.879061706840527e-131,1.19203818092281e-159,3.666317721363936e-186,4.767048289250439e-162,5.532780766720928e-150,4.63850552948958e-159,4.095854043925089e-182
3.0578135949257513e-22,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917226792,0.4515426283560989,9.793814124138164e-57,0.4569006123410269,5.078661384442702e-72,1.003236896148569e-84,5.925685313700701e-45,3.761691250959575e-112,1.1342502859763135e-133,5.065369820822891e-16,1.5495851879985605e-43,1.0758741275791117e-51,1.292650024073497e-63,1.549585198757134e-43,2.0873367174155343e-23,6.997325640947873e-57,8.386763706837833e-43,8.553350738628632e-37,4.6351558726370426e-69,1.579479028796564e-92,4.219551820284552e-81,1.4839741740776693e-104,7.914640345039123e-16,1.4518110834297573e-60,1.1982237088671756e-96,1.1630465365686777e-106,4.763865897179675e-128,2.5164657335330298e-113,4.651598434271086e-81,3.035120616445261e-102,1.1922115137892857e-143,1.2592384388272862e-114,8.227714084217986e-164,2.1499548913740827e-87,1.5674954759630764e-87,2.1349331180089506e-126,4.713485831913246e-141,2.061542443984939e-149,5.593630926186954e-99,2.955033948276915e-159,9.90503044440068e-168,1.6596456102113903e-176,2.2023300883458233e-173,1.72193325132772e-165,1.7582930825433554e-178,1.776397761663815e-133,1.808884245419159e-149,3.790477322478552e-132,1.32915669437863e-150,2.703679190068406e-161,3.602950102175388e-152,9.092858413447411e-202,6.253145989916057e-206,1.0830749227370814e-140,1.0652372200946309e-129,3.830076873066864e-218,1.3081626346985862e-143,3.3592629038029147e-143,9.830757751713699e-129,2.503324254816335e-156,1.547473766690625e-182,1.001038411752362e-158,2.8855733793604786e-147,4.838429820227894e-156,3.452617597388938e-178
6.126281592621279e-22,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917213766,0.4515426283560978,7.858919092713437e-56,0.4569006123410269,1.6332213315287303e-70,3.2260561509544756e-83,1.187201761456307e-44,9.70991858480478e-110,1.46005040111682e-131,1.0148389013832817e-15,6.214529672781984e-43,8.633212312030084e-51,2.0778971685224787e-62,6.2145297591127605e-43,4.1819463850636595e-23,5.6149215663003205e-56,3.3634672691482054e-42,3.4302762041466546e-36,7.450877509245973e-68,1.0174601836639329e-90,3.389373437758122e-80,4.777260475159497e-103,1.5856857834127242e-15,5.824021565590409e-60,7.718652275880398e-95,1.4984867791452656e-104,2.4594373897956945e-125,6.495678132364403e-111,3.736417144127573e-80,9.770764342426955e-101,6.170190397809173e-141,4.045123281882438e-113,1.7033083603596914e-160,6.913942885738198e-86,2.519703231734763e-86,5.510191479912011e-124,6.067379435596876e-139,2.133896142922532e-146,1.8007208059992793e-97,3.0587661666892307e-156,2.0505571349543962e-164,6.871674000554798e-173,2.2733352696680425e-170,8.871835982196258e-163,1.8149820895261902e-175,2.2880281349242907e-131,4.6598563976450235e-147,2.445949833419986e-130,2.638129906310088e-148,7.004270446886966e-159,9.281539228690834e-150,1.8818171033389515e-198,1.2971786556865102e-202,5.605363242756638e-138,2.7521862063112547e-127,1.5853160088942192e-214,1.3540426718229054e-140,3.4771527321447013e-140,5.087825954903156e-126,5.191356177061464e-153,6.433674298729496e-179,2.0757251073917136e-155,1.4910814130952427e-144,5.000432328541616e-153,2.8689860911156893e-174
1.2263217588012334e-21,0.0005476130450981914,0.0915567593028733,0.0,0.0016116251917187715,0.4515426283560957,6.2966988256874745e-55,0.4569006123410269,5.239225759196765e-69,1.03485804960233e-81,2.376468221637696e-44,2.4960324587191426e-107,1.874134522520596e-129,2.0314427399819757e-15,2.489053350572697e-42,6.917075552196968e-50,3.332381488145057e-61,2.4890534197423727e-42,8.371165720352975e-23,4.498783625577374e-55,1.3471412152083416e-41,1.3738997042219138e-35,1.1949178841683082e-66,6.532927476895067e-89,2.717002245092055e-79,1.5333059803097867e-101,3.174129281227229e-15,2.3352271923741173e-59,4.956006969787746e-93,1.9243518626729344e-102,1.2644657316379735e-122,1.6697805396558598e-108,2.995201325778286e-79,3.1360171988954434e-99,3.1761645302591504e-138,1.2969331387383324e-111,3.50721304578884e-157,2.217936738926789e-84,4.040918297025241e-85,1.4163680605352356e-121,7.788145661344044e-137,2.1969015806112727e-143,5.779579752211848e-96,3.149133179671765e-153,4.222287025774025e-161,2.829886313646919e-169,2.3372333087283648e-167,4.5566598603288984e-160,1.8659969000856648e-172,2.93782185178923e-129,1.1966632191508881e-144,1.5718512743539186e-128,5.765713291862994e-146,1.8037738836874067e-156,2.3835233673069503e-147,3.874160421827703e-195,2.6736922590864758e-199,2.885414442941413e-135,7.078020966733247e-125,6.527497583156007e-211,1.394016450557809e-137,3.5798139596325495e-137,2.6190070582394864e-123,1.0698523609691764e-149,2.6546686081005987e-175,4.276862995162824e-152,7.669539195999155e-142,5.144076391159201e-150,2.3670555189816156e-170
