Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190),SX(577),SX(213),SX(496),S(309),SX(390),C2H4O3(79),SX(386),SX(747),SX(616),S(233),SX(1122),SX(1168),SX(1172),SX(217),SX(993),SX(1423),S(257),SX(1479)
0.0,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722476,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3292364365308056e-24,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722418,0.4515426283560999,4.4149528294457756e-63,0.4569006123410269,6.19104244743395e-83,2.3849299048140704e-95,1.0222764700403374e-46,3.88209967425264e-129,-5.8646037212778345e-148,2.2225745427278923e-18,6.819530761861345e-48,3.4409202204072785e-58,2.216474874956032e-72,6.81953076220543e-48,1.0300956358918889e-25,3.2841078556826194e-63,4.2408783421183465e-47,3.3486065976040214e-41,1.0924561481451809e-77,-4.547431149765458e-105,3.3289132446373432e-87,-3.2815681821263394e-114,3.4727727230123415e-18,1.6454308393975864e-64,-4.4238435291419135e-109,-3.521464891709289e-121,8.994785544098208e-147,5.561233871828368e-130,3.6631549025904755e-87,-5.963293958954864e-112,7.276109452561474e-163,9.20734858155422e-125,5.122575379951414e-187,5.391919301320699e-98,6.363533798283774e-96,4.241305219326295e-143,-3.3787482173284852e-155,1.4442769024342285e-170,-1.1275268042180534e-108,2.0427445061298245e-180,5.929395999434932e-191,8.605514985629537e-202,6.715413251838681e-194,-9.117987444940412e-184,6.727689416051643e-199,-1.0377700371867293e-147,-9.205719583113381e-166,-4.7937797450657904e-144,-7.86301251311063e-165,3.3342112984612656e-177,-2.0309082532390984e-168,8.328179012997263e-225,2.776930729375079e-228,7.422571096264233e-160,-1.3434919338774096e-146,3.071399437447895e-243,-4.478686350904378e-162,1.530195625599941e-164,5.0335196347034505e-148,-6.794324053623546e-180,-2.2839385862071955e-256,-2.4640067081322434e-182,-4.967647642072007e-166,-7.209699981457107e-177,3.4239215508851083e-206,-7.99335926206276e-194
3.721862022286256e-24,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722318,0.4515426283560999,5.241431999351831e-62,0.4569006123410269,3.560227541769134e-81,1.411145273230211e-93,2.862374116112945e-46,1.083321773591965e-126,3.8987386790299555e-146,6.22320871963805e-18,4.118996580164221e-47,4.085060485475308e-57,6.968951561038391e-71,4.1189965805727177e-47,2.884267780497277e-25,3.898873630870562e-62,2.5614905181693396e-46,2.0225583849528058e-40,3.434856979393701e-76,2.356564702763489e-103,5.030653682895259e-86,3.2423993773372396e-113,9.723763624434512e-18,9.938402333472315e-64,2.2925192907162466e-107,3.249586652417952e-119,2.5327052772327817e-144,8.770588061614925e-128,5.5357596793894465e-86,5.892116076321231e-111,5.352001632679073e-160,2.4654922755165674e-123,1.2441470946376112e-183,3.2791321089928114e-96,2.0007968403743302e-94,8.401636410888158e-141,2.2461630806455947e-153,1.9458390753978564e-167,1.1140686419045755e-107,2.7066462576763382e-177,1.4147589989799048e-187,3.696770486049168e-198,-3.051381799028034e-191,-2.233507070067397e-181,-3.0569599015468463e-196,-7.756246708457482e-146,-1.247662153884471e-163,1.4300496921983152e-142,-5.900588332048148e-163,2.4841890807489263e-175,-2.752514176323717e-166,-2.329081353890735e-221,2.3780934196582834e-225,5.4597330557201796e-157,4.327252613898319e-144,-1.5423961033209841e-239,2.4626241675702025e-160,2.0275163582341575e-161,3.7024463873696944e-145,2.5181212583788036e-176,2.4291190989628973e-204,1.1450734610917377e-178,2.875085314582457e-163,7.503650018534323e-174,6.411071004628647e-202,1.5837230023389916e-191
8.507113193797156e-24,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182722112,0.4515426283560999,5.146069018726793e-61,0.4569006123410269,1.598094594361163e-79,6.349352413730089e-92,6.5425694082581596e-46,5.012474112316484e-124,7.627308726206536e-144,1.4224477073458164e-17,1.98311954554923e-46,4.010736608618805e-56,1.554734756624814e-69,1.983119545950294e-46,6.592612069708007e-25,3.827927343296634e-61,1.2332474211828018e-45,9.737747985832137e-40,7.662976970931609e-75,2.4733105172447795e-101,5.4117476680596e-85,1.7883286428495818e-111,2.2225745427278656e-17,4.784913049084085e-63,2.406092245109624e-105,6.927561040099925e-117,2.446665067756897e-141,4.190129003602125e-125,5.955117659091257e-85,3.2497662139934363e-109,7.055421996378121e-157,1.0341633657368048e-121,6.399351581597448e-180,1.4802657240435126e-94,4.463667687475545e-93,3.971992401691819e-138,4.394287659462994e-151,5.004793450254229e-164,6.144588098365602e-106,7.13354250967344e-174,7.455668281379297e-184,3.8958004168045333e-194,5.250430385180101e-188,1.669568162796689e-178,5.260028475508419e-193,1.4720956961793221e-143,4.688576491824902e-161,1.844890074555681e-140,1.1297735898220148e-160,1.659155732160439e-172,1.03436440869402e-163,9.780810943584855e-218,8.077969700255777e-222,7.197441854831826e-154,2.2595950864174594e-141,1.296757376108415e-235,8.837522072364559e-158,5.3436504130045734e-158,4.880850842874077e-142,1.5181844453937266e-172,3.6779440891787756e-200,6.722803309088071e-175,3.0106743069232505e-160,1.573764721323591e-170,1.7664217464080786e-197,7.32440636800816e-188
1.8077615536818956e-23,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182721702,0.4515426283560998,4.5516397705674923e-60,0.4569006123410269,6.030442903872104e-78,2.3930996208139765e-90,1.3902959992548587e-45,1.6883536934205234e-121,1.1868224851638034e-141,3.0227013781097595e-17,8.6608040675634e-46,3.547451110134411e-55,2.9118461335822642e-68,8.660804071110769e-46,1.4009300648129275e-24,3.3857542061558035e-60,5.38591548720309e-45,4.252730378956736e-39,1.4351907777943413e-73,1.97467603724947e-99,4.974328466449341e-84,7.038243135803316e-110,4.72297090329662e-17,2.08969749134748e-62,1.9210093787601474e-103,1.107923160145098e-114,1.6633520606828915e-138,1.4229978317701586e-122,5.473779119911726e-84,1.2789956060639835e-107,5.268584057336951e-154,3.781291859298872e-120,1.912472813868694e-176,5.589124380458291e-93,8.35995557667587e-92,1.3415761773946211e-135,6.837587918988999e-149,7.477106983406009e-161,2.4182973962089376e-104,1.0656935128621484e-170,2.227955851435731e-180,2.3285102482257106e-190,7.197324994712694e-185,1.0787118981953452e-175,7.210482120218401e-190,2.357325655599132e-141,1.5102854125165409e-158,1.583435989795016e-138,1.8414619172084726e-158,6.519601293000419e-170,3.3318971768952416e-161,2.9775499165905382e-214,2.6022888116917697e-218,5.374636332926432e-151,7.97187192499e-139,7.897806407030753e-232,4.955120682974399e-155,7.982978225652462e-155,3.644739173229751e-139,4.818914131007142e-169,2.5637072869668284e-196,2.121611293804852e-171,2.1253192519477302e-157,2.222443479783407e-167,2.3828506071203557e-193,1.2407859833680031e-184
3.7218620222862554e-23,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182720882,0.45154262835609976,3.825927485513917e-59,0.4569006123410269,2.0920936555258328e-76,8.294692699998658e-89,2.8623741161129445e-45,4.944931524384483e-119,1.6684937297547064e-139,6.223208719637326e-17,3.615715209938427e-45,2.9818464080159234e-54,5.029490071806027e-67,3.615715212920206e-45,2.8842677804971052e-24,2.845928843017679e-59,2.2485136904326564e-44,1.7754312180493168e-38,2.478935158150691e-72,1.4065873733007251e-97,4.255642726460778e-83,2.4867700359658363e-108,9.723763624433824e-17,8.724079971116935e-62,1.3683599176460904e-101,1.579586144682538e-112,9.766225948751779e-136,4.175668803656719e-120,4.682933305366041e-83,4.518979938923776e-106,3.228321966892169e-151,1.2901188785735549e-118,4.688523914465842e-173,1.9391201162568595e-91,1.4439744290687902e-90,3.926871176931342e-133,9.612619165959879e-147,9.164359717703623e-158,8.544390108329583e-103,1.3061986750192869e-167,5.461919860377071e-177,1.1417284068468694e-186,8.416579374803157e-182,6.127576850161038e-173,8.43196536595909e-187,3.3455582591336166e-139,4.288642165694891e-156,1.1638769533455467e-136,2.704698104298491e-156,2.0411560935420452e-167,9.461334000957442e-159,7.266595097289266e-211,6.614432072050618e-215,3.2933054435088745e-148,2.378538444304439e-136,3.855085950145079e-228,4.915968658327202e-152,9.784565322306272e-152,2.2333119118144505e-136,1.215952278042129e-165,1.3500858974341395e-192,5.346186376375963e-168,1.2685763083210809e-154,2.653440797440964e-164,2.475804926139918e-189,1.6098027719525955e-181
7.550062959494976e-23,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182719243,0.45154262835609965,3.1367265078572648e-58,0.4569006123410269,6.967484713186694e-75,2.7610949982760503e-87,5.806530349829116e-45,1.353191519168954e-116,2.2360510023156706e-137,1.2624223402691177e-16,1.4771376411418264e-44,2.444697840858678e-53,8.356572980147552e-66,1.4771376435864693e-44,5.850943211865157e-24,2.3332640160371098e-58,9.185912068633457e-44,7.25321583467137e-38,4.1187878284096594e-71,9.489356158232185e-96,3.518647695368024e-82,8.354507615639791e-107,1.9725349066707011e-16,3.564078437267327e-61,9.231459698289758e-100,2.1321408560626824e-110,5.348750103792465e-133,1.1432022187620445e-117,3.8719398579933195e-82,1.5181883274526858e-104,1.8045777639391236e-148,4.260043445712077e-117,1.0484660886885675e-169,6.458073871472902e-90,2.3991851124950456e-89,1.073793553630059e-130,1.288246178578075e-144,1.024632396334582e-154,2.870557840027659e-101,1.4604032166750834e-164,1.2213944090673235e-173,5.106365992022658e-183,9.198636081367949e-179,3.301428259588578e-170,9.215451713381137e-184,4.505022051880651e-137,1.1552109903648859e-153,7.967891453916144e-135,3.887834631226838e-154,5.761415619019324e-165,2.54855420413658e-156,1.6210131828538524e-207,1.5047510031470812e-211,1.8409024403912624e-145,6.562681514471734e-134,1.7200140403965304e-224,5.3413945899674665e-149,1.0939675250181743e-148,1.2483838524643211e-133,2.757750427895086e-162,6.250170496264012e-189,1.2120905002468485e-164,7.0012753426348835e-152,2.929069387204953e-161,2.2781322725432277e-185,1.8493175394436637e-178
1.5206464833912417e-22,0.0005579325240476547,0.0915567593028733,0.0,0.0016419954182715962,0.4515426283560994,2.5402024551260336e-57,0.4569006123410269,2.2743003318925035e-73,9.010394513858706e-86,1.169484281726148e-44,3.581060269049668e-114,2.9279460827520835e-135,2.542625276879376e-16,5.97082651948298e-44,1.9797796946005048e-52,1.3623323059026991e-64,5.970826539280335e-44,1.1784294074600046e-23,1.889537933063496e-57,3.713092505008306e-43,2.931865809316665e-37,6.714663648023165e-70,6.234119653870943e-94,2.86130585837948e-81,2.738723481304906e-105,3.972851995124851e-16,1.4406690473397116e-60,6.064692242120698e-98,2.8020259590706927e-108,2.831608979670522e-130,3.0256865245862683e-115,3.1485972573891784e-81,4.976831951051345e-103,9.649397247890328e-146,1.384557744017586e-115,2.2427018486689096e-166,2.1080227496998728e-88,3.9112772640504494e-88,2.840308844403872e-128,1.6868646312782202e-142,1.0958315346771152e-151,9.410086772522403e-100,1.5618751570609734e-161,2.6125721203338154e-170,2.1845335009836352e-179,9.728390928753505e-176,1.7336024031950085e-167,9.746174974881834e-181,5.913184953024972e-135,3.0328987906053026e-151,5.271799535198202e-133,5.748276185464232e-152,1.5476269779113639e-162,6.690991540061962e-154,3.463082345520023e-204,3.245682232122079e-208,9.843631780157735e-143,1.74346314374432e-131,7.349275655181842e-221,5.692236603652151e-146,1.1699752327001111e-145,6.675329785825834e-131,5.940149008064917e-159,2.7195689638765634e-185,2.6105450164034065e-161,3.7202237825673175e-149,3.112911656476965e-158,1.9766571573464474e-181,2.0045815401099497e-175
3.0519268582747295e-22,0.0005579325240476547,0.0915567593028733,0.0,0.00164199541827094,0.4515426283560988,2.0445759348416124e-56,0.4569006123410269,7.350144107103867e-72,2.9116347805156503e-84,2.347146775212666e-44,9.32053922693811e-112,3.79038679245373e-133,5.103031150097843e-16,2.400843082833741e-43,1.593498935160997e-51,2.2001703166465677e-63,2.4008430987683745e-43,2.3650995800064977e-23,1.520865249617765e-56,1.4930181468072294e-42,1.1788903471109872e-36,1.0844199596010215e-68,4.0421546626712277e-92,2.3077468145243096e-80,8.869813597095236e-104,7.973486172031203e-16,5.793053288022041e-60,3.932299293615233e-96,3.633994635578698e-106,1.474110196987232e-127,7.875268035674596e-113,2.5394578642250085e-80,1.6118301999175752e-101,5.048311426262403e-143,4.4649569393476686e-114,4.69347464403111e-163,6.812768173425794e-87,6.316723257969799e-87,7.390609111287747e-126,2.1837387811696065e-140,1.1466501602652482e-148,3.047613829234932e-98,1.6343077398615158e-158,5.467518880421456e-167,9.143510166849248e-176,1.0123219970685797e-172,8.98845789509533e-165,1.0141725769887632e-177,7.664174524688924e-133,7.86236145244825e-149,3.430121486658457e-131,9.122934599341869e-150,4.057693261874346e-160,1.734544987989639e-151,7.242908938005207e-201,6.820488698837134e-205,5.149929885887224e-140,4.546277033341474e-129,3.074170183900685e-217,5.953557314689174e-143,1.224225982518065e-142,3.492357366994875e-128,1.2474532294870966e-155,1.147867677179944e-181,5.481844826767217e-158,1.9402496251578924e-146,3.2470804262570926e-155,1.6662311978992578e-177,2.1150848200985337e-172
6.114487608041705e-22,0.0005579325240476547,0.0915567593028733,0.0,0.001641995418269628,0.45154262835609776,1.6406434349859533e-55,0.4569006123410269,2.3636960522539786e-70,9.36279070552816e-83,4.702471762186433e-44,2.4058665138462364e-109,4.879131057822676e-131,1.0223842896526581e-15,9.628454565466577e-43,1.2786825404197037e-50,3.536709537266778e-62,9.628454693331972e-43,4.7384399250975415e-23,1.2203999018205792e-55,5.987670387533553e-42,4.727877563502231e-36,1.7431733711367826e-67,2.6038531308756693e-90,1.8537077128722812e-79,2.8554007531644584e-102,1.5974754525836109e-15,2.323572915896026e-59,2.53308715810068e-94,4.682093734787687e-104,7.610375807739991e-125,2.0328195033634057e-110,2.0398308355403894e-79,5.188859039498325e-100,2.6127111036161414e-140,1.434303531837712e-112,9.71646711926703e-160,2.190886443914619e-85,1.0153948271269507e-85,1.907438994602747e-123,2.810992192323262e-138,1.1868939953435285e-145,9.810982711151595e-97,1.691682284835316e-155,1.131898571264407e-163,3.7858316599967834e-172,1.0449602049075461e-169,4.631081421507617e-162,1.0468704458241054e-174,9.87157680750712e-131,2.0254184539821085e-146,2.2134165074954274e-129,1.6058898217946617e-147,1.0512038953115592e-157,4.468351460543331e-149,1.4989598759308823e-197,1.4148701059875754e-201,2.6653029334794467e-137,1.1745924341950632e-126,1.2724375443157716e-213,6.162153548753793e-140,1.2671889132707958e-139,1.8074401645007307e-125,2.586949633407495e-152,4.7722667269332787e-178,1.1366920495702345e-154,1.0025976064414164e-143,3.3557992709677014e-152,1.3845706846444847e-173,2.228054525036002e-169
