Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53)
0.0,0.0007926750507772021,0.0,0.0,0.0021560761381139897,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0784783406277943e-25,0.0007926750507772021,0.0,0.0,0.0021560761381139854,0.8,0.1,0.1,-2.326219745399454e-76,1.0981207014374272e-53,1.3612307192901208e-49,-7.001166935367178e-124,9.676424740575454e-153,1.6902253444109628e-18,1.5529403527518124e-53,2.6389657598603268e-51,1.1074835349363197e-79,5.175128097138931e-19,2.457513639196924e-21,9.783873788863255e-50,5.434058427647772e-47,1.2168941693439945e-50,6.534324874706725e-72,9.62238663239252e-95,1.7294312862351396e-92,-7.262210993589415e-122,1.8372014613162674e-18,8.507858752050536e-23
1.1419739353757824e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139784,0.8,0.1,0.1,2.2984540045503473e-75,3.0747379640247963e-53,3.811446014012339e-49,6.917601081893531e-123,1.5828153565043415e-151,4.732630964350677e-18,9.37975999423496e-53,3.988005077271384e-50,1.0312985318324082e-78,1.4490358671987598e-18,6.881038189633251e-21,1.4785390432906093e-48,3.2821712902876917e-46,7.350040782830972e-50,3.946735776498295e-71,1.4541350758069433e-93,2.613516573943399e-91,7.175529252282373e-121,5.1441640916855365e-18,2.3822004505727298e-22
2.6102261380017885e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139637,0.8,0.1,0.1,1.2677004437290935e-73,7.027972489199534e-53,8.711876603456773e-49,3.815367174032186e-121,4.742600958673941e-149,1.0817442204230021e-17,4.515951241063577e-52,4.290113880002702e-49,1.9852584335006994e-77,3.312081982167929e-18,1.5728087290033354e-20,1.5905448356875636e-47,1.5802241907426254e-45,3.538728244442201e-49,1.9001910759570585e-70,1.5642921591594266e-92,2.8115018696053806e-90,3.957626128474758e-119,1.1758089352424024e-17,5.445029601302397e-22
5.5467305432538e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139346,0.8,0.1,0.1,4.989230578252684e-72,1.493444153954901e-52,1.851273778234564e-48,1.5015965854896258e-119,9.011034871137931e-147,2.2987064683988383e-17,1.9722355861014157e-51,3.943353776435193e-48,3.568639985849894e-76,7.038174212104009e-18,3.342218548894337e-20,1.4619847309513657e-46,6.90125420293341e-45,1.545455595056399e-48,8.298774527631161e-70,1.4378539981906335e-91,2.5842545972880427e-89,1.5575847905897108e-117,2.49859398739008e-17,1.1570687902739002e-21
1.1419739353757824e-23,0.0007926750507772021,0.0,0.0,0.0021560761381138765,0.8,0.09999999999999999,0.1,1.76280768813428e-70,3.074737964024796e-52,3.811446014012338e-48,5.305479402818177e-118,1.3871921003926823e-144,4.7326309643503793e-17,8.233712947308349e-51,3.3736221759980656e-47,6.049972031334253e-75,1.449035867196713e-17,6.881038187920259e-20,1.2507587174151186e-45,2.881137778177507e-44,6.451972885767587e-48,3.464815625553233e-69,1.2301143676061927e-90,2.2108842157605224e-88,5.503298358010676e-116,5.144164091685354e-17,2.3822004505521275e-21
2.3165756974765872e-23,0.0007926750507772021,0.0,0.0,0.00215607613811376,0.7999999999999999,0.09999999999999998,0.1,5.922296817544368e-69,6.237325584164584e-52,7.731790485567885e-48,1.7824192638884886e-116,1.9414711145436314e-142,9.600479956252934e-17,3.363769449356048e-50,2.7893760518985903e-46,9.9623803708188e-74,2.939472759165724e-17,1.3958677462947788e-19,1.0341514948611531e-44,1.1770387915256139e-43,2.6358414464860486e-47,1.415887832777781e-68,1.017082347417491e-89,1.8280018236760386e-87,1.848878161687968e-114,1.043530430027558e-16,4.832463771072208e-21
4.6657792216781967e-23,0.0007926750507772021,0.0,0.0,0.0021560761381135265,0.7999999999999998,0.09999999999999995,0.1,1.941411048362149e-67,1.256250082444416e-51,1.557247942867898e-47,5.8430176099142705e-115,2.5967180156866046e-140,1.9336177940055934e-16,1.3597365851448665e-49,2.2682742762699814e-45,1.6176023281343417e-72,5.920346543089287e-17,2.811395600090558e-19,8.409548208652833e-44,4.75777898708646e-43,1.0654492561151382e-46,5.729709078876945e-68,8.270744739710506e-89,1.486500723962745e-86,6.060879092469954e-113,2.1017584717454743e-16,9.732990411966874e-21
9.364186270081416e-23,0.0007926750507772021,0.0,0.0,0.0021560761381130603,0.7999999999999995,0.0999999999999999,0.1,6.287584084656646e-66,2.5212851305003298e-51,3.1253857314901154e-47,1.8923588968437374e-113,3.397045778807363e-138,3.8807573907653503e-16,5.4682017986716706e-49,1.8294453706754022e-44,2.6094996808498734e-71,1.1882094110878591e-16,5.642451302843209e-19,6.782605287042405e-43,1.9130820047756664e-42,4.28412459840975e-46,2.314316161485952e-67,6.670655266204116e-88,1.1989166854746495e-85,1.962916976209838e-111,4.218214555180789e-16,1.9534043693174217e-20
1.8761000366887853e-22,0.0007926750507772021,0.0,0.0,0.002156076138112128,0.7999999999999988,0.09999999999999977,0.1,2.024120597090961e-64,5.051355226612151e-51,6.261661308734548e-47,6.091946610566185e-112,4.395680106043575e-136,7.775036584281492e-16,2.1942153611071627e-48,1.469509999963735e-43,4.199736632393858e-70,2.38055892462259e-16,1.1304562688992883e-18,5.4481574203837916e-42,7.672314482303533e-42,1.718125575902788e-45,9.448916402921635e-67,5.35823308444322e-87,9.630350807145338e-85,6.319089581299065e-110,8.451126722049351e-16,3.9136150253260965e-20
3.755462856050073e-22,0.0007926750507772021,0.0,0.0,0.0021560761381102626,0.7999999999999976,0.09999999999999953,0.1,6.496602118955884e-63,1.0111495418835773e-50,1.2534212463223402e-46,1.9552666010978702e-110,5.657033875150723e-134,1.5563594971300292e-15,8.807893176051962e-48,1.1779941357541463e-42,6.762972844471471e-69,4.765257951599528e-16,2.2628785383869714e-18,4.367372518946597e-41,3.0729276479529945e-41,6.881463997304165e-45,4.052996930616209e-66,4.295287049365057e-86,7.719918155095063e-84,2.0281702267854767e-108,1.6916951055778203e-15,7.834036336412272e-20
7.5141884947726475e-22,0.0007926750507772021,0.0,0.0,0.0021560761381065325,0.7999999999999952,0.09999999999999906,0.1,2.0820245429644844e-61,2.0231775803282932e-50,2.507931477220108e-46,6.266219083408785e-109,7.260624286179782e-132,3.114071174528394e-15,3.556821021093437e-47,9.433506749472403e-42,1.0931464628281949e-67,9.534656005183326e-16,4.527723046393331e-18,3.497440109954338e-40,1.2299718848742847e-40,2.75437895881474e-44,2.0523216826929883e-65,3.4397133077212224e-85,6.1821956289321505e-83,6.499859808877779e-107,3.3848599723202813e-15,1.567487895485992e-19
1.5031639772217798e-21,0.0007926750507772021,0.0,0.0,0.0021560761380990724,0.7999999999999902,0.0999999999999981,0.1,6.667461477597313e-60,4.047233657217691e-50,5.016951939015628e-46,2.0066900263628308e-107,9.306176094388205e-130,6.229494529303546e-15,1.473404689610651e-46,7.550628385005977e-41,1.7822065144493282e-66,1.9073452110870576e-15,9.057411938530032e-18,2.79936961810729e-39,4.921489633151126e-40,1.1021103568943172e-43,1.5097630280022305e-64,2.7531649132356602e-84,4.9482621399072645e-82,2.081510869644629e-105,6.77118970579197e-15,3.135656417685641e-19
3.00665423271081e-21,0.0007926750507772021,0.0,0.0,0.0021560761380841516,0.7999999999999803,0.0999999999999962,0.09999999999999999,2.1343850906675814e-58,8.09534581099635e-50,1.0034992862606626e-45,6.423810784583992e-106,1.1919963157033964e-127,1.2460341238767534e-14,6.698174908696267e-46,6.042031719533617e-40,2.9558771234584364e-65,3.815104431632374e-15,1.8116789227299383e-17,2.2400628447031013e-38,1.9689163062828612e-39,4.409159069898788e-43,1.70636456230721e-63,2.2030904088663106e-83,3.9596121647957096e-81,6.663324941386226e-104,1.3543849172682409e-14,6.271993456125417e-19
6.01363474368887e-21,0.0007926750507772021,0.0,0.0,0.0021560761380543104,0.7999999999999605,0.09999999999999239,0.09999999999999998,6.831307193652558e-57,1.6191570118553123e-49,2.007107470978869e-45,2.0560083543545785e-104,1.5262733736734866e-125,2.492203465735025e-14,3.965393726335068e-45,4.834236165038377e-39,5.061869950783867e-64,7.630622870354466e-15,3.6235541822822114e-17,1.7922771630161206e-37,7.876306085986542e-39,1.763807161338184e-42,2.4478155151371877e-62,1.7626996139638236e-82,3.1680906873243884e-80,2.132662448284382e-102,2.708916810625155e-14,1.254466750916688e-18
