Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54)
0.0,0.0007926750507772021,0.0,0.0,0.0021560761381139897,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.380988504756842e-25,0.0007926750507772021,0.0,0.0,0.0021560761381139854,0.8,0.1,0.1,-3.3267526600712144e-76,1.1795708516849353e-53,1.4621963476245775e-49,-1.0012532885690481e-123,1.5967341231683768e-152,1.8155932644166703e-18,1.7918542552858261e-53,3.270812352401635e-51,1.4744581308123418e-79,5.558979308130831e-19,2.6397931052726357e-21,1.212642328039053e-49,6.270067416514962e-47,1.4041086569352792e-50,7.53960587289901e-72,1.1926271094992847e-94,2.1435083776762774e-92,-1.0385768621363475e-121,1.9734709395833406e-18,9.138906297854586e-23,1.1926271094854713e-94,1.0468197322162457e-46,-8.832400782754915e-153,7.548838005905494e-68
1.2266767813319157e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139775,0.8,0.1,0.1,3.2870445056424445e-75,3.3027983847178183e-53,4.094149773348816e-49,9.89302321719949e-123,2.6118482799480012e-151,5.083661140366654e-18,1.0822800052904142e-52,4.942851506884878e-50,1.3730327955483704e-78,1.5565142062764696e-18,7.391420694627066e-21,1.832545045804322e-48,3.7871207195607055e-46,8.480816287880711e-50,4.553926676458804e-71,1.8022980441492248e-93,3.23926978168976e-91,1.0261804043852216e-120,5.525718630833341e-18,2.5588937633976446e-22,1.8022980441052667e-93,6.3227911826089675e-46,2.6348254056349084e-151,4.5594981555662207e-67
2.803832643044379e-24,0.0007926750507772021,0.0,0.0,0.002156076138113962,0.8,0.1,0.1,1.8129524320356753e-73,7.549253450783584e-53,9.358056624797294e-49,5.4564458951030175e-121,7.825899364978652e-149,1.1619796892266528e-17,5.210713100033467e-52,5.317294086930276e-49,2.6431077126623303e-77,3.557746757202591e-18,1.6894675872790685e-20,1.9713683336743497e-47,1.8233356047010508e-45,4.083147974355229e-49,2.1925299058175445e-70,1.938829989358532e-92,3.4846586093138856e-90,5.659845054666894e-119,1.2630214013333282e-17,5.848900030615459e-22,1.9388299892602062e-92,3.044151781318457e-45,3.399156898210411e-149,2.195202092116271e-66
5.958144366469305e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139307,0.8,0.1,0.1,7.13515385582893e-72,1.6042163582915116e-52,1.9885870327694248e-48,2.147468421746555e-119,1.4869362320965814e-146,2.4692068396065892e-17,2.2756566857350362e-51,4.887509353036239e-48,4.7511957877253765e-76,7.560211859052228e-18,3.590118622693691e-20,1.812027135267161e-46,7.962985618751818e-45,1.7832179942948223e-48,9.57554168209051e-70,1.782118791053114e-91,3.203001615208474e-89,2.2275192972571098e-117,2.6839204778332933e-17,1.2428912565024856e-21,1.7821187908687665e-91,1.3294610599490613e-44,2.9174353503477427e-147,9.587024267489168e-66
1.2266767813319157e-23,0.0007926750507772021,0.0,0.0,0.0021560761381138683,0.8,0.09999999999999999,0.1,2.521010780134677e-70,3.3027983847178182e-52,4.0941497733488157e-48,7.5874902684915596e-118,2.289044737098572e-144,5.0836611403663107e-17,9.500442145301957e-51,4.181367149059691e-47,8.054865653683882e-75,1.5565142062741077e-17,7.391420692650539e-20,1.5502273639249194e-45,3.3243897440362594e-44,7.444584098954008e-48,3.997920512114819e-69,1.5246401459319775e-90,2.740235316360017e-88,7.870328064805769e-116,5.52571863083313e-17,2.5588937633738734e-21,1.5246401456133778e-90,5.550238220519091e-44,2.1444099943175827e-145,4.0023939107213685e-65
2.4884014707018864e-23,0.0007926750507772021,0.0,0.0,0.002156076138113743,0.7999999999999999,0.09999999999999998,0.1,8.469542207920938e-69,6.69996243757043e-52,8.305275254507598e-48,2.549079506764278e-116,3.203676142417109e-142,1.0312569741885147e-16,3.8812792855157566e-50,3.4572352149888734e-46,1.3264092476841526e-73,3.1575002470077076e-17,1.4994024829074638e-19,1.2817579629467877e-44,1.3581216825174944e-43,3.0413555151691637e-47,1.6338103215824968e-68,1.2606019565712658e-89,2.265679550219157e-87,2.6441011803380718e-114,1.1209314936832433e-16,5.190898777074678e-21,1.2606019560415971e-89,2.2674534130303823e-43,1.468061376894061e-143,1.6351085074229258e-64
5.0118508494418273e-23,0.0007926750507772021,0.0,0.0,0.0021560761381134927,0.7999999999999998,0.09999999999999995,0.1,2.7764334212377895e-67,1.3494290543275652e-51,1.6727526216825157e-47,8.356236239856527e-115,4.284917500603724e-140,2.077038694492039e-16,1.568937972728112e-49,2.8113662547289356e-45,2.153798868432177e-72,6.359472328458227e-17,3.0199233087964453e-19,1.0423042885671154e-43,5.489744985002105e-43,1.2293645262809923e-46,6.61272857122173e-68,1.0251005759719464e-88,1.8424129822984694e-86,8.667730461677853e-113,2.2576507548829555e-16,1.0454908804308406e-20,1.0251005751071669e-88,9.165409231167006e-43,9.713143186898304e-142,6.60937001832694e-64
1.0058749606921709e-22,0.0007926750507772021,0.0,0.0,0.002156076138112992,0.7999999999999995,0.09999999999999988,0.1,8.991943566677276e-66,2.7082946754686076e-51,3.357202814146027e-47,2.7063067492271005e-113,5.605560873660882e-138,4.1686021350981147e-16,6.309643474775212e-49,2.2674687238359866e-44,3.47478933385549e-71,1.2763416491292544e-16,6.0609649549910535e-19,8.406561687897369e-43,2.2074023131240902e-42,4.943220690426863e-46,2.6728289887318834e-67,8.267807520498871e-88,1.4859728154343038e-85,2.8071893545883242e-111,4.531089277281782e-16,2.0982928858104345e-20,8.267807506455412e-88,3.685370741793348e-42,6.319905793947365e-140,2.6575986152763424e-63
2.0152547121881472e-22,0.0007926750507772021,0.0,0.0,0.00215607613811199,0.7999999999999988,0.09999999999999976,0.1,2.8947172595935558e-64,5.426025917750685e-51,6.726103199073047e-47,8.712235431542227e-112,7.253435491469287e-136,8.351729016306374e-16,2.5320759875303128e-48,1.821354174219705e-43,5.5933077229146013e-70,2.5571304816694286e-16,1.2143048225046851e-18,6.752607516065746e-42,8.852670555873343e-42,1.9824525875432865e-45,1.0942208076781221e-66,6.64115263496193e-87,1.1936141747667472e-84,9.037000146737782e-110,9.077966322077046e-16,4.203896896301014e-20,6.641152611895028e-87,1.4779985003963545e-41,4.0781636146004704e-138,1.0658159087071218e-62
