Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91)
0.0,0.0026772599839999995,0.1557,0.0,0.007879176132911997,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.221773915426401e-24,0.0026772599839999995,0.1557,0.0,0.007879176132911996,0.6424,0.2019,0.0,0.0,1.5790623326389013e-53,0.0,-9.918320407668376e-119,-7.100116318287871e-162,2.8284271019711302e-18,0.0,0.0,0.0,1.6278957978808943e-92,0.0,9.007255705067642e-72,0.0,0.0,2.8147674078336393e-82,6.345629178530572e-95,0.0,-6.218861890322223e-120,0.0,4.4194173468298927e-29,4.142875070477335e-94,3.1056092872476063e-83,0.0,6.34562917933213e-95,2.8147674078204532e-71,0.0
3.420966963193923e-24,0.0026772599839999995,0.1557,0.0,0.007879176132911989,0.6424,0.2019,0.0,0.0,4.421374531388924e-53,0.0,9.799935156390996e-118,1.1917652931531737e-160,7.919595885519155e-18,0.0,0.0,0.0,1.932637891270631e-91,0.0,5.44038244586085e-71,0.0,0.0,1.7001195143315176e-81,9.589514416624503e-94,0.0,6.144633442632989e-119,0.0,1.2374368571123695e-28,9.267445813274852e-93,3.686979344703989e-82,0.0,9.589514418885033e-94,1.7001195143158613e-70,0.0
7.819353058728967e-24,0.0026772599839999995,0.1557,0.0,0.007879176132911978,0.6424,0.2019,0.0,0.0,1.010599892888897e-52,0.0,5.405103653515084e-116,1.404862295474687e-158,1.8101933452615186e-17,0.0,0.0,0.0,1.8974753421462991e-90,0.0,2.619309959033662e-70,0.0,0.0,8.185343621980212e-81,1.031596198490468e-92,0.0,3.38904085999249e-117,0.0,2.8284271019711276e-28,1.8310911209904892e-91,3.619898181755069e-81,0.0,1.0315961989821821e-92,8.185343621826503e-70,0.0
1.6616125249799054e-23,0.0026772599839999995,0.1557,0.0,0.007879176132911957,0.6424,0.2019,0.0,0.0,2.147524772388906e-52,0.0,2.1272618895218408e-114,1.1104783095048363e-156,3.8466608586807136e-17,0.0,0.0,0.0,1.6782954522979897e-89,0.0,1.1439214745435815e-69,0.0,0.0,3.574754607948707e-80,9.482146340968879e-92,0.0,1.3338092894491737e-115,0.0,6.010407591688635e-28,3.2583288082079084e-90,3.201758943513234e-80,0.0,9.48214635008443e-92,3.5747546078127543e-69,0.0
3.4209669631939233e-23,0.0026772599839999995,0.1557,0.0,0.007879176132911917,0.6424,0.2019,0.0,0.0,4.4213745313889246e-52,0.0,7.516096024755426e-113,7.858914559627953e-155,7.919595885519063e-17,0.0,0.0,0.0,1.4107084538734485e-88,0.0,4.775646974826786e-69,0.0,0.0,1.492389679633383e-79,8.11217582010251e-91,0.0,4.712649038461112e-114,0.0,1.2374368571123618e-27,5.495647759541197e-89,2.6912713053947547e-79,0.0,8.112175835769818e-91,1.4923896795191064e-68,0.0
6.939675839621959e-23,0.0026772599839999995,0.1557,0.0,0.007879176132911836,0.6424,0.2019,0.0,0.0,8.96907404938896e-52,0.0,2.5250940204199773e-111,5.284507719057628e-153,1.606546593919559e-16,0.0,0.0,0.0,1.1565840262695938e-87,0.0,1.9510076147404047e-68,0.0,0.0,6.096898796063866e-79,6.707303829125911e-90,0.0,1.5832530436226847e-112,0.0,2.510229052999346e-27,9.026617872369255e-88,2.2064668043211383e-78,0.0,6.7073038550933215e-90,6.09689879512696e-68,0.0
1.397709359247803e-22,0.0026772599839999995,0.1557,0.0,0.007879176132911673,0.6423999999999999,0.2019,0.0,0.0,1.8064473085389032e-51,0.0,8.277608453196715e-110,3.465989715913587e-151,3.235720604654797e-16,0.0,0.0,0.0,9.366317451049217e-87,0.0,7.886284718060013e-68,0.0,0.0,2.4644639743938365e-78,5.4542680605950994e-89,0.0,5.190123089063053e-111,0.0,5.0558134447732675e-27,1.46325363110805e-86,1.7868540058577667e-77,0.0,5.454268102876296e-89,2.4644639736351053e-67,0.0
2.8051929098190174e-22,0.0026772599839999995,0.1557,0.0,0.007879176132911347,0.6423999999999997,0.2019,0.0,0.0,3.625527115738916e-51,0.0,2.680841803809352e-108,2.2454677365666667e-149,6.4940686261250035e-16,0.0,0.0,0.0,7.538827592084951e-86,0.0,3.1710403999914355e-67,0.0,0.0,9.9095012499739e-78,4.399064751158792e-88,0.0,1.6809080814513446e-109,0.0,1.0146982228320958e-26,2.35652478490542e-85,1.438215526441188e-76,0.0,4.399064819400813e-88,9.909501243866973e-67,0.0
5.620160010961445e-22,0.0026772599839999995,0.1557,0.0,0.007879176132910694,0.6423999999999994,0.2019,0.0,0.0,7.263686730138939e-51,0.0,8.630257659611283e-107,1.445876325212564e-147,1.3010764669064333e-15,0.0,0.0,0.0,6.049435828727944e-85,0.0,1.271729028644716e-66,0.0,0.0,3.974153214515272e-77,3.5335679846867634e-87,0.0,5.4112368079376786e-108,0.0,2.0329319795415982e-26,3.7827439195960423e-84,1.1540773357580775e-75,0.0,3.533568094349858e-87,3.974153209614844e-66,0.0
