Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52)
0.0,0.0027332747035799065,0.1557,0.0,0.008044027452635664,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.025455265882037e-24,0.0027332747035799065,0.1557,0.0,0.008044027452635659,0.6424,0.2019,-4.5972592826105344e-157,2.095764813554454e-165,7.674741991632575e-53,-1.3922465532536972e-187,-3.3714515050799672e-118,9.323032260470202e-156,2.398651911223197e-18,1.306647459741473e-110,-3.862657278872266e-140,2.0929360112531835e-165,1.5800217606540088e-18,-5.0046121364647297e-144,3.40034853702126e-55,1.3382633811553188e-178,3.180768680733138e-161,1.160125342684451e-81,3.1543591236153003e-94,9.43355512066883e-216,-1.3582386856889327e-119,-9.25652499022066e-139,3.747893611286248e-29,1.5239068023960413e-36,2.454310594845552e-63,-1.937334365967133e-205,3.1543591240032856e-94,1.306647459741473e-110,-1.6656447703594417e-136,1.1601903865054388e-70
2.8712747444697036e-24,0.0027332747035799065,0.1557,0.0,0.008044027452635653,0.6424,0.2019,1.551541585057723e-155,9.7562714799697e-164,2.1489277576571207e-52,1.3214679969899852e-185,3.3312098621847e-117,1.525031659810194e-154,6.7162253514249445e-18,3.6849548670505033e-109,6.483528959657743e-139,9.74310274890023e-164,4.424060929831224e-18,9.661479628203349e-143,5.1386062159664075e-54,7.140796617698425e-177,8.847160702329151e-160,7.008192609139767e-81,4.766867463330433e-93,4.391538796980387e-214,1.342026749650783e-118,1.786986187587894e-137,1.0494102111601488e-28,9.204397084831098e-36,7.716744628014119e-62,2.361177306421266e-203,4.7668674644246155e-93,3.6849548670505033e-109,3.2155525501855986e-135,7.007549934462989e-70
6.5629137016450364e-24,0.0027332747035799065,0.1557,0.0,0.00804402745263564,0.6424,0.2019,3.389127916130226e-153,5.154313573208314e-161,4.9118348746448476e-52,1.4912810226627212e-182,1.8373116061816564e-115,4.569442539670336e-152,1.5351372231828413e-17,8.01558172183712e-108,7.642834895561689e-137,5.147356430878497e-161,1.0112139268185638e-17,1.0201502088726452e-140,5.527878045023791e-53,3.3899948029094823e-174,2.159325865971514e-157,3.377378282635595e-80,5.127978488218356e-92,2.320083863560289e-211,7.401879271942619e-117,1.886868681271883e-135,2.398651911223195e-28,4.431520978906195e-35,1.7215632712211035e-60,7.945252424993707e-200,5.127978490598442e-92,8.015581721837118e-108,3.3952838788164615e-133,3.3738336439130265e-69
1.39461916159957e-23,0.0027332747035799065,0.1557,0.0,0.00804402745263561,0.6424,0.2019,5.3670103119872046e-151,1.7334309631126956e-158,1.04376491086203e-51,1.0626627390922076e-179,7.231023140983816e-114,8.682015762093118e-150,3.262166599263522e-17,1.4859537618844934e-106,6.041305545478566e-135,1.7310912284887916e-158,2.1488295944894404e-17,8.063437183181283e-139,5.081072290034987e-52,1.1399007815762235e-171,3.6185979924004194e-155,1.4873922629109176e-79,4.7134957010884165e-91,7.802600965478493e-209,2.9131237250177865e-115,1.4914124363275334e-133,5.097135311349278e-28,1.935361636499428e-34,3.2242974717486744e-59,1.1811632768145238e-196,4.713495705500694e-91,1.4859537618844931e-106,2.6836889349778333e-131,1.4734417908156348e-68
2.871274744469703e-23,0.0027332747035799065,0.1557,0.0,0.008044027452635553,0.6424,0.20189999999999997,7.613521898969291e-149,5.053672300736834e-156,2.1489277576571205e-51,6.3734306718709615e-177,2.5548835597191373e-112,1.3365408074190334e-147,6.716225351424836e-17,2.553974851491484e-105,4.275464338796805e-133,5.046851001064494e-156,4.424060929831168e-17,5.715078708611853e-137,4.346964318814816e-51,3.328397321461724e-169,5.269315555898279e-153,6.644231069994981e-79,4.032494804585864e-90,2.2747827415710279e-206,1.02927231283379e-113,1.0570603164606798e-131,1.0494102111601404e-27,8.079753843411898e-34,5.569172036173897e-58,1.4470135983788789e-193,4.03249481216944e-90,2.5539748514914844e-105,1.9021036742021496e-129,6.1513294288361596e-68
5.82458591020997e-23,0.0027332747035799065,0.1557,0.0,0.008044027452635438,0.6424,0.2018999999999999,1.0251002583870137e-146,1.3790233158818858e-153,4.3592534512473005e-51,3.526661024622633e-174,8.583340578154695e-111,1.8705805912106665e-145,1.3624342855747265e-16,4.233026008949314e-104,2.8749166479286996e-131,1.3771619503769086e-153,8.974523600514518e-17,3.845985967073042e-135,3.5941541608183323e-50,9.089795187532757e-167,7.185607713899022e-151,4.1689622212540685e-78,3.334144678933915e-89,6.207324616660268e-204,3.4579246381338283e-112,7.1135313278039376e-130,2.12880357121055e-27,3.300843070880099e-33,9.253262565369897e-57,1.6186719628755262e-190,3.3341446915031325e-89,4.233026008949314e-104,1.280028572113294e-127,2.5130187844395602e-67
1.1731208241690502e-22,0.0027332747035799065,0.1557,0.0,0.00804402745263521,0.6423999999999999,0.20189999999999983,1.345471526262604e-144,3.643798007485091e-151,8.779904838427657e-51,1.8764714254810963e-171,2.813738100799043e-109,2.501901578117014e-143,2.744057786439133e-16,6.892385489993494e-103,1.885593146337865e-129,3.6388797150661244e-151,1.80754489418808e-16,2.5234920578626317e-133,2.922706473373073e-49,2.4027787736009757e-164,9.490796120841601e-149,6.444214672868727e-77,2.7112710705906323e-88,1.6401635350105352e-201,1.1335556611569597e-110,4.667448077750454e-128,4.287590291311308e-27,1.3342535370811354e-32,1.50851531668311e-55,1.732193076441365e-187,2.7112710910562826e-88,6.892385489993493e-103,8.39873562519368e-126,1.015802372273456e-66
2.3544452904651567e-22,0.0027332747035799065,0.1557,0.0,0.008044027452634751,0.6423999999999997,0.20189999999999964,1.7438607595656836e-142,9.476241604739817e-149,1.7621207612788357e-50,9.793288743971689e-169,9.112760974091312e-108,3.2730059736953607e-141,5.507304788167632e-16,1.1124337887502571e-101,1.2215958275343388e-127,9.463450849825724e-149,3.627729962461171e-16,1.635185286714054e-131,2.3572686530881917e-48,6.250054918623291e-162,1.2339496470720532e-146,1.79892700403428e-75,2.186738324446424e-87,4.265491293048636e-199,3.671209409294619e-109,3.024436870906461e-126,8.605163731512576e-27,5.364974724790987e-32,2.4362561956059966e-54,1.8138496993784936e-184,2.1867383574772623e-87,1.1124337887502571e-101,5.442255654630384e-124,4.084496663516593e-66
4.71709422305737e-22,0.0027332747035799065,0.1557,0.0,0.008044027452633835,0.6423999999999995,0.20189999999999927,2.246104680185659e-140,2.445060905903708e-146,3.530381316150972e-50,5.062295788432961e-166,2.9336111932135946e-106,4.235175950052474e-139,1.103379879162337e-15,1.78765120829397e-100,7.865962436068935e-126,2.441760633903911e-146,7.268100099006688e-16,1.0530135348566849e-129,1.893486375928776e-47,1.6128033125256492e-159,1.5918143405595717e-144,5.676058592340614e-74,1.7565071155895125e-86,1.100584094692527e-196,1.1818482945336653e-107,1.94765265212483e-124,1.7240310611914128e-26,2.1515947666962914e-31,3.916210454875324e-53,1.8796952503573053e-181,1.756507168658833e-86,1.78765120829397e-100,3.504660243116652e-122,1.6380658601724977e-65
