Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31)
0.0,0.0027344314106420324,0.1557,0.0,0.008047431641519501,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2461406826673586e-24,0.0027344314106420324,0.1557,0.0,0.0080474316415195,0.6424,0.2019,0.0,0.0,9.663528480778079e-53,0.0,-9.321702811692705e-118,-2.3039755374321962e-160,2.915475924917909e-18,0.0,0.0,0.0,1.277308271972009e-90,0.0,4.587518682483183e-70,0.0,0.0,1.7755930656409834e-81,5.909592951494128e-94,0.0,-7.549068326001808e-119,0.0,4.555431132684235e-29,2.905917373237003e-93,2.1357578690843015e-82,0.0,5.909592952380093e-94,1.7755930656314425e-70,0.0,8.560858376925444e-52,1.2649762066571066e-53
3.489193911468604e-24,0.0027344314106420324,0.1557,0.0,0.008047431641519493,0.6424,0.2019,0.0,0.0,2.705787974617862e-52,0.0,9.21043867296265e-117,3.8672578293475694e-159,8.163332589770139e-18,0.0,0.0,0.0,1.5164203804870843e-89,0.0,2.77086128421984e-69,0.0,0.0,1.072458211647153e-80,8.930576342878642e-93,0.0,7.4589624083947505e-118,0.0,1.275520717151585e-28,6.500420924056223e-92,2.535571741381628e-81,0.0,8.930576345377208e-93,1.0724582116358249e-69,0.0,5.129772386336403e-51,3.541933378639899e-53
7.975300369071096e-24,0.0027344314106420324,0.1557,0.0,0.008047431641519482,0.6424,0.2019,0.0,0.0,6.184658227697971e-52,0.0,5.079969911232212e-115,4.558753932070643e-157,1.865904591947457e-17,0.0,0.0,0.0,1.4888305218204553e-88,0.0,1.3340504328661074e-68,0.0,0.0,5.16342463488397e-80,9.607106465166593e-92,0.0,4.1139522175949014e-116,0.0,2.915475924917906e-28,1.284373631757169e-90,2.4894393697393777e-80,0.0,9.607106470601523e-92,5.163424634772744e-69,0.0,2.4608073646813205e-50,8.095847722605489e-53
1.694751328427608e-23,0.0027344314106420324,0.1557,0.0,0.008047431641519462,0.6424,0.2019,0.0,0.0,1.314239873385819e-51,0.0,1.999300491314143e-113,3.603482971523068e-155,3.9650472578883325e-17,0.0,0.0,0.0,1.316853736109579e-87,0.0,5.826148726753629e-68,0.0,0.0,2.255003193364039e-79,8.830585992054799e-91,0.0,1.6191093320639123e-114,0.0,6.19538634045054e-28,2.2854742489758974e-89,2.2018809275340582e-79,0.0,8.830586002130246e-91,2.255003193265661e-68,0.0,1.0728838882052292e-49,1.7203676410536708e-52
3.4891939114686046e-23,0.0027344314106420324,0.1557,0.0,0.00804743164151942,0.6424,0.2019,0.0,0.0,2.7057879746178624e-51,0.0,7.063979543937981e-112,2.5502042266438305e-153,8.16333258977004e-17,0.0,0.0,0.0,1.1068949116863992e-86,0.0,2.4323024054525832e-67,0.0,0.0,9.414194434028409e-79,7.554752223007186e-90,0.0,5.720678432674995e-113,0.0,1.2755207171515772e-27,3.854786356245926e-88,1.850813587829826e-78,0.0,7.554752240324303e-90,9.41419443320147e-68,0.0,4.475438697789647e-49,3.541933378639946e-52
7.078079077550598e-23,0.0027344314106420324,0.1557,0.0,0.008047431641519337,0.6424,0.2019,0.0,0.0,5.488884177081948e-51,0.0,2.37320178475976e-110,1.7148136442824176e-151,1.655990325353328e-16,0.0,0.0,0.0,9.074993246910972e-86,0.0,9.936748967006064e-67,0.0,0.0,3.8460056039009236e-78,6.246415218155146e-89,0.0,1.9219087742275126e-111,0.0,2.5874848833646107e-27,6.331498110828024e-87,1.517408792483017e-77,0.0,6.2464152468569976e-89,3.846005603222949e-67,0.0,1.827634234139921e-48,7.185064853812763e-52
1.4255849409714585e-22,0.0027344314106420324,0.1557,0.0,0.008047431641519168,0.6423999999999999,0.2019,0.0,0.0,1.1055076582010122e-50,0.0,7.779684630270758e-109,1.1247076866125273e-149,3.335304458105906e-16,0.0,0.0,0.0,7.349164826709988e-85,0.0,4.0165928074112604e-66,0.0,0.0,1.5546169574357734e-77,5.07948109416866e-88,0.0,6.300283544219353e-110,0.0,5.211413215790633e-27,1.026363110371662e-85,1.2288369682425794e-76,0.0,5.079481140902185e-88,1.55461695688673e-66,0.0,7.386132572637995e-48,1.4471327804160554e-51
2.861139007404256e-22,0.0027344314106420324,0.1557,0.0,0.008047431641518832,0.6423999999999996,0.2019,0.0,0.0,2.218746139186646e-50,0.0,2.5195808506101486e-107,7.286504077571766e-148,6.69393272361078e-16,0.0,0.0,0.0,5.91524724851482e-84,0.0,1.6150543022438313e-65,0.0,0.0,6.251046411311234e-77,4.096785481550428e-87,0.0,2.040452091033325e-108,0.0,1.0459269880642545e-26,1.652926091324045e-84,9.890748768870022e-76,0.0,4.096785556978526e-87,6.251046406892052e-66,0.0,2.9696399688737743e-47,2.9043853704873475e-51
5.73224714026985e-22,0.0027344314106420324,0.1557,0.0,0.00804743164151816,0.6423999999999993,0.2019,0.0,0.0,4.445223101157911e-50,0.0,8.111120858394442e-106,4.691843724999383e-146,1.34111892546194e-15,0.0,0.0,0.0,4.746613493903645e-83,0.0,6.477090102701388e-65,0.0,0.0,2.5069491958197326e-76,3.2907608309098856e-86,0.0,6.56869316660302e-107,0.0,2.0954983210346247e-26,2.6533122617536213e-83,7.936702643491651e-75,0.0,3.290760952120811e-86,2.506949192273612e-65,0.0,1.1909001567734322e-46,5.818890550643857e-51
