Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53)
0.0,0.002719578564615631,0.1557,0.0,0.008003719715663802,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2677813264145347e-24,0.002719578564615631,0.1557,0.0,0.0080037197156638,0.6424,0.2019,-6.70535626543781e-198,6.657613402789906e-165,6.217184529548692e-53,2.4508812641368746e-207,-5.87568544662014e-118,-1.0815020721965827e-160,2.9580398684664675e-18,1.729436705206633e-110,-7.989010537793974e-140,1.331411507011504e-164,7.444411351339345e-91,-3.5506425021656673e-196,2.920529368841499e-70,-2.0752579401031614e-186,-1.054825177106875e-204,1.1590336117240556e-81,3.570437193048743e-94,1.7908353578241536e-215,-4.456262827640275e-119,-3.0740280777286913e-211,4.6219372944788564e-29,1.9301557391282665e-93,1.3943886217472586e-82,8.403117166540763e-225,3.570437193572606e-94,1.1590336117179067e-70,-1.5e-323,6.507201452156918e-52,7.908841553840487e-54,1.729436705206634e-110
3.549787713960698e-24,0.002719578564615631,0.1557,0.0,0.008003719715663793,0.6424,0.2019,3.458883694771742e-196,3.0992734546215816e-163,1.740811668273634e-52,2.0782033010579617e-205,5.805553158116378e-117,1.8153176316079058e-159,8.282511631706101e-18,4.877288036699664e-109,1.3409675358742762e-138,6.198029370598784e-163,8.83800515632297e-90,1.8315595727563366e-194,1.763999738780264e-69,6.062507676383972e-185,5.441198739472543e-203,7.000563014813293e-81,5.395644477555811e-93,8.336753993002403e-214,4.403072793368316e-118,1.8942677248015842e-209,1.2941424424540794e-28,4.3176811800595995e-92,1.65541817121223e-81,6.164964261105327e-223,5.395644479033197e-93,7.000563014740288e-70,1.265e-321,3.904724543984924e-51,2.2144756350753364e-53,4.877288036699664e-109
8.113800489053024e-24,0.002719578564615631,0.1557,0.0,0.008003719715663783,0.6424,0.2019,1.7299829319080182e-193,1.637370103497593e-160,3.978998098911164e-52,2.172044892123984e-202,3.202022879724831e-115,2.139910693866734e-157,1.893145515818534e-17,1.0609166771020492e-107,1.5807430722671464e-136,3.274466787331984e-160,8.67720587118769e-89,9.160663032499781e-192,8.492899404591066e-69,1.4842954555854817e-182,2.721450554288883e-200,3.3704697428935484e-80,5.804388095616368e-92,4.404371524361683e-211,2.4284920732744267e-116,1.0154581526426433e-206,2.958039868466464e-28,8.531010411033659e-91,1.6252993758776444e-80,2.007181344380835e-219,5.8043880988300045e-92,3.37046974282187e-69,7.7158444e-317,1.874356589104731e-50,5.061658594457917e-53,1.060916677102049e-107
1.7241826039237676e-23,0.002719578564615631,0.1557,0.0,0.008003719715663762,0.6424,0.2019,5.488481454062247e-191,5.5065878209877416e-158,8.455370960186223e-52,1.4617213881830993e-199,1.2602054794263029e-113,1.6914998839054896e-155,4.0229342211143706e-17,1.9667607186817073e-106,1.2495038839107504e-134,1.1012256112917455e-157,7.674890327028113e-88,2.9062789137078602e-189,3.7090722984286972e-68,2.3517917490616744e-180,8.63397587323734e-198,1.4719726868895446e-79,5.335232663668606e-91,1.4812203144135237e-208,9.557705027225236e-115,3.6736559256933434e-204,6.285834720491226e-28,1.5180477183201825e-89,1.4375588900515375e-79,2.2304618420164905e-216,5.335232669626147e-91,1.471972686826146e-68,1.06927752617e-312,8.174457878326757e-50,1.0756024513223104e-52,1.9667607186817073e-106
3.549787713960698e-23,0.002719578564615631,0.1557,0.0,0.008003719715663719,0.6424,0.2019,1.5554497126416154e-188,1.6053994032107968e-155,1.740811668273634e-51,8.525004149207863e-197,4.452590176840459e-112,1.1970835404426646e-153,8.282511631705998e-17,3.380359162045788e-105,8.842806005347764e-133,3.210530725451686e-155,6.451207767349739e-87,8.236468937755547e-187,1.5484646713597658e-67,3.331260306171398e-178,2.4468908937939138e-195,6.145196209360887e-79,4.564403864463825e-90,4.318373348584257e-206,3.376952743986721e-113,1.1108365761705561e-201,1.294142442454071e-27,2.5604093482972103e-88,1.208354863174267e-78,2.2521614593919015e-213,4.564403874703314e-90,6.145196208827978e-68,1.1189719012134907e-308,3.410399253600883e-49,2.214475635075373e-52,3.3803591620457878e-105
7.200997934034558e-23,0.002719578564615631,0.1557,0.0,0.008003719715663634,0.6424,0.2019,4.186034818094933e-186,4.380741519815521e-153,3.531360812783658e-51,4.6530770554228066e-194,1.495884138577371e-110,8.049454107056587e-152,1.6801666452889072e-16,5.602697395031634e-104,5.946098055214202e-131,8.760751512362573e-153,5.2890898953632865e-86,2.216603048712224e-184,6.325983434085615e-67,4.481710661971194e-176,6.585086225435364e-193,2.5105131643387263e-78,3.7739373735392206e-89,1.1783782520604582e-203,1.134514933067255e-111,3.0865601631527655e-199,2.6252603832639552e-27,4.205480006313856e-87,9.90682317086928e-78,2.2465392761485945e-210,3.773937390510426e-89,2.5105131639018134e-67,1.0327133746976e-304,1.3928039016832385e-48,4.4922220025817024e-52,5.602697395031634e-104
1.4503418374182277e-22,0.002719578564615631,0.1557,0.0,0.008003719715663464,0.6423999999999999,0.2019,1.0985239957891202e-183,1.157524823984994e-150,7.112459101803704e-51,2.4591162201441998e-191,4.903715696413608e-109,5.279455839587029e-150,3.383997609525449e-16,9.122540263500949e-103,3.899911929781023e-129,2.3148563562691184e-150,4.2832421330988375e-85,5.816940718275021e-182,2.557063647830827e-66,5.88002547671064e-174,1.728097243985674e-190,1.0147895606777348e-77,3.068903182362684e-88,3.1136328692871806e-201,3.719097316177328e-110,8.235601835944646e-197,5.287496264883675e-27,6.817264197709821e-86,8.022802166922442e-77,2.2567784772926524e-207,3.068903209995893e-88,1.0147895603239118e-66,8.972662787583606e-301,5.629024987007471e-48,9.047714737596015e-52,9.122540263500949e-103
2.910825925447772e-22,0.002719578564615631,0.1557,0.0,0.008003719715663124,0.6423999999999996,0.2019,2.8471575550617073e-181,3.0103163944478812e-148,1.427465567984379e-50,1.2790988027352086e-188,1.5881502599518567e-107,3.420335520756307e-148,6.791659537998241e-16,1.4723816636153048e-101,2.5265875322273833e-127,6.0201301049158915e-148,3.447525924644039e-84,1.507636317173104e-179,1.028184046418841e-65,7.619568206493591e-172,4.478887254292683e-188,4.080424191418694e-77,2.47518157291514e-87,8.097467871412679e-199,1.2044918048141314e-108,2.1559404038194738e-194,1.0611968028122971e-26,1.0978993442698896e-84,6.457449009353327e-76,2.2849335954805894e-204,2.47518161751525e-87,4.080424188570815e-66,7.568405986110827e-297,2.263223968836685e-47,1.815870020763797e-51,1.4723816636153048e-101
5.83179410150686e-22,0.002719578564615631,0.1557,0.0,0.008003719715662442,0.6423999999999993,0.2019,7.333767244125783e-179,7.767221665012368e-146,2.859904883592395e-50,6.600765230043736e-186,5.112627642656911e-106,2.2023839670935226e-146,1.3606983394942663e-15,2.3660777649947997e-100,1.626891817678654e-125,1.553314630422674e-145,2.766422508464215e-83,3.8834007690496007e-177,4.123477892703299e-65,9.813084754909455e-170,1.153681030623399e-185,1.6364326021912728e-76,1.9882004096675902e-86,2.0893095488862692e-196,3.8775412200753557e-107,5.600510496474572e-192,2.1260911554601387e-26,1.7623714725666264e-83,5.181695925217202e-75,2.3254850402273687e-201,1.9882004813387686e-86,1.6364325999060276e-65,6.291009161613621e-293,9.076175921392278e-47,3.6380671147828844e-51,2.3660777649947997e-100
1.1673730453625037e-21,0.002719578564615631,0.1557,0.0,0.008003719715661078,0.6423999999999986,0.2019,1.8832308596364738e-176,1.9962301862732822e-143,5.724783514808421e-50,3.3929114994366456e-183,1.6409450576847404e-104,1.4138190212944107e-144,2.7237631108826854e-15,3.793956799335976e-99,1.0443821930182408e-123,3.992127027841436e-143,2.216504678437166e-82,9.972146545091745e-175,1.6515419517449484e-64,1.2599310140383699e-167,2.9625261414426014e-183,6.554265995894287e-76,1.5937886607242555e-85,5.369671382650104e-194,1.244532664171257e-105,1.4542531243394455e-189,4.255879860756054e-26,2.824389258703342e-82,4.151661947050451e-74,2.3737281302300132e-198,1.593788775647508e-85,6.554265977584485e-65,5.191203653706488e-289,3.6351315875633115e-46,7.282461302906755e-51,3.793956799335976e-99
2.3357603157861392e-21,0.002719578564615631,0.1557,0.0,0.008003719715658351,0.6423999999999973,0.2019,4.8284905255342815e-174,5.1203845782570215e-141,1.1454540777240446e-49,1.7405886898909239e-180,5.258884077998315e-103,9.062204066403222e-143,5.449892653657659e-15,6.076923979592237e-98,6.694212210964001e-122,1.0239914118193814e-140,1.7745522068106485e-81,2.5567983269664505e-172,6.610471849767503e-64,1.6151838976157171e-165,7.595738628284368e-181,2.6234144893712335e-75,1.2763234560147278e-84,1.3773352754676244e-191,3.9884656597534346e-104,3.8007563844401223e-187,8.515457271351273e-26,4.522701460546853e-81,3.323853358633609e-73,2.4267568240878495e-195,1.2763236400916447e-84,2.6234144747122103e-64,4.268109653692753e-285,1.4549853998059168e-45,1.4571249679840597e-50,6.076923979592237e-98
