Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(41),COX(42),CHOX(51),CH2O2X(43),CH3OX(38),CH3X(25),CH4(24),CH4X(158),SX(46),CH3O2X(40),SX(93),SX(44),SX(115)
0.0,0.0007926750507772021,0.0,0.0,0.0021560761381139897,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.865330514007686e-25,0.0007926750507772021,0.0,0.0,0.002156076138113985,0.8,0.1,0.1,-3.861630382974069e-76,1.3099787985988522e-53,1.6238500739830856e-49,-1.2842878316023999e-121,4.4178007769610444e-162,2.016316934135286e-18,2.209953586075049e-53,4.4799827046923195e-51,1.9931970592999676e-79,6.17355458139627e-19,2.9316365317512467e-21,3.302286185718001e-60,7.7330831470317615e-47,1.7317340102199814e-50,9.29884494704528e-72,1.6335234943019537e-94,2.935931329474406e-92,-2.2885905323311266e-124,2.1916488414514014e-18,1.0149261890855863e-22,1.2910776697337127e-46,9.31023354062389e-68,1.6335234942809428e-94,6.928085820722907e-116,-1.1945703790670449e-144,-2.2092514600474038e-144,-1.6569912295234686e-152,1.8919140569916181e-93,-9.263817435818956e-174,-1.8727478399101932e-135,-3.9337742048283874e-187
1.3622925439221523e-24,0.0007926750507772021,0.0,0.0,0.0021560761381139762,0.8,0.1,0.1,3.8155378790981945e-75,3.6679406360767867e-53,4.54678020715264e-49,1.2689585461556627e-120,1.3567226282613867e-160,5.6456874155787736e-18,1.334812019379469e-52,6.770149638609969e-50,1.3037202574921716e-78,1.7285952827907548e-18,8.208582288735373e-21,4.990414599992333e-59,4.670782220787557e-46,1.0459673421717225e-49,5.616502348015333e-71,2.468580623021002e-93,4.4367792783993926e-91,2.261273869603712e-123,6.136616756063909e-18,2.8417933294376194e-22,7.798109125222919e-46,5.6233810585543565e-67,2.4685806229541374e-93,1.953830988546674e-114,2.3061362321628117e-143,4.264993446391127e-143,4.943029998359743e-151,2.8590604284098902e-92,9.153244400703142e-173,1.8503946769099855e-134,7.594211382022946e-186
3.1138115289649194e-24,0.0007926750507772021,0.0,0.0,0.002156076138113959,0.8,0.1,0.1,2.1044402254599846e-73,8.383864311032656e-53,1.039264047349175e-48,6.9988753714037e-119,3.3393930453031005e-158,1.2904428378465631e-17,6.4265464363792655e-52,7.283018025076908e-49,2.269598652593498e-77,3.9510749320922074e-18,1.8762473802031156e-20,5.368460278477352e-58,2.2487805791273884e-45,5.035882501702502e-49,2.7041041106007407e-70,2.6555863809051593e-92,4.772884675656561e-90,1.2471939325295144e-121,1.4026552585288854e-17,6.4955276101335975e-22,3.7544538636316784e-45,2.707415913660914e-66,2.6555863807555965e-92,4.2500091569154463e-113,2.4350362934308978e-141,4.503382622572712e-141,6.376944086843806e-149,3.07564673594889e-91,5.048424706280967e-171,1.0205756325535311e-132,8.018687562927341e-184
6.616849499050454e-24,0.0007926750507772021,0.0,0.0,0.002156076138113924,0.8,0.1,0.1,8.282349014051852e-72,1.7815711660944394e-52,2.2084361006169966e-48,2.7545153266907395e-117,5.619324124937931e-156,2.742191030423888e-17,2.8066437642473744e-51,6.694348315342749e-48,3.947987331061801e-76,8.396034230691899e-18,3.987025682593282e-20,4.934539897264769e-57,9.821015596426019e-45,2.1993021929615962e-48,1.1809533082747227e-69,2.4409414009658952e-91,4.3871033115344574e-89,4.908524041655041e-120,2.980642424373846e-17,1.3802996171493205e-21,1.6396686406089733e-44,1.1823996597524136e-65,2.4409414006854893e-91,7.87880071050907e-112,1.9246932486110407e-139,3.5595486412095865e-139,5.473216486501229e-147,2.827049237039326e-90,1.9868853910419174e-169,4.016632775127227e-131,6.338112678153272e-182
1.3622925439221523e-23,0.0007926750507772021,0.0,0.0,0.002156076138113855,0.8,0.09999999999999999,0.1,2.926340702646347e-70,3.6679406360767866e-52,4.54678020715264e-48,9.732323895493061e-116,8.19794770805848e-154,5.645687415578351e-17,1.1717220891377366e-50,5.727155920632158e-47,6.588710239786882e-75,1.728595282787842e-17,8.208582286297656e-20,4.221602771370885e-56,4.100080684282344e-44,9.18165372202631e-48,4.930247590923154e-69,2.088276759375666e-90,3.753259247060989e-88,1.7342922495041537e-118,6.136616756063652e-17,2.8417933294083013e-21,6.845293805350776e-44,4.936285824872578e-65,2.088276758891095e-90,1.3541645380121125e-110,1.3641544129072475e-137,2.522882017884269e-137,4.022992134790206e-145,2.4186001418172472e-89,7.020114203823651e-168,1.4191669491891297e-129,4.492254836381427e-180
2.763507731956366e-23,0.0007926750507772021,0.0,0.0,0.0021560761381137156,0.7999999999999999,0.09999999999999998,0.1,9.83128128143067e-69,7.44067957604148e-52,9.223468420223925e-48,3.26965393270509e-114,1.1188982359572824e-151,1.1452680185886527e-16,4.786925890356259e-50,4.7353232620883686e-46,1.0766643084406425e-73,3.506579002220004e-17,1.6651695489402566e-19,3.490502808944149e-55,1.6750167417477647e-43,3.75100513536139e-47,2.0141670109095803e-68,1.7266276083669738e-89,3.1032673259257612e-87,5.826496872629951e-117,1.2448565419442803e-16,5.7647807538744985e-21,2.796525876107096e-43,2.0166338285635566e-64,1.7266276075616522e-89,2.2444284125279656e-109,9.180133830421998e-136,1.697783941715505e-135,2.754136903880463e-143,1.9997453683352494e-88,2.35846487054339e-166,4.767807612081582e-128,3.0231503677896385e-178
5.565938108024793e-23,0.0007926750507772021,0.0,0.0,0.0021560761381134376,0.7999999999999997,0.09999999999999994,0.1,3.2228303782117425e-67,1.498615745597086e-51,1.8576844846366493e-47,1.071837916901559e-112,1.4784649963511468e-149,2.306666572649988e-16,1.9350475515699524e-49,3.850686225663365e-45,1.742406983169819e-72,7.062546441063753e-17,3.353792187839705e-19,2.838418915339446e-54,6.770685481309757e-43,1.5162162490686235e-46,8.141585095693827e-68,1.4040648966789142e-88,2.5235254509440695e-86,1.9100065020111702e-115,2.5072462746199265e-16,1.1610755602599843e-20,1.1304004718734424e-42,8.151556400646723e-64,1.404064895365875e-88,3.6544698413707375e-108,6.023421589162864e-134,1.113978144237259e-133,1.8222208181599005e-141,1.6261597225092287e-87,7.731375021148661e-165,1.5629534751283423e-126,1.9837819756704645e-176
1.1170798860161648e-22,0.0007926750507772021,0.0,0.0,0.002156076138112881,0.7999999999999994,0.09999999999999987,0.1,1.043767469847889e-65,3.00771132158296e-51,3.728359769865162e-47,3.4713262114187635e-111,1.922626167286425e-147,4.629463680771459e-16,7.782281818882843e-49,3.1057179274791543e-44,2.80925020200741e-71,1.4174481318668965e-16,6.731037458752463e-19,2.289287683959598e-53,2.722462852697831e-42,6.096638851435774e-46,3.2736955589856394e-67,1.1324292059816771e-87,2.0353146959826712e-85,6.1858752427588796e-114,5.032025739970485e-16,2.330270529922232e-20,4.545290581783151e-42,3.277705031055455e-63,1.1324292038609841e-87,5.89832906305787e-107,3.90308755200846e-132,7.21841259759172e-132,1.185636663479066e-139,1.3115567277402391e-86,2.503935002383508e-163,5.061886013496178e-125,1.2859364981803115e-174
2.238052036443536e-22,0.0007926750507772021,0.0,0.0,0.002156076138111769,0.7999999999999986,0.09999999999999973,0.1,3.360131972424294e-64,6.025902473554701e-51,7.469710340322185e-47,1.1175012302343385e-109,2.4804696899196575e-145,9.275057897009601e-16,3.12351754636503e-48,2.4946815127142096e-43,4.529846338847617e-70,2.8398351073550225e-16,1.3485527973033436e-18,1.8388803645212223e-52,1.0918293684331637e-41,2.4450248578972808e-45,1.312898338765195e-66,9.096287240993714e-87,1.6348754470608179e-84,1.9913781571780933e-112,1.0081584670668657e-15,4.668660468915444e-20,1.8228648173466942e-41,1.3145064034944403e-62,9.096287206903142e-87,9.478456476686992e-106,2.5134791270662727e-130,4.648455652823532e-130,7.650772131336329e-138,1.0535136890025793e-85,8.06075337685365e-162,1.629539689522081e-123,8.293345479377767e-173
