Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31)
0.0,0.0027079452504016393,0.1557,0.0,0.007969482871932023,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.32383235649521e-24,0.0027079452504016393,0.1557,0.0,0.00796948287193202,0.6424,0.2019,-8.472416036033533e-195,5.916387263051935e-165,4.518348864204748e-53,1.777107015903464e-207,-4.73012436156433e-118,-7.10386681714866e-161,3.082206977225126e-18,1.263286323973627e-110,-6.484427738271803e-140,5.922475345668423e-165,5.309464801028036e-91,-2.3672804312220385e-196,2.1683426885079708e-70,-1.3247958493966006e-186,-6.5972851002291655e-205,8.776872894883318e-82,2.6198120737688033e-94,1.0235884130144464e-215,-1.7031679053902943e-119,-1.9511776242374157e-211,4.8159484019142685e-29,1.5723973970535369e-93,1.0878403233003611e-82,4.382814991620833e-225,2.619812074158067e-94,8.776872894835833e-71,1.263286326296392e-110,-3.822219713304513e-136,5.5583847158220124e-52,-2.3227645868509656e-119,4.0791522806445725e-106,5.896130426872762e-117,5.619005584556521e-54
3.706730598186588e-24,0.0027079452504016393,0.1557,0.0,0.007969482871932014,0.6424,0.2019,2.476073282271926e-193,2.7542156710279484e-163,1.2651376819773293e-52,1.5068824508091753e-205,4.673665825874045e-117,1.1923949049861048e-159,8.630179536230353e-18,3.5626699113656285e-109,1.0884211086300553e-138,2.757049814873356e-163,6.303396611791429e-90,1.2211354589475278e-194,1.3096789838588136e-69,3.870162568337262e-185,3.403136638314666e-203,5.301231228509521e-81,3.9590604011730384e-93,4.765041719522807e-214,1.682838975615323e-118,1.1750817857781885e-209,1.3484655525359946e-28,3.5173900794972246e-92,1.2914840313949318e-81,4.712036602823888e-223,3.9590604022708205e-93,5.3012312284531465e-70,3.562669909070588e-109,7.098771002003481e-135,3.339058466232467e-51,2.2950401810446673e-118,1.2825508099233359e-104,3.3958694168944745e-115,1.573321563675826e-53
8.472527081569344e-24,0.0027079452504016393,0.1557,0.0,0.007969482871932004,0.6424,0.2019,6.068123543475817e-191,1.455073411441127e-160,2.891743273091039e-52,1.5749259328529167e-202,2.577736270573749e-115,1.4056044852063593e-157,1.972612465424078e-17,7.749585320926648e-108,1.2830393569097133e-136,1.4565707115243836e-160,6.18871217213474e-89,6.107587525191577e-192,6.305540538181173e-69,9.47539367774777e-183,1.7021006741129963e-200,2.5523146378320648e-80,4.258976543483586e-92,2.5174083429924983e-211,9.281611537058148e-117,6.24904614976741e-207,3.082206977225128e-28,6.949770058312843e-91,1.2679866795144063e-80,1.1561709875721819e-219,4.258976545871501e-92,2.552314637776717e-69,7.749585308268475e-108,7.724855801184832e-133,1.603634143874218e-50,1.265817569661059e-116,2.86130030848041e-103,1.5228503837851308e-113,3.596163574116177e-53
1.8004120048334857e-23,0.0027079452504016393,0.1557,0.0,0.007969482871931981,0.6424,0.2019,9.633009581748749e-189,4.893511561895617e-158,6.1449544553184574e-52,1.0598781499106148e-199,1.0145078587568129e-113,1.1110649768168168e-155,4.191801489026151e-17,1.4366425161339986e-106,1.0141829428805139e-134,4.8985470846472746e-158,5.473845831481062e-88,1.937671191311949e-189,2.75379521440512e-68,1.5013286339701734e-180,5.40002321260561e-198,1.1146628576501768e-79,3.9147332005704625e-91,8.466216711519089e-209,3.6529213456646913e-115,2.2296070805409728e-204,6.549689826603384e-28,1.236674446590913e-89,1.1215198569283e-79,1.4061873044528634e-216,3.9147332049972534e-91,1.1146628576012222e-68,1.4366425111521785e-106,6.10593571626392e-131,6.995427931659819e-50,4.981820238319605e-115,5.358898811592244e-102,5.729343750059948e-112,7.641847594996906e-53
3.7067305981865884e-23,0.0027079452504016393,0.1557,0.0,0.007969482871931936,0.6424,0.2019,1.3696968439480111e-186,1.4266621721607376e-155,1.2651376819773296e-51,6.181387026782685e-197,3.5844850704044042e-112,7.863066435293683e-154,8.630179536230247e-17,2.4692214280762392e-105,7.177427084632023e-133,1.428130236501688e-155,4.601097245864249e-87,5.491409824559461e-187,1.1496552934469316e-67,2.12659836361151e-178,1.530380420314152e-195,4.653498008867093e-79,3.349136668775178e-90,2.4682543345091005e-206,1.2906594970038686e-113,6.700142338572234e-202,1.348465552535986e-27,2.085832200840012e-88,9.427050136805917e-79,1.5278926630306245e-213,3.3491366763837018e-90,4.653498008455598e-68,2.4692214104743447e-105,4.32582972618009e-129,2.91883642803655e-49,1.7601894469049874e-113,9.256165031874938e-101,1.983889838840033e-110,1.5733215636758587e-52
7.519367784892793e-23,0.0027079452504016393,0.1557,0.0,0.007969482871931848,0.6424,0.2019,1.8567201655052426e-184,3.893011421177858e-153,2.5664221548682966e-51,3.37389514888948e-194,1.2042371178899981e-110,5.287299530269922e-152,1.7506935630638237e-16,4.092553453882489e-104,4.82626048824131e-131,3.897017408969926e-153,3.772257510556352e-86,1.477851230827419e-184,4.696716997015987e-67,2.8610188585626167e-176,4.118568200067676e-193,1.90110577652327e-78,2.769130957396927e-89,6.735261158589873e-204,4.336076290795218e-112,1.8564578096423121e-199,2.735458692287265e-27,3.4259856221218477e-87,7.7288652161180955e-78,1.599462500675473e-210,2.7691309700074962e-89,1.9011057761859016e-67,4.092553394747483e-104,2.910430526984133e-127,1.1921163207031365e-48,5.913500614137177e-112,1.5379256634233399e-99,6.600526453290711e-109,3.1915951720283764e-52
1.5144642158305204e-22,0.0027079452504016393,0.1557,0.0,0.007969482871931671,0.6423999999999999,0.2019,2.4727583422311385e-182,1.0286517338316599e-150,5.1689911006502304e-51,1.7830782052893072e-191,3.9476563087928346e-109,3.4678207997666457e-150,3.5260447819453432e-16,6.66366244254721e-103,3.1654356652931873e-129,1.0297102373499844e-150,3.054871940297772e-85,3.878264537605578e-182,1.8984881042381538e-66,3.7536702036055895e-174,1.0808190067750406e-190,7.684573509369e-78,2.2518112957156636e-88,1.7796603500459618e-201,1.4214259526188946e-110,4.9474138282496363e-197,5.509444971789762e-27,5.553670228307679e-86,6.25903536443693e-77,1.652513790008891e-207,2.2518113162487074e-88,7.684573506636902e-67,6.663662248694458e-103,1.9094256021380135e-125,4.818077480203481e-48,1.9385275258920562e-110,2.5072069825081682e-98,2.153425241717445e-107,6.4281423887348815e-52
3.0395190905130026e-22,0.0027079452504016393,0.1557,0.0,0.007969482871931315,0.6423999999999996,0.2019,3.29949702743187e-180,2.675162652256946e-148,1.0374128992214094e-50,9.27460515531807e-189,1.2785144532116386e-107,2.2466540151351942e-148,7.076747219708065e-16,1.075517826806562e-101,2.0507515116002777e-127,2.6779154489361978e-148,2.4588267243069557e-84,1.0051696835874925e-179,7.633737168606598e-66,4.864153435787929e-172,2.8012697131200712e-188,3.0899332101350088e-77,1.8161673708813979e-87,4.628272859997058e-199,4.603525440003946e-109,1.2947438087057412e-194,1.1057417530794506e-26,8.944014367599455e-85,5.0378160692642576e-76,1.6987743954334312e-204,1.8161674040218123e-87,3.089933207935979e-66,1.0755177640241091e-101,1.2372101729968818e-123,1.9371983014008967e-47,6.278245283064257e-109,4.04914596974805e-97,6.957720195226612e-106,1.2901236822159718e-51
6.089628839877967e-22,0.0027079452504016393,0.1557,0.0,0.007969482871930606,0.6423999999999993,0.2019,4.494565270829391e-178,6.90245761000961e-146,2.078440477534181e-50,4.786142484587897e-186,4.11583746096749e-106,1.4466401764997116e-146,1.4178152095232238e-15,1.7283283453069182e-100,1.3204968405066084e-125,6.909560379008663e-146,1.9730536554454637e-83,2.589136831905165e-177,3.0614700318596514e-65,6.264442889584511e-170,7.215568382372555e-186,1.2392014179046441e-76,1.4588443730748107e-86,1.1941874710266082e-196,1.4819826565792954e-107,3.3647336994888446e-192,2.2153362648803006e-26,1.4357122817068305e-83,4.042529939158324e-75,1.7426801726070425e-201,1.458844426330567e-86,1.2392014161400596e-65,1.7283281431954988e-100,7.967064725613075e-122,7.768772694083328e-47,2.0211141973456552e-107,6.5088838733702e-96,2.2372122350764047e-104,2.5847425689104278e-51
