Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CH3X(53),CH4(39),H(23),CH4X(405),CH2OX(174),CHOX(173),HCO(31),OCHCO(440)
0.0,0.002771910154243354,0.1557,0.0,0.008157731583938189,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3255736487535367e-24,0.002771910154243354,0.1557,0.0,0.008157731583938186,0.6424,0.2019,-1.2376829018129182e-192,7.300682460446021e-164,3.196636096643023e-52,8.31390009143934e-206,-4.923116173360433e-117,-2.803146881434648e-159,3.1224989757437065e-18,1.75821521964664e-109,-8.165552283494551e-139,7.266541007734269e-164,6.652864202729044e-90,-1.3785058751520837e-194,1.7295913040940743e-69,-7.711144769417541e-185,-5.422918963920461e-203,6.29062437796304e-81,2.814386372422208e-93,1.3668231049877724e-213,-2.3460049617739407e-118,-3.267410293508601e-209,4.8789046495995457e-29,1.2151295641272432e-92,8.395654414718902e-82,4.603819161168652e-223,2.814386372916266e-93,6.2906243779243e-70,1.7582152228995445e-109,-5.299092635315562e-135,2.0811429797184953e-51,-3.252905636863272e-118,5.309914711839644e-105,7.685207170500746e-116,4.49099026278318e-53,4.390131447809915e-72
3.711606216509903e-24,0.002771910154243354,0.1557,0.0,0.00815773158393818,0.6424,0.2019,3.6162516263343606e-191,3.398637130700763e-162,8.950581070600466e-52,7.049698400971439e-204,4.864353942806572e-116,4.705124734733593e-158,8.74299713208237e-18,4.958448429045705e-108,1.3706003875295694e-137,3.3827434920565345e-162,7.898280381488515e-89,7.110870021370063e-193,1.0446731476728207e-68,2.252677861658175e-183,2.7973527413887077e-201,3.7995371242896736e-80,4.2531008485821914e-92,6.362878757325928e-212,2.3180030866220947e-117,1.9730204216034267e-207,1.366093301887872e-28,2.718196228342111e-91,9.967320917795536e-81,2.841566324154938e-221,4.253100849975522e-92,3.799537124243683e-69,4.958448425831626e-108,9.823881737475719e-134,1.242459184573606e-50,3.214079010747926e-117,1.669522177229065e-103,4.426285934071136e-114,1.2574772735792906e-52,2.65163939447337e-71
8.483671352022635e-24,0.002771910154243354,0.1557,0.0,0.00815773158393817,0.6424,0.2019,8.857121777447974e-189,1.795526246068e-159,2.045847101851535e-51,7.368029274024906e-201,2.682909314631241e-114,5.546438020024183e-156,1.9983993444759673e-17,1.0785708440412259e-106,1.615674509850079e-135,1.7871295140151328e-159,7.754578514745309e-88,3.5565473781618403e-190,5.029651512305562e-68,5.515274677195035e-181,1.3991139661147544e-198,1.829313569111649e-79,4.575291822567064e-91,3.361557991866504e-209,1.2784826403594359e-115,1.0501751807646776e-204,3.122498975743705e-28,5.370697685788997e-90,9.785974775384256e-80,9.735796028629348e-218,4.575291825597861e-91,1.8293135690664953e-68,1.0785708422685173e-106,1.0705453024342247e-131,5.950105558786822e-50,1.772708692110374e-115,3.7246121393174235e-102,1.9849323974734096e-112,2.8742337681812368e-52,1.2766502250173941e-70
1.80278016230481e-23,0.002771910154243354,0.1557,0.0,0.008157731583938147,0.6424,0.2019,1.4044190326547049e-186,6.038477764562457e-157,4.347425091434512e-51,4.958463815453157e-198,1.0559003315466453e-112,4.3842013113861656e-154,4.2465986070114154e-17,1.9994885738547992e-105,1.277115561232428e-133,6.010238979466477e-157,6.858836878612958e-87,1.1283373940630849e-187,2.196580956199469e-67,8.73867627563978e-179,4.438778508054255e-196,7.989092960013029e-79,4.205481436420839e-90,1.1305149803631567e-206,5.031665574643582e-114,3.7527732164875587e-202,6.635310323455361e-28,9.556869554509548e-89,8.655583853533193e-79,9.986934847143332e-215,4.205481442039427e-90,7.98909295961365e-68,1.9994885668780306e-105,8.461885854636527e-130,2.592122471125199e-49,6.976768411572568e-114,6.975786325875908e-101,7.467811773209935e-111,6.107746757385139e-52,5.5754669386593956e-70
3.711606216509903e-23,0.002771910154243354,0.1557,0.0,0.008157731583938102,0.6424,0.2019,1.9923085325430849e-184,1.760467446124051e-154,8.950581070600466e-51,2.8918592117445543e-195,3.730734011219967e-111,3.1027227828974083e-152,8.742997132082262e-17,3.4366099952423704e-104,9.03821532537154e-132,1.75223466564208e-154,5.765265672831175e-86,3.1977370966728546e-185,9.170293094306758e-67,1.2378139098088878e-176,1.2579612067717524e-193,3.3352890451959737e-78,3.597877904694102e-89,3.2959214190722356e-204,1.7778009279444494e-112,1.1283414001697654e-199,1.3660933018878635e-27,1.6119057290600124e-87,7.2755397456546615e-78,9.318357250277683e-212,3.59787791435102e-89,3.335289044860271e-67,3.436609970591875e-104,5.994815323761283e-128,1.0808676863233681e-48,2.4650496286487293e-112,1.2048936120877966e-99,2.5858661203550645e-109,1.2574772735793027e-51,2.3276476935755485e-69
7.529258324920088e-23,0.002771910154243354,0.1557,0.0,0.008157731583938012,0.6424,0.2019,2.6883715248772153e-182,4.803884202791163e-152,1.8156893028932372e-50,1.5784207852004446e-192,1.2533706468813186e-109,2.086339323323069e-150,1.7735794182223757e-16,5.695929065187672e-103,6.077495595119748e-130,4.781418962555348e-152,4.7267131226891274e-85,8.605767650263289e-183,3.7463639483199615e-66,1.6652927974108054e-174,3.385432113640305e-191,1.362574402764281e-77,2.974795019725172e-88,8.99376178385104e-202,5.972667824567471e-111,3.126094748312348e-197,2.7712178409725025e-27,2.6475599757559637e-86,5.964927018169126e-77,8.753304543366475e-209,2.9747950357308045e-88,1.362574402489051e-66,5.695928982372312e-103,4.033286817719672e-126,4.413110789391201e-48,8.281536122428816e-111,2.001948756678263e-98,8.603339458596438e-108,2.5508824692609503e-51,9.509200320763333e-69
1.516456254174046e-22,0.002771910154243354,0.1557,0.0,0.008157731583937832,0.6423999999999999,0.2019,3.548199317023642e-180,1.2693319581479318e-149,3.656951694559618e-50,8.341835103869132e-190,4.108722828648735e-108,1.368383019255597e-148,3.572138828250594e-16,9.274343997655717e-102,3.986092616375534e-128,1.2633959600726068e-149,3.827814839676193e-84,2.2583764031068463e-180,1.5143402071170736e-65,2.1848719836891425e-172,8.884251016086182e-189,5.507743592876572e-77,2.419053892850331e-87,2.3764247376102947e-199,1.9579233564934256e-109,8.324984786203702e-195,5.5814669191417176e-27,4.2918087324537937e-85,4.830552493937979e-76,8.462481286833818e-206,2.419053918911356e-87,5.507743590647686e-66,9.274343726175475e-102,2.6460762561838047e-124,1.7833325894111077e-47,2.714802409676966e-109,3.2636817374869735e-97,2.8068440425419917e-106,5.1376928606248096e-51,3.843770808496466e-68
3.0435170975381203e-22,0.002771910154243354,0.1557,0.0,0.008157731583937473,0.6423999999999996,0.2019,4.6524335014374655e-178,3.30108756014445e-147,7.339476477892376e-50,4.3389699066568603e-187,1.3306785346040873e-106,8.86517319375119e-147,7.169257648306713e-16,1.496882888837932e-100,2.582420339423753e-126,3.285650109537517e-147,3.0809584101823608e-83,5.853266245426552e-178,6.089095369717725e-65,2.831243016202695e-170,2.3026226499637372e-186,2.2146394747592277e-76,1.9510545797858745e-86,6.18024787643133e-197,6.3410619103251734e-108,2.1749804990325922e-192,1.1201965075479898e-26,6.911825398939757e-84,3.8880488046541834e-75,8.382269367968036e-203,1.9510546218484734e-86,2.2146394729652265e-65,1.4968828009145205e-100,1.7145176969957785e-122,7.169667169788498e-47,8.792341180372943e-108,5.2708547183658414e-96,9.068917323436415e-105,1.0311313643357082e-50,1.54556333642708e-67
6.097638784266269e-22,0.002771910154243354,0.1557,0.0,0.008157731583936753,0.6423999999999993,0.2019,6.132248152188534e-176,8.517469716487439e-145,1.4704526044557886e-49,2.239117223381397e-184,4.283765842158631e-105,5.7083625630977495e-145,1.436349528841768e-15,2.4054507089976556e-99,1.6628430449765475e-124,8.477637989607991e-145,2.4722751398512863e-82,1.507696404066212e-175,2.4419995847068347e-64,3.6462994760518883e-168,5.931142959344132e-184,8.881694815498367e-76,1.5671931075770382e-85,1.5946282298566703e-194,2.041336333909055e-106,5.632592165809273e-190,2.2442961388155267e-26,1.1095009683176767e-82,3.1199141588722563e-74,8.431248684645369e-200,1.5671931751705047e-85,8.881694801102636e-65,2.4054504259516014e-99,1.1040691454010822e-120,2.8751502568274804e-46,2.830460539267199e-106,8.472745001152571e-95,2.916054716910154e-103,2.0658555208858235e-50,6.198400247962731e-67
