Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383)
0.0,0.0027792097116130575,0.1557,0.0,0.008179214181277228,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1335290635860306e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277225,0.6424,0.2019,-2.4699568727497344e-109,-1.2609566863512101e-143,3.39736473876005e-52,-3.7758229543303336e-156,-2.9183166850329157e-117,5.283400070058768e-153,2.6736354257772046e-18,2.92604298731972e-81,5.130599048069576e-119,-8.641556133526021e-140,1.7611568118815507e-18,-7.494279062780528e-115,6.750047088336897e-55,-1.2680250116805387e-148,-9.87650363674302e-142,5.724378748176517e-81,2.2905173025403436e-93,-3.0764582332014393e-193,-1.4348486466320652e-118,-2.945121396774542e-91,4.1775553527768846e-29,2.4363450865632535e-36,5.003827217570943e-63,3.8303527993204305e-166,2.290517302890571e-93,1.2591906505491635e-109,-2.7729242518291586e-135,5.7245665920170894e-70,2.926042633491878e-81,1.6137196030353876e-142,-3.116136753280748e-148,1.9972154008905177e-153,4.433378802771502e-172,3.535333280356706e-88,-4.0479603303455027e-129,-1.9931713083740555e-118
3.1738813780408858e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277214,0.6424,0.2019,2.2792615039288955e-107,2.434347549405154e-142,9.512621268528139e-52,6.233994285959731e-154,2.8834836681124564e-116,1.4533372417027912e-151,7.48617919217616e-18,1.6852508183230414e-79,1.4469462546274037e-117,8.539592737274927e-139,4.931239073268335e-18,7.176477076361378e-113,1.0200671420726383e-53,1.1492678219123885e-146,9.758617681549271e-141,3.457823823366006e-80,3.461429827812394e-92,5.957080668408929e-192,1.4177222986099906e-117,1.5262176183626867e-89,1.1697154987775262e-28,1.4715524319911064e-35,1.573283369482694e-61,2.8538446166889377e-164,3.4614298288000946e-92,3.551119186914426e-108,5.139611525061625e-134,3.457638221560483e-69,1.6852507765041865e-79,1.911346886985145e-140,1.2348975661383187e-146,4.278003461003498e-151,1.1152041217927452e-170,4.197147670639438e-87,3.999654371385471e-128,1.9693808231739654e-117
7.254586006950596e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277199,0.6424,0.2019,4.8589942616367205e-105,2.57082126724174e-140,2.1743134328064317e-51,2.6802939413961046e-151,1.590370537401636e-114,3.5600124012570323e-149,1.7111266724974035e-17,7.557371866009854e-78,3.14793100821535e-116,4.711190010817459e-137,1.1271403596041882e-17,1.4937323472838676e-110,1.0973416849193119e-52,8.714676699418576e-144,5.3823152755187216e-139,1.6657276419474542e-79,3.7236482591757187e-91,6.609395595941574e-190,7.819374178743057e-116,1.6018274454788142e-87,2.673635425777199e-28,7.084891507329469e-35,3.509908649794471e-60,1.9060436474422703e-161,3.723648261324185e-91,7.724459918792018e-107,5.6017290604141825e-132,1.664703964931813e-68,7.5573718264038365e-78,2.563679266263936e-137,3.399968718450885e-144,1.1426826836617512e-147,7.342088860080027e-168,4.1207844721791955e-86,2.2059838545494893e-126,1.0862018303559679e-115
1.5415995264770015e-23,0.0027792097116130575,0.1557,0.0,0.008179214181277168,0.6424,0.2019,7.770977726445687e-103,2.0347781479804995e-138,4.6204160447136676e-51,8.58003810259862e-149,6.259148486954512e-113,5.98141777322919e-147,3.636144179056964e-17,2.843272159973332e-76,5.843747430297632e-115,1.8551790821187892e-135,2.395173264158889e-17,2.391875064331881e-108,1.008646063916241e-51,5.745913451921846e-141,2.1182934925556788e-137,7.310487957993525e-79,3.422674276744406e-90,9.543445365942384e-188,3.077435283715115e-114,1.2788892606939928e-85,5.6814752797765345e-28,3.0941582553923126e-34,6.573670438873389e-59,7.489740068717325e-159,3.4226742807273e-90,1.4319846903006426e-105,4.427761738170546e-130,7.270199571585257e-68,2.8432721576074346e-76,2.030738220191686e-134,6.088583823069685e-142,1.810745529088137e-144,3.190701815469889e-165,3.6447871999471524e-85,8.681986426199927e-125,4.274914796983965e-114
3.1738813780408855e-23,0.0027792097116130575,0.1557,0.0,0.008179214181277103,0.6424,0.20189999999999997,1.1079223871572568e-100,1.4583055980899105e-136,9.512621268528137e-51,2.447480535182481e-146,2.2114983249493034e-111,8.720968383733901e-145,7.486179192176024e-17,9.84534872775306e-75,1.0157653870175193e-113,6.562120902845379e-134,4.9312390732682553e-17,3.4129813915577843e-106,8.629179433430142e-51,3.3640844027779915e-138,7.484427329747131e-136,3.177513161699099e-78,2.9281699000359344e-89,5.7342077099172715e-185,1.0873272920844912e-112,9.109694190730899e-84,1.1697154987775159e-27,1.2917501608071202e-33,1.1354380881016843e-57,2.344887254820774e-156,2.9281699068815122e-89,2.4612158200656084e-104,3.136836769599551e-128,3.035165206838852e-67,9.845348733799091e-75,1.2769710786140605e-131,9.13988105468019e-140,2.2776437166720226e-141,1.2089247068975796e-162,3.0636632576418044e-84,3.0675412265556174e-123,1.5104238112591795e-112
6.438445081168654e-23,0.0027792097116130575,0.1557,0.0,0.008179214181276975,0.6424,0.2018999999999999,1.495484491041091e-98,1.0695153232252398e-134,1.9297031716157077e-50,6.608578368659646e-144,7.42970975343551e-110,1.1899804652018809e-142,1.5186249218413904e-16,3.2756095087842306e-73,1.8367563086346004e-112,2.2103636066530574e-132,1.0003370691486846e-16,4.608811869248523e-104,7.134772427541893e-50,1.8424636570846145e-135,2.5145567774592827e-134,1.7181936355529858e-77,2.421067492921669e-88,5.918422944585001e-182,3.652965094314455e-111,6.14573499752215e-82,2.3728514403772217e-27,5.277220876681669e-33,1.8865473500885622e-56,6.618735626054862e-154,2.4210675042677102e-88,4.0792847613593477e-103,2.11044825594029e-126,1.2399640218880706e-66,3.275609514678787e-73,7.224319131495277e-129,1.2643742280454682e-137,2.577331057042168e-138,4.620131900992807e-160,2.5117762392936903e-83,1.0305654653823778e-121,5.074392503897374e-111
1.296757248742419e-22,0.0027792097116130575,0.1557,0.0,0.00817921418127672,0.6423999999999999,0.2018999999999998,1.9653421751726228e-96,1.1678980815671403e-132,3.886585261141494e-50,1.737153628643974e-141,2.4355619122741633e-108,1.5722073642231402e-140,3.0586389270888696e-16,1.0686693159022316e-71,5.001828576452234e-111,7.327177789857158e-131,2.0147633927923457e-16,6.058099813854503e-102,5.8018784467761575e-49,9.75568085047714e-133,8.248468364910981e-133,2.0689162968667355e-76,1.9687718679251964e-87,6.242185953639503e-179,1.197492627011536e-109,4.037497016287334e-80,4.779123323576558e-27,2.1331370393743516e-32,3.075548271035763e-55,1.7779202704271407e-151,1.968771886399259e-87,6.642057867561894e-102,1.3845788978917553e-124,5.012132828871246e-66,1.0686693199193878e-71,3.8853708483439275e-126,1.6816412025752874e-135,2.77239889706316e-135,1.8928348722377906e-157,2.0341015239494164e-82,3.3783357535121446e-120,1.6634562480833562e-109
2.6025827299935264e-22,0.0027792097116130575,0.1557,0.0,0.008179214181276208,0.6423999999999997,0.2018999999999996,2.54888533052229e-94,3.18228981454752e-130,7.80034944019306e-50,4.5061175146480745e-139,7.887974185559581e-107,2.0444166023704523e-138,6.138666937583442e-16,3.452872061040118e-70,3.414179605566751e-109,2.651957138892591e-129,4.043616040079441e-16,7.857675869393826e-100,4.679425154805571e-48,5.079280169683026e-130,2.699520496970254e-131,5.278803845028614e-75,1.5878858202236373e-86,6.497366998883352e-176,3.87827994913724e-108,2.6178816193876196e-78,9.591667089974928e-27,8.577250100077952e-32,4.967018512805241e-54,4.661498256079273e-149,1.5878858500405407e-86,1.0720308561935995e-100,8.971337834552105e-123,2.015356566208116e-65,3.4528720872025616e-70,2.0384970296529525e-123,2.1938867559945843e-133,2.9091992267909503e-132,8.384334608789638e-155,1.6372218747846273e-81,1.0941299751080322e-118,5.3873809893160494e-108
5.214233692495741e-22,0.0027792097116130575,0.1557,0.0,0.008179214181275186,0.6423999999999994,0.2018999999999992,3.284022415317358e-92,1.4568304356909803e-127,1.5627877798296166e-49,1.161179760938333e-136,2.5393236303020272e-105,2.6375235463776542e-136,1.2298722958571047e-15,1.1102497556014549e-68,3.906490563834569e-107,2.200980626949754e-127,8.101321334652721e-16,1.0124479323630848e-97,3.7587687623957825e-47,2.6224268792255435e-127,1.0141724918595347e-129,1.6425740532088425e-73,1.2754762197783033e-85,6.708491887366501e-173,1.2485091467184985e-106,1.6863726668496397e-76,1.921675462277046e-26,3.439860823597918e-31,7.984336677197858e-53,1.2076300713597714e-146,1.2754762676892895e-85,1.722724930177952e-99,5.777121173728416e-121,8.082481252984697e-65,1.1102497724638677e-68,1.0564897190571333e-120,2.834957009416979e-131,3.015530771095465e-129,3.945372857603686e-152,1.3137674594326042e-80,3.522257402092707e-117,1.7343241156037393e-106
