Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56),CH2OX(176)
0.0,0.0028149649241145727,0.1557,0.0,0.008284441771669187,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.153450933800407e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669183,0.6424,0.2019,-5.128236645857241e-109,1.080170163639585e-129,9.865912317779315e-52,-8.694040707870794e-155,-1.113329373202979e-116,2.724075777413719e-152,2.7380696199490366e-18,4.8945690572274e-81,-1.6211271051095546e-104,8.447296121645634e-126,1.8036004146591544e-18,-1.5613782704801581e-114,9.514864580437841e-55,-8.121457890526137e-148,1.2684088686887007e-128,1.7024407593800506e-80,8.60473304434243e-93,9.46139778761458e-179,-6.367564630326656e-118,-4.3617315427863247e-91,4.2782337811703715e-29,3.091684738123812e-36,6.788889305416625e-63,-2.930424834118102e-162,8.604733045805564e-93,5.526728594410652e-109,-1.2552455325489176e-134,1.7024720386153909e-69,4.894567761391332e-81,3.815443858050899e-142,-1.603277387872682e-147,4.805165654467271e-153,2.730617033192668e-171,1.2953998964891714e-87,-2.093117135671095e-128,-8.923564923984608e-118,1.2353699789548162e-161,-2.1220632518186875e-89
3.2296626146411396e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669173,0.6424,0.2019,4.7323062096594297e-107,5.028442645272277e-128,2.762455448978208e-51,9.692615171572232e-153,1.1000406576018186e-115,7.492734474533391e-151,7.66659493585729e-18,2.819020306794925e-79,2.7210864284579577e-103,2.3497770414954357e-124,5.0500811610456255e-18,1.4951665458981639e-112,1.4378862377645258e-53,5.490104354735793e-146,3.5280204502424684e-127,1.0283240172252326e-79,1.3003472397026045e-91,4.404500241425288e-177,6.291561286229909e-117,2.2603317693163507e-89,1.1979054587277032e-28,1.8673775814452267e-35,2.1345352072253498e-61,-6.497729209140932e-160,1.300347240115232e-91,1.5586258716344216e-107,2.3242597174361312e-133,1.0282931113179143e-68,2.8190201532310825e-79,4.519147563158828e-140,6.353647323184175e-146,1.0292588396837851e-150,6.806897430681621e-170,1.5378987571753767e-86,2.068138560004314e-127,8.817053123193126e-117,9.204253319692042e-160,2.096734262229189e-88
7.382085976322605e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669157,0.6424,0.2019,1.0088464238648487e-104,2.6565650835404625e-125,6.314183883378761e-51,8.570965213442063e-150,6.06721747701314e-114,1.8354221644344966e-148,1.7523645567673758e-17,1.2641669661000175e-77,3.2076380674454365e-101,5.736516968839785e-122,1.1543042653818545e-17,3.112082079129984e-110,1.5468123933348035e-52,3.102368847130318e-143,8.610836917414847e-125,4.95249328703741e-79,1.398854220551668e-90,2.3269316212628043e-174,3.470078158450133e-115,2.3723100388337964e-87,2.7380696199490314e-28,8.990619212740704e-35,4.762030606940238e-60,1.7135984333140512e-156,1.3988542214492228e-90,3.3903517166718337e-106,2.5352328501570083e-131,4.9507886882068345e-68,1.2641669512380676e-77,6.06150761615409e-137,1.7493111862944606e-143,2.749217345526197e-147,4.4393049850991155e-167,1.5099181195364813e-85,1.140668855962344e-125,4.863000147786393e-115,6.147393966073198e-157,1.1564429586674482e-86
1.5686932699685535e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669124,0.6424,0.2019,1.6134456287542586e-102,8.934210358561772e-123,1.3417640752179865e-50,5.535721298927645e-147,2.3878469945990446e-112,3.083870246956026e-146,3.723774683130654e-17,4.7561120253511255e-76,2.5354887173596288e-99,9.617700939222881e-120,2.4528965639364288e-17,4.983296704047809e-108,1.4217870812158534e-51,1.7871996462449714e-140,1.4430039338516935e-122,2.1688482001482557e-78,1.2857880291044234e-89,7.825630537221875e-172,1.3657027678786005e-113,1.8940378540333607e-85,5.818397942391677e-28,3.926439611503122e-34,8.918756282961479e-59,3.041757475453777e-153,1.2857880307683386e-89,6.285140711784907e-105,2.003918915982328e-129,2.162139488951939e-67,4.75611201389011e-76,4.801433359916426e-134,3.1326252263616796e-141,4.356531409609301e-144,1.900226908957619e-164,1.3355054776743296e-84,4.489276641121927e-124,1.9139086956525424e-113,2.4155995001238763e-154,4.551359588616867e-85
3.229662614641139e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669059,0.6424,0.20189999999999997,2.3003186901007844e-100,2.6046939518938775e-120,2.762455448978207e-50,3.173421856816651e-144,8.436801969091593e-111,4.496351817313754e-144,7.666594935857149e-17,1.6468905818200344e-74,1.7943789666229943e-97,1.4017998467344299e-117,5.050081161045535e-17,7.110697022195851e-106,1.216368781689665e-50,9.861782181021732e-138,2.1012677012743105e-120,9.26354064236739e-78,1.100018727942712e-88,2.2814968357330543e-169,4.825335889314339e-112,1.3491477445499476e-83,1.197905458727692e-27,1.6392112428305373e-33,1.5404933476936296e-57,4.018444745878712e-150,1.1000187308025571e-88,1.0802551071391372e-103,1.419655865157846e-127,9.026506747932606e-67,1.6468905820466097e-74,3.019242693777416e-131,4.7025421321340445e-139,5.479856903456566e-141,7.038077006801184e-162,1.1225728246014207e-83,1.5861624825637385e-122,6.762271070461567e-112,7.562756381560835e-152,1.6080979925898551e-83
6.551601303986311e-23,0.0028149649241145727,0.1557,0.0,0.008284441771668928,0.6424,0.2018999999999999,3.1049926996459805e-98,7.1075714512193845e-118,5.603838196498647e-50,1.718281372445472e-141,2.834412721635398e-109,6.1353190873301534e-142,1.555223544130989e-16,5.4793086525257734e-73,1.20658004940332e-95,1.9151197101466108e-115,1.024445035526359e-16,9.602122326086339e-104,1.0057172309618604e-49,5.248687555764836e-135,2.865435801288883e-118,4.483957315893006e-77,9.095167541631732e-88,6.225645788832063e-167,1.6211111130660578e-110,9.10184725534368e-82,2.430036787704721e-27,6.696712765100105e-33,2.559552716051475e-56,4.6570424292975514e-147,9.095167589031561e-88,1.7904436339630606e-102,9.551319291522991e-126,3.687622533841694e-66,5.4793086607072695e-73,1.708102330090423e-128,6.505306843639732e-137,6.200884395385873e-138,2.6149152638959347e-159,9.203530252160283e-83,5.328841996959736e-121,2.2718403513290813e-110,2.134681551027573e-149,5.40253692815105e-82
1.3195478682676655e-22,0.0028149649241145727,0.1557,0.0,0.008284441771668666,0.6423999999999999,0.2018999999999998,4.080532522977685e-96,1.878036033701272e-115,1.1286603691539524e-49,9.045947720463366e-139,9.291598048914761e-108,8.106026121442005e-140,3.132351645221437e-16,1.7876273135700285e-71,7.913687102971887e-94,2.5388199447348567e-113,2.0633188743699045e-16,1.2621607715514755e-101,8.178325496885491e-49,2.739713885130527e-132,3.784685751111953e-116,4.1010918708186983e-76,7.396039157500228e-87,1.6450046103887651e-164,5.314227084945478e-109,5.9795420943801915e-80,4.8942994456587e-27,2.7069183520247374e-32,4.1727168559035915e-55,5.06895430089256e-144,7.396039234678517e-87,2.915273367938598e-101,6.266212404346177e-124,1.4905959879173736e-65,1.7876273194750382e-71,9.186486469648497e-126,8.652178902993789e-135,6.670204435488593e-135,1.041752493402321e-156,7.453257425835225e-82,1.7468678548064743e-119,7.447407787641456e-109,5.734164914533673e-147,1.7710265499382e-80
2.6483233440057345e-22,0.0028149649241145727,0.1557,0.0,0.008284441771668143,0.6423999999999997,0.2018999999999996,5.29211127260292e-94,4.8841135786276696e-113,2.265213468162126e-49,4.696284917232672e-136,3.00923926865303e-106,1.0540664055577398e-137,6.286607847401933e-16,5.7758263566939193e-70,5.1269422749270774e-92,3.3250858545705794e-111,4.1410665520567354e-16,1.6370892745786998e-99,6.596115793424506e-48,1.4162441195010865e-129,4.9206743413869944e-114,9.053889244765199e-75,5.965173458123781e-86,4.278082493524463e-162,1.7211012295570126e-107,3.877088519154158e-78,9.822824761566347e-27,1.088439948727478e-31,6.738948645278151e-54,5.350351670890774e-141,5.965173582689283e-86,4.705263138018966e-100,4.060167880349161e-122,5.993620907141833e-65,5.775826395404815e-70,4.819778108750478e-123,1.128772336552802e-132,6.999336777953332e-132,4.513051868631282e-154,5.9990300117834595e-81,5.657520424927935e-118,2.41196744065189e-107,1.5034295912849562e-144,5.735765436499149e-79
5.305874295481872e-22,0.0028149649241145727,0.1557,0.0,0.008284441771667097,0.6423999999999994,0.2018999999999992,6.818436202912106e-92,1.260199543387076e-110,4.5383196661784666e-49,2.4212296083789276e-133,9.687445963337868e-105,1.359862740843675e-135,1.259512025176133e-15,1.8571814063598248e-68,3.301283044704106e-90,4.351924260945615e-109,8.296561907429359e-16,2.109361185111207e-97,5.298358917442473e-47,7.2858355424701006e-127,6.347746978371741e-112,2.7457474505463155e-73,4.7915516215048115e-85,1.1038354543024644e-159,5.540627936238438e-106,2.4975216779595477e-76,1.967987539338039e-26,4.365130889447597e-31,1.0832662412124959e-52,5.562140420338341e-138,4.7915518216709145e-85,7.561232088705281e-99,2.614555981563699e-120,2.4037100584276855e-64,1.8571814313302276e-68,2.4979413430309935e-120,1.4586081193344944e-130,7.255163272087127e-129,2.0926195999428333e-151,4.813843813726387e-80,1.82128640470292e-116,7.764688070134247e-106,3.894850813164687e-142,1.846477261838337e-77
