Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357)
0.0,0.0027792097116130575,0.1557,0.0,0.008179214181277228,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1872178782014292e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277225,0.6424,0.2019,-2.474893351482914e-135,3.991269405346496e-164,3.558278553411735e-52,-3.9636713602814234e-182,-3.678081082185689e-117,8.500733944610811e-144,2.800270305583107e-18,1.5152442692229886e-109,-5.580048644638428e-139,3.970253202747111e-164,1.8445727776642214e-18,-1.0619039701041152e-142,7.755336558930578e-55,2.2337080442709574e-171,1.94448450774893e-159,1.1151522293977525e-71,2.6316429722462146e-93,5.8861021740935275e-213,-1.8084019770851204e-118,7.769910032150685e-20,-3.606020552571585e-192,2.6316426543860772e-93,1.5152442717390331e-109,-3.660367198360377e-135,-2.5120802415059815e-118,4.501952340480591e-223,-2.9386045377834746e-239,-3.964607096780602e-121,-5.102008019170717e-129,4.756779252682441e-149,-1.4137306971915858e-89,1.610168793446424e-67,-9.285829804870907e-123,3.6863732783485e-151,-7.783343599587494e-139,-6.863609822779262e-236,-2.0178589172659436e-149,-2.6156847362220153e-160,4.617116852109607e-209,-4.250537258759922e-190
3.324210058964002e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277214,0.6424,0.2019,4.1541469774250767e-134,1.8580288825388215e-162,9.963179949552857e-52,1.1586446618635819e-180,3.634180178533329e-116,1.334334265065654e-142,7.840756855632687e-18,4.273231604974163e-108,9.366198302322981e-138,1.8482453506683008e-162,5.1648037774598126e-18,2.03346785154296e-141,1.1719863923974742e-53,6.534500966342524e-170,5.408494634690974e-158,6.735519465562796e-71,3.9769391656214736e-92,4.338630899744601e-211,1.786817221622369e-117,2.1755748090021898e-19,3.4226995863308514e-190,3.976938166081822e-92,4.2732316024881485e-108,6.784487076192833e-134,2.482096510872248e-117,3.9153626896601467e-221,1.0026514311656821e-236,3.9172863194781256e-120,3.30375442854166e-119,1.323076372684429e-147,1.3968563572057793e-88,2.4332869386681784e-66,9.17499595083686e-122,5.786829760087809e-150,1.306446327010207e-137,2.362047421073726e-233,5.894827738182183e-148,1.3492722993376524e-158,1.0936864043052774e-207,4.028565615345012e-188
7.598194420489146e-24,0.0027792097116130575,0.1557,0.0,0.008179214181277197,0.6424,0.2019,4.89694223820757e-132,9.816112410617192e-160,2.2772982741835103e-51,2.8460038765319945e-178,2.0044138131399365e-114,5.273739774841015e-141,1.792172995573181e-17,9.295214526994245e-107,1.1040950743941808e-135,9.764425243901477e-160,1.1805265777050973e-17,2.1619258045423504e-139,1.2607694754148079e-52,5.054089879216655e-168,1.3200512233785763e-155,3.242862683090014e-70,4.278210816330972e-91,4.037441494343326e-208,9.855100585873437e-116,4.972742420576428e-19,3.8625288142464034e-187,4.2782085863467646e-91,9.295214513282758e-107,7.394501966920795e-132,1.3689878563179848e-115,5.891680615757327e-218,4.283688094107685e-233,2.160559580017912e-118,2.9733790089553263e-118,3.229232346748889e-145,7.704289145682486e-87,2.6176190415681336e-65,5.060422900321495e-120,2.289226398241714e-148,1.540049554130838e-135,1.0079894971428639e-229,1.443242372463991e-145,6.74847366902316e-156,6.739709590180443e-205,4.551193591119294e-185
1.6146163143539437e-23,0.0027792097116130575,0.1557,0.0,0.008179214181277162,0.6424,0.2019,3.870807140786792e-130,3.301227582615929e-157,4.8392588326399597e-51,4.574962080637775e-176,7.888683838276658e-113,1.8250618395777e-139,3.808367615592988e-17,1.7231770230977012e-105,8.727362688970937e-134,3.283844825237715e-157,2.5086189776233195e-17,1.709798725601383e-137,1.158864358962071e-51,3.503414298976678e-166,2.212142833032547e-153,1.4162433313402443e-69,3.932414936775382e-90,1.483767074607301e-205,3.8786288645213316e-114,1.0567077643724878e-18,2.7523770237651813e-184,3.932410760212489e-90,1.7231770177013323e-105,5.844822114412859e-130,5.387865672655559e-114,8.650345630495979e-215,6.694197664620144e-230,8.503219908703623e-117,2.4117408385948946e-117,5.411549993350021e-143,3.032141794405289e-85,2.406042874424541e-64,1.9916085235707655e-118,7.955169361175994e-147,1.2173381920301449e-133,1.5750004339481695e-226,2.2867463978300073e-143,2.1409975383626302e-153,2.6118118433981143e-202,3.2436534183753763e-182
3.3242100589640014e-23,0.0027792097116130575,0.1557,0.0,0.008179214181277095,0.6424,0.20189999999999997,2.7393938729613446e-128,9.62446175018233e-155,9.963179949552857e-51,6.866843032648995e-174,2.7872528875201104e-111,6.035659566061888e-138,7.840756855632535e-17,2.9617041409334026e-104,6.176407918294545e-132,9.573783728350717e-155,5.164803777459724e-17,1.2131053670047972e-135,9.9143285734271e-51,2.3188435451684845e-164,3.2212727286671276e-151,5.912537120446335e-69,3.36426741101807e-89,4.5032880274792024e-203,1.3704085149255866e-112,2.175574809002168e-18,1.6507685949143895e-181,3.364260197003547e-89,2.961704121866794e-104,4.140753974901575e-128,1.9036564861061494e-112,1.6402143830045e-211,8.3676643789355225e-227,3.004382572858325e-115,1.932696724484287e-116,7.88017759950917e-141,1.0713240818425755e-83,2.058420334901216e-63,7.036809590263802e-117,2.6775684560300856e-145,8.615176790404102e-132,1.9686266220341853e-223,3.239128440023826e-141,6.067648290312995e-151,8.130838109450885e-200,1.94557545163038e-179
6.743397548184118e-23,0.0027792097116130575,0.1557,0.0,0.00817921418127696,0.6424,0.2018999999999999,1.8420328386238754e-126,2.626285280914225e-152,2.0211022183378646e-50,1.1357522392020485e-171,9.364024333100565e-110,1.9671245662594002e-136,1.5905535335711358e-16,4.908817729337092e-103,4.153161880045095e-130,2.6124564615721528e-152,1.0477173377132377e-16,8.1817340888931235e-134,8.197358588790279e-50,1.511882548660863e-162,4.392762423246328e-149,2.4154643355674243e-68,2.781647375979223e-88,1.2527047612191607e-200,4.604009467723795e-111,4.413308898261491e-18,9.134348401965322e-179,2.781635389752546e-88,4.908817665281121e-103,2.785884588318525e-126,6.395503523229155e-111,3.42162321645466e-208,9.444778795464015e-224,1.0093490852847822e-113,1.5464887453228205e-115,1.0745984866637966e-138,3.5992010062538404e-82,1.701941738835303e-62,2.364078858469322e-115,9.353897929274855e-144,5.793047399703004e-130,2.221979289332437e-220,4.3577702600921065e-139,1.6329322819159174e-148,2.2984691074812396e-197,1.0766064943609255e-176
1.358177252662435e-22,0.0027792097116130575,0.1557,0.0,0.008179214181276687,0.6423999999999999,0.2018999999999998,1.2081530069213847e-124,6.93947185144199e-150,4.0706706651030213e-50,2.6125747180280108e-169,3.069670155081192e-108,6.427927941325045e-135,3.2035092295867933e-16,7.992770741993382e-102,2.723976959630151e-128,6.902931760664846e-150,2.1101912576477053e-16,5.392473672979812e-132,6.665955866114058e-49,9.88109650834154e-161,5.802013061728603e-147,9.763693061205536e-68,2.261999244076919e-87,3.3413387924297546e-198,1.509264602560502e-109,8.888777076779985e-18,4.860239316167581e-176,2.2619797034748643e-87,7.992770532008132e-102,1.8277127033252223e-124,2.0965437085094587e-109,7.198515713666543e-205,1.0148363392127463e-220,3.30880041997753e-112,1.237227257266575e-114,1.419342508319376e-136,1.1798680181190793e-80,1.383990756886944e-61,7.749811471359143e-114,3.875879965980842e-142,3.7995455255654034e-128,2.3874754121701645e-217,5.717439210491582e-137,4.285255443883719e-146,6.389095122730697e-195,5.728564523616034e-174
2.7258522483504817e-22,0.0027792097116130575,0.1557,0.0,0.008179214181276142,0.6423999999999996,0.20189999999999958,7.827177168029228e-123,1.8047286678385808e-147,8.169807558633328e-50,9.230322085432049e-167,9.941724487031472e-107,2.177158360615723e-133,6.429420621617677e-16,1.290047265661894e-100,1.7647640756461454e-126,1.795225790562895e-147,4.2351390975163887e-16,3.5256548998605863e-130,5.37633489685505e-48,6.691884323989867e-159,7.543574589858535e-145,3.925938093674667e-67,1.824400136068457e-86,8.730273615499536e-196,4.888047286134666e-108,1.7839713433816358e-17,2.536576398939871e-173,1.824368577921617e-86,1.2900471976540817e-100,1.1842708863778821e-122,6.79006502101828e-108,1.501070564367799e-201,1.0643681989640122e-217,1.071619442052005e-110,9.897955233993243e-114,1.845379508674039e-134,3.8211997403887867e-79,1.1162386839374243e-60,2.5099273424794536e-112,2.359479513707738e-140,2.4615852273336802e-126,2.5039866623396263e-214,7.408945052713728e-135,1.1106630550371455e-143,2.144007602611152e-192,2.9897884146117055e-171
5.461202239726574e-22,0.0027792097116130575,0.1557,0.0,0.008179214181275055,0.6423999999999993,0.20189999999999916,5.0400731788847756e-121,4.656641554676009e-145,1.636808134569392e-49,4.206664058387844e-164,3.200528557266107e-105,8.43147036332508e-132,1.2881243405677727e-15,2.073106180482037e-99,1.1363662630053715e-124,4.6321218060762204e-145,8.485034777252751e-16,2.310922570778224e-128,4.3185645667867995e-47,5.178442410380991e-157,9.731494671272381e-143,1.5744769477752545e-66,1.4654827859989067e-85,2.257845807933624e-193,1.5736037524006416e-106,3.5741586147886683e-17,1.3112161309825461e-170,1.4654320571771653e-85,2.073105961545226e-99,7.626276684836753e-121,2.185918255703632e-106,3.1055979584127874e-198,1.1030161263905653e-214,3.449852827535364e-109,7.918703047921889e-113,2.3806088767109188e-132,1.2301337111887566e-77,8.96623614601971e-60,8.080181825278681e-111,2.1915689715672156e-138,1.5850630921277079e-124,2.594892554321836e-211,9.541988582340358e-133,2.860917030373906e-141,1.5290631935996837e-189,1.5454998162719564e-168
