Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227)
0.0,0.0027149456784039327,0.1557,0.0,0.007990085131542772,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.214459883867846e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542767,0.6424,0.2019,-1.5844704506801853e-136,3.926163974687619e-165,5.1571475360006e-53,-4.4654351392608366e-184,-3.990510440582672e-118,8.376312157549602e-145,2.8312134562463945e-18,1.2001233827047381e-110,-5.1257098173380405e-140,3.9275595336014577e-165,1.8649554147456745e-18,-6.091349576566724e-144,4.826287457630071e-55,1.371463848588389e-172,8.272551028833317e-161,1.6340917164633786e-72,2.635980340979842e-94,4.3356324237515515e-215,-1.4824191944191056e-119,7.855767992464623e-20,-1.0888387758034248e-193,2.6359799083870533e-94,1.2001233847339719e-110,-3.053830954855813e-136,-2.0254692142891084e-119,3.636863401006765e-225,-2.3694489748328885e-241,-3.765496853717412e-122,-3.145973857152427e-130,4.3559426435878585e-150,-5.656260368171743e-90,4.9971158335452714e-68,-6.348430655012183e-124,2.394480891717964e-152,-5.362848501325643e-140,-5.3771270619439565e-238,-1.4222399368263007e-150,-1.8859067503309994e-161,3.976214507110787e-211,-2.6886042600676564e-191,1.8275924829601946e-133
3.4004876748299686e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542759,0.6424,0.2019,2.659558524733557e-135,1.8277209298462035e-163,1.4440013100801679e-52,1.307879541354856e-182,3.942880716779502e-117,1.3148030207307253e-143,7.927397677489901e-18,3.384540249817632e-109,8.603584171656372e-139,1.828370595079754e-163,5.2218751612878835e-18,1.1699583304544998e-142,7.293484982594015e-54,4.012083990191287e-171,2.300972374415944e-159,9.869913967440717e-72,3.983493836763464e-93,3.140814900340668e-213,1.4647254137291645e-118,2.1996150378900933e-19,1.0334850471832955e-191,3.98349247650399e-93,3.384540247812618e-109,5.670564995694412e-135,2.0012937258477973e-118,3.536986949318011e-223,7.808999124958576e-239,3.720552925388832e-121,2.9045787634331863e-120,1.2115856006610587e-148,5.588746959007076e-89,7.55164080221173e-67,6.272657543668988e-123,3.7587749537270184e-151,9.001625396139901e-139,1.7885963035953084e-235,4.154829715108394e-149,9.728244147247829e-160,9.418788834409183e-210,2.549710727839017e-189,1.1953185392170315e-132
7.772543256754214e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542741,0.6424,0.2019,3.1351094659138042e-133,9.655993918658158e-161,3.3005744230403838e-52,3.2452477134905337e-180,2.1746762312493363e-115,5.196492927184796e-142,1.8119766119976865e-17,7.362116882535823e-108,1.0141975828966235e-136,9.659426151359237e-161,1.1935714654372279e-17,1.2411072711447647e-140,7.845998280417483e-53,3.103102623141031e-169,5.6159835102968684e-157,4.751938711482413e-71,4.2852624389082567e-92,2.8848739736110753e-210,8.07862010400623e-117,5.027691515177349e-19,1.1662917020245812e-188,4.285259404186683e-92,7.362116871477266e-108,6.171648061290734e-133,1.1038035918672065e-116,7.110635202599765e-220,3.293877026669699e-235,2.0520524402550403e-119,2.61412090144015e-119,2.957117092317725e-146,3.0824445403215253e-87,8.123710529312748e-66,3.4596530347765156e-121,1.4866813004392764e-149,1.0611190061883321e-136,7.534519411948214e-232,1.0172352813526934e-146,4.865645310441711e-157,5.8045573241954955e-207,2.8792157250382176e-186,2.0806993505355004e-131
1.6516654420602705e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542706,0.6424,0.2019,2.478160004022758e-131,3.2473792198902244e-158,7.013720648960815e-52,5.447225200580753e-178,8.558779824942378e-114,1.7982456078616662e-140,3.850450300495063e-17,1.3648133665362878e-106,8.016765964493446e-135,3.2485335040833956e-158,2.5363393640540982e-17,9.816598357489836e-139,7.2118241625532e-52,2.1509210964308887e-167,9.411271179243519e-155,2.075296479934491e-70,3.938897359437013e-91,1.0586437258466498e-207,3.1794678108996516e-115,1.0683844469751834e-18,8.310812028990038e-186,3.9388916756965757e-91,1.3648133621840195e-106,4.878241935882903e-131,4.344192380298065e-115,1.4384486049299169e-216,5.1399538438516545e-232,8.076174638509871e-118,2.120342562552264e-118,4.955539984932129e-144,1.2131435803351519e-85,7.467089564767036e-65,1.3616007831663818e-119,5.162136570006743e-148,8.387658258769582e-135,1.1755545950766875e-228,1.6117594635920697e-144,1.5436581802313173e-154,2.250445355993132e-204,2.051888780192174e-183,3.618796016297936e-130
3.400487674829969e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542637,0.6424,0.20189999999999997,1.7538096465644194e-129,9.467474788416665e-156,1.4440013100801674e-51,9.514347462374007e-176,3.0240143198123766e-112,5.9457880845630025e-139,7.927397677489744e-17,2.3457688115839704e-105,5.6735164227659385e-133,9.470840011802753e-156,5.2218751612878023e-17,6.966652397963267e-137,6.169867405719933e-51,1.4233700006974518e-165,1.3704487024633086e-152,8.663954281603068e-70,3.369814573848483e-90,3.211021526682014e-205,1.1233793119361643e-113,2.1996150378900707e-18,4.984503432372085e-183,3.369804756564926e-90,2.345768796206402e-105,3.456051505974033e-129,1.5349033666611126e-113,3.166634266338587e-213,6.4209271083517526e-229,2.853498776545464e-116,1.6991788135226563e-117,7.216148808868039e-142,4.286309877445694e-84,6.388252331562267e-64,4.810849619793734e-118,1.7316202581392583e-146,5.935999265428556e-133,1.4684348454277997e-225,2.283024428196164e-142,4.374773103792645e-152,7.031335961615525e-202,1.2307030162677185e-180,6.037327801409764e-129
6.898132140369366e-23,0.0027149456784039327,0.1557,0.0,0.0079900851315425,0.6424,0.2018999999999999,1.1793037292992899e-127,2.583449250380865e-153,2.9292598004483404e-51,2.2661101269244528e-173,1.0159453214599651e-110,1.9362393961095151e-137,1.6081292431478825e-16,3.887950867335587e-104,3.8150087080772427e-131,2.5843675400012e-153,1.0592946755755072e-16,4.7007662927776815e-135,5.101365684554038e-50,9.272724454409628e-164,1.8688452243168998e-150,3.5395080245982166e-69,2.7862360503995515e-89,8.929697806764268e-203,3.77409574087606e-112,4.462076219719806e-18,2.7581228403895764e-180,2.786219738806865e-89,3.887950815673236e-104,2.325245216719773e-127,5.156648513392269e-112,6.906455953871805e-210,7.245384291209032e-226,9.586590624112653e-115,1.359634120994812e-116,9.840474269570443e-140,1.4400209129450648e-82,5.281930564389727e-63,1.6162490146538443e-116,5.971945084898413e-145,3.991508475201261e-131,1.656936140776785e-222,3.0714754453027593e-140,1.1773447089256213e-149,2.0448410025656059e-199,6.810129849102481e-178,9.859079077089238e-128
1.389342107144816e-22,0.0027149456784039327,0.1557,0.0,0.007990085131542224,0.6423999999999999,0.2018999999999998,7.734832282742282e-126,6.826295912269373e-151,5.899776781184682e-51,8.196128709223018e-171,3.3304289766940213e-109,6.306177183111959e-136,3.2389081939455865e-16,6.330556226292703e-103,2.5021927571708024e-129,6.828722325977013e-151,2.1335089944689046e-16,3.10093526123364e-133,4.1483458533386175e-49,6.040375842535596e-162,2.468396853588493e-148,1.4307257442290764e-68,2.2657342120193369e-88,2.3814886485809162e-200,1.237208101370192e-110,8.986998583379113e-18,1.467554871877923e-177,2.265707619982527e-88,6.330556056935369e-103,1.5255150028872555e-125,1.6904307031235312e-110,1.4697866826457904e-206,7.784064555442361e-223,3.142635587156447e-113,1.0877383413917652e-115,1.2997435660511563e-137,4.720588312926392e-81,4.295178214875241e-62,5.2983191525566485e-115,2.3802745018490375e-143,2.6179556479039493e-129,1.780100759339271e-219,4.029813325322538e-138,3.089675231917904e-147,6.904466987135719e-197,3.623608940887548e-175,1.593416532936763e-126
2.788399893360575e-22,0.0027149456784039327,0.1557,0.0,0.007990085131541674,0.6423999999999996,0.20189999999999958,5.011127386851106e-124,1.775300695912924e-148,1.1840810742657356e-50,3.781791844133274e-168,1.0786275665351954e-107,2.1093132250905222e-134,6.500466095540544e-16,1.0217659882722616e-101,1.621083196361179e-127,1.775931728318913e-148,4.2819376322554725e-16,2.030909515130121e-131,3.345791214865836e-48,4.039861260011766e-160,3.209333105452646e-146,5.752885577384084e-68,1.82741822385715e-87,6.221962162756115e-198,4.006951580016852e-109,1.8036843310697094e-17,7.659245064230324e-175,1.8273752776257307e-87,1.021765933422424e-101,9.884666792569664e-124,5.474805709523519e-109,3.073695399516574e-203,8.163464572375576e-220,1.0178068359964035e-111,8.70200072070717e-115,1.6898862892792168e-135,1.5288414092665958e-79,3.464216833812691e-61,1.7159690658300525e-113,1.354053978026656e-141,1.6960819246084632e-127,1.8668489003169036e-216,5.222050391728722e-136,8.007920462160343e-145,4.784016186105867e-194,1.891191560124257e-172,2.5622391099867867e-125
5.5865154657920915e-22,0.0027149456784039327,0.1557,0.0,0.007990085131540575,0.6423999999999993,0.20189999999999916,3.226782957308813e-122,4.580737908243454e-146,2.372287866560267e-50,1.8913446812571765e-165,3.4724352228684075e-106,7.84391001354013e-133,1.3023581898728659e-15,1.6419879912381576e-100,1.0438536513293353e-125,4.582366136101621e-146,8.578794907827706e-16,1.3356200473166612e-129,2.6875214557110975e-47,3.0017953192652537e-158,4.1401855611899023e-144,2.3071653390929207e-67,1.4679162367241698e-86,1.609095423110377e-195,1.2899614531130828e-107,3.61365327653305e-17,3.959268448615221e-172,1.4678472018710972e-86,1.6419878146595917e-100,6.365414692188357e-122,1.7625090267496732e-107,6.363824795185983e-200,8.459704469807682e-217,3.27663451605364e-110,6.961815116169495e-114,2.180030055474746e-133,4.921698640071475e-78,2.782647353110616e-60,5.524234334721385e-112,1.1931988956726238e-139,1.092147097694286e-125,1.9345703758575155e-213,6.725525135304802e-134,2.062743874386626e-142,7.401574822225113e-191,9.77610332940462e-170,4.109800861903909e-124
