Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387)
0.0,0.0028149649241145727,0.1557,0.0,0.008284441771669187,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2055834174793295e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669182,0.6424,0.2019,-1.2751209670513807e-134,1.7238458707576642e-163,1.0311821630271415e-51,-5.334792896946368e-181,-1.3887190356077874e-116,3.379912675763926e-143,2.8618220619392957e-18,6.595697816199734e-109,-2.36824725417026e-138,1.7100944368189616e-163,1.885117682906289e-18,-5.8336647329039676e-142,1.0864194739763089e-54,1.1768463008060792e-170,1.2831392677082933e-158,3.302723969332917e-71,9.824984495248693e-93,1.0271531794980288e-211,-7.942625448885082e-118,7.940697690847391e-20,-3.021737343187855e-191,9.824983460558205e-93,6.595697827346695e-109,-1.63650579048435e-134,-1.1130869959748424e-117,7.73896419182431e-222,-5.1636350533437824e-238,-1.6090337452668173e-120,-2.6109115221387084e-128,2.0784732439383626e-148,-2.6520384798092507e-89,3.27652199831255e-67,-4.493016348991099e-122,1.8336635643505593e-150,-3.857312640239256e-138,-1.2252878461293616e-234,-1.0154914554843931e-148,-1.3367115818118155e-159,7.372414406595281e-208,-2.3936967339761002e-189,1.1637410179099663e-131,9.3431317335121e-150
3.375633568942123e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669173,0.6424,0.2019,2.1403103834454913e-133,8.024904066769906e-162,2.887310056475996e-51,1.5589502341346437e-179,1.3721435369064037e-115,5.305350042386927e-142,8.013101773430018e-18,1.8600924823703516e-107,3.9751397861752146e-137,7.960887938639898e-162,5.2783295121376035e-18,1.1147112281451913e-140,1.641797154502714e-53,3.4427549060582296e-169,3.568993128973175e-157,1.9948452774771425e-70,1.4847517916418322e-91,7.632799111403737e-210,7.847823711411509e-117,2.2233953534372676e-19,2.8681198545346552e-189,1.4847514662620188e-91,1.8600924812689605e-107,3.0302160941510272e-133,1.0998013913674642e-116,6.541363417526513e-220,1.7911215574286116e-235,1.5898286398467398e-119,1.3230789236195482e-118,5.781178181412003e-147,2.620383762920864e-88,4.951480180860803e-66,4.43938860321466e-121,2.878506886118092e-149,6.474559284387079e-137,4.285169298223172e-232,2.966583629795007e-147,6.895280208075054e-158,1.7463502692605468e-206,2.2676230704936584e-187,7.61133168858971e-131,1.1933720461666796e-148
7.715733871867709e-24,0.0028149649241145727,0.1557,0.0,0.008284441771669156,0.6424,0.2019,2.5230152029797096e-131,4.2396196669274477e-159,6.599565843373707e-51,3.8229648766084066e-177,7.567988476668997e-114,2.0968733814271223e-140,1.831566119641142e-17,4.0461083630889224e-106,4.6859269662674506e-135,4.2057994450826284e-159,1.2064753170600206e-17,1.1870575357365725e-138,1.7661704624661873e-52,2.662813509703857e-167,8.710840843084689e-155,9.604321302822337e-70,1.597228597914311e-90,7.145458717939687e-207,4.32842758930531e-115,5.082046522142319e-19,3.2366834859701434e-186,1.5972278719824044e-90,4.046108357014254e-106,3.305269608309433e-131,6.065899108120451e-115,8.938302116872078e-217,7.697162440095457e-232,8.768619668909576e-118,1.1907710431643563e-117,1.4110120450078074e-144,1.4452591429253465e-86,5.326576439080196e-65,2.4485223909306402e-119,1.1389091586219763e-147,7.632262887031065e-135,1.8395323144870018e-228,7.263145331845236e-145,3.448719389991814e-155,1.076160852073018e-203,2.562702918126132e-184,1.3249098302853679e-129,3.9486862436156496e-147
1.6395934477718882e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669121,0.6424,0.2019,1.994327098729966e-129,1.4258137905157082e-156,1.4024077417169125e-50,6.100864634702609e-175,2.978499945447129e-112,7.256879569197466e-139,3.892078004237405e-17,7.500806440606292e-105,3.704009044585704e-133,1.4144398130145714e-156,2.5637600487525305e-17,9.387695260385642e-137,1.623414939645352e-51,1.8458997394596904e-165,1.4597632647960466e-152,4.194459441061196e-69,1.468128951956977e-89,2.627711325311609e-204,1.7035202126835332e-113,1.0799348859552398e-18,2.3064093720273884e-183,1.4681275923464442e-89,7.50080641669849e-105,2.6125786802170423e-129,2.3873292380732606e-113,1.1127628920803916e-213,1.2036372690148084e-228,3.4510270842408223e-116,9.65847668359869e-117,2.364574885440467e-142,5.688040220750711e-85,4.896041436618283e-64,9.63654190343075e-118,3.9608294936930996e-146,6.0329516369182964e-133,2.8762097846813914e-225,1.1508094986772967e-142,1.0941287753016254e-152,4.170212866161161e-201,1.8265473189679165e-181,2.3043110064498622e-128,1.371503719191288e-145
3.3756335689421226e-23,0.0028149649241145727,0.1557,0.0,0.008284441771669052,0.6424,0.20189999999999997,1.4113972867104348e-127,4.156844111336505e-154,2.887310056475996e-50,8.898391774311885e-173,1.0523721842125713e-110,2.400367728436017e-137,8.013101773429863e-17,1.2891981624899068e-103,2.621349485859249e-131,4.1236842052440724e-154,5.278329512137505e-17,6.659902551500926e-135,1.3888656596485548e-50,1.2219930989094813e-163,2.1256742038305311e-150,1.7511042485698756e-68,1.2560164131463941e-88,7.977447185709021e-202,6.018926708465195e-112,2.223395353437245e-18,1.3832943698819576e-180,1.2560140647404205e-88,1.2891981540427332e-103,1.850856332182755e-127,8.434980463439561e-112,1.8877292195740016e-210,1.5049496710947115e-225,1.2193268347670648e-114,7.740013666860198e-116,3.443240390778913e-140,2.0097128962140655e-83,4.1886665284853255e-63,3.4048107564443645e-116,1.337476330471222e-144,4.2695561700997543e-131,3.596049088962222e-222,1.630097363422791e-140,3.1007918416854255e-150,1.2977629559485523e-198,1.0956098321606444e-178,3.844339620010804e-127,4.581624370969397e-144
6.847713811282592e-23,0.0028149649241145727,0.1557,0.0,0.008284441771668913,0.6424,0.2018999999999999,9.490564582561629e-126,1.134302970828001e-151,5.857114685994163e-50,1.3378654131715755e-170,3.535537122024359e-109,7.82919768007288e-136,1.6255149311814495e-16,2.1367553268985195e-102,1.7626565402660013e-129,1.1252544284755006e-151,1.0707468438907275e-16,4.490974897872963e-133,1.1483409854281807e-49,7.973475664148009e-162,2.8987235826779385e-148,7.153832227527065e-68,1.038500619762327e-87,2.2194206490160264e-199,2.022111486481932e-110,4.510316288401218e-18,7.65430679965382e-178,1.038496717836735e-87,2.136755298519494e-102,1.2452420574005923e-125,2.833806043802212e-110,3.7858625894677175e-207,1.6988906078295555e-222,4.0964359889661324e-113,6.193339078171593e-115,4.695452432430205e-138,6.751795092586042e-82,3.4632704866272127e-62,1.143876188123666e-114,4.729525138364845e-143,2.8709491606158338e-129,4.059373326158403e-219,2.1930553319692258e-138,8.344883376826397e-148,3.658100739190561e-196,6.062760120822117e-176,6.277884779478811e-126,1.4973995287133867e-142
1.379187429596353e-22,0.0028149649241145727,0.1557,0.0,0.008284441771668635,0.6423999999999999,0.2018999999999998,6.224670750067052e-124,2.997183642551334e-149,1.1796723945030489e-49,2.5006213720643137e-168,1.1590024201515598e-107,2.5661522418721105e-134,3.273924438858267e-16,3.479164891123752e-101,1.1560910321143698e-127,2.973274560210039e-149,2.1565746292446106e-16,2.958994075057789e-131,9.338118181858937e-49,5.22710032037155e-160,3.82866663658649e-146,2.8916933691575858e-67,8.44494645456241e-87,5.920229841066216e-197,6.628786594113021e-109,9.084158158329006e-18,4.0727308587303295e-175,8.4448828432138e-87,3.479164798093026e-101,8.169530655123932e-124,9.289643839947516e-109,7.879888406819534e-204,1.8255612508384876e-219,1.342873533366553e-111,4.954820053004361e-114,6.2018062504426146e-136,2.2133320925160013e-80,2.816274043185028e-61,3.7497987582708773e-113,2.0293646348542423e-141,1.8829979076517534e-127,4.3619941644624225e-216,2.8773095038624365e-136,2.18992165635588e-145,9.94472584533491e-194,3.225980837523887e-173,1.0146267538239209e-124,4.841814714047479e-141
2.7680195265325405e-22,0.0028149649241145727,0.1557,0.0,0.008284441771668078,0.6423999999999996,0.20189999999999958,4.0327299397266903e-122,7.794681661582974e-147,2.3675942463103127e-49,7.121476608758701e-166,3.753650908991984e-106,8.791576645380395e-133,6.570743454211457e-16,5.615427347508785e-100,7.489878744112016e-126,7.732502059690091e-147,4.328230199952091e-16,1.9334146259916248e-129,7.531530610231328e-48,3.580733811557688e-158,4.977893120295437e-144,1.1627371948452324e-66,6.811206687270446e-86,1.5468881012880762e-194,2.1468592657951955e-107,1.823184189818395e-17,2.1255705872483363e-172,6.81110395468086e-86,5.615427046210995e-100,5.293453977775491e-122,3.008628754580312e-107,1.6386927476685415e-200,1.9147189179789912e-216,4.349152664566205e-110,3.9639224785757076e-113,8.063362905690785e-134,7.168245843817191e-79,2.2714270423621414e-60,1.2144440154513014e-111,1.3055534434996148e-139,1.2199234838204712e-125,4.5750009182825315e-213,3.728558230387667e-134,5.675886749843512e-143,2.8848435520467854e-191,1.683671512533261e-170,1.631535946217726e-123,1.5574043051236204e-139
5.545683720404916e-22,0.0028149649241145727,0.1557,0.0,0.008284441771666966,0.6423999999999993,0.20189999999999914,2.596748427131789e-120,2.0112142475542576e-144,4.743437949924834e-49,2.9210953315457197e-163,1.2084061197326605e-104,3.5267168078727897e-131,1.3164381484916063e-15,9.023973368094819e-99,4.822869644972847e-124,1.995170423483662e-144,8.671541341365909e-16,1.2657400820518794e-127,6.049734968340806e-47,2.870401391238821e-156,6.421655185278389e-142,4.6630964954511036e-66,5.471214247452472e-85,4.000654398081147e-192,6.911345627898875e-106,3.6527209377891325e-17,1.0987551485339725e-169,5.471049107734683e-85,9.02397239813223e-99,3.4087834034003046e-120,9.685624727683153e-106,3.3880184830695464e-197,1.9842670062307567e-213,1.4001149368037723e-108,3.171310464688468e-112,1.040201838825141e-131,2.3076262591001796e-77,1.8245337259262792e-59,3.909637892879188e-110,1.2602959106268748e-137,7.855309989815508e-124,4.741156299323567e-210,4.802003939628886e-132,1.462028113631729e-140,1.3259042843350153e-188,8.703333505746276e-168,2.616964128117493e-122,4.9965318999504725e-138
