Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227)
0.0,0.0027149456784039327,0.1557,0.0,0.007990085131542772,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.548280767129699e-25,0.0027149456784039327,0.1557,0.0,0.007990085131542765,0.6424,0.2019,-9.13428213112094e-138,8.743561152295874e-167,3.2053423975822024e-53,-1.598865154600499e-185,-3.701296349769931e-119,4.375016804624636e-144,1.7596953479732195e-18,1.7909679625062884e-111,-2.954910259746972e-141,8.746669059857467e-167,1.1591331484614941e-18,-3.511831516879566e-145,1.1588608687770422e-55,4.4522147282697065e-172,2.9641112440957246e-162,3.5547590109388704e-71,6.329060019952581e-95,4.3454923074830345e-215,-1.3749801775881532e-120,2.749523981208162e-18,-1.5071217320203485e-195,6.329023636531443e-95,1.7909679643887886e-111,-1.7605884726308174e-137,-1.87900664968777e-120,4.849536402255291e-227,-8.321399680603779e-242,-3.4925907074384335e-123,-2.9199049652407567e-131,1.5607638471712352e-151,-5.246590973471039e-91,1.1998142949819856e-68,-5.888325172977956e-125,1.2343156559528823e-151,1.6676822833577217e-151,-1.906432023306885e-238,-3.0916178472769216e-141,-5.095983568455553e-152,-4.199912442777557e-163,4.9539067583599264e-211,-1.4087003285082793e-184,1.5119643252790755e-204,2.727337336259923e-134
2.1135186147963157e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542757,0.6424,0.2019,1.5332200816259118e-136,4.0703754838942607e-165,8.974958713230168e-53,4.675539499027175e-184,3.6571557003130565e-118,6.867306326908654e-143,4.9271469743250126e-18,5.050845983276041e-110,4.959916427488262e-140,4.0718223029333576e-165,3.2455728156921805e-18,6.744061823602697e-144,1.7512703991600654e-54,1.30244875024059e-170,8.244622948542581e-161,2.1470744426070777e-70,9.564533942589135e-94,3.4306519737253434e-213,1.3585825407578852e-119,7.698667147382846e-18,1.4305181901789758e-193,9.564419547120803e-94,5.0508459814159924e-110,3.2691984296343737e-136,1.8565981312327828e-119,4.223347251321957e-225,3.2950444194314368e-239,3.450939132988428e-122,3.9271886572057677e-119,4.341237020234701e-150,5.183967518787308e-90,1.8131592116823138e-67,5.818102797992389e-124,1.9374616652188652e-150,4.6386287433168524e-150,7.550660137662284e-236,5.189384890959871e-140,1.4887206356304073e-150,2.166503557604583e-161,1.7757801809509895e-208,1.3370993286894962e-182,2.473203543414892e-203,1.7837876163225354e-133
4.830899690963008e-24,0.0027149456784039327,0.1557,0.0,0.007990085131542736,0.6424,0.2019,1.8073916731133008e-134,2.1504348338557456e-162,2.05141913445261e-52,1.1507047922786118e-181,2.0171088832364152e-116,2.714078986694776e-141,1.1262050227028567e-17,1.0986830093734367e-108,5.846852509006508e-138,2.1511992080694097e-162,7.418452150153541e-18,7.153345190883354e-142,1.8839367703008322e-53,1.0073334639179176e-168,2.0122886722628793e-158,1.0337239203810269e-69,1.0289221249443827e-92,3.3494254431247466e-210,7.493279310261934e-118,1.759695347973217e-17,1.614363705361309e-190,1.0288966039361492e-92,1.0986830083475244e-108,3.558137336173929e-134,1.0240090643707248e-117,6.382165411119584e-222,1.4747205502869413e-235,1.903369869646846e-120,3.534469791618117e-118,1.0595781163633345e-147,2.8591905237080874e-88,1.9505139303075426e-66,3.208982000970798e-122,7.65722467609748e-149,1.1321633646412217e-147,3.379268590167912e-232,6.117354678961474e-138,3.644901835476056e-148,1.083601836249798e-158,9.12824290474658e-205,1.5089389591704808e-179,7.410556098712504e-201,3.105051594348754e-132
1.0265661843296391e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542694,0.6424,0.2019,1.428694872952764e-132,7.232240532086382e-160,4.3592656607117954e-52,1.8655382708142005e-179,7.938843826080968e-115,9.39071923920792e-140,2.3931856732435544e-17,2.0368238863788477e-107,4.621780828812763e-136,7.234811239220677e-160,1.5764210819076203e-17,5.656658148258328e-140,1.731662464783862e-52,6.981355845237286e-167,3.3722780351669143e-156,4.5145439438925716e-69,9.457810411306026e-92,1.2373780616942164e-207,2.9491702116465835e-116,3.7393526144430654e-17,1.1503984181998311e-187,9.45733243100279e-92,2.0368238823411094e-107,2.8125183166516305e-132,4.0302475112249625e-116,9.430211117303148e-219,2.3163886231033462e-232,7.491195094445316e-119,2.8668477203648397e-117,1.7756855939905984e-145,1.125278519505229e-86,1.7928583450346767e-65,1.2629762931096285e-120,2.6494632326938006e-147,1.8973270088537417e-145,5.307906565691978e-229,4.835605583094055e-136,5.775308354769492e-146,3.4378816804711905e-156,2.7645737902929187e-201,1.0752725600580051e-176,1.4080494556851662e-198,5.400370964705053e-131
2.113518614796316e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542613,0.6424,0.20189999999999997,1.011145865856977e-130,2.108604755444861e-157,8.974958713230166e-52,2.8915845378465006e-177,2.805114722616039e-113,3.1030725974830623e-138,4.927146974324897e-17,3.5009543371518564e-106,3.271023537565504e-134,2.109354261115086e-157,3.245572815692131e-17,4.012563810509396e-138,1.4814736963042245e-51,4.617084316338116e-165,4.910878262938261e-154,1.884733227600606e-68,8.091772620952023e-91,3.7639599839309957e-205,1.042061161308258e-114,7.6986671473827e-17,6.899982556308283e-185,8.090947028791185e-91,3.500954322884892e-106,1.9926598441647354e-130,1.4240495124172411e-114,1.794798598084234e-215,2.9018423983063322e-229,2.6469423259683568e-117,2.297405366660896e-116,2.585841287503861e-143,3.975862800933104e-85,1.533828060250707e-64,4.462606252778135e-119,8.75577272682814e-146,2.7629815400890863e-143,6.649442063452866e-226,3.4223560861333587e-134,8.181004593113737e-144,9.743531845618346e-154,6.828142665094846e-198,6.449384655957878e-174,2.167693674186257e-196,9.009573827224388e-130
4.28742347572967e-23,0.0027149456784039327,0.1557,0.0,0.00799008513154245,0.6423999999999999,0.20189999999999994,6.799851959678832e-129,5.754443127450934e-155,1.8206344818266908e-51,5.255753452070759e-175,9.424967936203147e-112,1.0079461479076301e-136,9.995069576487375e-17,5.8031535189827575e-105,2.1997296698327004e-132,5.7564885500178175e-155,6.583876283261065e-17,2.7049907622609155e-136,1.2249111009890767e-50,3.000277931447308e-163,6.697493762058305e-152,7.699750208082243e-68,6.6911232396064985e-90,1.048213728538838e-202,3.501244722991581e-113,1.5617296213261711e-16,3.8184073282900354e-182,6.6897515058416024e-90,5.803153471046864e-105,1.340798869761301e-128,4.7846959716098424e-113,3.749002589164224e-212,3.2789658024612255e-226,8.893521028278313e-116,1.8383170178655967e-115,3.52659034280494e-141,1.3357236748016411e-83,1.268198701533892e-63,1.499401107481995e-117,2.8452459928162514e-144,3.768175589685594e-141,7.51359971136394e-223,2.3014992711995437e-132,1.1007416240184831e-141,2.6224468376904662e-151,1.5331119759420072e-194,3.569049253453514e-171,3.0340894008794424e-194,1.4712817382530223e-128
8.635233197596377e-23,0.0027149456784039327,0.1557,0.0,0.007990085131542124,0.6423999999999996,0.20189999999999989,4.460766961862693e-127,1.5208036749302539e-152,3.666911702834037e-51,1.4129164689415014e-172,3.0902615433365546e-110,3.2492538718798656e-135,2.0130914780811499e-16,9.450814913875745e-104,1.4430433665199867e-130,1.5213442461176488e-152,1.326048321839859e-16,1.781124393677277e-134,9.960773645147437e-50,1.9345979409275525e-161,8.847878541000813e-150,3.11236214260263e-67,5.44223115952736e-89,2.797817510834911e-200,1.147989275535273e-111,3.1454554345018697e-16,2.0321141540787375e-179,5.43999488725294e-89,9.450814756703377e-104,8.798227589115748e-127,1.5688076946323268e-111,7.891356072336511e-209,3.5256062192071175e-223,2.916010610494186e-114,1.4706929046680718e-114,4.658883456402808e-139,4.3786874988942144e-82,1.0312781223754815e-62,4.9162413007125685e-116,9.187495719868064e-143,4.9780352155082754e-139,8.078762938634495e-220,1.5098052086572116e-130,1.444467538717425e-139,6.883356117155299e-149,3.2866726997869584e-191,1.8994085364894074e-168,4.058770912007536e-192,2.3778738968008403e-127
1.733085264132979e-22,0.0027149456784039327,0.1557,0.0,0.007990085131541471,0.6423999999999992,0.20189999999999975,2.8911040554123466e-125,3.9566648521490523e-150,7.359466144848724e-51,5.5990675410640446e-170,1.0012385262678544e-108,1.0438246872885501e-133,4.0402605189456424e-16,1.5259734273644868e-102,9.352625721455399e-129,3.958071252626213e-150,2.661369708867224e-16,1.1623146933996535e-132,8.033724798615691e-49,1.2430520803957774e-159,1.1508249871354233e-147,1.251467129139198e-66,4.391164641715864e-88,7.31474721413029e-198,3.7194623011876636e-110,6.312907060852856e-16,1.0609865297739953e-176,4.387553056008328e-88,1.525973376440953e-102,5.703065618186383e-125,5.082905565926041e-110,1.6463278648094836e-205,3.699981686032838e-220,9.447816078658201e-113,1.1765583108363828e-113,6.059711855671837e-137,1.4181111177462412e-80,8.317631663112751e-62,1.5928523524619975e-114,2.9715069065294735e-141,6.47482584549694e-137,8.478335164856935e-217,9.785321660571048e-129,1.8725477338345948e-137,1.7847434997830496e-146,6.888088353753052e-188,9.916996300290778e-166,5.311490165192408e-190,3.8236591234321196e-126
3.472209152879662e-22,0.0027149456784039327,0.1557,0.0,0.007990085131540165,0.6423999999999983,0.20189999999999947,1.863104074629207e-123,1.0217183058187143e-147,1.4744575028878077e-50,2.6684631570606967e-167,3.225833360574169e-107,3.3501384807410525e-132,8.094598600673297e-16,2.4541527048173558e-101,6.027079459308238e-127,1.0220814766108534e-147,5.332012482921396e-16,7.590449662740508e-131,6.453124650942419e-48,7.979274627556672e-158,1.4857807227306113e-145,5.018942928720899e-66,3.5301269024839066e-87,1.8934446875390562e-195,1.1983524513708908e-108,1.2647810313553177e-15,5.488819480339223e-174,3.5243213839665877e-87,2.4541525407497125e-101,3.675429424483027e-123,1.6376324996162144e-108,3.4088813476418464e-202,3.8377240745202365e-217,3.043938247258311e-111,9.412472356014989e-113,7.823433633725632e-135,4.565231895347653e-79,6.681174084024e-61,5.1319206020724373e-113,9.794903398012426e-140,8.359369471638814e-135,8.793964541113358e-214,6.305920600973847e-127,2.4135471807463842e-135,4.6008540627845575e-144,1.4278612368019044e-184,5.1303763079388e-163,6.87767766312777e-188,6.133103799415053e-125
