Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(318),SX(259),SX(262),SX(450),C2HOX(465),C2H6O(236),SX(357),SX(497),OCCO(227),SX(387),SX(190)
0.0,0.002724645380668153,0.1557,0.0,0.008018631355306373,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.690206623990801e-25,0.002724645380668153,0.1557,0.0,0.008018631355306366,0.6424,0.2019,-1.5926931336799393e-137,1.491786263505456e-166,4.411876369117098e-53,-3.724525793705666e-185,-5.820422155140328e-119,6.982554195582375e-144,1.795981544135776e-18,2.8910779430159875e-111,-4.8738692580768036e-141,1.490954768300461e-166,1.1830353158747539e-18,-6.223430926616933e-145,1.3321891564726073e-55,7.813375952455669e-172,5.626555934023151e-162,4.993711556144448e-71,9.63840004633267e-95,1.1126578781288328e-214,-2.257272703888686e-120,2.8062211627121516e-18,-3.152406156979924e-195,9.638346006761595e-95,2.8910779461142073e-111,-2.9471026868721427e-137,-3.0926155195124077e-120,1.2470061438481896e-226,-2.2020979278217545e-241,-5.605169587699099e-123,-5.008401283968302e-131,2.6332145720609415e-151,-6.747900162686144e-91,1.5352128485056198e-68,-9.941585171379916e-125,2.100392716535593e-151,2.9387842241162093e-151,-5.06663235550761e-238,-5.329596768738106e-141,-8.950071982048165e-152,-7.514995220124545e-163,1.0170614634825998e-210,-2.756229834029335e-184,3.9024116191041885e-204,4.469141735678484e-134,2.251746521716983e-152,-2.775743146295044e-130
2.1532578547174243e-24,0.002724645380668153,0.1557,0.0,0.008018631355306357,0.6424,0.2019,2.6733884956226253e-136,6.944686434760654e-165,1.2353253833527877e-52,1.0889835266587103e-183,5.751008375151845e-118,1.0960264292285866e-142,5.028748323580165e-18,8.153350391620523e-110,8.180952229997453e-140,6.940815589712643e-165,3.3124988844493098e-18,1.194683435763793e-143,2.0132041780717375e-54,2.285721319877127e-170,1.565016240960654e-160,3.016201779911247e-70,1.4565639067400633e-93,8.784776989996185e-213,2.2303526945770148e-119,7.857419255594016e-18,2.9921759557249623e-193,1.45654691580572e-93,8.153350388559252e-110,5.470905081541116e-136,3.0557332949815384e-119,1.0777026231857502e-224,8.721083370560901e-239,5.538322713186751e-122,6.101764848644237e-119,7.324238143532855e-150,6.667357270506925e-90,2.320013570023323e-67,9.823022497047022e-124,3.296912458919221e-150,8.174174509808515e-150,2.007011392645057e-235,8.945905765761007e-140,2.6146382092481095e-150,3.876571177157123e-161,3.6327621407394355e-208,2.6161364471903935e-182,6.383388590757971e-203,2.9229975213271698e-133,2.876092838176771e-151,2.742611846658539e-129
4.9217322393541125e-24,0.002724645380668153,0.1557,0.0,0.008018631355306336,0.6424,0.2019,3.1514450462668643e-134,3.668971460185581e-162,2.823600876234943e-52,2.6778935490431983e-181,3.17197508470511e-116,4.3316873091135064e-141,1.1494281882468913e-17,1.7735533699083743e-108,9.643873783043917e-138,3.666926440566367e-162,7.571426021598408e-18,1.2675568795522978e-141,2.1657131818098825e-53,1.7678113077243315e-168,3.81977872268133e-158,1.4521713205268097e-69,1.5669246176187864e-92,8.57719173684973e-210,1.230153517971153e-117,1.7959815441357704e-17,3.3767196332748477e-190,1.566886711765253e-92,1.773553368219926e-108,5.955714855263463e-134,1.6853931093340714e-117,1.589017795917004e-221,3.903365533409475e-235,3.054668082729558e-120,5.491588364007809e-118,1.7876472052029305e-147,3.677346482716982e-88,2.495764724366512e-66,5.417899037594268e-122,1.3030043646962674e-148,1.9950935438917625e-147,8.982726547101848e-232,1.0545616716446243e-137,6.401534954297958e-148,1.938911471971328e-158,1.866972420051119e-204,2.952352902304135e-179,1.912679352430975e-200,5.088082206246854e-132,9.51655289667735e-150,1.5126734168977742e-127
1.0458681008627489e-23,0.002724645380668153,0.1557,0.0,0.008018631355306295,0.6424,0.2019,2.4911316487519347e-132,1.2339303346938516e-159,6.000151861999254e-52,4.325797119947128e-179,1.2484105010438292e-114,1.4987648934611033e-139,2.442534900024627e-17,3.287948953518618e-107,7.623220075014047e-136,1.2332425638101778e-159,1.608928029589655e-17,1.0023448653327588e-139,1.990663533170914e-52,1.2251872255154573e-166,6.401341946330002e-156,6.342013676303702e-69,1.4403098349305294e-91,3.1686856144334585e-207,4.841578297923242e-116,3.816460781288492e-17,2.406254861385109e-187,1.440238841451842e-91,3.2879489468733076e-107,4.7076733896443603e-132,6.6332881079023e-116,2.2610095979435093e-218,6.131162547093056e-232,1.2022413854400753e-118,4.454288340547306e-117,2.995812549898068e-145,1.447276413563055e-86,2.294037763587403e-65,2.1323503139202546e-120,4.5085118014287273e-147,3.3434596404538524e-145,1.4109469238994853e-228,8.336023370443743e-136,1.0143158098788222e-145,6.151469956440478e-156,5.654147331980908e-201,2.1038505735101895e-176,3.634201961539185e-198,8.849299460681181e-131,3.305400050557869e-148,5.953359501430271e-126
2.1532578547174244e-23,0.002724645380668153,0.1557,0.0,0.008018631355306212,0.6424,0.20189999999999997,1.7630736901529343e-130,3.5975962595293906e-157,1.2353253833527876e-51,6.614938372481016e-177,4.4111338780325705e-113,4.9525259550324254e-138,5.0287483235800454e-17,5.651418891179288e-106,5.395258293738854e-134,3.595591023180752e-157,3.31249888444926e-17,7.11009144952953e-138,1.703054563256614e-51,8.102716770124858e-165,9.321939506506516e-154,2.6476658670687946e-68,1.2322772783936507e-90,9.638781544598055e-205,1.7107233663134727e-114,7.857419255593867e-17,1.4432474554375338e-184,1.2321546548057226e-90,5.651418867698746e-106,3.3353568266679753e-130,2.343806144085452e-114,4.207098652191744e-215,7.680785189860786e-229,4.2479999361070114e-117,3.5695324402220966e-116,4.3626451407868575e-143,5.1135539831282615e-85,1.962597604496881e-64,7.534446997906237e-119,1.4899557540210713e-145,4.8689054193984865e-143,1.7675553174109595e-225,5.89973777199092e-134,1.4368257989902162e-143,1.743427349730126e-153,1.396495384285212e-197,1.2618684062681008e-173,5.594852144738033e-196,1.476350742118811e-129,1.1041968947842418e-146,2.103456188443055e-124
4.3680373624267747e-23,0.002724645380668153,0.1557,0.0,0.008018631355306045,0.6423999999999999,0.20189999999999994,1.1856459815418116e-128,9.817919514823518e-155,2.505945777658511e-51,1.1572081708810938e-174,1.4821030668827042e-111,1.60869181157795e-136,1.0201175170690667e-16,9.367723076793723e-105,3.6282466774854245e-132,9.812447180613754e-155,6.719640594168378e-17,4.793069265437527e-136,1.4081184467427695e-50,5.2653231991020797e-163,1.2713301518756442e-151,1.0816578979106037e-67,1.018973043133018e-89,2.6842709785608467e-202,5.747883516218991e-113,1.593933620420435e-16,7.986821550051517e-182,1.018769302201011e-89,9.36772299790112e-105,2.2442488861865366e-128,7.874987251725244e-113,8.722256015667208e-212,8.678967333561075e-226,1.4272914774194606e-115,2.856236138385835e-115,5.949794348130121e-141,1.7179403464441415e-83,1.622713652309928e-63,2.5315094512518497e-117,4.841874259961832e-144,6.640234311230688e-141,1.9972629044544276e-222,3.967503127566413e-132,1.9332223012879687e-141,4.69237883062933e-151,3.135519651920655e-194,6.983083689385415e-171,7.831017323926467e-194,2.410910802393604e-128,3.6088159730299e-145,7.066733404517561e-123
8.797596377845476e-23,0.002724645380668153,0.1557,0.0,0.008018631355305712,0.6423999999999996,0.20189999999999989,7.777910758516045e-127,2.594700091442252e-152,5.0471865662699567e-51,2.9339837758741093e-172,4.859500029296055e-110,5.18587451794381e-135,2.0546028864911045e-16,1.52558744378097e-103,2.3801521537474188e-130,2.5932538516294333e-152,1.353392401360625e-16,3.1559710832150893e-134,1.1450585354513897e-49,3.3951353354949426e-161,1.6795116367016983e-149,4.372234165674524e-67,8.287784362748121e-89,7.16463368636017e-200,1.88460851612952e-111,3.2103170101424246e-16,4.2504769437981854e-179,8.284462871293028e-89,1.5255874179137671e-103,1.4726519101025484e-126,2.5820405019430757e-111,1.8322997570403066e-208,9.33174930638486e-223,4.679784595051744e-114,2.2850499600426245e-114,7.860073790571789e-139,5.631646769978186e-82,1.3195637927115473e-62,8.300280019605884e-116,1.5636907462075662e-142,8.772190873181402e-139,2.1474850121077285e-219,2.6027065182829547e-130,2.536892393392085e-139,1.2316419416011517e-148,6.721867127492943e-191,3.716301400257375e-168,1.0475688118889126e-191,3.89649495227664e-127,1.1669042352472156e-143,2.3165732682374963e-121
1.7656714408682878e-22,0.002724645380668153,0.1557,0.0,0.008018631355305046,0.6423999999999992,0.20189999999999975,5.040955161622186e-125,6.750547202920804e-150,1.012966814349284e-50,1.1176649410498652e-169,1.5744524931270352e-108,1.6660090751076578e-133,4.123573625334836e-16,2.4632616655539535e-102,1.5426044642154332e-128,6.746784567630161e-150,2.7162490852480523e-16,2.0594205112178015e-132,9.235311914355482e-49,2.1815595682540706e-159,2.1844837664397313e-147,1.7580561285612508e-66,6.687083807802416e-88,1.8731381427121086e-197,6.106032853680797e-110,6.443083789585975e-16,2.2191931955118033e-176,6.681719590212317e-88,2.4632615817455714e-102,9.545723683678349e-125,8.36567594815186e-110,3.8206619871926503e-205,9.79320201803071e-220,1.5162256904174554e-112,1.8280461723832378e-113,1.022333105266671e-136,1.8239029155764024e-80,1.0642760033029252e-61,2.689247239425174e-114,5.060231632457331e-141,1.1409690767219735e-136,2.2536773439672812e-216,1.6868446106056425e-128,3.288689450760596e-137,3.1934179073692504e-146,1.4087302865210134e-187,1.9402977185581115e-165,1.3708840495038227e-189,6.265625987937341e-126,3.753430969637829e-142,7.502609826541658e-120
3.5374950470357685e-22,0.002724645380668153,0.1557,0.0,0.008018631355303714,0.6423999999999983,0.20189999999999947,3.248460722219504e-123,1.7431401136282667e-147,2.0294631297938577e-50,5.250520852907697e-167,5.0725374472736275e-107,5.3475944308447014e-132,8.261515103020915e-16,3.961472345144497e-101,9.94075427255203e-127,1.7421685182414498e-147,5.441962453022321e-16,1.3447909239494763e-130,7.418304767414827e-48,1.4005120210046624e-157,2.820237064884298e-145,7.050591395909038e-66,5.375743621237078e-87,4.848581747469594e-195,1.9672287768175243e-108,1.2908617348471362e-15,1.1480361297658644e-173,5.367120798172446e-87,3.9614720751324217e-101,6.151768715389645e-123,2.695235819801923e-108,7.9099014388689745e-202,1.0157585851201503e-216,4.8849439264030295e-111,1.4624378800311884e-112,1.3198640872790684e-134,5.871570753384725e-79,8.548843636645356e-61,8.664159993971838e-113,1.6715666590074809e-139,1.473026845494425e-134,2.337531576305631e-213,1.0870258265945748e-126,4.238743992849765e-135,8.232085044389663e-144,2.920159106302888e-184,1.0037575157705376e-162,1.775077042852423e-187,1.0049989647146232e-124,1.2041920357765703e-140,2.415265975632148e-118
7.081142259370729e-22,0.002724645380668153,0.1557,0.0,0.008018631355301047,0.6423999999999966,0.2018999999999989,2.088615625595927e-121,4.486998726276731e-145,4.062455760682993e-50,2.6371907046133468e-164,1.6306493456929351e-105,1.7214669953040346e-130,1.6537398058387551e-15,6.362007003908001e-100,6.391461537427892e-125,4.484497752748554e-145,1.0893389188568517e-15,8.872470066830269e-129,5.946689473021035e-47,9.016702586922252e-156,3.629686077423754e-143,2.8239141611850705e-65,4.316240707148677e-86,1.2495498877086592e-192,6.3239765291851e-107,2.583968446623528e-15,5.9153418779199825e-171,4.302412046165064e-86,6.362006135910311e-100,3.955378348811755e-121,8.66427345349498e-107,1.6311652828798803e-198,1.0480191176453495e-213,1.5703445933792738e-109,1.1699514445092561e-111,1.6986842051588297e-132,1.884534920504416e-77,6.852956309350695e-60,2.785235001164428e-111,5.988834429542028e-138,1.895806894328709e-132,2.4117709049954313e-210,6.989092102902566e-125,5.450745154248015e-133,2.117202698443408e-141,6.023782650353585e-181,5.171935386110708e-160,2.2882543723637334e-185,1.6099975320674657e-123,3.8583654616386835e-139,7.752020203819868e-117
1.4168436684040652e-21,0.002724645380668153,0.1557,0.0,0.008018631355295715,0.6423999999999932,0.20189999999999783,1.342936853657519e-119,1.154521952417931e-142,8.128441022461214e-50,1.3489556737863692e-161,5.242371406713318e-104,5.623084085688023e-129,3.3089163969098717e-15,1.0221878842879259e-98,4.109577042848849e-123,1.1538784423482077e-142,2.179624265965153e-15,5.995149093215199e-127,4.762174555790932e-46,5.88976284277836e-154,4.6696715278463545e-141,1.1303017063003511e-64,3.4675713112654605e-85,3.2169106854918657e-190,2.0330945612620657e-105,5.170181870173571e-15,3.0454145863253976e-168,3.445419703521337e-85,1.022187605235438e-98,2.543177451071586e-119,2.785476378708242e-105,3.360314722302859e-195,1.0797043644268422e-210,5.048499211226667e-108,9.359647161970876e-111,2.1853947198312036e-130,6.039538800376635e-76,5.487923039599646e-59,8.954249128124791e-110,2.7342652197887242e-136,2.4389974099420962e-130,2.4846813008053804e-207,4.49384231861232e-123,7.009432731728498e-131,5.445269917997357e-139,1.2410369599666302e-177,2.6626840529773274e-157,2.9620398715525745e-183,2.5775958486345217e-122,1.2354693100632881e-137,2.484360214939582e-115
