Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2X(53)
0.0,0.00048144307504249394,0.1557,0.0,0.0014168869698500597,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.76563571539358e-25,0.00048144307504249394,0.1557,0.0,0.0014168869698500557,0.6424,0.2019,1.280933378629154e-196,5.4777326121268926e-281,1.498520179897867e-56,2.6941734671505132e-247,-1.7668306520870524e-121,1.4784422199304058e-159,2.157925043657686e-18,3.111363363005045e-220,-3.9600356909271054e-256,6.11321625420638e-272,1.4214753351968253e-18,7.194713400362674e-216,8.979060661676721e-56,-4.666816065428645e-238,-4.666816065428221e-238,2.9605124354727355e-265,2.037998477245236e-74,3.304942874981051e-98,-4.799145540765833e-289,-2.5315504986448726e-128,1.2809333786291537e-196,2.6974063045721167e-19
2.7343780003102023e-24,0.00048144307504249394,0.1557,0.0,0.0014168869698500488,0.6424,0.2019,3.8997292035801126e-195,7.727666480055732e-278,4.195856503714027e-56,1.5033483007243656e-245,1.7458361503155153e-120,2.4184385972462703e-158,6.042190122241486e-18,1.736140186124205e-218,1.1076647385679216e-253,4.7028819717702965e-269,3.980130938551099e-18,4.014648758334007e-214,1.3569156803195438e-54,7.114092744457842e-236,7.114092744456654e-236,3.0099780968540104e-263,1.2309510802596488e-73,4.994590359728358e-97,1.3448738473221386e-286,2.5014691183967543e-127,3.899729203580113e-195,7.552737652801904e-19
6.250006857851891e-24,0.00048144307504249394,0.1557,0.0,0.001416886969850035,0.6424,0.2019,2.264220806501408e-192,1.8523605717955997e-273,9.59052915134635e-56,1.715935449198015e-242,9.629649640837474e-119,7.246786182614244e-156,1.3810720279408933e-17,1.9816462284304078e-215,5.811967439363986e-250,5.7388536561774e-265,9.097442145259596e-18,4.582356674885241e-211,1.4597079715744221e-53,1.90133203309822e-232,1.9013320330975977e-232,6.884780109097299e-260,5.926499571956401e-73,5.373308961821339e-96,7.043763399528639e-283,1.3797555529300488e-125,2.264220806501409e-192,1.726340034926138e-18
1.3281264572935268e-23,0.00048144307504249394,0.1557,0.0,0.0014168869698500072,0.6424,0.2019,8.612872926531353e-190,2.5468977727087377e-269,2.037987444661099e-55,1.3060221041581418e-239,3.790392329306246e-117,1.3770513822414752e-153,2.934778059374322e-17,1.5082582378965424e-212,1.8802117467958636e-246,3.944264246748157e-261,1.9332064558676385e-17,3.4876947785707845e-208,1.3417231116066864e-52,3.074555131390757e-229,3.0745551313887428e-229,1.0996506995861731e-256,2.588258066579925e-72,4.9396533756268285e-95,2.2787391141143822e-279,5.430950304005847e-124,8.612872926531354e-190,3.668472574217996e-18
2.734378000310202e-23,0.00048144307504249394,0.1557,0.0,0.0014168869698499517,0.6424,0.20189999999999997,2.6540050232601095e-187,2.6623780277736297e-265,4.195856503714028e-55,8.05134234397767e-237,1.339581709348844e-115,2.1203393928387864e-151,6.042190122240936e-17,9.298084142500541e-210,4.773158892193415e-243,2.061159329431683e-257,3.980130938550915e-17,2.1500880087811437e-205,1.147872370122751e-51,3.901744318171521e-226,3.901744318166407e-226,1.619675668283757e-253,1.0805467943174088e-71,4.2271016520987385e-94,5.784932998462008e-276,1.9193795945264292e-122,2.6540050232601095e-187,7.552737652801557e-18
5.546881086343552e-23,0.00048144307504249394,0.1557,0.0,0.0014168869698498409,0.6424,0.20189999999999994,7.434539908266965e-185,2.4557634014704165e-261,8.511594621819883e-55,4.511503951751129e-234,4.502790627569811e-114,2.9688365710077656e-149,1.2257014247973193e-16,5.210105540221958e-207,1.0851676957350484e-239,9.50507392350306e-254,8.073979903917144e-17,1.2047842625214907e-202,9.490830732942434e-51,4.434772746299579e-223,4.434772746287952e-223,3.0198586167250896e-250,4.414386278126926e-71,3.4969086574246947e-93,1.3151995244974748e-272,6.451688903952184e-121,7.434539908266965e-185,1.5321267809968063e-17
1.1171887258410254e-22,0.00048144307504249394,0.1557,0.0,0.0014168869698496192,0.6423999999999999,0.20189999999999986,1.9907772503478685e-182,2.13426495223668e-257,1.714307085803159e-54,2.416327463911434e-231,1.4776220319655154e-112,3.974230888522946e-147,2.4686662499433817e-16,2.790493201670058e-204,2.3412516390455752e-236,4.130149279208137e-250,1.6261677834648298e-16,6.452733573385485e-200,7.717785932300234e-50,4.7837465542679786e-220,4.783746554242893e-220,8.444896132496333e-247,1.7843656758744695e-70,2.8466520100035615e-92,2.837553440300538e-269,2.117166543800651e-119,1.9907772503478685e-182,3.085832812429864e-17
2.2421899602543656e-22,0.00048144307504249394,0.1557,0.0,0.0014168869698491758,0.6423999999999997,0.2018999999999997,5.218063803187435e-180,1.802769933622382e-253,3.4406023330454985e-54,1.2667475889104483e-228,4.795532153381234e-111,5.20804401371639e-145,4.95459590023395e-16,1.4629021056883197e-201,4.926775458913184e-233,1.7442841344446217e-246,3.26370736961054e-16,3.3828133056193147e-197,6.2246739503928526e-49,5.033161933407123e-217,5.033161933354335e-217,3.0806937340372346e-243,7.174861154437081e-70,2.3008059016212045e-91,5.971167992656155e-266,6.871134850915386e-118,5.218063803187435e-180,6.193244875294996e-17
4.492192429081047e-22,0.00048144307504249394,0.1557,0.0,0.001416886969848289,0.6423999999999994,0.20189999999999936,1.3550822256047442e-177,1.5033805531873685e-249,6.893192827530168e-54,6.579366867296293e-226,1.5502367315027198e-109,6.762159432790137e-143,9.92645520080886e-16,7.5981748269500995e-199,1.025356254384895e-229,7.272961592090075e-243,6.538786541899877e-16,1.7570011556160356e-194,4.9999966292407216e-48,5.23742357237294e-214,5.237423572263079e-214,1.2342903180252895e-239,2.877457122474835e-69,1.855968959171413e-90,1.242715030873245e-262,2.2212103482494408e-116,1.3550822256047442e-177,1.2408069001021342e-16
