Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CH3OX(48),CHOX(64),SX(57),CH2O2X(54),CH3X(25)
0.0,0.000897708597878115,0.0,0.0,0.0024417673862284725,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.184776424939938e-25,0.000897708597878115,0.0,0.0,0.002441767386228468,0.8,0.1,0.1,-3.134438588688626e-76,2.551928439161927e-49,1.1744436923300456e-45,-4.246405908157067e-118,2.264994213198783e-147,1.8456052099148795e-18,2.0477968223682356e-51,3.641176348035275e-51,9.216951158101457e-79,5.650869814275043e-19,2.6834291598901766e-21,1.0568982909464113e-49,1.393233729133402e-45,8.340539119047475e-49,1.6581096284269702e-67,1.7402343696883774e-89,1.8585963555712858e-87,-6.892827911669961e-117,2.0060926194727005e-18,2.0073301985705808e-22,1.7402343696843326e-89,7.060418831868072e-46,-2.2378866031716264e-146,6.163492265069396e-64,2.379289531318024e-110
1.1717373989831825e-24,0.000897708597878115,0.0,0.0,0.0024417673862284603,0.8,0.1,0.1,3.0970402742144467e-75,7.145399629653395e-49,3.2884423385241276e-45,4.195720562795675e-117,3.704950887647806e-146,5.167694587761648e-18,1.236869280893578e-50,5.502545080216816e-50,2.8303413276406926e-77,1.582243547996483e-18,7.513601647638391e-21,1.5971845533372705e-48,8.415131723936883e-45,5.0376856279001335e-48,1.0014982176270493e-66,2.629841884863073e-88,2.808710497865087e-86,6.810554738943238e-116,5.61705933452355e-18,5.620524555994588e-22,2.6298418848495987e-88,4.264492974468199e-45,6.675919671969206e-145,3.7227493281009005e-63,6.709976439605765e-109
2.6782569119615603e-24,0.000897708597878115,0.0,0.0,0.0024417673862284443,0.8,0.1,0.1,1.7081538055878904e-73,1.6332342010636336e-48,7.516439630912291e-45,2.3141280189565005e-115,1.1101169553870541e-143,1.1811873343455095e-17,5.954993164361077e-50,5.919386858808731e-49,6.305687084843944e-76,3.6165566811323224e-18,1.71739466229184e-20,1.7181782488269834e-47,4.0515236842766204e-44,2.42542877581219e-47,4.821782853917404e-66,2.8290638728322973e-87,3.021482563013022e-85,3.756326310599807e-114,1.2838992764625195e-17,1.284691327083045e-21,2.829063872801869e-87,2.0531697963364864e-44,8.612524262899864e-143,1.7923435506806566e-62,1.4595664242836178e-107
5.691295937918316e-24,0.000897708597878115,0.0,0.0,0.0024417673862284126,0.8,0.1,0.1,6.722701771629645e-72,3.4706226772602217e-48,1.5972434215688619e-44,9.107607657693235e-114,2.1092439885113392e-141,2.5100230854841643e-17,2.6007019739637525e-49,5.440936339569943e-48,1.180595527678616e-74,7.685182947395535e-18,3.6494636572612743e-20,1.5793018258793309e-46,1.7694068359546592e-43,1.059248468111984e-46,2.105799333466688e-65,2.600397102236635e-86,2.777263029107247e-84,1.4783601421124362e-112,2.7282859624828273e-17,2.729969070045356e-21,2.600397102179372e-86,8.966731916772038e-44,7.391974788224621e-141,7.827635176622387e-62,2.7057901634068655e-106
1.1717373989831826e-23,0.000897708597878115,0.0,0.0,0.002441767386228349,0.8,0.09999999999999999,0.1,2.375282120974248e-70,7.145399629653398e-48,3.288442338524128e-44,3.217923195605959e-112,3.2470483572802303e-139,5.167694587761335e-17,1.0857418918805936e-48,4.654835588462095e-47,2.0389502316585747e-73,1.582243547988809e-17,7.513601646853875e-20,1.3511259619762089e-45,7.386925231462426e-43,4.422153840855559e-46,8.791299083300158e-65,2.2246944686234186e-85,2.376006992529469e-83,5.223379806403838e-111,5.617059334523357e-17,5.62052455595053e-21,2.224694468524283e-85,3.743434064924935e-43,5.433341932817202e-139,3.267883598925622e-61,4.650561958037802e-105
2.3769530093658845e-23,0.000897708597878115,0.0,0.0,0.0024417673862282213,0.7999999999999999,0.09999999999999998,0.1,7.979954831104774e-69,1.4494953534439745e-47,6.670840172434659e-44,1.0810876562061542e-110,4.544468347516021e-137,1.048303759231512e-16,4.435610106675885e-48,3.848708078377359e-46,3.3877637428885063e-72,3.20969405447377e-17,1.5241877624653991e-19,1.1171370735629553e-44,3.017799986311007e-42,1.8065941352884677e-45,3.591534831127955e-64,1.8394204080998514e-84,1.964528528649649e-82,1.7548372314146371e-109,1.1394606078604068e-16,1.1401635527683092e-20,1.8394204079349482e-84,1.5293149608847943e-42,3.7196611975654333e-137,1.3350370785710922e-60,7.707965389596763e-104
4.7873842301312884e-23,0.000897708597878115,0.0,0.0,0.0024417673862279668,0.7999999999999997,0.09999999999999995,0.1,2.6159398900828078e-67,2.9194061344012433e-47,1.3435635840255716e-43,3.543955307907389e-109,6.078227349496333e-135,2.1113723601420476e-16,1.7929448650900367e-47,3.129705488637824e-45,5.523594955050751e-71,6.464595067389501e-17,3.0698429574713914e-19,9.084373152681868e-44,1.2198430047947006e-41,7.302542344162113e-45,1.451759545932444e-63,1.4957861276814414e-83,1.597521973061901e-81,5.752599877638834e-108,2.2949699566764107e-16,2.296385747083707e-20,1.4957861274124537e-83,6.181735589268466e-42,2.4610411539377998e-135,5.396433325598276e-60,1.2550423478428407e-102
9.608246671662096e-23,0.000897708597878115,0.0,0.0,0.0024417673862274576,0.7999999999999994,0.09999999999999988,0.1,8.472158466437333e-66,5.859227696315778e-47,2.6965227175897833e-43,1.1477691495395377e-107,7.951582122128142e-133,4.2375095619622306e-16,7.209357940897107e-47,2.5242208531639584e-44,8.923333685968087e-70,1.2974397093004183e-16,6.161153345267252e-19,7.32687605150245e-43,4.904935070487389e-41,2.936320158658897e-44,5.837521658337182e-63,1.2064057007700269e-82,1.2884593448848993e-80,1.8630756009447165e-106,4.605988654307864e-16,4.6088301355900426e-20,1.2064057003354813e-82,2.4856486929456505e-41,1.601288252119211e-133,2.1698821058066825e-59,2.0256434097269234e-101
1.9249971554723714e-22,0.000897708597878115,0.0,0.0,0.0024417673862264394,0.7999999999999987,0.09999999999999976,0.1,2.727386272400975e-64,1.1738870820144836e-46,5.402440984718203e-43,3.694937774802025e-106,1.0289119895650526e-130,8.489783965599045e-16,2.8912838081987695e-46,2.027591454585258e-43,1.4353120343745699e-68,2.599400114336645e-16,1.2343774111994468e-18,5.885345296933695e-42,1.967098340927791e-40,1.1775957136062713e-43,2.3412042592685215e-62,9.690506663704791e-82,1.0349606142770681e-79,5.9976768056977065e-105,9.228026049568557e-16,9.233718912104876e-20,9.690506656718203e-82,9.968562998371062e-41,1.0332923490470275e-131,8.70219774745303e-59,3.25515458072166e-100
