Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(48),CH2O2X(49),CH3OX(44),CH3X(50),CH4(39),CH4X(236),CH3O2X(47),CH4O2(169),H(23),HCO(31)
0.0,0.0005360053254522017,0.1557,0.0,0.0015774636728058296,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.740416581689114e-25,0.0005360053254522017,0.1557,0.0,0.0015774636728058257,0.6424,0.2019,-9.206417731359567e-194,2.4064965249467742e-164,1.4874583592303165e-52,2.2013244659091415e-206,-2.8175548084534146e-117,-1.2886683266699412e-159,1.571597484514615e-18,3.0247125345079615e-110,-2.0135682952462293e-139,2.407165231775425e-164,4.863989289244252e-91,-1.1198013631040807e-197,3.6884247653197173e-70,-1.178605145968828e-187,-3.119320369473836e-206,1.473276940846333e-70,1.1930156978995132e-93,6.270642336958919e-212,-1.050482384717242e-118,2.455621069554091e-18,1.1782383737520789e-221,1.193009596170162e-93,3.0247125488666313e-110,-1.2012114865477949e-135,-1.4358670730009137e-118,3.3192019292062886e-230,-4.849674941015458e-238,1.8664871274153045e-52,1.8782127558434718e-53
1.887316642872952e-24,0.0005360053254522017,0.1557,0.0,0.0015774636728058183,0.6424,0.2019,2.689527880384903e-192,1.1202909933980652e-162,4.164883405844886e-52,1.8666130936468307e-204,2.78395030423253e-116,2.1630706391230853e-158,4.4004729566408966e-18,8.530218440736436e-109,3.379838217394554e-138,1.1206022950058492e-162,5.774528084190729e-90,5.776431181170195e-196,2.2278085582530998e-69,3.4431264672026027e-186,1.609083542847356e-204,8.898592722711816e-70,1.802895201804617e-92,4.9505296520222014e-210,1.037953458152007e-117,6.875738994751431e-18,1.1623437434955883e-219,1.8028760169618825e-92,8.530218426549018e-109,2.2304495178970585e-134,1.4187417281078156e-117,4.749974134981522e-228,1.9203601795804535e-235,1.0665030004992993e-51,5.258995716361721e-53
4.313866612281033e-24,0.0005360053254522017,0.1557,0.0,0.0015774636728058038,0.6424,0.2019,6.584911398735115e-190,5.918642677391743e-160,9.519733499074024e-52,1.9509186926190965e-201,1.5354893597486328e-114,2.5498695156958204e-156,1.0058223900893354e-17,1.8555294065770057e-107,3.984218675661597e-136,5.920287324177386e-160,5.669465915542959e-89,2.889145656826467e-193,1.07259392175496e-68,8.429951951611062e-184,8.04800850816441e-202,4.284289343981085e-69,1.9394945448091318e-91,4.8333338871044865e-207,5.724838155073249e-116,1.5715974845146022e-17,1.697099589840421e-216,1.9394517444659078e-91,1.8555293987519276e-107,2.427622285786838e-132,7.825078006655246e-116,9.214989863734536e-225,8.594737110870878e-232,5.0017579953068536e-51,1.2020561637398224e-52
9.166966551097195e-24,0.0005360053254522017,0.1557,0.0,0.0015774636728057747,0.6424,0.2019,1.0433776689068676e-187,1.9905243685768213e-157,2.0229433685532304e-51,1.3129392218808189e-198,6.043291130293714e-113,2.0155982128927177e-154,2.1373725789397855e-17,3.439915074714036e-106,3.14940980036781e-134,1.9910774868646814e-157,5.014578397638966e-88,9.166202294211796e-191,4.684299451955902e-68,1.3357132801997002e-181,2.5533386964090997e-199,1.871061714874791e-68,1.7827704534112615e-90,1.785574221299657e-204,2.2531490363980536e-114,3.3396446545934824e-17,1.2097068407103273e-213,1.782690293094464e-90,3.439915043916543e-106,1.91890106236241e-130,3.079749416998782e-114,6.814276383504252e-222,1.3499985452416804e-228,2.1574453662089708e-50,2.554369347947125e-52
1.887316642872952e-23,0.0005360053254522017,0.1557,0.0,0.0015774636728057168,0.6424,0.2019,1.4780104580020026e-185,5.8034656087459565e-155,4.1648834058448863e-51,7.657623126013043e-196,2.135327327712703e-111,1.4265134762428997e-152,4.400472956640519e-17,5.912597338270313e-105,2.228953912389361e-132,5.805078250626239e-155,4.215055294229927e-87,2.5978407486033704e-188,1.9556028105723912e-67,1.8920922309959934e-179,7.236549115554752e-197,7.811314340366794e-68,1.5252675387604421e-89,5.431480348410114e-202,7.961242684040335e-113,6.875738994751095e-17,7.278416300531383e-211,1.5251290817388035e-89,5.912597229450915e-105,1.3595272088347877e-128,1.0881939951066382e-112,4.146833412902967e-219,1.6911939599977233e-225,8.952858770432381e-50,5.258995716361747e-52
3.8285566183994164e-23,0.0005360053254522017,0.1557,0.0,0.0015774636728056008,0.6423999999999999,0.2019,1.988681710630273e-183,1.5837649538034373e-152,8.448763480428197e-51,4.1800201670172136e-193,7.174454029056432e-110,9.593049943666133e-151,8.92667371204132e-17,9.800565802073325e-104,1.498931945598428e-130,1.584205043547072e-152,3.455756993123684e-86,6.991945203485108e-186,7.989275578672135e-67,2.545752936551739e-177,1.947677312610108e-194,3.1911767849504e-67,1.261236272854075e-88,1.5125800726724484e-199,2.674885923172222e-111,1.3947927675065724e-16,4.069304772369541e-208,1.2610062244347238e-88,9.800565436452666e-104,9.147734525068746e-127,3.656206593292647e-111,2.31000455347801e-216,1.9109609061486676e-222,3.646718266234447e-49,1.0668248453191137e-51
7.711036569452345e-23,0.0005360053254522017,0.1557,0.0,0.0015774636728053688,0.6423999999999996,0.2019,2.609790929390731e-181,4.1855349013550156e-150,1.7016523629594815e-50,2.2095033551432195e-190,2.3523097353431677e-108,6.292991496782178e-149,1.7979075222840256e-16,1.5960511797166681e-102,9.832916583666883e-129,4.186697959658418e-150,2.798561609581397e-85,1.8351939934830512e-183,3.2293929264254286e-66,3.340635169041581e-175,5.11211916186613e-192,1.2899246790038036e-66,1.0258043670960513e-87,4.0371835392726155e-197,8.770228747795564e-110,2.809230503569259e-16,2.214550125329232e-205,1.0254293301061424e-87,1.5960510598395257e-102,6.00254692174494e-125,1.198771427790378e-109,1.2332095780092159e-213,2.0546568562364125e-219,1.471898187800133e-48,2.1486753926851063e-51
1.5475996471558206e-22,0.0005360053254522017,0.1557,0.0,0.0015774636728049048,0.6423999999999993,0.2019,3.383505719661669e-179,1.0888996704740861e-147,3.4152043927928034e-50,1.1496737626909515e-187,7.621095742450115e-107,4.0784211126606917e-147,3.608387824442746e-16,2.5769469018730463e-101,6.372609054745742e-127,1.0892022491960477e-147,2.2525258527477536e-84,4.7581529085445304e-181,1.2985246923294332e-65,4.330469333216938e-173,1.3254317933275253e-189,5.186730401324542e-66,8.276516063934516e-87,1.0554546387286506e-194,2.841409618777102e-108,5.638105975693679e-16,1.2085946720858375e-202,8.270459206509025e-87,2.5769465134908545e-101,3.890717538525737e-123,3.8838219204052964e-108,6.448297426436651e-211,2.1561859925959144e-216,5.914110443505967e-48,4.3123764874180245e-51
3.1005916275769927e-22,0.0005360053254522017,0.1557,0.0,0.001577463672803977,0.6423999999999985,0.2019,4.361762420225055e-177,2.8115861376181093e-145,6.842308452459442e-50,5.937101625655014e-185,2.455178272872695e-105,2.6280097431651614e-145,7.229348428755923e-16,4.144021605027402e-100,4.1063142384304797e-125,2.8123674089880964e-145,1.807510137706127e-83,1.2264865138625175e-178,5.207664795605213e-65,5.581096374798401e-171,3.416502686666147e-187,2.080110873117194e-65,6.653019099084997e-86,2.731839519207395e-192,9.153759297590229e-107,1.12958569199387e-15,6.797458797544716e-200,6.643282877721238e-86,4.144020353832545e-100,2.5072140413429427e-121,1.2511948570105394e-106,3.3380977666467574e-208,2.2362620986258154e-213,2.370957308831688e-47,8.639778676891356e-51
