Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420)
0.0,0.0005284065757894736,0.1557,0.0,0.0015551005525484209,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0821991836860311e-24,0.0005284065757894736,0.1557,0.0,0.0015551005525484168,0.6424,0.2019,-7.374020558077504e-109,8.325145303306618e-149,7.086600659385422e-53,-3.208393648954873e-156,-7.03374958148806e-117,6.945426445582116e-154,2.505309257482652e-18,3.265438454224455e-81,-2.9709358525063332e-124,8.359538236472007e-149,1.6502782773395112e-18,-2.219128065650348e-114,1.24370862551621e-54,1.9717915860363196e-148,1.0472695960656695e-151,1.1178399667715567e-81,1.132057324682978e-93,6.921860307959349e-197,-2.205107085700057e-118,-2.4111991539903775e-90,3.914545714816656e-29,1.208172406982924e-36,1.039581564881975e-62,-4.091637472186985e-174,1.1320573248096387e-93,3.9264750422353764e-110,-2.8869314553701546e-135,1.1189161782479715e-70,3.2654384518132517e-81,1.6744569063963167e-141,-6.975590309160941e-165
3.0301577143208872e-24,0.0005284065757894736,0.1557,0.0,0.0015551005525484094,0.6424,0.2019,6.804701574610342e-107,2.419090837322348e-146,1.9842481846279185e-52,5.2971513236395484e-154,6.949794574694805e-116,1.1361015018750283e-152,7.014865920951386e-18,1.8807252447711565e-79,2.844950184380636e-122,2.4290846123806377e-146,4.6207791765506154e-18,2.1250236159507575e-112,1.8794923709780766e-53,5.729522417071956e-146,2.9329087760403725e-149,6.768887374670528e-81,1.7107649451592407e-92,3.458115624575572e-194,2.178786873668745e-117,1.2495288824795816e-88,1.0960728001486602e-28,7.297361336821876e-36,3.2686105706815554e-61,1.2118826288300424e-171,1.7107649455164478e-92,1.1073287331295696e-108,5.573264934562433e-134,6.758253716590625e-70,1.8807252460206843e-79,1.983286427091401e-139,4.1571418247054225e-162
6.9260747755906e-24,0.0005284065757894736,0.1557,0.0,0.0015551005525483944,0.6424,0.2019,1.450645589722517e-104,2.296287138004038e-143,4.535424422006671e-52,2.2775001397824537e-151,3.833123327084523e-114,3.404101932192898e-150,1.6033979247888682e-17,8.433961354701756e-78,5.921560318127548e-120,2.305773585049464e-143,1.0561780974972764e-17,4.4230846597557887e-110,2.021872119371946e-52,5.4386779061897e-143,2.850993302477416e-146,3.312457638299006e-80,1.8403628551504733e-91,6.780130602920166e-191,1.2016986546069022e-115,1.311431388894923e-86,2.505309257482636e-28,3.513365357473863e-35,7.292090356265018e-60,1.0468235302010821e-168,1.8403628559274767e-91,2.4086818536919702e-107,5.884779128891586e-132,3.2538082463044474e-69,8.43396136781607e-78,2.66017116121599e-136,2.553699258581942e-158
1.4717908898130024e-23,0.0005284065757894736,0.1557,0.0,0.0015551005525483645,0.6424,0.2019,2.320013978799463e-102,1.5633687722318217e-140,9.637776896764175e-52,7.290632475672743e-149,1.5085847921432687e-112,6.467855483465767e-148,3.4072205901762575e-17,3.173067045244256e-76,9.48204178052261e-118,1.5698273787469385e-140,2.244378457181681e-17,7.082571364541843e-108,1.8584488149909604e-51,3.7027894027940652e-140,1.9386818320164808e-143,1.6518472721843494e-79,1.6916105292698235e-90,9.222191311127329e-188,4.729470357161213e-114,1.047038824598534e-84,5.323782172150533e-28,1.5343789547680824e-34,1.3657278179190458e-58,6.70479953440771e-166,1.691610530710257e-90,4.465290211770167e-106,4.651427447833783e-130,1.4210235463331801e-68,3.1730670557146444e-76,2.1071712506695206e-133,8.598193884986775e-155
3.030157714320887e-23,0.0005284065757894736,0.1557,0.0,0.0015551005525483047,0.6424,0.20189999999999997,3.3076860069401423e-100,9.187709112416981e-138,1.984248184627918e-51,2.079673875660663e-146,5.330170307782015e-111,9.956853462578115e-146,7.014865920950758e-17,1.098732371639117e-74,1.3529984351560707e-115,9.225665478813165e-138,4.620779176550391e-17,1.0106165101266066e-105,1.589942088240067e-50,2.176080866412258e-137,1.1383883263542975e-140,1.4088016402534062e-78,1.4472084210235637e-89,1.0830910979864608e-184,1.671028542814597e-112,7.458193451098332e-83,1.0960728001486112e-27,6.405730082921385e-34,2.3589551640639103e-57,3.82585930066208e-163,1.4472084234992978e-89,7.674692980647751e-105,3.2967670447131835e-128,5.93249357671405e-68,1.09873237909731e-74,1.3250337862267173e-130,2.226497502801809e-151
6.146891363336657e-23,0.0005284065757894736,0.1557,0.0,0.001555100552548185,0.6424,0.2018999999999999,4.464746976597903e-98,5.0342676844778286e-135,4.025189174530919e-51,5.615443147121424e-144,1.7907143722745474e-109,1.3935301989285038e-143,1.423015658249865e-16,3.6555517802991764e-73,1.8270580868970546e-113,5.055065307304403e-135,9.373580615287416e-17,1.3647133800014766e-103,1.314594865016681e-49,1.1923512289097028e-134,6.235003958983562e-138,2.9822764164632876e-77,1.1965799067083782e-88,1.1864551426702794e-181,5.6139572571066254e-111,5.031571816318911e-81,2.22346196601564e-27,2.6169497444175334e-33,3.919439256815342e-56,2.0662881734304783e-160,1.1965799108116862e-88,1.2720240758831253e-103,2.2185730834415302e-126,2.4236171985585332e-67,3.6555518306148955e-73,7.496228498621325e-128,5.1106939375117424e-148
1.2380358661368197e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525479456,0.6423999999999999,0.20189999999999983,5.8675001961893045e-96,2.6657477288110872e-132,8.107071154336917e-51,1.4760946918379977e-141,5.870210103782194e-108,1.863846807754425e-141,2.8660737905589986e-16,1.192625682113119e-71,2.4015951578685405e-111,2.676760495569754e-132,1.8879183492759874e-16,1.7938614370254665e-101,1.0690067119917182e-48,6.313744430358287e-132,3.300867808655258e-135,9.079786943821134e-76,9.730389044945436e-88,1.256256064468088e-178,1.840333060542816e-109,3.3055372916382224e-79,4.47824029774935e-27,1.0578129214247027e-32,6.389675108030844e-55,1.0863581576628995e-157,9.730389111751988e-88,2.0711614499643396e-102,1.4556869436382622e-124,9.79664822732931e-67,1.1926257151684916e-71,4.031608725362045e-125,1.1072211702920318e-144
2.4847293257431273e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525474668,0.6423999999999997,0.20189999999999964,7.609659731788117e-94,1.3879268778795294e-129,1.62708351139489e-50,3.8289395071583034e-139,1.9011656260627662e-106,2.4382981379023e-139,5.752190055175488e-16,3.853375262805616e-70,3.11499594605998e-109,1.3936606968813617e-129,3.789038924769845e-16,2.326733165588013e-99,8.621926406484715e-48,3.2872638170117546e-129,1.718422790322358e-132,2.912851840423187e-74,7.847911218419257e-87,1.3080155076174705e-175,5.960226113465392e-108,2.1432846394831474e-77,8.987796961215381e-27,4.2534191789018965e-32,1.0319342057179261e-53,5.636096162295825e-155,7.8479113261780115e-87,3.3428629083245864e-101,9.432634695482107e-123,3.939189222526177e-66,3.85337547713408e-70,2.115222185412339e-122,2.331812414975319e-141
4.978116244955743e-22,0.0005284065757894736,0.1557,0.0,0.0015551005525465094,0.6423999999999994,0.20189999999999925,9.804400747869574e-92,7.165857459344078e-127,3.259836303317282e-50,9.866780141893326e-137,6.120297443199484e-105,3.1550879868419956e-137,1.1524422584401359e-15,1.2390291000274025e-68,4.013618366210445e-107,7.1954611296134235e-127,7.591280075755021e-16,2.997955415797301e-97,6.925600170153319e-47,1.697212197010162e-126,8.87173960505848e-130,9.366051069213859e-73,6.3038689926099716e-86,1.3505886484396275e-172,1.9187363869312756e-106,1.3806493854860072e-75,1.8006910288141886e-26,1.7058112863739987e-31,1.6588039972387674e-52,2.90476432825955e-152,6.303869164907748e-86,5.371890881367272e-100,6.074352612338811e-121,1.5797914394253766e-65,1.239029238092341e-68,1.0962540399682473e-119,4.8424782259197775e-138
