Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418)
0.0,0.0005394621125486658,0.1557,0.0,0.0015876369972307235,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0858265411840336e-24,0.0005394621125486658,0.1557,0.0,0.0015876369972307191,0.6424,0.2019,-2.0961119895629517e-108,4.1949935900431066e-148,4.117464382031073e-52,-4.454342432284044e-155,-5.83717321286433e-116,9.169651016217667e-153,2.539866920501588e-18,6.793129555967107e-81,-1.5165673206543824e-123,4.1893313098842906e-148,1.6730418385347712e-18,-6.334537443399565e-114,2.045393559100872e-54,8.606846856707026e-148,4.8937708189206405e-151,6.588591466157627e-81,9.613621116412448e-93,1.4096039018890209e-195,-2.3515908387925746e-117,-3.988675087131518e-90,3.96854206328374e-29,1.708621530049317e-36,1.5632438390630842e-62,-5.75894218774308e-173,9.613621117664533e-93,4.216751691440441e-109,-3.053597438684886e-134,6.590814107464545e-70,6.793129551978433e-81,5.615456600015545e-141,-2.2992951518671883e-164,6.657477384805907e-152
3.0403143153152942e-24,0.0005394621125486658,0.1557,0.0,0.0015876369972307118,0.6424,0.2019,1.9342796558529671e-106,1.2189662686941433e-145,1.1528900269687003e-51,7.354249761235436e-153,5.767500763834369e-115,1.4999407665182044e-151,7.111627377404404e-18,3.9124950742558197e-79,1.452255804681371e-121,1.2173209435298973e-145,4.6845171478973475e-18,6.065915315557323e-112,3.0909990093842045e-53,2.5009247090742454e-145,1.370514723848379e-148,3.9830478328861946e-80,1.4528104123555008e-91,7.031781022327819e-193,2.3235222708607254e-116,2.0670068654103776e-88,1.1111917777194439e-28,1.0320074039549599e-35,4.915089079193347e-61,1.705713844995982e-170,1.4528104127086098e-91,1.189191436520562e-107,5.895016320930829e-133,3.980851720890599e-69,3.9124950763228267e-79,6.651146455088276e-139,1.3702776372662304e-161,1.4260210032962433e-149
6.949289863577815e-24,0.0005394621125486658,0.1557,0.0,0.0015876369972306966,0.6424,0.2019,4.123552259372327e-104,1.1570861815813016e-142,2.6351772044998865e-51,3.1619457034446574e-150,3.1810352766289204e-113,4.494264375058393e-149,1.625514829120986e-17,1.7545270129638138e-77,3.022766597857947e-119,1.155524380356211e-142,1.0707467766622437e-17,1.2625768916748325e-109,3.3251557021194792e-52,2.3739731571430393e-142,1.332236553541458e-145,1.9287212846636716e-79,1.5628671449606425e-90,1.3772038968529534e-189,1.2815267153474802e-114,2.1694077890407987e-86,2.53986692050157e-28,4.968671406460999e-35,1.0965293369785784e-59,1.4733946560733713e-167,1.5628671457287323e-90,2.5867511239170297e-106,6.224514624869034e-131,1.9166087424237147e-68,1.7545270151332215e-77,8.92114739076361e-136,8.417508080319653e-158,3.8089955283752937e-146
1.4767240960102857e-23,0.0005394621125486658,0.1557,0.0,0.0015876369972306662,0.6424,0.2019,6.59478714405596e-102,7.877727369909806e-140,5.599751559562259e-51,1.0121880404359962e-147,1.2519454848903335e-111,8.53917684237978e-147,3.454219011882007e-17,6.60096912025578e-76,4.840278177120695e-117,7.867094242962527e-140,2.2753369004072358e-17,2.0217318068936766e-107,3.056390965653485e-51,1.6162614537140336e-139,9.059238401031852e-143,8.847041693097553e-79,1.4365441637374466e-89,1.872301840503789e-186,5.043646000511495e-113,1.7320419513547318e-84,5.397217206065768e-28,2.1699493401428024e-34,2.053678089177439e-58,9.436944738748542e-165,1.4365441651613559e-89,4.79540062967613e-105,4.9199600447026596e-129,8.370333916201626e-68,6.600969137576199e-76,7.066607458144265e-133,2.8341382214014665e-154,6.035902828224046e-143
3.0403143153152944e-23,0.0005394621125486658,0.1557,0.0,0.0015876369972306055,0.6424,0.20189999999999997,9.402307638392398e-100,4.629634979546253e-137,1.1528900269687005e-50,2.8872954875592678e-145,4.423405753897504e-110,1.31455171701289e-144,7.111627377403769e-17,2.2857060228695562e-74,6.906623015025962e-115,4.623386033098999e-137,4.684517147897117e-17,2.884821681056419e-105,2.614806819344324e-50,9.498558518854257e-137,5.319558407756593e-140,5.17876572984903e-78,1.228993775294275e-88,2.198352387327741e-183,1.7820338831476294e-111,1.2337559634338384e-82,1.1111917777193946e-27,9.059111325142998e-34,3.5472181718512423e-57,5.384862382762237e-162,1.2289937777416107e-88,8.242068444211435e-104,3.487093438999878e-127,3.49444963953001e-67,2.285706035207116e-74,4.4436320153610176e-130,7.33898508660465e-151,7.592251900643454e-140
6.167494753925312e-23,0.0005394621125486658,0.1557,0.0,0.001587636997230484,0.6424,0.2018999999999999,1.2691326960360368e-97,2.536739189322974e-134,2.3387197689936485e-50,7.796147197428804e-143,1.4860793930307792e-108,1.839805379345704e-142,1.4426444108446174e-16,7.604687852815159e-73,9.32654547359486e-113,2.5333151726527527e-134,9.502877642876468e-17,3.895597100500595e-103,2.1619728436531242e-49,5.204594640207489e-134,2.913546015894917e-137,7.086194568973581e-77,1.0161558177892475e-87,2.407846867868718e-180,5.986888788337878e-110,8.32337183762917e-81,2.2541318919449426e-27,3.7009425559369075e-33,5.893756000652999e-56,2.9082819260327277e-159,1.0161558218455178e-87,1.3660623975119363e-102,2.3466540208144563e-125,1.4275966987425673e-66,7.604687936048878e-73,2.5139344554516165e-127,1.68458785527936e-147,8.5912237125967015e-137
1.2421855631145346e-22,0.0005394621125486658,0.1557,0.0,0.0015876369972302414,0.6423999999999999,0.20189999999999983,1.6678742110437153e-95,1.343255296432421e-131,4.710379253043545e-50,2.0493220553587933e-140,4.871574382949765e-107,2.4607397497670284e-140,2.905607757052651e-16,2.481033392638813e-71,1.2259372925280911e-110,1.341442209557733e-131,1.913959863283352e-16,5.1206073842552846e-101,1.7580804113231963e-48,2.7559397689385016e-131,1.5424577616687175e-134,1.91267262005207e-75,8.263210318312846e-87,2.5493431766575944e-177,1.9625851883554878e-108,5.468115531065721e-79,4.540012120395689e-27,1.49598014446312e-32,9.608309641508462e-55,1.5290392864648869e-156,8.263210384357497e-87,2.224278477170518e-101,1.5397255303344914e-123,5.770574109844511e-66,2.4810334473199676e-71,1.3520399031144541e-124,3.649624402055511e-144,9.241459028456593e-134
2.4930577385585416e-22,0.0005394621125486658,0.1557,0.0,0.0015876369972297561,0.6423999999999997,0.20189999999999964,2.1630941270878945e-93,6.9936855190423e-129,9.453698221143326e-50,5.315871820460678e-138,1.5777407601422366e-105,3.219157778937642e-138,5.831534449466928e-16,8.016222390621958e-70,1.5901055104670352e-108,6.984245646025427e-129,3.841304061274103e-16,6.641698615638501e-99,1.4179555425682551e-47,1.4348856462110634e-128,8.029993089993806e-132,6.030823444794972e-74,6.664578423754901e-86,2.6542957581246645e-174,6.356160049110609e-107,3.5454835280071016e-77,9.111772577295783e-27,6.015270287868655e-32,1.5517445262089192e-53,7.932754395305015e-154,6.664578530335648e-86,3.5899944019745015e-100,9.977192216095025e-122,2.3203224776417737e-65,8.016222745170308e-70,7.093606981827536e-122,7.686124203733954e-141,9.697466691306768e-131
4.994802089446555e-22,0.0005394621125486658,0.1557,0.0,0.0015876369972287856,0.6423999999999994,0.20189999999999925,2.7869632024863713e-91,3.610835289204888e-126,1.8940336157342866e-49,1.3698450540283899e-135,5.079117035107548e-104,4.165497933537738e-136,1.1683387834288328e-15,2.577566971004256e-68,2.0488234287136924e-106,3.605961488894405e-126,7.695992457252968e-16,8.557713711828918e-97,1.1389790035199845e-46,7.4083054385441e-126,4.145662409431396e-129,1.9349242389051258e-72,5.353351739818405e-85,2.7406442072672834e-171,2.0461967896645938e-105,2.283910199821162e-75,1.8255293491090378e-26,2.4123923628762835e-31,2.494383853038431e-52,4.088429527263331e-151,5.353351910889877e-85,5.769024538835367e-99,6.42503239242422e-120,9.305531479169754e-65,2.577567199395276e-68,3.676396392441714e-119,1.596178508165371e-137,1.005191051411137e-127
