Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376)
0.0,0.000539690409995138,0.1557,0.0,0.0015883088766156911,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1001692783979964e-24,0.000539690409995138,0.1557,0.0,0.001588308876615687,0.6424,0.2019,-2.345688208541295e-108,4.874729865312984e-148,4.32265428269663e-52,-5.214775395268141e-155,-6.503160044440392e-116,1.0584966997240501e-152,2.5739606202712015e-18,7.359535698771355e-81,-1.7173631539871088e-123,4.8676391362854944e-148,1.6954997813838977e-18,-7.089439030073525e-114,2.1485939099657e-54,9.972606903628028e-148,5.67810476349192e-151,7.009733568033331e-81,1.0439496207134691e-92,1.7069740879129379e-195,-2.6332527705574272e-117,-4.357775594021572e-90,4.021813469173762e-29,1.7661616790382527e-36,1.6606831275683723e-62,-6.832594737511887e-173,1.0439496208516457e-92,4.661241820231285e-109,-3.4636505172318657e-134,7.012141171950524e-70,7.359535694413578e-81,6.47192733822951e-141,-2.7191094573236743e-164,7.774228795764772e-152,2.613265770543793e-170
3.08047397951439e-24,0.000539690409995138,0.1557,0.0,0.0015883088766156792,0.6424,0.2019,2.1645867345928076e-106,1.4164814340379586e-145,1.210343199155056e-51,8.609745368107322e-153,6.4255381756949425e-115,1.731453491724146e-151,7.207089736759316e-18,4.2387151324206487e-79,1.644536465281106e-121,1.414421035554593e-145,4.747399387874898e-18,6.788803467524252e-112,3.2469547666850705e-53,2.897778335197001e-145,1.5901694899603945e-148,4.2377121345283545e-80,1.5776166073198587e-91,8.515156189776193e-193,2.6018222045659383e-116,2.2582813475700926e-88,1.12610777136865e-28,1.0667616539350006e-35,5.221452682825302e-61,2.0237135665465458e-170,1.5776166077095366e-91,1.3145447253522166e-107,6.686629830866018e-133,4.235333267838678e-69,4.2387151346789294e-79,7.665581160706538e-139,1.6204683558045453e-161,1.665227435955072e-149,6.190203829672725e-169
7.041083381747177e-24,0.000539690409995138,0.1557,0.0,0.0015883088766156638,0.6424,0.2019,4.614527417225068e-104,1.3445745962830437e-142,2.7664987409258426e-51,3.7017436501490787e-150,3.5439724180915967e-113,5.187944081406804e-149,1.6473347969735365e-17,1.9008177600573438e-77,3.4229850114780946e-119,1.3426187927035336e-142,1.0851198600856831e-17,1.4130408785213176e-109,3.492925746775611e-52,2.7506817753009222e-142,1.5457564074509728e-145,2.0522511690334525e-79,1.6971279508614192e-90,1.667722285016271e-189,1.4350216087172328e-114,2.370158130448324e-86,2.5739606202711826e-28,5.135998159581677e-35,1.1648773637977288e-59,1.7480826357527827e-167,1.6971279517090534e-90,2.859421899196578e-106,7.060374874034482e-131,2.039130652774064e-68,1.9008177624275013e-77,1.0281801142841836e-135,9.954407986807836e-158,4.447930663103598e-146,3.814601389594948e-166
1.496230218621275e-23,0.000539690409995138,0.1557,0.0,0.001588308876615633,0.6424,0.2019,7.38000252253074e-102,9.154194614299433e-140,5.878809824467414e-51,1.1849857655670582e-147,1.39478499319935e-111,9.857179727585665e-147,3.500586443568675e-17,7.15135146839388e-76,5.48113759550038e-117,9.140879022405702e-140,2.3058797026820435e-17,2.2626659062991212e-107,3.210600537367925e-51,1.872734298506776e-139,1.0511178185783345e-142,9.421797436156988e-79,1.5599529751029685e-89,2.267255752155074e-186,5.647748821457561e-113,1.8923197992338445e-84,5.4696663180761915e-28,2.2430253292149666e-34,2.181686378240047e-58,1.1196293646357331e-164,1.55995297667434e-89,5.300886291269592e-105,5.580637907262621e-129,8.905419288076407e-68,7.151351487317076e-76,8.144406661877356e-133,3.35160569161762e-154,7.048387670722504e-143,1.4781495468853956e-163
3.08047397951439e-23,0.000539690409995138,0.1557,0.0,0.0015883088766155714,0.6424,0.20189999999999997,1.0521803443866111e-99,5.379797700826176e-137,1.2103431991550557e-50,3.3802059664899445e-145,4.928089951672528e-110,1.5174498381581062e-144,7.207089736758664e-17,2.4762859549662347e-74,7.821069301635784e-115,5.371972305619043e-137,4.7473993878746586e-17,3.2286120447225742e-105,2.746736354287253e-50,1.1005816136682037e-136,6.172133220734514e-140,5.542317707625092e-78,1.3345726114660396e-88,2.662082657792273e-183,1.9954770342596294e-111,1.3479239547498796e-82,1.1261077713685986e-27,9.364189193788286e-34,3.768320656695705e-57,6.388773289156073e-162,1.3345726141668248e-88,9.110869143043106e-104,3.955358509825081e-127,3.717837249100565e-67,2.476285968445474e-74,5.121374915291832e-130,8.678964205015926e-151,8.865804534616502e-140,4.5989904600356235e-161
6.24896150130062e-23,0.000539690409995138,0.1557,0.0,0.0015883088766154485,0.6424,0.2018999999999999,1.4202433364306465e-97,2.947779623491756e-134,2.4552676325716846e-50,9.127082206589371e-143,1.6556321828434665e-108,2.1237752288205046e-142,1.4620096323137497e-16,8.23875928552042e-73,1.0561392785973505e-112,2.9434918153206564e-134,9.630438758259465e-17,4.3598437301545657e-103,2.2710547343794076e-49,6.030474167170756e-134,3.3805050672581104e-137,7.648349372381585e-77,1.1034504410175342e-87,2.915767422816465e-180,6.703968536376648e-110,9.093591127896107e-81,2.284390050490468e-27,3.8255768191572744e-33,6.261121082632952e-56,3.4504788727635505e-159,1.1034504454938773e-87,1.5100597415278118e-102,2.6617749460633093e-125,1.5188578262033487e-66,8.238759376456331e-73,2.897359820324184e-127,1.992166154055198e-147,1.0032347601022483e-136,1.2941449102437596e-158
1.258593654487308e-22,0.000539690409995138,0.1557,0.0,0.0015883088766152026,0.6423999999999999,0.2018999999999998,1.8664614355578927e-95,1.560909614925079e-131,4.945116499404941e-50,2.3991762071145656e-140,5.427391946105361e-107,2.8405494310939335e-140,2.9446109495890573e-16,2.687899528916998e-71,1.3882530580484093e-110,1.5586391327799085e-131,1.9396517499027384e-16,5.730841105577451e-101,1.8467839932724856e-48,3.193259944838686e-131,1.7896701304330514e-134,2.0707270200318336e-75,8.973075693454824e-87,3.087110760532388e-177,2.1976538761629486e-108,5.974118162622702e-79,4.600954608733848e-27,1.5463593059288436e-32,1.0207207432043576e-54,1.8141012070649155e-156,8.97307576633913e-87,2.458740821961268e-101,1.7464878946141775e-123,6.13946617848927e-66,2.6878995886581794e-71,1.558253072920304e-124,4.315986361335798e-144,1.079165581126039e-133,3.471000963830721e-156
2.5259886632018e-22,0.000539690409995138,0.1557,0.0,0.0015883088766147108,0.6423999999999997,0.2018999999999996,2.4206452389001467e-93,8.126907070475521e-129,9.924814233071444e-50,6.223381607194128e-138,1.7577515645685542e-105,3.716027587409347e-138,5.909813584137836e-16,8.684607165158782e-70,1.8006376427962857e-108,8.115085759854753e-129,3.8928674980556453e-16,7.43320402556489e-99,1.489498194917937e-47,1.6625772851875535e-128,9.316973943798102e-132,6.532245144208191e-74,7.237110559924655e-86,3.214202023424623e-174,7.117469269885066e-107,3.873571692286419e-77,9.234083725219171e-27,6.217842676680102e-32,1.6484666757200372e-53,9.411674013491927e-154,7.23711067754285e-86,3.9684175683183033e-100,1.1316981554294576e-121,2.4686523567236808e-65,8.68460755251595e-70,8.175524146679617e-122,9.089485265377349e-141,1.1324155896747485e-130,9.093578209406244e-154
5.060778680630784e-22,0.000539690409995138,0.1557,0.0,0.0015883088766137272,0.6423999999999994,0.20189999999999922,3.118795949336101e-91,4.1959168364919183e-126,1.988420970040442e-49,1.6037009158508722e-135,5.658613974076049e-104,4.8084332285597055e-136,1.1840218853228042e-15,2.7924819791793384e-68,2.320090435458603e-106,4.189813501497847e-126,7.79929899435875e-16,9.577554725418144e-97,1.1964459525434788e-46,8.583875911252545e-126,4.810094876049509e-129,2.095925608744416e-72,5.813240678374743e-85,3.318764906539517e-171,2.291280058138e-105,2.495256238150131e-75,1.850034195818408e-26,2.493632948104527e-31,2.6498618718155113e-52,4.8506437977297746e-151,5.8132408671601e-85,6.37714039711024e-99,7.287819205829935e-120,9.900400686453675e-65,2.7924822287049622e-68,4.237120486588036e-119,1.8876146987934787e-137,1.1738055442463291e-127,2.3549203776181448e-151
