Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63)
0.0,0.0005367589272267694,0.1557,0.0,0.001579681522828382,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1175905712433567e-24,0.0005367589272267694,0.1557,0.0,0.0015796815228283777,0.6424,0.2019,-2.0061121652404523e-108,-7.391140488355409e-143,2.776863099601631e-52,-2.997770385350979e-155,-4.0683415475484204e-116,6.064412136806554e-153,2.6076085816073136e-18,6.604730097886396e-81,5.976226712639475e-119,-3.937620319125757e-139,1.7176641107990807e-18,-6.055903303213956e-114,1.9832927505369275e-54,7.882474987152478e-148,-4.0751211379597256e-141,4.561304343308969e-81,6.278865066756611e-93,-1.0064156025799823e-192,-1.5427646164170703e-117,-4.221414267250497e-90,4.074388408761441e-29,1.6677922536539313e-36,1.5954266254401058e-62,1.543124347370823e-164,6.278865067568723e-93,2.6810369727016573e-109,-2.0679176500927067e-134,4.563469169675539e-70,6.604729893907705e-81,5.479894716171418e-141,-2.678252381617578e-147,6.686812034525905e-152,1.4373902471084307e-170,1.9975728157845395e-88
3.1292535994813988e-24,0.0005367589272267694,0.1557,0.0,0.0015796815228283699,0.6424,0.2019,1.8512283538807572e-106,1.426985973900686e-141,7.775216678884567e-52,4.949406668341044e-153,4.0197819619953514e-115,9.91993600754005e-152,7.301304028500435e-18,3.8039865786601885e-79,1.685547924921736e-117,3.891317653959231e-138,4.809459510237409e-18,5.7990969284281555e-112,2.9971523258515395e-53,2.2904424911443964e-145,4.026480614683729e-140,2.7584743656031333e-80,9.488621536513577e-92,1.9904678938131293e-191,1.5243502307260835e-116,2.1876167098631016e-88,1.1408287544532e-28,1.0073465210118649e-35,5.016276975597149e-61,1.1497209354885875e-162,9.488621538803872e-92,7.560953731886426e-108,3.992146581996718e-133,2.7563353784715563e-69,3.8039865571326205e-79,6.490581829312073e-139,1.0613678140679958e-145,1.4323043700987542e-149,3.690817480809902e-169,2.371518447677237e-87
7.152579655957483e-24,0.0005367589272267694,0.1557,0.0,0.0015796815228283543,0.6424,0.2019,3.946501121703455e-104,1.507656429350809e-139,1.777192383745044e-51,2.1279879793066137e-150,2.2170899979530675e-113,2.972307515566287e-149,1.6688694922286487e-17,1.7058672416681787e-77,3.6686848738823834e-116,2.1469567217755853e-136,1.0993050309113997e-17,1.2070405473794662e-109,3.2241997264799877e-52,2.1741750396371907e-142,2.2207847205275247e-138,1.3388543075803397e-79,1.0207426100751558e-90,2.9506433494571676e-189,8.407475036886315e-115,2.2959927180898783e-86,2.6076085816072967e-28,4.849939870698994e-35,1.119103800452144e-59,7.678828603845649e-160,1.0207426105733457e-90,1.6446726011422347e-106,4.2152851857741797e-131,1.327056834522949e-68,1.7058672416358007e-77,8.705783091426972e-136,2.922199862215348e-143,3.8257788909232735e-146,2.4809843036895714e-166,2.3283708764021147e-86
1.519923176890965e-23,0.0005367589272267694,0.1557,0.0,0.001579681522828323,0.6424,0.2019,6.3116296820945025e-102,1.1978380014878978e-137,3.776533815458218e-51,6.812020770553848e-148,8.725699567868775e-112,5.647435262584265e-147,3.5463476709857865e-17,6.417898892597181e-76,6.836697968848238e-115,8.455723509814683e-135,2.3360231906866906e-17,1.932802889320105e-107,2.963595031196663e-51,1.48023367353656e-139,8.740248412749177e-137,6.259913589058733e-79,9.382383170354831e-90,1.3823626719995342e-186,3.308891446172868e-113,1.8331065851149487e-84,5.541168235915434e-28,2.118096159116301e-34,2.0959575607542808e-58,3.017372052116793e-157,9.382383179590433e-90,3.04894583087334e-105,3.3318316389515065e-129,5.7956058452951584e-68,6.41789890886883e-76,6.896013378625841e-133,5.23300663005377e-141,6.062498490675538e-143,1.1133575101245699e-163,2.0594176749701016e-85
3.129253599481399e-23,0.0005367589272267694,0.1557,0.0,0.0015796815228282608,0.6424,0.20189999999999997,8.998604906483654e-100,8.850093966281956e-136,7.775216678884566e-51,1.9431485099536214e-145,3.082986451378664e-110,8.693866764214817e-145,7.301304028499767e-17,2.2223146148338224e-74,1.2255464957523249e-113,2.9922153007024483e-133,4.809459510237164e-17,2.757928454899418e-105,2.5354179437576267e-50,8.699140561340183e-137,3.088171934589977e-135,4.0600553304738344e-78,8.026826327722361e-89,1.4441605272568373e-183,1.1691059746312632e-111,1.305745613443917e-82,1.1408287544531475e-27,8.842634501655427e-34,3.6202454442053756e-57,9.446785436929764e-155,8.026826343595995e-89,5.240358898485782e-104,2.3614842818156493e-127,2.4195513535915363e-67,2.2223146277181726e-74,4.336358856015564e-130,7.855530882160366e-139,7.625705218697035e-140,4.414594906559632e-161,1.7310646496642843e-84
6.347914444662266e-23,0.0005367589272267694,0.1557,0.0,0.0015796815228281364,0.6424,0.2018999999999999,1.214640505491436e-97,7.924632516139575e-134,1.577258240573726e-50,5.246803408781086e-143,1.0357545496351294e-108,1.2167664037291031e-142,1.481121674352654e-16,7.39378064510031e-73,2.711324751449407e-112,1.01021019761448e-131,9.756332149337677e-17,3.724243394355814e-103,2.0963325860907235e-49,4.766565293537816e-134,1.0377430644061482e-133,6.499873162531124e-77,6.63673521821065e-88,1.5700290459454452e-180,3.92770727775412e-110,8.809040511621295e-81,2.3142526161762636e-27,3.61250471006023e-33,6.0150919037691205e-56,2.666472162092295e-152,6.636735244519943e-88,8.685510643614594e-103,1.5891706782992014e-125,9.88465675904778e-67,7.393780733048793e-73,2.4532458818920464e-127,1.08670241688703e-136,8.629078747049887e-137,1.7779035656257071e-158,1.4192313939286654e-83
1.2785236135024001e-22,0.0005367589272267694,0.1557,0.0,0.0015796815228278872,0.6423999999999999,0.2018999999999998,1.5962614313752887e-95,1.5612486484486226e-131,3.1767313859442636e-50,1.3791927819109753e-140,3.395347082283068e-107,1.6274251402526198e-140,2.983104217357534e-16,2.4122248047492796e-71,1.33424072235847e-110,3.4417451197889762e-130,1.965007742753697e-16,4.895369753657839e-101,1.704702843999559e-48,2.523994204635227e-131,3.414902659924696e-132,1.8466711924203548e-75,5.396882837899559e-87,1.6615601065008882e-177,1.287556926520641e-108,5.787180022174812e-79,4.6611003396221246e-27,1.4602321531463722e-32,9.806117780288913e-55,7.162657250415768e-150,5.396882880736214e-87,1.41421027688365e-101,1.0427130277059386e-123,3.995536304913094e-66,2.4122248626095863e-71,1.319400479620849e-124,1.4453344057120902e-134,9.282179163866061e-134,7.642618395339852e-156,1.149330391516819e-82
2.565987951574747e-22,0.0005367589272267694,0.1557,0.0,0.001579681522827389,0.6423999999999997,0.2018999999999996,2.070218306591372e-93,6.429761906413389e-129,6.375677676685334e-50,3.577579238672098e-138,1.09963988348323e-105,2.1290095230414363e-138,5.9870693033654e-16,7.793901740014958e-70,1.3725726868918202e-108,1.7070297534219363e-128,3.943756798392864e-16,6.349553490578025e-99,1.374904600786602e-47,1.314122708171474e-128,1.1738222559419988e-130,5.867417008587189e-74,4.352781489698572e-86,1.7299340257148757e-174,4.1699682369561066e-107,3.7523624564064965e-77,9.354795786512364e-27,5.871529186926055e-32,1.5836905912305635e-53,1.8779635175454724e-147,4.3527815588214366e-86,2.2825411716487408e-100,6.75662548573381e-122,1.60658758415057e-65,7.793902115241952e-70,6.92236112454362e-122,1.8855984704328387e-132,9.740196118828869e-131,3.508349599468087e-153,9.250811131527094e-82
5.14091662771944e-22,0.0005367589272267694,0.1557,0.0,0.0015796815228263923,0.6423999999999994,0.20189999999999922,2.6673005859093746e-91,3.210549259532309e-126,1.2773570258167454e-49,9.21905076605776e-136,3.5399983359145886e-104,2.7548773404098705e-136,1.1994999475373548e-15,2.5060811302493147e-68,1.71115377955327e-106,3.552842250454788e-126,7.901254909668428e-16,8.181289761936779e-97,1.1043981458703259e-46,6.784807128121411e-126,7.281121626119286e-129,1.8843313192770417e-72,3.496390751581924e-85,1.786218459357577e-171,1.3424104419404645e-105,2.4171763333425134e-75,1.874218668028692e-26,2.3547457523308073e-31,2.5457362123750636e-52,4.865136364407007e-145,3.4963908624585e-85,3.667982653609201e-99,4.3510779859202354e-120,6.443135380760141e-65,2.506081371966205e-68,3.587644985899991e-119,2.436584902807128e-130,1.0096201730193543e-127,1.688598911109705e-150,7.4231942730832135e-81
1.0290773980008827e-21,0.0005367589272267694,0.1557,0.0,0.0015796815228243993,0.6423999999999989,0.20189999999999841,3.425338644119295e-89,1.6436841078197057e-123,2.5569355421131625e-49,2.3678453576719434e-133,1.1361951641192181e-102,3.545397624915404e-134,2.401085981935951e-15,8.038765171454358e-67,2.1883263827016597e-104,1.654541684482929e-123,1.5816251132208478e-15,1.0506660835120975e-94,8.853118109828479e-46,3.4883611975964744e-123,2.034197812446338e-126,6.0461256820146036e-71,2.8027898674404984e-84,1.8366888657942206e-168,4.3085903089774295e-104,1.5520250705435222e-73,3.7516968467812326e-26,9.431264799797673e-31,4.082667432518573e-51,1.25289432453114e-142,2.8027900426335925e-84,5.881535450433333e-98,2.7933093455321295e-118,2.5806187768094938e-64,8.038766723478832e-67,1.8480657580419578e-116,3.133648103553457e-128,1.040156149674543e-124,8.364681576944271e-148,5.947597106677294e-80
2.0590488684587604e-21,0.0005367589272267694,0.1557,0.0,0.0015796815228204131,0.6423999999999976,0.20189999999999683,4.391611070534675e-87,8.428763857874937e-121,5.116092574705966e-49,6.071646546470849e-131,3.6412668251372005e-101,4.5504056078183724e-132,4.804258050721011e-15,2.575497608035632e-65,2.8042091266805604e-102,8.431583717398324e-121,3.1646243577244255e-15,1.3470718553503363e-92,7.089674682568191e-45,1.7897725793907145e-120,9.889279184739205e-124,1.9375839898439414e-69,2.2445049495147152e-83,1.884671139731265e-165,1.3808126852294136e-102,9.94909338963458e-72,7.506653204276831e-26,3.774963379678494e-30,6.539868214521943e-50,3.216942394225515e-140,2.244505196848898e-83,9.420681136675224e-97,1.7904815941333481e-116,1.0329450749831175e-63,2.575498602944923e-65,9.490852227237325e-114,4.020696574235236e-126,1.0683599861940521e-121,4.210229227608371e-145,4.761796693895601e-79
4.118991809374516e-21,0.0005367589272267694,0.1557,0.0,0.0015796815228124408,0.6423999999999952,0.20189999999999367,5.625858337190046e-85,4.319743470404756e-118,1.0234406639891452e-48,1.5556174286912548e-128,1.16607706610959e-99,5.8324016032520385e-130,9.6106021882426e-15,8.246541172912284e-64,3.59211065910698e-100,4.319495639370041e-118,6.3306228467138545e-15,1.7256731056631356e-90,5.674613227567901e-44,9.173196885610554e-118,5.051035655825503e-121,6.20487744543785e-68,1.796513897379157e-82,1.931902861245998e-162,4.421906117237072e-101,6.372585008292122e-70,1.50165659192301e-25,1.510476744493149e-29,1.0469869447993128e-48,8.247607951463053e-138,1.796513866966419e-82,1.5081284109556934e-95,1.1467941337340921e-114,4.1347294420437667e-63,8.246547545497254e-64,4.866690908070216e-111,5.155042430044319e-124,1.0956625204446634e-118,2.1379682107679282e-142,3.812189941131384e-78
8.238877691206025e-21,0.0005367589272267694,0.1557,0.0,0.001579681522796496,0.6423999999999904,0.20189999999998734,7.204036331591396e-83,2.2128422047613214e-115,2.0471034770261946e-48,3.9840119471194394e-126,3.732855481489618e-98,7.470539972252785e-128,1.922329046309165e-14,2.639683311348152e-62,4.599754777297981e-98,2.2126610588366973e-115,1.2662619824621805e-14,2.2097699287034066e-88,4.540840255457253e-43,4.699121647048196e-115,2.5869077146031084e-118,1.9863019582279197e-66,1.4375805751550466e-81,1.9792916807197435e-159,1.4155442186052692e-99,4.0801050488114246e-68,3.003639134898492e-25,6.042887987914508e-29,1.6756644348435661e-47,2.1129610975900955e-135,1.4375750665605124e-81,2.4136722893364225e-94,7.342351977014689e-113,1.6644285963032333e-62,2.639687391453198e-62,2.4936349578866172e-108,6.652717656256382e-122,1.1228099093259404e-115,1.098102914446031e-139,3.067031986805488e-77
1.6478649454869044e-20,0.0005367589272267694,0.1557,0.0,0.0015796815227646067,0.6423999999999808,0.20189999999997468,9.223033363419292e-81,1.1332673496734914e-112,4.094429103100102e-48,1.0201150124695071e-123,1.1948119234411308e-96,9.565909415250432e-126,3.8448667012013256e-14,8.448238527551921e-61,5.888881811560796e-96,1.133172844666348e-112,2.5326613780154076e-14,2.8290828293611163e-86,3.6331321301711465e-42,2.406571799745368e-112,1.3248194896936697e-115,6.357353790203238e-65,1.1502843822051558e-80,2.0273168989328273e-156,4.5308722193323325e-98,2.61179166844274e-66,6.007604220788769e-25,2.417349878848842e-28,2.68144738376214e-46,5.411225745359993e-133,1.1502056643917736e-80,3.862647163543016e-93,4.700309093230647e-111,7.315509006923447e-62,8.448264645468602e-61,1.2772245366296984e-105,9.549739976087248e-120,1.150193129562459e-112,6.286578541522366e-137,2.667647836965185e-76
3.295819298219508e-20,0.0005367589272267694,0.1557,0.0,0.0015796815227008278,0.6423999999999616,0.20189999999994934,1.1806642537819912e-78,5.803061992614223e-110,8.189080355247149e-48,2.61176528788956e-121,3.827618227330659e-95,1.2254410911674617e-123,7.689942010675043e-14,2.703628649910713e-59,7.538514719573418e-94,5.802577510244722e-110,5.0654601690084087e-14,3.621584871703749e-84,2.9066896868042155e-41,1.232319216462235e-109,6.78392209687592e-113,2.0345432932443397e-63,9.212436478689788e-80,2.0762436057324878e-153,1.4514795433425198e-96,1.6717095180408942e-64,1.2015534392326577e-24,9.669776638286356e-28,4.29061036014609e-45,1.385551253508881e-130,9.202228331813033e-80,6.18684223238608e-92,3.011455853418921e-109,7.13313318379747e-61,2.7036453670058926e-59,6.540623186091838e-103,3.335989773136218e-117,1.1780201575455973e-109,8.759301329993243e-134,4.87095165545081e-75
6.591728003684716e-20,0.0005367589272267694,0.1557,0.0,0.0015796815225732703,0.6423999999999231,0.2018999999998987,1.511315491465452e-76,2.971338079981097e-107,1.6378382859538174e-47,6.686679973248295e-119,1.2446911318672495e-93,1.5850554459524566e-121,1.538009262838008e-13,8.651868171671842e-58,9.649719854358688e-92,2.971089992430974e-107,1.0131057750540601e-13,4.635830968850204e-82,2.3254253485977772e-40,6.309821907120177e-107,3.473565339333027e-110,6.5108427155618185e-62,7.492904404215735e-79,2.1262802871207483e-150,4.7200273465688686e-95,1.0699398191926676e-62,2.403139473443121e-24,3.867976274560195e-27,6.865170912376071e-44,3.547447536180761e-128,7.362022751380214e-79,1.0059561970712711e-90,1.9581741169718414e-107,2.9777986321875883e-59,8.651975165653758e-58,3.3491104681626777e-100,4.755813474106861e-114,1.2064049243946617e-106,4.990312056459474e-130,3.8928615488157035e-73
1.318354541461513e-19,0.0005367589272267694,0.1557,0.0,0.0015796815223181554,0.6423999999998462,0.20189999999979738,1.934502580972387e-74,1.5213507854340092e-104,3.275698786810798e-47,1.7123613381698268e-116,4.996806232237876e-92,2.3640396335892635e-119,3.076039385882054e-13,2.7686060643979448e-56,1.2351765233165274e-89,1.5212237612859695e-104,2.0262252911789746e-13,5.933923133591369e-80,1.8603697317180176e-39,3.2306687168206676e-104,1.7784947552323385e-107,2.0835183531818563e-60,7.565467350504255e-78,2.17805166857114e-147,1.8948862188230028e-93,6.847679414980913e-61,4.8063115414756515e-24,1.5471957885131422e-26,1.0984296740441892e-42,9.082490968841591e-126,5.889802209033482e-78,2.032534817632696e-89,1.5778502902744365e-105,1.8423057052828473e-57,2.7686745411920904e-56,1.7148197476870756e-97,9.474521297109335e-111,1.2354128696837165e-103,3.9764313574134405e-126,4.795588370732646e-71
2.6367180236475966e-19,0.0005367589272267694,0.1557,0.0,0.0015796815218079255,0.6423999999996924,0.20189999999959476,2.476116408624415e-72,7.789198205968356e-102,6.551419788519927e-47,4.39491730796899e-114,6.78927229577148e-90,9.888799410486321e-117,6.152099629982304e-13,8.85934275628895e-55,1.5809965762243105e-87,7.78854784574728e-102,4.0524643227027087e-13,7.595280484154766e-78,1.4883076080288882e-38,1.654062354025207e-101,9.105750769883691e-105,6.66733680588234e-59,2.6162254210055427e-76,2.236062640517554e-144,2.5747615338571665e-91,4.382430838949263e-59,9.612655675987136e-24,6.188730950555554e-26,1.7574470412900193e-41,2.3256981681537594e-123,4.713041439470203e-77,1.4738158271633171e-87,4.535472074862198e-103,1.1765126540873992e-55,8.859780999372781e-55,8.78002321776719e-95,1.9370114107804567e-107,1.2650838642608606e-100,3.2518326104936727e-122,6.123389937364144e-69
5.273444988019764e-19,0.0005367589272267694,0.1557,0.0,0.0015796815207874658,0.6423999999993848,0.2018999999991895,3.169248227229941e-70,3.987851358596402e-99,1.3102861791921549e-46,1.1482877818098948e-111,2.8746660422080867e-87,1.5320742196076237e-113,1.230422011023143e-12,2.834823925308141e-53,2.023561346943603e-85,3.987518385982061e-99,8.104942382845794e-13,9.721409974063132e-76,1.1906509491810923e-37,8.468182329353511e-99,4.661885342289147e-102,2.1335605029339282e-57,2.7833402257375143e-74,2.3368844093118282e-141,1.0902040183049663e-88,2.8045949196978694e-57,1.9225343938795792e-23,2.4754317329422306e-25,2.8117475682996525e-40,5.965443048574163e-121,3.7853268177862895e-76,3.5133158539008766e-85,4.3142023115463087e-100,7.528229073007412e-54,2.8351043848000325e-53,4.49536191103885e-92,3.9665351657260796e-104,1.2954430251220268e-97,2.6635934109780637e-118,7.836659559402392e-67
