Time (s),Volume (m^3),Ne,N2,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(52),COX(53),CHOX(64),CH2O2X(54),CH3OX(48),SX(57),OCO(174),SX(231),CH3X(25),CH4(24),CH4X(249),CH3O2X(51),C2HO2X(68),SX(130),SX(55),SX(162)
0.0,0.000897708597878115,0.0,0.0,0.0024417673862284725,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.753586588445524e-25,0.000897708597878115,0.0,0.0,0.0024417673862284677,0.8,0.1,0.1,-3.8399973699283045e-76,2.898795914347315e-49,1.3340783874313366e-45,-3.3148974800871405e-116,1.0046176104113033e-143,2.09646664063839e-18,2.642318480505123e-51,5.336900681271654e-51,4.522705980974836e-80,6.418956769613794e-19,3.0481706954439915e-21,6.564712323671774e-47,1.797720940816422e-45,1.0761985960059865e-48,2.139496293699503e-67,2.550675140357729e-89,2.7241592297538935e-87,-2.3683928146850647e-134,2.2787680876504295e-18,2.2801738830392005e-22,9.110217847543427e-46,7.95289324525053e-64,2.550675140357729e-89,1.8216844107997823e-163,-2.022409668938428e-113,-1.18006093421809e-131,1.0690646925772272e-120,-2.2902265519780063e-149,-2.3125197367209288e-167,2.4194629828575324e-88,2.85270264815144e-74,-2.1723027703445508e-163,-5.5908894190939425e-117,-5.847077781984146e-184
1.3310042447647467e-24,0.000897708597878115,0.0,0.0,0.002441767386228458,0.8,0.1,0.1,3.794181843164886e-75,8.116628560172482e-49,3.7354194848077426e-45,3.2753308427359167e-115,2.7498884215013644e-142,5.870106593787465e-18,1.5959603625315285e-50,8.06512407334126e-50,2.964628097039597e-79,1.7973078954911796e-18,8.534877947173364e-21,9.920592691810169e-46,1.0858234482488796e-44,6.500239519869469e-48,1.292255761394496e-66,3.8545801598066775e-88,4.116749308033414e-86,3.975383311975507e-133,6.380550645421184e-18,6.384486872505839e-22,5.502571579916209e-45,4.8035475201298327e-63,3.8545801598066775e-88,9.157694920492156e-162,1.9982701669433821e-112,1.980750193809534e-130,3.014933398694128e-119,4.4213171477283396e-148,7.804586089452678e-166,3.656292353164449e-87,8.045077453013966e-73,2.1463741664699711e-162,5.524156443362738e-116,9.900234712015802e-183
3.0422954166051353e-24,0.000897708597878115,0.0,0.0,0.00244176738622844,0.8,0.1,0.1,2.092657837766767e-73,1.855229385182282e-48,8.538101679560555e-45,1.8064918207109498e-113,6.746877908663724e-140,1.3417386500085502e-17,7.683862149512973e-50,8.676092428544678e-49,5.175533683456019e-78,4.108132332548048e-18,1.950829245035286e-20,1.0672120875680204e-44,5.227772495830562e-44,3.1295855171753755e-47,6.221655222078097e-66,4.1465814336024745e-87,4.4286110392018744e-85,4.686213093225671e-131,1.4584115760962623e-17,1.4593112851423434e-21,2.6492513500655965e-44,2.312701355716621e-62,4.1465814336024745e-87,4.4134659459838593e-159,1.1021355968669116e-110,2.3349238976796134e-128,6.558138667811793e-118,4.668443939293597e-146,1.7048038399074868e-163,3.933272459994523e-86,1.7499800628920291e-71,1.1838215921884627e-160,3.0468199721179817e-114,1.271993048730322e-180
6.4648777602859125e-24,0.000897708597878115,0.0,0.0,0.002441767386228404,0.8,0.1,0.1,8.235976415504133e-72,3.942362443512349e-48,1.814346606906618e-44,7.109727125237817e-112,1.1349013271597006e-137,2.851194631268113e-17,3.3557444861746843e-49,7.9748236984854e-48,9.049487812927204e-77,8.72978120665086e-18,4.145512145559485e-20,9.809517725751305e-44,2.283105594771143e-43,1.3667722169172351e-46,2.7171602929983092e-65,3.8114227298998754e-86,4.0706565266898567e-84,3.704233513315364e-129,3.099124599204523e-17,3.1010364809195888e-21,1.1569976666379817e-43,1.0100174421445094e-61,3.8114227298998754e-86,1.4861225903312496e-156,4.337624592977522e-109,1.845648753178292e-126,1.2157683827706317e-116,3.6900158554231393e-144,2.6997209952375424e-161,3.6153550332659343e-85,3.244168106333273e-70,4.659112423444168e-159,1.1991229824023915e-112,1.7511326401253827e-178
1.3310042447647466e-23,0.000897708597878115,0.0,0.0,0.0024417673862283315,0.8,0.09999999999999999,0.1,2.90995617206811e-70,8.116628560172483e-48,3.735419484807743e-44,2.512026944016901e-110,1.6556214406811265e-135,5.870106593787061e-17,1.4009572861238166e-48,6.822629570980064e-47,1.5258187268494176e-75,1.7973078954812776e-17,8.534877946161085e-20,8.39224893957701e-43,9.53151642761725e-43,5.706004955930432e-46,1.1343609349194226e-64,3.2607523896065136e-85,3.4825323603365115e-83,2.6215059284570883e-127,6.380550645420932e-17,6.384486872448988e-21,4.830237502767221e-43,4.216623998611059e-61,3.2607523896065136e-85,4.3379672727796867e-154,1.5325805980946175e-107,1.3061755233855838e-124,2.0895952197497545e-115,2.615352558627792e-142,3.8297643830621563e-159,3.093012347167546e-84,5.575896085676599e-69,1.6461694992036738e-157,4.236771943199329e-111,5.683101192039598e-176
2.7000371822370575e-23,0.000897708597878115,0.0,0.0,0.002441767386228187,0.7999999999999999,0.09999999999999998,0.1,9.776236096354915e-69,1.646516079349275e-47,7.577565240609991e-44,8.4393602831790785e-109,2.259716147109094e-133,1.1907930518824238e-16,5.723367983795678e-48,5.641082062954171e-46,2.544260282653823e-74,3.645967445096179e-17,1.7313609545577084e-19,6.938873712842395e-42,3.893935466145267e-42,2.3310892068138058e-45,4.634234552004416e-64,2.6960531324892648e-84,2.8794251007138034e-82,1.7627584872735398e-125,1.2943402737853305e-16,1.2951387655407414e-20,1.9733096266490387e-42,1.7226284884766588e-60,2.6960531324892648e-84,1.1844377531883114e-151,5.148830055132423e-106,8.783012711996542e-123,3.463350833058777e-114,1.7600123761179546e-140,5.1564735976526984e-157,2.5573624215648365e-83,9.241638844354742e-68,5.530441271777588e-156,1.4233782383820949e-109,2.8331249596162755e-173
5.43810305718168e-23,0.000897708597878115,0.0,0.0,0.002441767386227898,0.7999999999999997,0.09999999999999994,0.1,3.204785806070104e-67,3.3162225260133264e-47,1.5261856752214485e-43,2.76653937324471e-107,2.985945671690835e-131,2.3983578368895734e-16,2.3134774150929252e-47,4.58723424392938e-45,4.282008087894184e-73,7.343286544256056e-17,3.4871072737260295e-19,5.642576864483495e-41,1.5739909738780404e-41,9.422635282708645e-45,1.8732317009556375e-63,2.192385632422064e-83,2.3415006710016376e-81,1.1561536355867207e-123,2.606910692271626e-16,2.608518922092279e-20,7.976433015978826e-42,6.963139774947941e-60,2.192385632422064e-83,3.1305669228497244e-149,1.687857917189981e-104,5.760580447680959e-121,5.639169016523545e-113,1.1548084956647527e-138,6.768009636002571e-155,2.0796046495148506e-82,1.5047613117182906e-66,1.812955367195479e-154,4.666031318434104e-108,1.4878367343503653e-170
1.0914234807070922e-22,0.000897708597878115,0.0,0.0,0.0024417673862273193,0.7999999999999994,0.09999999999999987,0.1,1.0379234360858196e-65,6.655635419341428e-47,3.063043977542347e-43,8.959900075309388e-106,3.883026909010587e-129,4.813487406902727e-16,9.302400084963442e-47,3.699770593727221e-44,7.432309999688572e-72,1.4737924742296096e-16,6.998599909203155e-19,4.550942656140812e-40,6.328948477640906e-41,3.7888002046558136e-44,7.532182281817805e-63,1.768238437171709e-82,1.8885051168557213e-80,7.490229111106329e-122,5.232051529243502e-16,5.235279235034761e-20,3.2072886340973273e-41,2.7998478784460853e-59,1.768238437171709e-82,8.142694750241863e-147,5.466409919109918e-103,3.7320357793134705e-119,9.101641528081804e-112,7.4829871918922165e-137,8.771992776879684e-153,1.677276488523183e-81,2.428690823105235e-65,5.871558912076302e-153,1.5111722158255055e-106,7.753659747621276e-168
2.186649830684941e-22,0.000897708597878115,0.0,0.0,0.0024417673862261627,0.7999999999999986,0.09999999999999971,0.1,3.341318674763222e-64,1.333446120599761e-46,6.13676058218414e-43,2.8844017325248264e-104,5.009703788309515e-127,9.643746546924451e-16,3.730693191718712e-46,2.971856930226525e-43,1.36754226812701e-70,2.952720113725734e-16,1.4021585168719336e-18,3.6555646299618636e-39,2.538191407321893e-40,1.519478340084689e-43,3.0207419800941143e-62,1.420345273666829e-81,1.5169500095753148e-79,4.8230241432137e-120,1.0482333203184397e-15,1.0488799860277356e-19,1.2862661917625568e-40,1.1228642254664525e-58,1.420345273666829e-81,2.1011313614605946e-144,1.759765409493357e-101,2.4030905305404034e-117,1.462609359545568e-110,4.81883427678537e-135,1.1298387332404346e-150,1.3472796895288306e-80,3.9028409503601144e-64,1.8901923590362622e-151,4.864817373079315e-105,4.0075776163858794e-165
