Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(49),H2X(48),COX(58),CHOX2(59),SX(51),CH3OX(44),CH2OX2(50),CHO3X(91),H(23),HCO(31),CH3X(53),CH4(39),OCHCO(417),CH4X(436),CH2O3(185),SX(574),CH2OX(174),CHOX(173)
0.0,0.0005344628783687447,0.1557,0.0,0.0015729242510392155,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3917644990019549e-24,0.0005344628783687447,0.1557,0.0,0.0015729242510392123,0.6424,0.2019,-7.925702363342212e-192,5.818460219118814e-162,2.4067714764959017e-52,9.309367034093084e-204,-7.901388062737699e-116,-6.320926486428807e-158,3.240369695174142e-18,3.961663259176591e-109,-1.138768052082148e-137,1.1648895065637574e-161,3.125873273065688e-90,-2.328097487221952e-193,1.214271434506669e-69,-1.23927488992202e-183,-6.48808762230135e-202,4.915046914418339e-81,7.81471498645278e-93,5.100340427502166e-212,-5.6900789610691115e-117,-1.9188891578298755e-208,5.063077648709609e-29,9.732304758883551e-93,6.404508023565366e-82,3.0472452629296186e-221,7.81471498767351e-93,4.9150469143903756e-70,-9.8029e-319,6.380680312850985e-52,2.9930540499692136e-53,3.9616632979769723e-109,-6.712421867329596e-134,1.4272768201474387e-71,-3.880038446399168e-117,0.0,0.0,1.2792212357526662e-104,1.9439074598194242e-115
3.8969405972054735e-24,0.0005344628783687447,0.1557,0.0,0.0015729242510392064,0.6424,0.2019,2.31634360296724e-190,2.7086282534287578e-160,6.738960134188524e-52,7.893796576025721e-202,7.807077147774645e-115,1.0609771262057955e-156,9.073035146487556e-18,1.1172524331301773e-107,1.911439498431544e-136,5.4228309737916656e-160,3.711036749790688e-89,1.200923313588627e-191,7.334199464420257e-69,3.620327668959369e-182,3.346808168031599e-200,2.968688336308668e-80,1.1809597207026256e-91,2.3743268278780358e-210,5.622162216723681e-116,1.1556386260483406e-206,1.417661741638687e-28,2.177077644161733e-91,7.6034319229322555e-81,2.6546285333757208e-219,1.1809597210468896e-91,2.968688336275467e-69,9.9631406e-317,3.7569542317445e-51,8.380551339913799e-53,1.1172524292964508e-107,1.2466563265713844e-132,8.620751993678186e-71,3.8337263335157113e-116,0.0,0.0,4.02207622661338e-103,1.1195911649671722e-113
8.907292793612511e-24,0.0005344628783687447,0.1557,0.0,0.0015729242510391947,0.6424,0.2019,5.676956545948212e-188,1.4309892248061832e-157,1.5403337449573772e-51,8.250242019966506e-199,4.305953104386025e-113,1.2506881742142363e-154,2.0738366049114204e-17,2.4302680910751514e-106,2.2532199020643732e-134,2.8649234835447126e-157,3.6435178871220483e-88,6.00649519224397e-189,3.531101331545359e-68,8.863718083455192e-180,1.6739276307708182e-197,1.4292956427128396e-79,1.2704225763336224e-90,1.2543751999262756e-207,3.1008745516704823e-114,6.145679960179926e-204,3.2403696951741256e-28,4.301538550794671e-90,7.465094544069699e-80,7.485829986079197e-216,1.2704225770824716e-90,1.4292956426802412e-68,6.078255922013e-312,1.7876181609248082e-50,1.9155545919802988e-52,2.430268069930432e-106,1.3566066990471345e-130,4.1505209929702366e-70,2.1144719713637846e-114,0.0,0.0,8.973030806198109e-102,5.0207167044631985e-112
1.8927997186426585e-23,0.0005344628783687447,0.1557,0.0,0.0015729242510391713,0.6424,0.2019,9.012920982811652e-186,4.8125147890590055e-155,3.273209208034427e-51,5.552166651154836e-196,1.6946742421574422e-111,9.886108368033384e-153,4.406902785436682e-17,4.505307503023398e-105,1.781065543591474e-132,9.634933928973188e-155,3.22265030973841e-87,1.9055990010049296e-186,1.542124721823437e-67,1.404411701005415e-177,5.310642427607196e-195,6.242109581311152e-79,1.167737221440546e-89,4.218549724919546e-205,1.2203969953886667e-112,2.192745676109267e-201,6.885785602244949e-28,7.65435800255109e-89,6.602791574758961e-79,8.613322463924277e-213,1.167737222828787e-89,6.242109581022817e-68,8.423371863900316e-308,7.764045627059339e-50,4.0705535079581525e-52,4.505307419805093e-105,1.0722987588914465e-128,1.812641561568119e-69,8.321830495596478e-113,0.0,0.0,1.6805493634252693e-100,1.888919106820352e-110
3.8969405972054735e-23,0.0005344628783687447,0.1557,0.0,0.0015729242510391247,0.6424,0.2019,1.2817765698461367e-183,1.403048243506513e-152,6.738960134188525e-51,3.2381166557460097e-193,5.987666302363874e-110,6.996451917300271e-151,9.073035146486928e-17,7.74347262860544e-104,1.260469638139818e-130,2.8089840172705116e-152,2.7088317649412675e-86,5.400516413939036e-184,6.438067145754117e-67,1.989317699647978e-175,1.5050496764048112e-192,2.605957874024478e-78,9.990237768329101e-89,1.2298827205973153e-202,4.311937824399426e-111,6.5894852212517495e-199,1.4176617416386392e-27,1.2910193494147548e-87,5.55004414985865e-78,8.956500781897838e-210,9.990237792189415e-89,2.6059578737821138e-67,8.814845817147982e-304,3.232722852186289e-49,8.380551339913988e-52,7.743472334576402e-104,7.596840290007955e-127,7.567421700249635e-69,2.940290398820215e-111,0.0,0.0,2.902731101819306e-99,6.540727151028629e-109
7.905222354331104e-23,0.0005344628783687447,0.1557,0.0,0.0015729242510390314,0.6424,0.2019,1.7382049295441387e-181,3.828574796706077e-150,1.367046198649672e-50,1.767413369790877e-190,2.0116055356114976e-108,4.704568788229171e-149,1.8405299868586315e-16,1.2834238473170825e-102,8.475676225876749e-129,7.665028955804602e-150,2.2208639427983238e-85,1.4533899458147791e-181,2.6301604979987065e-66,2.6763283327348057e-173,4.050397961744276e-190,1.0646188218505642e-77,8.260121759287477e-88,3.356048524174977e-200,1.4486308285664415e-109,1.8258607432290683e-196,2.8758281044668493e-27,2.1205031378518594e-86,4.550261486107011e-77,9.114304652919483e-207,8.260121798834191e-88,1.0646188216518578e-66,8.135333290811131e-300,1.3189490616160187e-48,1.7000547003826736e-51,1.2834237485356184e-102,5.111175724775904e-125,3.091538683366576e-68,9.878146416520753e-110,4.3e-322,0.0,4.822931138406209e-98,2.1761411212624247e-107
1.5921785868582364e-22,0.0005344628783687447,0.1557,0.0,0.0015729242510388447,0.6423999999999999,0.2019,2.3166577961095676e-179,1.0116256223669408e-147,2.75334656911131e-50,9.340646699482038e-188,6.594321968360909e-107,3.085620816561688e-147,3.7069829312780647e-16,2.0897231827112217e-101,5.559005335922496e-127,2.025333211340727e-147,1.7985132044826582e-84,3.8140717859658404e-179,1.0631529259394881e-65,3.511355362990744e-171,1.0629293694301077e-187,4.303359495824278e-77,6.716993801787766e-87,8.867698444493719e-198,4.7488127904523915e-108,4.866211601757305e-194,5.792160830122994e-27,3.43742689948731e-85,3.684919680418429e-76,9.265004090491546e-204,6.716993866179341e-87,4.3033594942150973e-66,7.068331551129438e-296,5.3279550884155823e-48,3.424053833166089e-51,2.089722858891881e-101,3.353252961483169e-123,1.2496493652068868e-67,3.2381934118314245e-108,1.4989695e-317,0.0,7.862594996389941e-97,7.099671902092681e-106
3.1954912897084884e-22,0.0005344628783687447,0.1557,0.0,0.0015729242510384715,0.6423999999999996,0.2019,3.095640063247901e-177,2.630883702207512e-145,5.525947310034587e-50,4.858497498117556e-185,2.1356813466791473e-105,1.999042855387727e-145,7.43988882011516e-16,3.372822136794843e-100,3.6014437808377426e-125,5.2671818698909255e-145,1.4475999063800364e-83,9.885321873456786e-177,4.274891156040743e-65,4.5501523335034855e-169,2.7549032984402664e-185,1.7303619264079313e-76,5.417498788957511e-86,2.306177581661994e-195,1.5379823648424698e-106,1.2736694310663171e-191,1.1624826281434486e-26,5.535869840189103e-84,2.9659438678892233e-75,9.441711888813155e-201,5.417498892885772e-86,1.730361925112719e-65,5.962110524639658e-292,2.141657703802992e-47,6.872052098739886e-51,3.372821088051803e-100,2.1727364869053736e-121,5.0247851354351584e-67,1.0487430399733644e-106,5.0751881649e-313,0.0,1.2698111907730175e-95,2.2939050593987146e-104
6.402116695408992e-22,0.0005344628783687447,0.1557,0.0,0.001572924251037725,0.6423999999999993,0.2019,4.227963366201469e-175,6.788209008314531e-143,1.1071148791881133e-49,2.5072184612021942e-182,6.875258438540862e-104,1.2872011831901297e-143,1.4905700597782258e-15,5.420036218138047e-99,2.31900115767297e-123,1.359038842633787e-142,1.1616077977012355e-82,2.546281620385708e-174,1.7144225527571596e-64,5.860047334363719e-167,7.096136799579393e-183,6.939525248180153e-76,4.351629559981698e-85,5.950401920475053e-193,4.951125432937443e-105,3.3108755432064874e-189,2.3290157184056656e-26,8.886296424829055e-83,2.3799830503257342e-74,9.64205200900788e-198,4.351629726991619e-85,6.939525237786835e-65,4.9558253342855e-288,8.587626052128802e-47,1.3768048629943345e-50,5.42003284198858e-99,1.399142408122864e-119,2.015163577931523e-66,3.376149465785086e-105,1.6903798054650416e-308,5e-324,2.04118439857082e-94,7.375910960004776e-103
