Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),CHOX2(61),SX(53),CH3OX(46),CH3X(55),CH4(41),CH2OX2(52),CHX(32),SX(406),SX(420),C2HOX(418),C2H4O(376),CH2X(63),SX(57),CH4X(383),SX(56),CH2OX(176),CHOX(175),OCCO(371),SX(421)
0.0,0.00053584454179025,0.1557,0.0,0.0015769904864887056,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2147854270911176e-24,0.00053584454179025,0.1557,0.0,0.001576990486488701,0.6424,0.2019,-3.3076908286569413e-108,2.697143033050473e-128,2.61365516969645e-52,-4.256562226554951e-153,-5.197295262198602e-116,3.331454482101521e-151,2.8319723799181844e-18,9.45056084417033e-81,-6.94599430762154e-104,1.2858718652242536e-124,1.8654553271800287e-18,-9.981409393649672e-114,2.4472833351921268e-54,1.79534988549673e-147,1.3355274118580992e-127,4.661727645771342e-81,6.772295621133333e-93,3.08479758614242e-178,-1.930722991573729e-117,-6.692031572480498e-90,4.4249568436221765e-29,1.9163391474048786e-36,2.156251621279528e-62,-2.980267782857475e-160,6.7722956220739236e-93,3.0841538805224495e-109,-3.97841726920915e-134,4.66482710565816e-70,9.45056062127401e-81,1.053720409999529e-140,-3.8988543410427085e-147,1.3976200980419833e-151,2.2264362384201677e-170,2.1620428820832188e-88,-4.0966531554616087e-128,-2.637998749240716e-117,1.7766441132137198e-160,-1.45397054335209e-88,2.533908386853649e-67,2.3796437213773485e-131,-4.210483422160089e-150
3.401399195855129e-24,0.00053584454179025,0.1557,0.0,0.0015769904864886923,0.6424,0.2019,3.052317195133243e-106,1.25558266868723e-126,7.318234475150058e-52,4.073289137582656e-151,5.135260451077722e-115,9.165272951122613e-150,7.92952266377086e-18,5.443039055142297e-79,1.1658957093488006e-102,3.577098624563598e-123,5.223274916104059e-18,9.558137589711456e-112,3.6983345756222387e-53,5.124894400467506e-145,3.7147076426446796e-126,2.8206180366056825e-80,1.0234293391308885e-91,1.4360449241985455e-176,1.9076779210001424e-116,3.4679371036242257e-88,1.238987916214205e-28,1.1574688447891284e-35,6.779600067738625e-61,-6.605491707085042e-158,1.02342933939615e-91,8.697807618009237e-108,7.387399262667338e-133,2.8175555718038027e-69,5.443039032942461e-79,1.2480639387047756e-138,1.5450816655222133e-145,2.9936799346081906e-149,5.767229569996009e-169,2.5667773105421436e-87,4.047757533805909e-127,2.6065116495328815e-116,1.3237072977615446e-158,1.4366159589744773e-87,3.8292423536747203e-66,1.556382205995853e-130,-4.434031004598423e-149
7.774626733383152e-24,0.00053584454179025,0.1557,0.0,0.0015769904864886754,0.6424,0.2019,6.507016388273025e-104,6.633340211633618e-124,1.6727393086057275e-51,4.542295343472592e-148,2.8323263981385894e-113,2.244979150938198e-147,1.8124623231475994e-17,2.4408871589302656e-77,1.3743670256965385e-100,8.734192114794894e-121,1.1938914093952042e-17,1.9894579699013195e-109,3.978499571759592e-52,4.4234171242671315e-142,9.06648423527627e-124,1.373422588736708e-79,1.1009585827213954e-90,7.58673701762472e-174,1.0521699115885705e-114,3.639741046590796e-86,2.8319723799181623e-28,5.57271423700212e-35,1.512491478790203e-59,1.74155676810865e-154,1.1009585832983973e-90,1.8919631475388905e-106,8.040188853246974e-131,1.356531722304815e-68,2.4408871600499297e-77,1.674021383570919e-135,4.253979777828584e-143,7.996314554144808e-146,3.9103182112331666e-166,2.52007718614328e-86,2.2325188023720834e-125,1.4376080478046766e-114,8.840859146917818e-156,7.923581176544141e-86,4.119324185723616e-65,2.7092053837845704e-129,3.228564491685915e-145
1.65210818084392e-23,0.00053584454179025,0.1557,0.0,0.0015769904864886416,0.6424,0.2019,1.0406655543459242e-101,2.230837754360727e-121,3.554571030787171e-51,3.223619463859127e-145,1.114705728831399e-111,3.771824199349846e-145,3.851482436688539e-17,9.183227516094495e-76,1.0863732176740953e-98,1.464795416969003e-118,2.537019244964769e-17,3.185667722831224e-107,3.656926541560314e-51,2.891972704451913e-139,1.5193613059309148e-121,6.589096517754249e-79,1.0119706155873002e-89,2.5514717014344985e-171,4.14097693303483e-113,2.905947056194542e-84,6.017941307326008e-28,2.433750713431222e-34,2.8327291430563115e-58,3.0915142591085315e-151,1.0119706166569643e-89,3.507380827958793e-105,6.355183957660627e-129,5.924330423973918e-68,9.183227542924986e-76,1.326023598813201e-132,7.617926699097423e-141,1.2671313780044136e-142,1.777414448483833e-163,2.2289797354805578e-85,8.786421218082884e-124,5.657928153202574e-113,3.4739883401030267e-153,3.118447555694098e-84,3.786368623737605e-64,4.711906909134807e-128,2.7115971111772075e-142
3.401399195855129e-23,0.00053584454179025,0.1557,0.0,0.001576990486488574,0.6424,0.20189999999999997,1.4836957540827722e-99,6.503820005378077e-119,7.318234475150057e-51,1.930026920371263e-142,3.938506743403375e-110,5.499275448931612e-143,7.929522663770067e-17,3.1798601156105584e-74,7.688321538473019e-97,2.136256419907522e-116,5.223274916103771e-17,4.5456490709552316e-105,3.1285776478380257e-50,1.667680099899225e-136,2.2124574745197083e-119,4.822059869323996e-78,8.657621663674701e-89,7.43860180768503e-169,1.463100543327414e-111,2.06994380536611e-82,1.2389879162141428e-27,1.0160430125583906e-33,4.892835123827018e-57,4.084214992007742e-148,8.657621682059484e-89,6.028291533617326e-104,4.502403179236403e-127,2.4732913312341083e-67,3.1798601361226368e-74,8.338316443035861e-130,1.1435655002439685e-138,1.5938594252161872e-139,7.169903139586449e-161,1.8735917793280416e-84,3.104440591836674e-122,1.9990736217556333e-111,1.0876359053428084e-150,1.1018178538637501e-82,3.2393180743648017e-63,7.86099201185155e-127,1.745810377514433e-139
6.899981225877548e-23,0.00053584454179025,0.1557,0.0,0.0015769904864884386,0.6424,0.2018999999999999,2.0027070621382526e-97,1.774733087242963e-116,1.4845561363875827e-50,1.0670905060253389e-139,1.323173598709479e-108,7.503733717964879e-141,1.6085603117931721e-16,1.057959480838837e-72,5.169797212616744e-95,2.922030288009219e-114,1.0595786258381264e-16,6.138340349103153e-103,2.586768499991719e-49,9.053117989690567e-134,3.017061963966297e-117,8.901300505424202e-77,7.158288998255437e-88,2.0298130685867577e-166,4.9154061102738536e-110,1.3964602782181393e-80,2.5133754871771176e-27,4.150867218094811e-33,8.129518667617225e-56,4.733274707714847e-145,7.158289028726712e-88,9.991451222037074e-103,3.0292262131916155e-125,1.0104202102697046e-66,1.0579594947880787e-72,4.717308035161655e-127,1.5819623296375921e-136,1.803575944365967e-136,2.9416080120323175e-158,1.536083747485815e-83,1.0429621420103481e-120,6.716051566138301e-110,3.069986899700904e-148,3.7016473311484785e-81,2.678330826153912e-62,1.283715981686716e-125,9.988331614988213e-137
1.3897145285922385e-22,0.00053584454179025,0.1557,0.0,0.001576990486488168,0.6423999999999999,0.2018999999999998,2.6319260908439574e-95,4.6893833001332566e-114,2.9900215141327353e-50,5.675568691128994e-137,4.337546591532212e-107,9.913930149148314e-139,3.2397764026249433e-16,3.451598338157345e-71,3.390753686936702e-93,3.882897482854831e-112,2.134080894293421e-16,8.068604132779987e-101,2.1035171842285166e-48,4.771634650736251e-131,3.9849545485112505e-115,2.627582824936199e-75,5.821001706692361e-87,5.363402267695797e-164,1.6113383036361812e-108,9.174173966453312e-79,5.0621506291026285e-27,1.6778468841828115e-32,1.3253166987295022e-54,5.1519319155218506e-142,5.82100175630491e-87,1.6268488522872123e-101,1.9873619500270525e-123,4.0842800438561117e-66,3.4515984298866443e-71,2.537054491656727e-124,2.1040392939803772e-134,1.9400813854096724e-133,1.2847641537132734e-155,1.2439604597362098e-82,3.418973919993454e-119,2.2016148605632162e-108,8.246574841347743e-146,1.2134513445548309e-79,2.1779741472349375e-61,2.0747315768518863e-124,5.401521865414036e-134
2.7891473406012057e-22,0.00053584454179025,0.1557,0.0,0.0015769904864876268,0.6423999999999997,0.20189999999999958,3.4133892188938557e-93,1.2195442591743653e-111,6.000952269623036e-50,2.961504701353536e-134,1.4047869364108e-105,1.2891536504865139e-136,6.502208584286247e-16,1.1152119060171841e-69,2.1967255189694328e-91,5.109371597722761e-110,4.2830854312031946e-16,1.0465406287679735e-98,1.6965628142225002e-47,2.478612978772296e-128,5.181054624773168e-113,8.394012548661807e-74,4.694848716679929e-86,1.3948758051790706e-161,5.2185883224949696e-107,5.948462936453409e-77,1.0159700912951902e-26,6.746548430183205e-32,2.1403899357157266e-53,5.437936377980941e-139,4.6948487967285155e-86,2.6257407106593776e-100,1.287708620561145e-121,1.6422710568844151e-65,1.1152119655008123e-69,1.331089964983508e-121,2.744951812795311e-132,2.0358121562763392e-130,5.963973149927063e-153,1.0012476319594321e-81,1.1072914100612414e-117,7.130297577374272e-107,2.162153484340691e-143,3.929964955012004e-78,1.7566150522758e-60,3.3362013477163484e-123,2.841677193988918e-131
5.588012964619141e-22,0.00053584454179025,0.1557,0.0,0.0015769904864865445,0.6423999999999994,0.20189999999999916,4.3978622863781926e-91,3.146669485635056e-109,1.2022813780603619e-49,1.5306996273411123e-131,4.522338163909356e-104,1.6631495786140594e-134,1.3027072947599892e-15,3.585895219547819e-68,1.4144908036331523e-89,6.748569103992185e-108,8.581094505019478e-16,1.3484494774600463e-96,1.3627715154256733e-46,1.278225170693332e-125,6.683641633238836e-111,2.697601049913535e-72,3.7711577420621755e-85,3.5999515834491433e-159,1.6799858057346607e-105,3.8318483142614645e-75,2.0354801480643444e-26,2.705667589671533e-31,3.4406140750196576e-52,5.653192250521016e-136,3.771157870359385e-85,4.219495167048881e-99,8.292250909594573e-120,6.586242430604855e-65,3.585895602731846e-68,6.89862628055139e-119,3.547048170772115e-130,2.1102213918269153e-127,2.8900962354106627e-150,8.03438311072527e-81,3.5646276914720945e-116,2.2954097893957384e-105,5.601369904264654e-141,1.265147781669015e-76,1.4110087388106224e-59,5.351227018127905e-122,1.4747460995870596e-128
