Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),H2X(50),CH2O2X(51),CH3OX(46),CH3X(52),CH4(41),CH4X(238),CH3O2X(49),CH4O2(171),SX(188),SX(53),C2H4O(231),CH2OX(169),CHOX(168),SX(54),SX(55),SX(262),SX(259),SX(436),C2HOX(464),C2H6O(236),SX(357),OCCO(227),SX(387),SX(190),SX(495)
0.0,0.0005485282325552088,0.1557,0.0,0.0016143185884099792,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2388594916150164e-24,0.0005485282325552088,0.1557,0.0,0.0016143185884099744,0.6424,0.2019,-4.155977849903361e-133,3.697714291246175e-161,1.8812820027332466e-51,-3.523506337065763e-179,-5.9189735557511435e-115,1.3680136996788357e-141,2.9220764872702705e-18,4.6120475614487696e-108,-9.370326210673151e-137,3.678243815864237e-161,1.9248080201132863e-18,-1.7820453134764985e-140,4.4647570239408536e-54,3.7510435374208444e-169,1.7263751532278248e-156,6.152331659424834e-71,7.676203419892079e-92,2.762946323375599e-209,-2.910181489033314e-116,8.10788564514139e-20,-1.7662999965800325e-188,7.676202452400458e-92,4.612047601938367e-108,-6.146690984934244e-133,-4.042579863565007e-116,2.4395456022163757e-219,-7.610117772911151e-235,-6.380067370784721e-119,-8.210452801319008e-127,4.223219819162321e-146,-4.4902389397521484e-88,9.269762022115221e-67,-1.4943276421218463e-120,5.93509182574157e-149,-1.307022121929186e-136,-1.7774722129940966e-231,-3.53589335734636e-147,-4.782834821587137e-158,-4.5713719490883045e-176,2.5060278843076896e-166,3.9188172937377705e-130,3.212477528960412e-148,-4.9175366819139604e-126,6.457900766528385e-151
3.468806576522046e-24,0.0005485282325552088,0.1557,0.0,0.0016143185884099653,0.6424,0.2019,6.975873716659786e-132,1.721372243975005e-159,5.2675896076530907e-51,1.0328891373933418e-177,5.848326126392936e-114,2.1473634055951924e-140,8.1818141643567e-18,1.3006714234726696e-106,1.5728239074242537e-135,1.712308283576848e-159,5.38946245631718e-18,3.417945518723141e-139,6.747140819144374e-53,1.0973491067886265e-167,4.8018336663278104e-155,3.7160083222937806e-70,1.1600280484858073e-90,2.03656081738277e-207,2.8754462703971216e-115,2.270207980639581e-19,1.676505852636597e-186,1.160027744249395e-90,1.3006714194720372e-106,1.1392886478542022e-131,3.994328613239433e-115,2.7723691881604036e-217,2.5965712214026006e-232,6.303916357609808e-118,9.636676973992556e-118,1.1746693090077264e-144,4.436643556901867e-87,1.4008464377298687e-65,1.4764916919115923e-119,9.320205478738807e-148,2.1938570407656586e-135,6.1170055384942324e-229,1.032950464785441e-145,2.467173014886477e-156,1.131405592760517e-174,6.012185511498021e-165,2.5630632999333495e-129,4.103207653168302e-147,4.858840983072372e-125,8.248495938023192e-150
7.928700746336105e-24,0.0005485282325552088,0.1557,0.0,0.0016143185884099475,0.6424,0.2019,8.22321675523999e-130,9.094144742331824e-157,1.204020481749278e-50,2.5742549654470473e-175,3.225614918542368e-112,8.488702255100219e-139,1.8701289518529322e-17,2.829245241788592e-105,1.854057629053462e-133,9.04625912776556e-157,1.231877132872488e-17,3.6383180573918083e-137,7.258266203906424e-52,8.489002965496444e-166,1.1719835026136754e-152,1.7890980465650335e-69,1.2479055930009291e-89,1.895181961703148e-204,1.5859379567839373e-113,5.189046812890432e-19,1.8919429177772707e-183,1.2479049142460691e-89,2.8292452197233045e-105,1.2417257440167778e-129,2.2030518966225686e-113,7.2831261400381035e-214,1.1093487431654628e-228,3.476893427766786e-116,8.673009651038e-117,2.867015286387078e-142,2.4470078517759448e-85,1.506966673496349e-64,8.143515821814208e-118,3.7027818999573074e-146,2.586136548347889e-133,2.6103951948656182e-225,2.52899314464986e-143,1.233972733621218e-153,1.7918436185871055e-172,3.8729616951117024e-163,4.46154219732248e-128,1.3576888820100797e-145,2.6798686721413996e-123,2.7293016037616695e-148
1.6848489085964223e-23,0.0005485282325552088,0.1557,0.0,0.001614318588409912,0.6424,0.2019,6.500073991766873e-128,3.05842485364959e-154,2.558543523717216e-50,4.4001471486927636e-173,1.269491195359223e-110,2.940184293436304e-137,3.974024022687365e-17,5.244946772006753e-104,1.465547137013734e-131,3.042320584598133e-154,2.6177389073539923e-17,2.884415006646402e-135,6.67159713056438e-51,5.889485738526652e-164,1.964010881374826e-150,7.813461207631515e-69,1.1470408827462575e-88,6.964828255347434e-202,6.241706848117799e-112,1.1026724477392006e-18,1.348168671369046e-180,1.1470396114985278e-88,5.244946685165362e-104,9.814949392011933e-128,8.670455266648948e-112,1.7555960668967078e-210,1.7335995937659205e-225,1.3683857824251898e-114,7.034775892977603e-116,4.804546484504734e-140,9.630576735323184e-84,1.385162000443489e-63,3.205008005286885e-116,1.3117468723382957e-144,2.0442217949217709e-131,4.0787862085216926e-222,4.007065070122207e-141,3.914859531319312e-151,2.6462641076227048e-170,2.6873695429605054e-161,7.759607902444117e-127,4.7156832320473644e-144,1.0547036404809876e-121,9.479728366784516e-147
3.468806576522046e-23,0.0005485282325552088,0.1557,0.0,0.001614318588409841,0.6424,0.20189999999999997,4.6001423059517224e-126,8.916590460758799e-152,5.267589607653091e-50,8.125894364096998e-171,4.485403695494948e-109,9.759412087688276e-136,8.181814164355858e-17,9.01473342246459e-103,1.0371767143058363e-129,8.869639765980862e-152,5.389462456316861e-17,2.056373556004328e-133,5.707691806455854e-50,3.9124578878461664e-162,2.859948683734785e-148,3.261966246397042e-68,9.813187328491824e-88,2.1138512677629357e-199,2.2053382542969014e-110,2.270207980639464e-18,8.085791252366171e-178,9.813165370724586e-88,9.014733115634027e-103,6.95338399747445e-126,3.063470801683738e-110,4.092884806134644e-207,2.166978180503596e-222,4.834820964919693e-113,5.6374622060117e-115,6.996273041776153e-138,3.4026999654252234e-82,1.1850352540511528e-62,1.1324028717416628e-114,4.768411835621022e-143,1.446708325418829e-129,5.098162074365615e-219,5.675924115146479e-139,1.109482444666036e-148,3.6418438036825698e-168,1.7964749097649613e-159,1.294554771961043e-125,1.5753139360140957e-142,3.726505837015743e-120,3.1667835753548446e-145
7.036721912373293e-23,0.0005485282325552088,0.1557,0.0,0.001614318588409699,0.6424,0.2018999999999999,3.093244112402302e-124,2.4331243699397477e-149,1.0685681775524838e-49,2.131243954214888e-168,1.5069114621360464e-107,3.229005497572707e-134,1.659739444769137e-16,1.4941292725804045e-101,6.974220689051003e-128,2.420312647773333e-149,1.0932909554242037e-16,1.4001862282868254e-131,4.719229961514444e-49,2.5893837744738913e-160,3.9000349641914155e-146,1.3326196486724062e-67,8.113751381226044e-87,5.880218574070913e-197,7.409030980743628e-109,4.6052790464397846e-18,4.474185022033649e-175,8.113714897964909e-87,1.4941291694979348e-101,4.6782125171335e-124,1.0292003974647241e-108,9.061072036472741e-204,2.4459193254169284e-219,1.6243013172942328e-111,4.5109493693688615e-114,9.540629030398787e-136,1.1431649252594385e-80,9.7981006438427e-62,3.8044086629507053e-113,2.1319151101914775e-141,9.72800776711511e-128,5.7542712541034093e-216,7.636120651103405e-137,2.9858518144171393e-146,4.830358532609483e-166,1.1746724186078674e-157,2.114034269189261e-124,5.148554648676062e-141,1.251950160659992e-118,1.0349910532435234e-143
1.4172552584075788e-22,0.0005485282325552088,0.1557,0.0,0.0016143185884094152,0.6423999999999999,0.2018999999999998,2.0287981758092263e-122,6.429081142688496e-147,2.152186611126833e-49,8.29422826806907e-166,4.939886777765669e-106,1.1181557771568165e-132,3.3428555014356467e-16,2.432813000355538e-100,4.5742546306292924e-126,6.395228536380943e-147,2.201980375009014e-16,9.40224027511069e-130,3.837599429714465e-48,1.7928523363804389e-158,5.151213702008927e-144,5.3866617425012426e-67,6.597997685181099e-86,1.5684307125714482e-194,2.428793934847763e-107,9.275421178039601e-18,2.3806420566540274e-172,6.597938208173676e-86,2.4328126624353995e-100,3.069197495226612e-122,3.373876677917547e-107,1.9354960304327265e-200,2.628128090010583e-216,5.324708721072737e-110,3.608907739362646e-113,1.2601379033321212e-133,3.747453205251011e-79,7.967652720832684e-61,1.2471434807327484e-111,1.4513935173625812e-139,6.38040958927127e-126,6.182858611247988e-213,1.0018670332761987e-134,7.835683220057925e-144,6.292416686719772e-164,7.597854548935357e-156,3.41668540180743e-123,1.6647759783611989e-139,4.104066300957329e-117,3.3466251420710306e-142
2.8444213927480776e-22,0.0005485282325552088,0.1557,0.0,0.0016143185884088475,0.6423999999999996,0.20189999999999958,1.314383899196441e-120,1.671993424426773e-144,4.319423478275527e-49,3.937716798692816e-163,1.5998791096237505e-104,4.59233348377246e-131,6.709087614766298e-16,3.926604878552427e-99,2.963491737730043e-124,1.6631894703468787e-144,4.419359214177735e-16,6.37150222537368e-128,3.095162966649352e-47,1.4711826497213172e-156,6.697430484078498e-142,2.1659531732722193e-66,5.321572250951333e-85,4.0980087344753525e-192,7.866124987454404e-106,1.8615705441235928e-17,1.2424661198100583e-169,5.321476195351385e-85,3.926603784131855e-99,1.9886946962442113e-120,1.0926960604509533e-105,4.0513276333405397e-197,2.756407254073116e-213,1.7245112366388282e-108,2.8873034346316863e-112,1.6383878520916162e-131,1.2136753428809305e-77,6.426200567389383e-60,4.0391184924406397e-110,1.4558025358623523e-137,4.133633261938154e-124,6.484591451410597e-210,1.2982701249591894e-132,2.0308724085667723e-141,8.124868979086638e-162,4.888218618329946e-154,5.494084429566003e-122,5.3548709087529783e-138,1.329170455320574e-115,1.0764658938327003e-140
5.698753661429076e-22,0.0005485282325552088,0.1557,0.0,0.001614318588407712,0.6423999999999993,0.20189999999999914,8.463582422856149e-119,4.31415531505705e-142,8.653897212572904e-49,1.985363575282074e-160,5.150477244836891e-103,2.761341930083214e-129,1.3441551841418126e-15,6.31006075461317e-98,1.9082519611466075e-122,4.291438942644276e-142,8.854116892511577e-16,4.462471807994703e-126,2.4862032169921975e-46,1.766634366830343e-154,8.639943366237698e-140,8.686446698910873e-66,4.274653487112198e-84,1.0598391578004872e-189,2.5323349488827234e-104,3.7296273967615394e-17,6.422604980542151e-167,4.274499080393081e-84,6.3100572313543e-98,1.2806484728670358e-118,3.51770716480356e-104,8.389800627723222e-194,2.856539474754202e-210,5.55170440482838e-107,2.3103838449208208e-111,2.113583426224134e-129,3.9071052418849573e-76,5.161873767498645e-59,1.3003099921577523e-108,1.7408926793463785e-135,2.6617296309011034e-122,6.720021375064558e-207,1.6720447641647823e-130,5.231255043031424e-139,1.0445144972234798e-159,3.1366495636556476e-152,8.812445660517047e-121,1.7179728621538375e-136,4.2789110783902145e-114,3.453564472704579e-139
