Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),CH2O*(19),CH3O*(20),CH3O2*(21),CH3OH*(22),CO2X(51),H2X(50),COX(60),SX(53),CH3OX(46),CHOX2(61),CHO3X(93),CH2O3(187),CH2OX2(52),CHX(32),SX(489),SX(504),C2HOX(502),C2H4O(540),CH2X(63),SX(57),SX(394),CH2O2X(54),CH3X(55),CH4(41),CH4X(776),CH3O2X(49),CH2OX(176),CHOX(175),SX(56),OCCO(335),SX(681),C2H6O(768),SX(505)
0.0,0.00053584454179025,0.1557,0.0,0.0015769904864887056,0.6424,0.2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3039429551677482e-24,0.00053584454179025,0.1557,0.0,0.0015769904864887004,0.6424,0.2019,-5.430477917404663e-108,4.75309097698499e-128,2.8054808444025084e-52,-5.668663018346717e-138,-7.405808757226925e-116,5.512216304950933e-151,3.0398211500334166e-18,1.3466436661029128e-80,-1.0624011542798228e-103,2.111142321164745e-124,2.002367889678424e-18,-1.638720972049306e-113,3.026643757251839e-54,3.580580489776336e-147,2.192632945118624e-127,5.3746916583707205e-77,8.375542887394786e-93,-2.594597774804715e-143,-2.7511550753665245e-117,-1.0235571708869248e-89,4.749720546927229e-25,2.207955974148228e-36,-8.772164942088238e-156,8.37554288863511e-93,2.8624343278394582e-62,1.909987592510793e-216,-4.585785591283686e-240,5.3746920999945796e-70,1.3466436383405896e-80,1.9932261078852305e-140,-6.401034083758742e-147,2.837783969633465e-151,3.927183210784604e-170,2.673876598822282e-88,-5.837464963588672e-128,-6.112600465772341e-258,-2.3785279249554067e-136,4.094228875023758e-109,-6.085054231910486e-134,-3.758977170448013e-117,-6.192039060947597e-126,-2.0718136969313048e-88,3.1337760896714283e-67,3.1309246005309724e-160,3.1589883359606024e-131,2.319825796717126e-157,-9.587159953621328e-183,-7.964584520537406e-150
3.6510402744696946e-24,0.00053584454179025,0.1557,0.0,0.0015769904864886915,0.6424,0.2019,5.011212229986659e-106,2.2126741603274547e-126,7.855346364327025e-52,-1.78901257559748e-136,7.317413027994933e-115,1.5114360690196518e-149,8.511499220093504e-18,7.755977594328432e-79,1.7832565095950564e-102,5.8729356044878184e-123,5.606630091099565e-18,1.569229309178757e-111,4.573864077051642e-53,9.552321188809276e-145,6.098707040655949e-126,3.2463144647956345e-76,1.265712065222325e-91,-8.188470601824711e-142,2.7183172899078797e-116,5.304266378919856e-88,1.3299217531396193e-24,1.3336054080844867e-35,-5.071955838182575e-154,1.2657120655718456e-91,8.999951139977875e-61,3.322949705354895e-213,-1.4340654102715809e-237,3.2463140283797547e-69,7.755977567888433e-79,2.3608478920214526e-138,2.5366734915029247e-145,6.078487908590136e-149,1.0235753188840806e-168,3.174426299360307e-87,5.793156657012591e-127,-3.4468674496640523e-255,-7.506560815809466e-135,1.1546380725302168e-107,1.1299147684617677e-132,3.714110021023909e-116,-1.0512600282151282e-124,2.047084554255116e-87,4.7357624589046935e-66,2.332728104387894e-158,2.0661047373078617e-130,2.9630485430287495e-156,2.3728032560346449e-181,-8.387449065446126e-149
8.345234913073589e-24,0.00053584454179025,0.1557,0.0,0.0015769904864886732,0.6424,0.2019,1.0683044394505681e-103,1.1689728476296765e-123,1.7955077404176055e-51,2.5872668619212686e-134,4.0358813954469246e-113,3.6883967578916086e-147,1.9454855360213428e-17,3.478105870122089e-77,2.1021167880043825e-100,1.4340361141894263e-120,1.2815154493941754e-17,3.2662385563234973e-109,4.9203542588869914e-52,8.319989245190404e-142,1.4885109830174303e-123,1.5629628695257529e-75,1.361595283313299e-90,1.1842151881351111e-139,1.4992738738798248e-114,5.567043310564067e-86,3.0398211500333932e-24,6.420735968307399e-35,1.4397174835011052e-151,1.3615952840734379e-90,2.0078395857745873e-59,4.0368237609279973e-209,1.1067666129499887e-232,1.5629604626529796e-68,3.478105872572461e-77,3.1665924500179064e-135,6.984069520650498e-143,1.6236038012774185e-145,6.981704998315934e-166,3.116670567287123e-86,3.1834772992740563e-125,5.310898440190753e-250,1.0855975139947422e-132,2.5115900201775307e-106,1.229760002554303e-130,2.0484982161288105e-114,7.904682763715655e-123,1.1290589204787558e-85,5.094517150314902e-65,1.557997021754143e-155,3.596482950755497e-129,9.804276059474167e-155,3.757885230439681e-179,6.107178821393375e-145
1.7733624190281378e-23,0.00053584454179025,0.1557,0.0,0.001576990486488637,0.6424,0.20189999999999997,1.7085367013400694e-101,3.931335766268253e-121,3.815453948387412e-51,4.1576463768537e-132,1.5883833569376415e-111,6.1933964829755764e-145,4.1341567640452264e-17,1.308550352648745e-75,1.661625560184408e-98,2.4051305985595794e-118,2.723220329962576e-17,5.2301435365151254e-107,4.5226532664870953e-51,5.456351720616601e-139,2.494446504821177e-121,6.825953691886055e-75,1.251540647005118e-89,1.9029919405712336e-137,5.900623520425106e-113,4.444693430392135e-84,6.4596199438208606e-24,2.804104082502078e-34,4.709215085499792e-149,1.2515406484141761e-89,3.760461323439447e-58,6.257146803060873e-205,4.947653562574725e-228,6.825858966731237e-68,1.308550356817772e-75,2.5083170125281173e-132,1.2506907051147887e-140,2.5728344073028134e-142,3.2013272137666456e-163,2.7566598259790106e-85,1.2521931876888972e-123,4.748417546379776e-245,1.7445168247659329e-130,4.656064626365577e-105,9.720357548045228e-129,8.062180610413552e-113,6.268405429987329e-121,4.443585485484176e-84,4.682738969339607e-64,6.122101252038014e-153,6.255078689900923e-128,3.405335406432573e-153,5.5497905626275014e-177,5.129279125570157e-142
3.6510402744696955e-23,0.00053584454179025,0.1557,0.0,0.0015769904864885644,0.6424,0.20189999999999994,2.4358917599909317e-99,1.1461479058467264e-118,7.855346364327023e-51,5.83905831223177e-130,5.612116633256127e-110,9.02886540147006e-143,8.51149922009259e-17,4.531094397002507e-74,1.1759413225003987e-96,3.508032262598374e-116,5.606630091099232e-17,7.462924312700384e-105,3.8692250877093103e-50,3.1506015659221475e-136,3.63235314276427e-119,2.849996435713448e-74,1.0707193717679964e-88,2.6725892251111402e-135,2.0848233684216887e-111,3.166012818677934e-82,1.3299217531395482e-23,1.170658253293836e-33,1.388646466535764e-146,1.0707193741897126e-88,6.495261745876596e-57,6.900583232081728e-201,1.529176525522396e-223,2.8496617511889263e-67,4.531094428430921e-74,1.5772827125584538e-129,1.877475064494151e-138,3.2362361476571543e-139,1.306220927014327e-160,2.317138692322156e-84,4.423774823009729e-122,2.9352115333378216e-240,2.450024495392719e-128,8.002585505865993e-104,6.886499120980888e-127,2.8485502386311745e-111,4.3977440761961485e-119,1.57001897117709e-82,4.0061817768834104e-63,1.916706817564651e-150,1.0435504045978816e-126,1.1375811431711598e-151,7.637737409397375e-175,3.3023890937965802e-139
7.40639598535281e-23,0.00053584454179025,0.1557,0.0,0.0015769904864884191,0.6424,0.20189999999999989,3.2879905559675885e-97,3.127556743061814e-116,1.5935131196206246e-50,7.819431731343516e-128,1.8854365486164874e-108,1.2319526340928162e-140,1.7266184132185706e-16,1.5075236327008526e-72,7.907289179757423e-95,4.79944992966282e-114,1.1373449613371957e-16,1.007776198472512e-102,3.1991501259959523e-49,1.7114131011553378e-133,4.9533311413525995e-117,1.1653042068903764e-73,8.852914802500197e-88,3.579023855182682e-133,7.00413486230521e-110,2.135908775608013e-80,2.697841270654346e-23,4.7825209226878026e-33,4.458808020844723e-144,8.852914842637344e-88,1.0791974437079972e-55,6.534587033354985e-197,4.4523459730272065e-219,1.164179807484605e-66,1.507523654040943e-72,8.923298202405927e-127,2.5972231823628434e-136,3.6620529847952334e-136,5.423547627660493e-158,1.899730307744276e-83,1.4861652517214774e-120,1.7092323926204762e-235,3.280974132707559e-126,1.326369873547548e-102,4.633250918264037e-125,9.569937835497616e-110,2.943611866907739e-117,5.2746073355378025e-81,3.3123885650878157e-62,5.410142114462994e-148,1.7041390323992607e-125,3.7179247563072206e-150,1.0130310921109499e-172,1.889400923203033e-136
1.4917107407119038e-22,0.00053584454179025,0.1557,0.0,0.0015769904864881288,0.6423999999999999,0.20189999999999977,4.321025417862455e-95,8.263953867806974e-114,3.2094700859964675e-50,1.0235148347874466e-125,6.180722530093296e-107,1.6276455002563987e-138,3.4775553956365487e-16,4.91830372827757e-71,5.18621308271286e-93,6.380489108897432e-112,2.2907088657915057e-16,1.3246817099607567e-100,2.6014957523184282e-48,9.023209313896203e-131,6.5423911409059935e-115,4.742660286223695e-73,7.199043259194325e-87,4.684718961096627e-131,2.296052560294908e-108,1.4032048720107066e-78,5.433680305683436e-23,1.9331714080056705e-32,1.9618144507483115e-141,7.1990433245433125e-87,1.7593641764840305e-54,5.750442466418778e-193,1.3230544218730312e-214,4.70580092091741e-66,4.918303868582674e-71,4.799112886047829e-124,3.4543550962143335e-134,3.939219109989722e-133,2.3925007211857462e-155,1.5384508776353882e-82,4.871825421412479e-119,1.0158270290709538e-230,4.294590467350892e-124,2.15964954614738e-101,3.039702531557935e-123,3.13715836457025e-108,1.926167497682355e-115,1.7290894541017094e-79,2.6935793703714732e-61,1.4532681490001612e-145,2.754215973239545e-124,1.2021843494645525e-148,1.3196564400777783e-170,1.021756264438099e-133
2.9938530250651496e-22,0.00053584454179025,0.1557,0.0,0.0015769904864875478,0.6423999999999996,0.20189999999999955,5.604010534646572e-93,2.1491647945709166e-111,6.441384018748147e-50,1.3247493751716976e-123,2.0017302592387914e-105,2.116498673157348e-136,6.979429360469924e-16,1.5891046188859817e-69,3.3599275195778836e-91,8.403128998680074e-110,4.597436674699184e-16,1.7181822325798775e-98,2.0982005698992194e-47,4.687822701253575e-128,8.506116060786973e-113,2.0115570735654452e-72,5.8062891390664466e-86,6.063496399866e-129,7.436149842293678e-107,9.098271063148771e-77,1.0905358375739602e-22,7.773197087995147e-32,1.3412031460018827e-138,5.8062892444963394e-86,2.8413777407396865e-53,4.881407248227478e-189,4.0709261288085975e-210,1.8921818758752972e-65,1.589104709867454e-69,2.517900589510944e-121,4.5065880455580804e-132,4.133594707186497e-130,1.118254862911595e-152,1.2382791533581388e-81,1.5778191041407242e-117,6.251223448951712e-226,5.558547707068582e-122,3.485683223124158e-100,1.969571351331538e-121,1.0160211522620741e-106,1.2464241598660945e-113,5.599945138910314e-78,2.1724693438170153e-60,3.8102956007904924e-143,4.428823055638737e-123,3.8669118716644424e-147,1.7039614821618062e-168,5.37533966654672e-131
5.998137593771642e-22,0.00053584454179025,0.1557,0.0,0.0015769904864863862,0.6423999999999993,0.20189999999999908,7.220291880198566e-91,5.545277448442708e-109,1.2905211884251484e-49,1.7051096807750518e-121,6.444038523537775e-104,2.7305142466181335e-134,1.398317729012635e-15,5.1096680348090335e-68,2.1634867604727534e-89,1.1117548636226759e-107,9.210892292510784e-16,2.2138480424663797e-96,1.6853888027828477e-46,2.41770973750606e-125,1.0973022982456321e-110,1.1431463544635779e-71,4.6639271118634395e-85,7.804439542893941e-127,2.3938707939943766e-105,5.860874453736356e-75,2.184871451584387e-22,3.1173996010703365e-31,1.2088737362127821e-135,4.663927280729938e-85,4.567431398960249e-52,4.070416876559359e-185,1.286963815984901e-205,7.588497104388357e-65,5.1096686208954855e-68,1.3049497492836215e-118,5.823448628998568e-130,4.284678200986467e-127,5.441304882148291e-150,9.936412589524886e-81,5.079363268658286e-116,3.952464200012998e-221,7.154510643893388e-120,5.6013998420245e-99,1.2683133150813066e-119,3.2708100487729548e-105,8.021130018100202e-112,1.8027535232783977e-76,1.74504552090244e-59,9.871119302872732e-141,7.10377915591421e-122,1.2405994014925873e-145,2.1905737463207774e-166,2.789641702785512e-128
