Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2*(37)
0.0,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698500597,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.456796080337924e-25,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698500555,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,4.3565977594930444e-57,3.71750790872696e-46,-2.0895334325296923e-123,3.4943681375943234e-158,5.69993708038134e-19,4.1215770571111244e-25,7.488944221145147e-27,2.2344421630881022e-18,1.1946546897566656e-18,9.53073049455271e-21,4.739954205549856e-53,1.6329283358362027e-43,1.6329283358361137e-43,3.1181343211297136e-64,4.524186190265146e-75,1.9378995686764307e-99,1.3355980173382477e-88,-4.299855573108088e-126,2.311758834280455e-195,7.124921256864892e-20
2.0879029024946187e-24,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698500482,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,1.2198473726580525e-56,1.0409022144435489e-45,2.0646779624114732e-122,5.716045328331074e-157,1.5959823825067643e-18,1.1540415759911067e-24,2.0969043819206276e-26,6.256438056646521e-18,3.3450331313186523e-18,2.6686045384742965e-20,7.163018867746128e-52,9.862887148451641e-43,9.862887148450292e-43,1.8833531301458094e-63,2.732608462654615e-74,2.928625592333739e-98,2.018355718944513e-87,4.248532525509605e-125,7.037960966245712e-194,1.994977951922163e-19
4.7723494914162715e-24,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698500334,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,2.788222566075549e-56,2.3792050615852546e-45,1.1388148894006017e-120,1.7127752096299033e-154,3.647959731443983e-18,2.637809316551065e-24,4.7929243015327967e-26,1.4300429843762698e-17,7.645790014442581e-18,6.099667516510501e-20,7.705648835676231e-51,4.748555600613113e-42,4.7485556006116605e-42,9.067534610701441e-63,1.3156333575940846e-73,3.150641407680505e-97,2.17125497926808e-86,2.3432561951681347e-123,4.0862542993477624e-191,4.559949604393484e-19
1.0141242669259578e-23,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698500041,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.2222222222222222,5.924972952910541e-56,5.0558107558686663e-45,4.482428809060249e-119,3.254573291740807e-152,7.751914429318249e-18,5.605344797670859e-24,1.0184964140756913e-25,3.038841341799241e-17,1.6247303780690258e-17,1.2961793472575519e-19,7.082818846794139e-50,2.0738189865134469e-41,2.073818986512112e-41,3.960030597231676e-62,5.745716967695522e-73,2.8962762886782366e-96,1.9957574002155794e-85,9.222246158338075e-122,1.554331548776481e-188,9.689892909336018e-19
2.087902902494619e-23,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698499454,0.22222222222222224,0.2222222222222222,0.22222222222222224,0.22222222222222218,1.2198473726580527e-55,1.0409022144435487e-44,1.5840598109611091e-117,5.011032773138829e-150,1.5959823825066102e-17,1.1540415759909954e-23,2.096904381920425e-25,6.256438056644124e-17,3.345033131318489e-17,2.668604538467599e-19,6.059500642431548e-49,8.657786036616717e-41,8.657786036605297e-41,1.6532348334140983e-61,2.398725296798374e-72,2.4783286837653814e-95,1.7074124738033506e-84,3.2584276101148504e-120,4.789336547763719e-186,1.9949779519220657e-18
4.2354601736319413e-23,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698498278,0.22222222222222224,0.22222222222222218,0.22222222222222224,0.22222222222222213,2.474547527392049e-55,2.1115444921569126e-44,5.323906408347709e-116,7.015587792034804e-148,3.237564261655909e-17,2.3410557684386175e-23,4.253720317609534e-25,1.2691631486329657e-16,6.785638637817125e-17,5.413454920875866e-19,5.010112310418503e-48,3.5369880925657752e-40,3.536988092556333e-40,6.754003937096929e-61,9.799627976099692e-72,2.049962551890086e-94,1.4117216514734613e-83,1.094695477257427e-118,1.3414784798149453e-183,4.046955273898823e-18
8.530574715906586e-23,0.00048144307504249394,0.11111111111111112,0.0,0.0014168869698495928,0.2222222222222222,0.22222222222222213,0.22222222222222224,0.222222222222222,4.98394783686004e-55,4.2528290475836383e-44,1.7466455134036068e-114,9.389507205269276e-146,6.520728019953414e-17,4.715084153333073e-23,8.567352188986321e-25,2.5562018345683786e-16,1.3666849650813246e-16,1.0903155685645097e-18,4.07414012499185e-47,1.4297071385938582e-39,1.4297071385861798e-39,2.7300767124738534e-60,3.961337927614193e-71,1.668349558674535e-93,1.1479886017198658e-82,3.588563837642893e-117,3.591405029938297e-181,8.15090991785165e-18
1.7120803800455873e-22,0.00048144307504249394,0.11111111111111112,0.0,0.001416886969849123,0.22222222222222218,0.222222222222222,0.22222222222222224,0.22222222222222174,1.0002748455796021e-54,8.535398158437082e-44,5.665845727581203e-113,1.2299540392631539e-143,1.308705553654407e-16,9.463140923118835e-23,1.7194615931734163e-24,5.130279206432432e-16,2.742927167680087e-16,2.1882557214994336e-18,3.2859416066658557e-46,5.7487895235189e-39,5.748789523456971e-39,1.0977523772314764e-59,1.593391830466758e-70,1.347769920267863e-92,9.258943960649438e-82,1.1622164999679173e-115,9.40970429987634e-179,1.6358819205754573e-17
3.430126196955445e-22,0.00048144307504249394,0.11111111111111112,0.0,0.001416886969848183,0.2222222222222221,0.2222222222222217,0.22222222222222224,0.2222222222222212,2.004034969366796e-54,1.7100536380143939e-43,1.8298188076091658e-111,1.5957124590174596e-141,2.621971056970795e-16,1.8959254462677765e-22,3.444914341720695e-24,1.027843395013344e-15,5.495411572875764e-16,4.384136027293593e-18,2.6394469956411212e-45,2.305521719856804e-38,2.3055217198070603e-38,4.40248666411774e-59,6.408080777019067e-70,1.0861306121222777e-91,7.437287312724562e-81,3.741448038388913e-114,2.4416752056071224e-176,3.277463778154946e-17
