ExpID,y(CO),y(CO2),y(H2),y(H2O),CO2/(CO+CO2),Methanol Production,Water-Gas Shift,CO Hydrogenation,CO2 Hydrogenation,H2O Production,H2O* + * -> OH* + H*;,2OH* -> H2O* + O*;,OH* + CO* -> COOH* + *;,COOH* + OH* -> CO2* + H2O*;,COOH* + H* -> HCOOH* + *;,CO* + H* -> HCO* + *;,CO2* + H* -> HCO2* + *;,HCOOH* + * -> HCO* + OH*;,HCOOH* + H* -> CH3O2* + *;,HCO* + H* -> CH2O* + *;,CH3O* + H* -> CH3OH* + *;
CO_CO2_ratio_ExpID_1,0,0.2,0.8,0,1,4.57E-02,-7.66E-03,-1.63E-03,4.74E-02,5.50E-02,-6.26E-02,8.10E-07,-7.66E-03,-7.64E-03,-1.70E-05,-1.63E-03,4.74E-02,2.59E-05,4.73E-02,-1.61E-03,4.57E-02
CO_CO2_ratio_ExpID_2,0.02,0.18,0.8,0,0.9,4.65E-02,-3.89E-03,8.29E-04,4.57E-02,4.95E-02,-5.34E-02,6.10E-07,-3.89E-03,-3.88E-03,-1.32E-05,8.29E-04,4.57E-02,1.61E-05,4.56E-02,8.45E-04,4.65E-02
CO_CO2_ratio_ExpID_3,0.04,0.16,0.8,0,0.8,4.72E-02,-7.32E-04,3.58E-03,4.36E-02,4.43E-02,-4.51E-02,4.49E-07,-7.32E-04,-7.22E-04,-9.36E-06,3.58E-03,4.36E-02,7.40E-06,4.36E-02,3.58E-03,4.72E-02
CO_CO2_ratio_ExpID_4,0.06,0.14,0.8,0,0.7,4.77E-02,1.82E-03,6.66E-03,4.10E-02,3.92E-02,-3.74E-02,3.21E-07,1.82E-03,1.82E-03,-5.39E-06,6.66E-03,4.10E-02,-1.67E-07,4.10E-02,6.66E-03,4.77E-02
CO_CO2_ratio_ExpID_5,0.08,0.12,0.8,0,0.6,4.88E-02,3.85E-03,1.03E-02,3.85E-02,3.46E-02,-3.07E-02,2.26E-07,3.85E-03,3.86E-03,-1.29E-06,1.03E-02,3.85E-02,-6.81E-06,3.85E-02,1.03E-02,4.88E-02
CO_CO2_ratio_ExpID_6,0.1,0.1,0.8,0,0.5,4.87E-02,5.07E-03,1.43E-02,3.45E-02,2.94E-02,-2.43E-02,1.48E-07,5.07E-03,5.07E-03,2.72E-06,1.43E-02,3.45E-02,-1.18E-05,3.45E-02,1.42E-02,4.87E-02
CO_CO2_ratio_ExpID_7,0.12,0.08,0.8,0,0.4,4.88E-02,5.69E-03,1.89E-02,2.99E-02,2.42E-02,-1.85E-02,9.16E-08,5.69E-03,5.68E-03,6.79E-06,1.89E-02,2.99E-02,-1.56E-05,2.99E-02,1.89E-02,4.88E-02
CO_CO2_ratio_ExpID_8,0.14,0.06,0.8,0,0.3,4.87E-02,5.47E-03,2.43E-02,2.44E-02,1.89E-02,-1.35E-02,5.10E-08,5.47E-03,5.46E-03,1.04E-05,2.43E-02,2.44E-02,-1.75E-05,2.44E-02,2.43E-02,4.87E-02
CO_CO2_ratio_ExpID_9,0.16,0.04,0.8,0,0.2,4.84E-02,4.35E-03,3.07E-02,1.77E-02,1.34E-02,-9.07E-03,2.40E-08,4.35E-03,4.33E-03,1.32E-05,3.07E-02,1.77E-02,-1.70E-05,1.78E-02,3.07E-02,4.84E-02
CO_CO2_ratio_ExpID_10,0.18,0.02,0.8,0,0.1,4.78E-02,2.22E-03,3.82E-02,9.59E-03,7.38E-03,-5.17E-03,7.48E-09,2.22E-03,2.21E-03,1.29E-05,3.82E-02,9.59E-03,-1.26E-05,9.62E-03,3.82E-02,4.78E-02
CO_CO2_ratio_ExpID_11,0.2,0,0.8,0,0,4.70E-02,1.60E-18,4.70E-02,-9.29E-17,-9.09E-17,9.09E-17,-6.29E-36,1.60E-18,1.22E-29,1.60E-18,4.70E-02,-9.29E-17,-1.01E-18,-9.03E-17,4.70E-02,4.70E-02
CO_CO2_ratio_ExpID_12,0,0.2,0.75,0.05,1,3.14E-02,-1.19E-02,-9.36E-04,3.23E-02,4.42E-02,-5.61E-02,2.54E-06,-1.19E-02,-1.19E-02,-5.35E-06,-9.36E-04,3.23E-02,2.62E-05,3.23E-02,-9.10E-04,3.14E-02
CO_CO2_ratio_ExpID_13,0.02,0.18,0.75,0.05,0.9,3.28E-02,3.01E-03,1.54E-03,3.13E-02,2.83E-02,-2.53E-02,1.03E-06,3.01E-03,3.01E-03,-7.06E-07,1.54E-03,3.13E-02,-5.33E-06,3.13E-02,1.53E-03,3.28E-02
CO_CO2_ratio_ExpID_14,0.04,0.16,0.75,0.05,0.8,3.41E-02,1.62E-02,4.27E-03,2.98E-02,1.36E-02,2.58E-03,-9.47E-08,1.62E-02,1.62E-02,4.13E-06,4.27E-03,2.98E-02,-3.38E-05,2.98E-02,4.23E-03,3.41E-02
CO_CO2_ratio_ExpID_15,0.06,0.14,0.75,0.05,0.7,3.52E-02,2.79E-02,7.28E-03,2.79E-02,2.15E-05,2.78E-02,-9.18E-07,2.79E-02,2.78E-02,9.13E-06,7.28E-03,2.79E-02,-5.96E-05,2.79E-02,7.23E-03,3.52E-02
CO_CO2_ratio_ExpID_16,0.08,0.12,0.75,0.05,0.6,3.61E-02,3.82E-02,1.06E-02,2.55E-02,-1.27E-02,5.08E-02,-1.51E-06,3.82E-02,3.82E-02,1.43E-05,1.06E-02,2.55E-02,-8.30E-05,2.56E-02,1.05E-02,3.61E-02
CO_CO2_ratio_ExpID_17,0.1,0.1,0.75,0.05,0.5,3.69E-02,4.73E-02,1.43E-02,2.25E-02,-2.47E-02,7.19E-02,-1.92E-06,4.73E-02,4.72E-02,1.97E-05,1.43E-02,2.25E-02,-1.04E-04,2.27E-02,1.42E-02,3.69E-02
CO_CO2_ratio_ExpID_18,0.12,0.08,0.75,0.05,0.4,3.75E-02,5.53E-02,1.85E-02,1.90E-02,-3.62E-02,9.14E-02,-2.19E-06,5.53E-02,5.52E-02,2.53E-05,1.85E-02,1.90E-02,-1.24E-04,1.92E-02,1.84E-02,3.75E-02
CO_CO2_ratio_ExpID_19,0.14,0.06,0.75,0.05,0.3,3.80E-02,6.22E-02,2.32E-02,1.48E-02,-4.74E-02,1.10E-01,-2.34E-06,6.22E-02,6.22E-02,3.11E-05,2.32E-02,1.48E-02,-1.41E-04,1.50E-02,2.30E-02,3.80E-02
CO_CO2_ratio_ExpID_20,0.16,0.04,0.75,0.05,0.2,3.83E-02,6.81E-02,2.85E-02,9.74E-03,-5.83E-02,1.26E-01,-2.39E-06,6.81E-02,6.81E-02,3.73E-05,2.85E-02,9.74E-03,-1.57E-04,9.93E-03,2.84E-02,3.83E-02
