Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
0.0,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599999,0.4515426283560999,0.0,0.4569006123410269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.721461828388052e-24,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599996,0.4515426283560999,5.901261499991335e-42,0.4569006123410269,-4.3428562523285544e-86,-2.5171733990145155e-98,4.841331848921758e-56,5.914216141999578e-144,-2.952302486995915e-190,2.5491448948953556e-18,5.932027148406308e-25,1.0329364648091284e-61,8.266756691018353e-79,5.932027148406308e-25,4.3129422021565996e-20,1.2393188480696812e-63,9.708330136636311e-44,9.708330136635152e-44,8.937885355497957e-74,2.8179592286847005e-91,-9.767376040799003e-120,5.029582031631438e-99,-1.2703581241290969e-137,-8.522516255235177e-230
4.820093119486546e-24,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599992,0.4515426283560999,3.5643619459947647e-41,0.4569006123410269,4.471988313672814e-85,2.489017136178688e-97,1.3555729176981127e-55,9.328416933059033e-142,5.850268254831688e-188,7.137605705706991e-18,1.660967601553765e-24,1.5477912754945975e-60,2.5992003484497395e-77,1.660967601553765e-24,1.207623816603278e-19,1.8728585510230732e-62,5.86383140252938e-43,5.86383140252763e-43,5.3992048808114303e-73,8.861755375492393e-90,5.062317114737002e-118,7.60070399210872e-98,1.2551950974210062e-136,3.031349303588038e-227
1.1017355701683535e-23,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599982,0.4515426283560999,1.7160868441974767e-40,0.4569006123410269,2.4509186489770463e-83,1.3723372054775011e-95,3.098452383310417e-55,4.456910028803406e-139,2.7056734752357584e-184,1.6314527327330235e-17,3.796497374980028e-24,1.6605052917146702e-59,5.798672979972393e-76,3.796497374980028e-24,2.760283009376233e-19,2.0147357593934644e-61,2.8231824037353805e-42,2.8231824037334985e-42,2.601048485507325e-72,1.9771377839303304e-88,5.313437521936378e-116,8.176490488896005e-97,6.922963776227454e-135,2.812106010558745e-223
2.341188086607751e-23,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599963,0.4515426283560999,7.494602104988953e-40,0.4569006123410269,9.634733914123609e-82,5.400735882552485e-94,6.584211314542856e-55,1.5137793770234322e-136,4.584052503611201e-181,3.466837057057662e-17,8.067556921832525e-24,1.524645624161461e-58,1.0860272738709523e-74,8.067556921832525e-24,5.865601394913023e-19,1.851889270752376e-60,1.2329579273543895e-41,1.2329579273526598e-41,1.1388100538662984e-71,3.70340679339677e-87,4.2427237878731876e-114,7.515603442413662e-96,2.724639147408354e-133,9.530533857847117e-220
4.820093119486546e-23,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599926,0.4515426283560999,3.128848847295367e-39,0.4569006123410269,3.402476727175826e-80,1.9081776895380922e-92,1.3555729177141085e-54,4.443117785531409e-134,5.948716187888715e-178,7.137605705706896e-17,1.6609676015537427e-23,1.3037388917234712e-57,1.875842039723291e-73,1.660967601553742e-23,1.2076238165950115e-18,1.584330260048356e-59,5.147356638458713e-41,5.147356638443914e-41,4.8032240562938904e-71,6.398252906003832e-86,3.022868488721724e-112,6.429756975521187e-95,9.626764614794618e-132,2.4737743212137727e-216
9.777903185244137e-23,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599851,0.4515426283560998,1.27823684594409e-38,0.4569006123410269,1.142821406406681e-78,6.410660140036987e-91,2.749876490453692e-54,1.2170027721239877e-131,6.8367311536049e-175,1.4479143003005195e-16,3.369391420294683e-23,1.0777111715099399e-56,3.116739604697138e-72,3.3693914202946815e-23,2.449751170787835e-18,1.309954896946688e-58,2.10286314092792e-40,2.1028631409156824e-40,2.0431011017739328e-70,1.0635904444771874e-84,2.040311217825321e-110,5.316247407113737e-94,3.2341904272117756e-130,5.686394023694066e-213
1.9693523316759318e-22,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599702,0.45154262835609976,5.16683770379414e-38,0.4569006123410269,3.7458986675876225e-77,2.101501801081801e-89,5.538483639505184e-54,3.224078210099197e-129,7.415832664547314e-172,2.916221759760112e-16,6.786239057776407e-23,8.762797740831404e-56,5.081072180465537e-71,6.786239057776403e-23,4.934005879115103e-18,1.0652335670165899e-57,8.500109034569833e-40,8.50010903447032e-40,9.572618933321847e-70,1.7355873791216784e-83,1.3416793666605906e-108,4.323084104227279e-93,1.0602124880082312e-128,1.233643350136184e-209
3.952476357978968e-22,0.002217192533333333,0.0915567593028733,0.0,0.006525197625599404,0.4515426283560996,2.077562716117728e-37,0.4569006123410269,1.213103419619179e-75,6.806063547870197e-88,1.1115697995194463e-53,8.407600080834145e-127,7.824827180864445e-169,5.852836678679027e-16,1.361993433273923e-22,7.067127760675491e-55,8.205945144814307e-70,1.3619934332739213e-22,9.902515295536128e-18,8.591494625355743e-57,3.417856458002958e-39,3.417856457922698e-39,5.968445012110715e-69,2.8083610307885094e-82,8.715919517786274e-107,3.486723962024546e-92,3.4336753307680957e-127,2.6033949781691704e-206
7.91872441058504e-22,0.002217192533333333,0.0915567593028733,0.0,0.006525197625598806,0.4515426283560993,8.331955704266982e-37,0.4569006123410269,3.905154625302519e-74,2.191031200509662e-86,2.2270127631396836e-53,2.178466841341205e-124,8.155415996997958e-166,1.1726066516515777e-15,2.7287324882662376e-22,5.676547338974692e-54,1.3190817160084637e-68,2.7287324882662296e-22,1.9839534127444117e-17,6.901155708616553e-56,1.3707133070576998e-38,1.3707133069932298e-38,5.798059458701586e-68,4.531663581376598e-81,5.635927666461711e-105,2.8007264143950336e-91,1.1053805706217332e-125,5.42680195840465e-203
1.5851220515797185e-21,0.002217192533333333,0.0915567593028733,0.0,0.006525197625597612,0.4515426283560987,3.337128206725127e-36,0.4569006123410269,1.2533779764306276e-72,7.032317154425076e-85,4.457900172856863e-53,5.642325387319851e-122,8.470940406035552e-163,2.347252619218496e-15,5.4622105982498655e-22,4.55039378959523e-53,2.1154480242992256e-67,5.462210598249832e-22,3.9713571787523886e-17,5.532130492200946e-55,5.490002831134721e-38,5.490002830617915e-38,7.780189771155216e-67,7.323060633026035e-80,3.6461492714688887e-103,2.2451295988545915e-90,3.5478222531232257e-124,1.1273536926126947e-199
3.1716212726221472e-21,0.002217192533333333,0.0915567593028733,0.0,0.006525197625595223,0.45154262835609754,1.3357209633992532e-35,0.45690061234102686,4.016785300151338e-71,2.2537100230363508e-83,8.919698734003766e-53,1.4691514039267087e-119,8.830275755282104e-160,4.696544554350607e-15,1.0929166818213119e-21,3.643980972342942e-52,3.388655825180989e-66,1.0929166818212985e-21,7.946164709273853e-17,4.4301911490391727e-54,2.197431868689264e-37,2.1974318682754e-37,1.1855481586344277e-65,1.1908357678187752e-78,2.3724832602762537e-101,1.797929155448515e-89,1.1370053849828326e-122,2.3503475079602566e-196
6.344619714707005e-21,0.002217192533333333,0.0915567593028733,0.0,0.006525197625590445,0.4515426283560952,5.344623710717937e-35,0.4569006123410268,1.286328234931373e-69,7.217266342130867e-82,1.7843675900446437e-52,3.8762829562062346e-117,9.315797945032608e-157,9.395128424607924e-15,2.1863079258123613e-21,2.916651867994619e-51,5.425002583952851e-65,2.1863079258123082e-21,1.5895779764338824e-16,3.5459484984749437e-53,8.792589763966418e-37,8.792589760653828e-37,1.8736881991415036e-64,1.963382449841092e-77,1.5646593129036152e-99,1.4391014692676385e-88,3.641211096979999e-121,4.959128797482094e-193
1.269061659887672e-20,0.002217192533333333,0.0915567593028733,0.0,0.006525197625580888,0.4515426283560905,2.1381975052791973e-34,0.45690061234102664,4.1177821036772585e-68,2.3103886817789063e-80,3.569771235396379e-52,1.0498917231968066e-114,1.0076109201617745e-153,1.8792296165094935e-14,4.373090413788054e-21,2.3339084718350246e-50,8.682527600509495e-64,4.373090413787841e-21,3.1795009850556943e-16,2.8374772059541806e-52,3.5176084459695136e-36,3.517608443318771e-36,2.9890556878076467e-63,3.324576903009595e-76,1.059459692017861e-97,1.1517611882313998e-87,1.1658086921332265e-119,1.0727613536903603e-189
2.538261036721615e-20,0.002217192533333333,0.0915567593028733,0.0,0.006525197625561776,0.4515426283560811,8.553486112649364e-34,0.4569006123410263,1.3179354039230938e-66,7.394625601115326e-79,7.150311050620327e-52,2.9805926288347704e-112,1.1405068604455143e-150,3.758663164595847e-14,8.746655389713816e-21,1.8673615945059122e-49,1.3894063356304093e-62,8.74665538971296e-21,6.359346992734589e-16,2.2702691627977764e-51,1.4071578954122736e-35,1.4071578932914113e-35,4.779296675656319e-62,5.903386422308139e-75,7.520261459701931e-96,9.227319233112824e-87,3.7360354878548433e-118,2.428450367119997e-186
5.0766597903895014e-20,0.002217192533333333,0.0915567593028733,0.0,0.006525197625523551,0.4515426283560623,3.4215336683056664e-33,0.4569006123410257,4.217785532235848e-65,2.3665013072596126e-77,1.446712012600818e-51,9.127435730830522e-110,1.3899040970964622e-147,7.517530260724358e-14,1.7493785341462847e-20,1.493983204085695e-48,2.2232117152727663e-61,1.7493785341459428e-20,1.2719038969833461e-15,1.8163302965948414e-50,5.628860630196082e-35,5.62886061322811e-35,7.645872976948637e-61,1.131276911306315e-73,5.758631331954162e-94,7.459534103887715e-86,1.207805787374023e-116,5.918784057622089e-183
1.0153457297725274e-19,0.002217192533333333,0.0915567593028733,0.0,0.006525197625447102,0.4515426283560247,1.3686413124530333e-32,0.4569006123410244,1.349754124786506e-63,7.573157986962482e-76,3.1592481822126843e-51,3.1028436394949944e-107,1.877651400715928e-144,1.5035264452804599e-13,3.4988045244550926e-20,1.1952241293194155e-47,3.557268106409025e-60,3.498804524453724e-20,2.5438422770995532e-15,1.453110225422819e-49,2.2515900676777704e-34,2.2515900541029627e-34,1.223321070303148e-59,2.407463155905849e-72,4.895596381606285e-92,6.461992928285637e-85,4.176555883479009e-115,1.5990983388590333e-179
2.030705231239682e-19,0.002217192533333333,0.0915567593028733,0.0,0.0065251976252942035,0.45154262835594955,5.474620940456391e-32,0.45690061234102186,4.319313562937594e-62,2.423467166560351e-74,1.0571168147596675e-50,1.1865930572486727e-104,2.853140830124522e-141,3.007073283625795e-13,6.99765650490872e-20,9.561943197280616e-47,5.691732762972548e-59,6.997656504903246e-20,5.0877189761177015e-15,1.1625065761990466e-48,9.006451943320783e-34,9.006451834720611e-34,1.9573216240927897e-58,5.763579622146697e-71,4.681951036650807e-90,8.332483035116069e-84,2.1338286197842978e-113,4.8595445591396114e-176
4.0614242341739907e-19,0.002217192533333333,0.0915567593028733,0.0,0.0065251976249884065,0.45154262835579917,2.189859514270591e-31,0.45690061234101675,1.3821963689612155e-60,7.755185515356352e-73,8.91850341091086e-50,5.0460185738697566e-102,4.827038447373444e-138,6.014166960033615e-13,1.3995360465160016e-19,7.649614457346818e-46,9.106856419052019e-58,1.3995360465138118e-19,1.0175472129296948e-14,9.300126198738016e-48,3.6025991444082245e-33,3.602599057527401e-33,3.131724230865306e-57,1.5338886239249809e-69,4.978827876141731e-88,2.690824493040535e-82,2.7248401161355386e-111,1.644252660041569e-172
8.122862240042609e-19,0.002217192533333333,0.0915567593028733,0.0,0.006525197624376812,0.45154262835549847,8.759460332584905e-31,0.4569006123410066,4.423053837700018e-59,2.481673860736723e-71,1.2670569068110426e-48,2.320037383871771e-99,8.84512255011468e-135,1.2028354311717857e-12,2.7990768383038764e-19,6.119715260137388e-45,1.4571040551937714e-56,2.7990768382951172e-19,2.0350977456227327e-14,7.440130402986684e-47,1.4410433571685625e-32,1.4410432876636315e-32,5.010749186061301e-56,4.411705864605586e-68,5.723864977295768e-86,1.5107756610534576e-80,6.107985821994542e-109,6.025759499811111e-169
1.6245738251779845e-18,0.002217192533333333,0.0915567593028733,0.0,0.006525197623153623,0.45154262835489706,3.50378858756095e-30,0.4569006123409862,1.4153811800746094e-57,7.941379564056724e-70,1.995313708873702e-47,1.120388720878332e-96,1.7049050914733092e-131,2.405672901056073e-12,5.598158420830092e-19,4.89578126080741e-44,2.3313730972330797e-55,5.598158420795053e-19,4.0701984192376393e-14,5.952116113171484e-46,5.764181035341974e-32,5.7641804793015e-32,8.017124564385466e-55,1.332267300696426e-66,6.911115146628981e-84,9.499903381928292e-79,1.544210998280414e-106,2.3229095193075254e-165
3.2491490275254315e-18,0.002217192533333333,0.0915567593028733,0.0,0.006525197620707245,0.45154262835369424,1.4015163254674918e-29,0.45690061234094553,4.529225324254323e-56,2.541245184491695e-68,3.1861093438063607e-46,5.563588878407644e-94,3.3824654567596983e-128,4.811347839014403e-12,1.1196321581684382e-18,3.916627949689047e-43,3.730205399173794e-54,1.119632158154423e-18,8.140398199383385e-14,4.761697627912414e-45,2.3056741017503054e-31,2.3056736569175908e-31,1.2827122862345967e-53,4.136089223870554e-65,8.580232217984055e-82,6.0664191572702594e-77,4.030525172077882e-104,9.217056392556792e-162
6.498299432220326e-18,0.002217192533333333,0.0915567593028733,0.0,0.006525197615814489,0.45154262835128856,5.606067079054426e-29,0.45690061234086415,1.4493524946156444e-54,8.131990611664792e-67,5.096499149088243e-45,2.804242341670706e-91,1.896280638792072e-124,9.622697707690083e-12,2.239264788660039e-18,3.133302448106275e-42,5.968345492637825e-53,2.2392647886039784e-18,1.6280791491343373e-13,3.809360030973521e-44,9.22270111246115e-31,9.222697553799392e-31,2.0522478917918847e-52,1.3032019446898398e-63,1.0812159362343893e-79,3.881427358641439e-75,1.11898242882793e-101,1.0332865028574071e-157
1.2996600241610115e-17,0.002217192533333333,0.0915567593028733,0.0,0.006525197606028977,0.4515426283464772,2.2424271840969063e-28,0.45690061234070134,4.637925431692021e-53,2.602238001222086e-65,8.15414696969126e-44,1.4243476462365287e-88,3.853949469645632e-121,1.924539741607751e-11,4.4785300429262156e-18,2.506640252927554e-41,9.5493985920244e-52,4.4785300427019734e-18,3.2561553001975996e-13,3.0474888501445978e-43,3.689082450260382e-30,3.6890796033330154e-30,3.283300330001396e-51,4.137691690068182e-62,1.372965029508331e-77,2.484025620261321e-73,3.755220812767646e-99,4.2007057057917945e-154
2.5993201860389693e-17,0.002217192533333333,0.0915567593028733,0.0,0.006525197586457954,0.4515426283368545,8.9697094176435e-28,0.4569006123403757,1.4841336967239462e-51,8.327163480211871e-64,1.3046591824109831e-42,7.26259711514204e-86,7.860398355063521e-118,3.8490796716996467e-11,8.957060524590466e-18,2.005308734683125e-40,1.5279177814386113e-50,8.957060523693497e-18,6.512297573040047e-13,2.4379914965150804e-42,1.4756342325035228e-29,1.4756319549657385e-29,5.25233067501182e-50,1.318852655219009e-60,1.7501638629025784e-75,1.5897668453811663e-71,1.87084312340529e-96,1.7135249483789408e-150
3.898980347916927e-17,0.002217192533333333,0.0915567593028733,0.0,0.006525197566886932,0.4515426283272318,1.9060632911621126e-27,0.4569006123400501,7.096172965108347e-51,3.9838648568947776e-63,4.974012775919631e-42,6.318527073879345e-85,5.017417244246824e-117,5.7736195902059334e-11,1.3435590979386619e-17,5.947418182012479e-40,5.825213488856125e-50,1.3435590977480558e-17,9.768429816629277e-13,7.237787703650832e-42,3.135724734033459e-29,3.1357179725816416e-29,2.002283735260567e-49,6.304566967024521e-60,1.1759607494365684e-74,9.072065110015465e-71,1.6805944818456674e-95,1.2648545753758419e-149
6.498300671672842e-17,0.002217192533333333,0.0915567593028733,0.0,0.006525197527744895,0.4515426283079864,5.2697044775439435e-27,0.4569006123393988,1.0691810937844301e-49,6.00743166821344e-62,4.090313502246139e-41,1.3244058297571473e-82,7.952077004188581e-114,9.622699380875952e-11,2.239265178150654e-17,2.7845344537040758e-39,4.790373805107722e-49,2.2392651776236838e-17,1.6280654187041762e-12,3.390332568155751e-41,8.669369752625474e-29,8.669338080635763e-29,1.6460405397995767e-48,9.493297067504266e-59,6.365221212991715e-73,2.543854912675062e-69,4.964645113383794e-93,3.467435725115963e-146
8.837688963053166e-17,0.002217192533333333,0.0915567593028733,0.0,0.0065251974925170635,0.45154262829066555,9.383782397035645e-27,0.45690061233881274,3.898595403284264e-49,2.191543314263453e-61,1.1929582746326464e-40,9.947449591320956e-82,9.577780978552968e-113,1.3086871155045354e-10,3.0454006416602986e-17,6.421612344007687e-39,1.3971478555914347e-48,3.045400640721921e-17,2.214162371602251e-12,7.823536989559913e-41,1.5437595729424477e-28,1.5437522643133754e-28,4.80011369329968e-48,3.4620110922042386e-58,3.429213140794536e-72,1.1333604791296919e-68,3.806044230036066e-92,4.320617759634825e-145
1.117707725443349e-16,0.002217192533333333,0.0915567593028733,0.0,0.006525197457289236,0.4515426282733447,1.4648216759216024e-26,0.45690061233822665,1.0449978948836371e-48,5.876435106573939e-61,2.729723067554536e-40,4.217071973487137e-81,3.925185380767705e-112,1.6551042889591916e-10,3.851536095981127e-17,1.2358818221823354e-38,3.196976001168986e-48,3.8515360945163055e-17,2.8002558945833888e-12,1.506374787496584e-40,2.4098331481825954e-28,2.4098190758707777e-28,1.0981842352418787e-47,9.281212396315724e-58,1.1863694023267336e-71,3.4705392366992166e-68,1.8368259978452152e-91,2.0799452775582542e-144
1.3516465545813813e-16,0.002217192533333333,0.0915567593028733,0.0,0.0065251974220614135,0.4515426282560238,2.099928469610498e-26,0.45690061233764057,2.400054284469319e-48,1.3501075482290242e-60,5.398228007248629e-40,1.5393085306851923e-80,2.04846099740875e-111,2.0015214586710383e-10,4.657671541622146e-17,2.1004400190103935e-38,6.322314082975792e-48,4.6576715395222176e-17,3.3863461776620383e-12,2.561207665208611e-40,3.4546749427239646e-28,3.4546510163571765e-28,2.171443339965691e-47,2.1320044778328056e-57,3.5089564393123038e-71,9.068423736872082e-68,7.074417417719966e-91,1.07639724902416e-143
1.819524212857446e-16,0.002217192533333333,0.0915567593028733,0.0,0.006525197351605776,0.4515426282213821,3.6179468459146503e-26,0.4569006123364684,8.647761282464288e-48,4.8682630751901713e-60,1.5099813238021224e-39,1.5339343389243366e-79,4.8620998278568636e-110,2.694355789559276e-10,6.26994241311004e-17,4.6402811566835946e-38,1.7684991262706639e-47,6.269942409492093e-17,4.558519355332002e-12,5.662857498095299e-40,5.952038391588861e-28,5.951985490233004e-28,6.072718672183361e-47,7.685910352884262e-57,2.1173256334696152e-70,4.195252904206304e-67,7.071274587595392e-90,2.524081975283921e-142
