Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),H2X(53)
0.0,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573635,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.456800475274396e-25,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573631,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,8.598553277395743e-58,7.337190986401374e-47,-1.6065107089799945e-125,5.30250584997173e-161,5.699940439848501e-19,4.1215794863138636e-25,7.48894863502977e-27,2.234443480038611e-18,1.1946553938702596e-18,9.530736111838576e-21,9.355189526921728e-54,3.2228886724130524e-44,3.222888672412876e-44,6.154219729935913e-65,8.92932537855886e-76,7.548964023939673e-101,5.202736790988633e-90,-3.3058881372775545e-128,3.507965210989228e-198,7.124925456198769e-20
2.087904133076831e-24,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573624,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,2.4075949176708083e-57,2.0544134761923847e-46,1.5874009155979295e-124,8.673775080314314e-160,1.595983323157578e-18,1.1540422561678803e-24,2.0969056178083318e-26,6.256441744107963e-18,3.345035102836724e-18,2.6686061113143464e-20,1.4137562829112121e-52,1.9466247581376858e-43,1.946624758137419e-43,3.717148716729999e-64,5.393312530114256e-75,1.1408274276604183e-99,7.862376020036699e-89,3.2664291068554313e-127,1.067971340739151e-196,1.994979127735654e-19
4.7723523041756135e-24,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573609,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,5.503074097533277e-57,4.69580223129688e-46,8.755630818393454e-123,2.5990394402911526e-157,3.647961881503026e-18,2.637810871240862e-24,4.7929271264190314e-26,1.4300438272246075e-17,7.645794520769645e-18,6.099671111573505e-20,1.5208544986435678e-51,9.372160259380122e-43,9.372160259377255e-43,1.7896470972386012e-63,2.596647825366054e-74,1.2273122750846079e-98,8.457985354176973e-88,1.8015821230165676e-125,6.200663224483382e-194,4.559952291967203e-19
1.0141248646373179e-23,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573579,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.2222222222222222,1.1694032457258214e-56,9.978579741505871e-46,3.446257350103067e-121,4.938630769991148e-155,7.751918998193889e-18,5.605348101386801e-24,1.0184970143640383e-25,3.038843132851992e-17,1.6247313356635445e-17,1.2961801112084544e-19,1.3979273046513987e-50,4.093068613967613e-42,4.0930686139649793e-42,7.815859054679083e-63,1.1340243429252506e-73,1.1282259647720685e-97,7.774345724116789e-87,7.090404305704915e-124,2.3586115239164003e-191,9.68989862043028e-19
2.087904133076831e-23,0.0024393115802153024,0.11111111111111112,0.0,0.00717889398057352,0.22222222222222224,0.2222222222222222,0.22222222222222224,0.22222222222222218,2.4075949176708086e-56,2.054413476192385e-45,1.2178838747223778e-119,7.603958622232446e-153,1.5959833231575476e-17,1.1540422561678582e-23,2.0969056178082917e-25,6.25644174410581e-17,3.345035102836691e-17,2.6686061113077514e-19,1.195956240578705e-49,1.708775574116121e-41,1.7087755741138678e-41,3.2629672987130892e-62,4.734329013348681e-73,9.654171395792026e-97,6.651116445214091e-86,2.505199791935235e-122,7.267551368071219e-189,1.994979127735635e-18
4.235462669955857e-23,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573403,0.22222222222222224,0.22222222222222218,0.22222222222222224,0.22222222222222213,4.883978261560783e-56,4.16752448027598e-45,4.093216493351187e-118,1.0645757389830904e-150,3.237566169833812e-17,2.341057148226176e-23,4.253722824696728e-25,1.269163896660964e-16,6.785642637182922e-17,5.413458111494703e-19,9.88839747238655e-49,6.980905780016556e-41,6.980905779997921e-41,1.333028608617195e-61,1.9341299366137236e-72,7.985498411025822e-96,5.499271696945528e-85,8.416424146883048e-121,2.035618847140226e-186,4.0469576591208135e-18
8.530579743713909e-23,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980573168,0.2222222222222222,0.22222222222222213,0.22222222222222224,0.222222222222222,9.836744949340728e-56,8.393746488443164e-45,1.342885708974242e-116,1.4248045233921346e-148,6.520731863186123e-17,4.7150869323426554e-23,8.567357238473316e-25,2.556203341160208e-16,1.3666857705875149e-16,1.0903162111822026e-18,8.041080602197065e-48,2.821793731372792e-40,2.821793731357637e-40,5.388314761765573e-61,7.81812975500206e-72,6.498948961656408e-95,4.471916414448734e-84,2.7590207471522176e-119,5.44975683215894e-184,8.150914721891033e-18
1.7120813891230014e-22,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980572698,0.22222222222222218,0.222222222222222,0.22222222222222224,0.22222222222222174,1.9742278324900608e-55,1.684619050477752e-44,4.35610800403154e-115,1.866384505830455e-146,1.3087063249889893e-16,9.463146500574994e-23,1.7194626066025355e-24,5.130282230152607e-16,2.7429287843258647e-16,2.188257011229038e-18,6.485422813821268e-47,1.1346308486930181e-39,1.1346308486807952e-39,2.1666176614715729e-60,3.1438533740792214e-71,5.250146690680147e-94,3.6067625946874174e-83,8.935550768963656e-118,1.4278693338277637e-181,1.6358828847430923e-17
3.4301282186262225e-22,0.0024393115802153024,0.11111111111111112,0.0,0.007178893980571758,0.2222222222222221,0.2222222222222217,0.22222222222222224,0.2222222222222212,3.955334507602034e-55,3.375107853744617e-44,1.4068111615812446e-113,2.4213796547534182e-144,2.6219726023293973e-16,1.8959265637037182e-22,3.4449163721124915e-24,1.027844000811305e-15,5.495414811802182e-16,4.3841386112481895e-18,5.2094442964825e-46,4.5503771793712686e-39,4.55037717927309e-39,8.689105824941828e-60,1.2615265771386344e-70,4.230886471808477e-93,2.897147860436848e-82,2.8765637782014736e-116,3.705069967591385e-179,3.277465709850848e-17
